gene_id,Orthogroup,Species
Pocillopora_acuta_HIv1_PredGene_g18273.t1,OG0012148,P.acuta
Pocillopora_acuta_HIv1_PredGene_g18552.t1,OG0000605,P.acuta
Pocillopora_acuta_HIv1_PredGene_g18651.t1,OG0000498,P.acuta
Pocillopora_acuta_HIv1_PredGene_g18672.t1,OG0000605,P.acuta
Pocillopora_acuta_HIv1_PredGene_g18846.t1,OG0010411,P.acuta
Pocillopora_acuta_HIv1_PredGene_g18847.t1,OG0017213,P.acuta
Pocillopora_acuta_HIv1_PredGene_g18980.t1,OG0007132,P.acuta
Pocillopora_acuta_HIv1_PredGene_g19003.t1,OG0000487,P.acuta
Pocillopora_acuta_HIv1_PredGene_g19073.t1,OG0002070,P.acuta
Pocillopora_acuta_HIv1_PredGene_g1931.t1,OG0004902,P.acuta
Pocillopora_acuta_HIv1_PredGene_g19390.t1,OG0000960,P.acuta
Pocillopora_acuta_HIv1_PredGene_g19457.t1,OG0007099,P.acuta
Pocillopora_acuta_HIv1_PredGene_g19464.t1,OG0003901,P.acuta
Pocillopora_acuta_HIv1_PredGene_g19464.t2,OG0003901,P.acuta
Pocillopora_acuta_HIv1_PredGene_g19487.t1,OG0000872,P.acuta
Pocillopora_acuta_HIv1_PredGene_g19554.t1,OG0001361,P.acuta
Pocillopora_acuta_HIv1_PredGene_g19722.t1,OG0014533,P.acuta
Pocillopora_acuta_HIv1_PredGene_g19878.t1,OG0009287,P.acuta
Pocillopora_acuta_HIv1_PredGene_g20016.t1,OG0005595,P.acuta
Pocillopora_acuta_HIv1_PredGene_g20277.t1,OG0001880,P.acuta
Pocillopora_acuta_HIv1_PredGene_g20469.t1,OG0005323,P.acuta
Pocillopora_acuta_HIv1_PredGene_g20634.t1,OG0002471,P.acuta
Pocillopora_acuta_HIv1_PredGene_g20640.t1,OG0009908,P.acuta
Pocillopora_acuta_HIv1_PredGene_g20815.t1,OG0001575,P.acuta
Pocillopora_acuta_HIv1_PredGene_g20859.t1,OG0004127,P.acuta
Pocillopora_acuta_HIv1_PredGene_g21047.t1,OG0005501,P.acuta
Pocillopora_acuta_HIv1_PredGene_g21053.t1,OG0001186,P.acuta
Pocillopora_acuta_HIv1_PredGene_g21093.t1,OG0003976,P.acuta
Pocillopora_acuta_HIv1_PredGene_g21093.t2,OG0003976,P.acuta
Pocillopora_acuta_HIv1_PredGene_g21278.t1,OG0015574,P.acuta
Pocillopora_acuta_HIv1_PredGene_g21283.t1,OG0001405,P.acuta
Pocillopora_acuta_HIv1_PredGene_g21407.t1,OG0007476,P.acuta
Pocillopora_acuta_HIv1_PredGene_g21804.t1,OG0003325,P.acuta
Pocillopora_acuta_HIv1_PredGene_g21804.t2,OG0003325,P.acuta
Pocillopora_acuta_HIv1_PredGene_g21804.t3,OG0003325,P.acuta
Pocillopora_acuta_HIv1_PredGene_g21894.t1,OG0017277,P.acuta
Pocillopora_acuta_HIv1_PredGene_g22418.t1,OG0002222,P.acuta
Pocillopora_acuta_HIv1_PredGene_g22645.t1,OG0006950,P.acuta
Pocillopora_acuta_HIv1_PredGene_g22696.t1,OG0010255,P.acuta
Pocillopora_acuta_HIv1_PredGene_g22710.t1,OG0006401,P.acuta
Pocillopora_acuta_HIv1_PredGene_g22710.t2,OG0006401,P.acuta
Pocillopora_acuta_HIv1_PredGene_g22714.t1,OG0000576,P.acuta
Pocillopora_acuta_HIv1_PredGene_g22758.t1,OG0011436,P.acuta
Pocillopora_acuta_HIv1_PredGene_g2314.t1,OG0000121,P.acuta
Pocillopora_acuta_HIv1_PredGene_g23872.t1,OG0000624,P.acuta
Pocillopora_acuta_HIv1_PredGene_g23878.t1,OG0000624,P.acuta
Pocillopora_acuta_HIv1_PredGene_g23882.t1,OG0000624,P.acuta
Pocillopora_acuta_HIv1_PredGene_g24043.t1,OG0008564,P.acuta
Pocillopora_acuta_HIv1_PredGene_g24448.t1,OG0014459,P.acuta
Pocillopora_acuta_HIv1_PredGene_g24638.t1,OG0007608,P.acuta
Pocillopora_acuta_HIv1_PredGene_g25285.t1,OG0000307,P.acuta
Pocillopora_acuta_HIv1_PredGene_g25362.t1,OG0002355,P.acuta
Pocillopora_acuta_HIv1_PredGene_g25397.t1,OG0001459,P.acuta
Pocillopora_acuta_HIv1_PredGene_g25581.t1,OG0002791,P.acuta
Pocillopora_acuta_HIv1_PredGene_g2599.t1,OG0001273,P.acuta
Pocillopora_acuta_HIv1_PredGene_g26402.t1,OG0001342,P.acuta
Pocillopora_acuta_HIv1_PredGene_g26522.t1,OG0001196,P.acuta
Pocillopora_acuta_HIv1_PredGene_g26843.t1,OG0016565,P.acuta
Pocillopora_acuta_HIv1_PredGene_g2699.t1,OG0005799,P.acuta
Pocillopora_acuta_HIv1_PredGene_g27085.t1,OG0001208,P.acuta
Pocillopora_acuta_HIv1_PredGene_g27314.t1,OG0001309,P.acuta
Pocillopora_acuta_HIv1_PredGene_g27440.t1,OG0004504,P.acuta
Pocillopora_acuta_HIv1_PredGene_g27509.t1,OG0007310,P.acuta
Pocillopora_acuta_HIv1_PredGene_g27868.t1,OG0012725,P.acuta
Pocillopora_acuta_HIv1_PredGene_g28160.t1,OG0006718,P.acuta
Pocillopora_acuta_HIv1_PredGene_g28596.t1,OG0004095,P.acuta
Pocillopora_acuta_HIv1_PredGene_g28764.t1,OG0001696,P.acuta
Pocillopora_acuta_HIv1_PredGene_g28764.t2,OG0001696,P.acuta
Pocillopora_acuta_HIv1_PredGene_g28764.t3,OG0001696,P.acuta
Pocillopora_acuta_HIv1_PredGene_g28849.t1,OG0000784,P.acuta
Pocillopora_acuta_HIv1_PredGene_g28908.t1,OG0013201,P.acuta
Pocillopora_acuta_HIv1_PredGene_g29047.t1,OG0002395,P.acuta
Pocillopora_acuta_HIv1_PredGene_g29112.t1,OG0000223,P.acuta
Pocillopora_acuta_HIv1_PredGene_g29458.t1,OG0000527,P.acuta
Pocillopora_acuta_HIv1_PredGene_g29580.t1,OG0000307,P.acuta
Pocillopora_acuta_HIv1_PredGene_g29708.t1,OG0001018,P.acuta
Pocillopora_acuta_HIv1_PredGene_g29791.t1,OG0012195,P.acuta
Pocillopora_acuta_HIv1_PredGene_g29845.t1,OG0000989,P.acuta
Pocillopora_acuta_HIv1_PredGene_g30033.t1,OG0012948,P.acuta
Pocillopora_acuta_HIv1_PredGene_g30103.t1,OG0003713,P.acuta
Pocillopora_acuta_HIv1_PredGene_g30295.t1,OG0009134,P.acuta
Pocillopora_acuta_HIv1_PredGene_g3030.t1,OG0007634,P.acuta
Pocillopora_acuta_HIv1_PredGene_g30373.t1,OG0002068,P.acuta
Pocillopora_acuta_HIv1_PredGene_g30378.t1,OG0005250,P.acuta
Pocillopora_acuta_HIv1_PredGene_g30590.t1,OG0008765,P.acuta
Pocillopora_acuta_HIv1_PredGene_g30602.t1,OG0008766,P.acuta
Pocillopora_acuta_HIv1_PredGene_g30769.t1,OG0001248,P.acuta
Pocillopora_acuta_HIv1_PredGene_g3078.t1,OG0000028,P.acuta
Pocillopora_acuta_HIv1_PredGene_g30872.t1,OG0010879,P.acuta
Pocillopora_acuta_HIv1_PredGene_g30925.t1,OG0004902,P.acuta
Pocillopora_acuta_HIv1_PredGene_g3121.t1,OG0001602,P.acuta
Pocillopora_acuta_HIv1_PredGene_g31212.t1,OG0000127,P.acuta
Pocillopora_acuta_HIv1_PredGene_g31214.t1,OG0000127,P.acuta
Pocillopora_acuta_HIv1_PredGene_g31353.t1,OG0016227,P.acuta
Pocillopora_acuta_HIv1_PredGene_g31480.t1,OG0016073,P.acuta
Pocillopora_acuta_HIv1_PredGene_g31487.t1,OG0001602,P.acuta
Pocillopora_acuta_HIv1_PredGene_g31487.t2,OG0001602,P.acuta
Pocillopora_acuta_HIv1_PredGene_g31607.t1,OG0014488,P.acuta
Pocillopora_acuta_HIv1_PredGene_g31953.t1,OG0004642,P.acuta
Pocillopora_acuta_HIv1_PredGene_g31960.t1,OG0001141,P.acuta
Pocillopora_acuta_HIv1_PredGene_g32018.t1,OG0005232,P.acuta
Pocillopora_acuta_HIv1_PredGene_g32171.t1,OG0000127,P.acuta
Pocillopora_acuta_HIv1_PredGene_g32172.t1,OG0000127,P.acuta
Pocillopora_acuta_HIv1_PredGene_g32194.t1,OG0012176,P.acuta
Pocillopora_acuta_HIv1_PredGene_g3221.t1,OG0001497,P.acuta
Pocillopora_acuta_HIv1_PredGene_g32496.t1,OG0001942,P.acuta
Pocillopora_acuta_HIv1_PredGene_g3306.t1,OG0013020,P.acuta
Pocillopora_acuta_HIv1_PredGene_g33271.t1,OG0009942,P.acuta
Pocillopora_acuta_HIv1_PredGene_g33391.t1,OG0006298,P.acuta
Pocillopora_acuta_HIv1_PredGene_g33597.t1,OG0007982,P.acuta
Pocillopora_acuta_HIv1_PredGene_g3547.t1,OG0010153,P.acuta
Pocillopora_acuta_HIv1_PredGene_g3577.t1,OG0000188,P.acuta
Pocillopora_acuta_HIv1_PredGene_g4057.t1,OG0013212,P.acuta
Pocillopora_acuta_HIv1_PredGene_g4343.t1,OG0021473,P.acuta
Pocillopora_acuta_HIv1_PredGene_g4463.t1,OG0002026,P.acuta
Pocillopora_acuta_HIv1_PredGene_g4677.t1,OG0001388,P.acuta
Pocillopora_acuta_HIv1_PredGene_g4724.t1,OG0000307,P.acuta
Pocillopora_acuta_HIv1_PredGene_g4955.t1,OG0005988,P.acuta
Pocillopora_acuta_HIv1_PredGene_g5277.t1,OG0002795,P.acuta
Pocillopora_acuta_HIv1_PredGene_g5395.t1,OG0018774,P.acuta
Pocillopora_acuta_HIv1_PredGene_g5469.t1,OG0001342,P.acuta
Pocillopora_acuta_HIv1_PredGene_g5677.t1,OG0000307,P.acuta
Pocillopora_acuta_HIv1_PredGene_g5781.t1,OG0002538,P.acuta
Pocillopora_acuta_HIv1_PredGene_g5916.t1,OG0003268,P.acuta
Pocillopora_acuta_HIv1_PredGene_g6135.t1,OG0004011,P.acuta
Pocillopora_acuta_HIv1_PredGene_g6360.t1,OG0004095,P.acuta
Pocillopora_acuta_HIv1_PredGene_g6941.t1,OG0001403,P.acuta
Pocillopora_acuta_HIv1_PredGene_g73.t1,OG0013318,P.acuta
Pocillopora_acuta_HIv1_PredGene_g7379.t1,OG0000414,P.acuta
Pocillopora_acuta_HIv1_PredGene_g7401.t1,OG0003246,P.acuta
Pocillopora_acuta_HIv1_PredGene_g7577.t1,OG0006523,P.acuta
Pocillopora_acuta_HIv1_PredGene_g7769.t1,OG0001238,P.acuta
Pocillopora_acuta_HIv1_PredGene_g7788.t1,OG0010541,P.acuta
Pocillopora_acuta_HIv1_PredGene_g8002.t1,OG0015626,P.acuta
Pocillopora_acuta_HIv1_PredGene_g8027.t1,OG0012706,P.acuta
Pocillopora_acuta_HIv1_PredGene_g808.t1,OG0000487,P.acuta
Pocillopora_acuta_HIv1_PredGene_g8202.t1,OG0013359,P.acuta
Pocillopora_acuta_HIv1_PredGene_g8863.t1,OG0001340,P.acuta
Pocillopora_acuta_HIv1_PredGene_g9091.t1,OG0015475,P.acuta
Pocillopora_acuta_HIv1_PredGene_g9372.t1,OG0003976,P.acuta
Pocillopora_acuta_HIv1_PredGene_g9372.t2,OG0003976,P.acuta
Pocillopora_acuta_HIv1_PredGene_g9384.t1,OG0006553,P.acuta
Pocillopora_acuta_HIv1_PredGene_g953.t1,OG0000382,P.acuta
Pocillopora_acuta_HIv1_PredGene_g9611.t1,OG0014169,P.acuta
Pocillopora_acuta_HIv1_PredGene_g9758.t1,OG0007958,P.acuta
Pocillopora_acuta_HIv1_PredGene_g9785.t1,OG0013855,P.acuta
Pocillopora_acuta_HIv1_PredGene_g9927.t1,OG0012948,P.acuta
jamg1.TU.Sc0000051.45,OG0017371,P.lobata
jamg1.TU.Sc0000055.95,OG0004731,P.lobata
jamg1.TU.Sc0000101.46,OG0005118,P.lobata
jamg1.TU.Sc0000117.30,OG0001821,P.lobata
jamg1.TU.Sc0000225.27,OG0000423,P.lobata
jamg1.TU.Sc0000225.29,OG0000423,P.lobata
jamg1.TU.Sc0000551.3,OG0000306,P.lobata
jamg1.TU.Sc0000654.3,OG0006588,P.lobata
jamg1.TU.xfSc0000469.4,OG0001821,P.lobata
jamg1.TU.xfSc0000800.1,OG0008724,P.lobata
jamg1.TU.xpSc0007059.15,OG0001678,P.lobata
jamg1.TU.xpSc0007188.2,OG0003587,P.lobata
plut2.m8.10068,OG0011347,P.lobata
plut2.m8.1010,OG0017677,P.lobata
plut2.m8.1011,OG0017677,P.lobata
plut2.m8.10362,OG0002995,P.lobata
plut2.m8.10411,OG0013715,P.lobata
plut2.m8.10671,OG0002055,P.lobata
plut2.m8.11052,OG0000960,P.lobata
plut2.m8.11192,OG0014051,P.lobata
plut2.m8.12089,OG0000216,P.lobata
plut2.m8.1212,OG0013436,P.lobata
plut2.m8.12217,OG0000414,P.lobata
plut2.m8.13153,OG0001283,P.lobata
plut2.m8.13229,OG0000848,P.lobata
plut2.m8.14149,OG0000187,P.lobata
plut2.m8.15173,OG0000622,P.lobata
plut2.m8.15873,OG0003080,P.lobata
plut2.m8.16218,OG0004312,P.lobata
plut2.m8.16250,OG0015804,P.lobata
plut2.m8.1654,OG0000491,P.lobata
plut2.m8.16587,OG0000216,P.lobata
plut2.m8.18568,OG0000216,P.lobata
plut2.m8.19607,OG0009925,P.lobata
plut2.m8.19775,OG0015330,P.lobata
plut2.m8.20414,OG0000250,P.lobata
plut2.m8.20419,OG0001323,P.lobata
plut2.m8.21171,OG0008669,P.lobata
plut2.m8.21315,OG0000216,P.lobata
plut2.m8.21463,OG0000280,P.lobata
plut2.m8.21554,OG0002213,P.lobata
plut2.m8.21690,OG0001227,P.lobata
plut2.m8.21703,OG0014474,P.lobata
plut2.m8.21745,OG0000115,P.lobata
plut2.m8.21905,OG0004472,P.lobata
plut2.m8.22162,OG0000469,P.lobata
plut2.m8.22300,OG0000605,P.lobata
plut2.m8.22320,OG0003966,P.lobata
plut2.m8.22430,OG0002992,P.lobata
plut2.m8.22577,OG0000622,P.lobata
plut2.m8.22609,OG0000000,P.lobata
plut2.m8.22908,OG0012244,P.lobata
plut2.m8.23195,OG0000082,P.lobata
plut2.m8.23282,OG0002706,P.lobata
plut2.m8.23335,OG0000013,P.lobata
plut2.m8.23510,OG0002897,P.lobata
plut2.m8.24126,OG0000308,P.lobata
plut2.m8.24267,OG0000295,P.lobata
plut2.m8.24269,OG0000295,P.lobata
plut2.m8.24633,OG0007004,P.lobata
plut2.m8.2498,OG0018760,P.lobata
plut2.m8.24994,OG0002723,P.lobata
plut2.m8.25307,OG0000082,P.lobata
plut2.m8.25842,OG0000519,P.lobata
plut2.m8.25894,OG0000308,P.lobata
plut2.m8.25928,OG0000216,P.lobata
plut2.m8.26038,OG0002995,P.lobata
plut2.m8.26060,OG0000060,P.lobata
plut2.m8.26344,OG0000038,P.lobata
plut2.m8.26944,OG0005006,P.lobata
plut2.m8.27435,OG0006209,P.lobata
plut2.m8.27437,OG0017343,P.lobata
plut2.m8.27535,OG0021143,P.lobata
plut2.m8.27604,OG0000241,P.lobata
plut2.m8.28609,OG0004405,P.lobata
plut2.m8.28828,OG0000216,P.lobata
plut2.m8.29610,OG0001092,P.lobata
plut2.m8.30338,OG0000336,P.lobata
plut2.m8.30559,OG0010522,P.lobata
plut2.m8.30812,OG0009388,P.lobata
plut2.m8.30846,OG0017168,P.lobata
plut2.m8.30977,OG0000008,P.lobata
plut2.m8.31278,OG0000263,P.lobata
plut2.m8.31556,OG0000446,P.lobata
plut2.m8.31557,OG0000446,P.lobata
plut2.m8.32388,OG0001036,P.lobata
plut2.m8.32950,OG0000115,P.lobata
plut2.m8.32952,OG0000115,P.lobata
plut2.m8.32953,OG0000115,P.lobata
plut2.m8.33084,OG0000082,P.lobata
plut2.m8.33156,OG0016697,P.lobata
plut2.m8.33377,OG0000000,P.lobata
plut2.m8.33379,OG0000178,P.lobata
plut2.m8.33535,OG0000221,P.lobata
plut2.m8.3398,OG0000240,P.lobata
plut2.m8.3544,OG0003195,P.lobata
plut2.m8.4130,OG0001189,P.lobata
plut2.m8.4150,OG0000046,P.lobata
plut2.m8.4590,OG0001487,P.lobata
plut2.m8.4878,OG0000808,P.lobata
plut2.m8.5234,OG0000394,P.lobata
plut2.m8.5539,OG0003190,P.lobata
plut2.m8.5800,OG0000622,P.lobata
plut2.m8.5801,OG0021373,P.lobata
plut2.m8.6795,OG0000180,P.lobata
plut2.m8.7016,OG0005876,P.lobata
plut2.m8.7118,OG0005196,P.lobata
plut2.m8.7161,OG0001743,P.lobata
plut2.m8.7220,OG0017031,P.lobata
plut2.m8.7302,OG0000229,P.lobata
plut2.m8.7375,OG0008554,P.lobata
plut2.m8.7555,OG0000487,P.lobata
plut2.m8.8087,OG0003238,P.lobata
plut2.m8.8613,OG0014833,P.lobata
plut2.m8.8790,OG0000888,P.lobata
plut2.m8.92,OG0000194,P.lobata
plut2.m8.9273,OG0000013,P.lobata
plut2.m8.9304,OG0001593,P.lobata
plut2.m8.9356,OG0000007,P.lobata
plut2.m8.9453,OG0000575,P.lobata
plut2.m8.9532,OG0000474,P.lobata
plut2.m8.9923,OG0001177,P.lobata
