Orthogroup	Mcavernosa.maker.proteins	Acerv_assembly_v1.0.protein
OG0001124	Mcavernosa27373-RA, Mcavernosa17755-RA, Mcavernosa30937-RA	Acerv_evm.model.Segkk842_pilon.6
OG0001125	Mcavernosa13449-RA	Acerv_evm.model.Segkk864_pilon.14
OG0001125	Mcavernosa16215-RA	Acerv_evm.model.Segkk1971_pilon.1, Acerv_evm.model.Segkk3857_pilon.1, Acerv_evm.model.Segkk864_pilon.13
OG0001126	Mcavernosa02201-RA	Acerv_evm.model.Segkk2824_pilon.2, Acerv_evm.model.Segkk876_pilon.2, Acerv_evm.model.Segkk1380_pilon.20, Acerv_evm.model.Segkk1380_pilon.17, Acerv_evm.model.Segkk1380_pilon.10, Acerv_evm.model.Segkk1130_pilon.15, Acerv_evm.model.Segkk1130_pilon.11, Acerv_evm.model.Segkk1130_pilon.13, Acerv_evm.model.Segkk1976_pilon.14, Acerv_evm.model.Segkk3933_pilon.8
OG0001127	Mcavernosa08693-RA	Acerv_evm.model.Segkk905_pilon.4, Acerv_evm.model.Segkk905_pilon.6
OG0001127	Mcavernosa08692-RA	Acerv_evm.model.Segkk905_pilon.9, Acerv_evm.model.Segkk905_pilon.2
OG0001128	Mcavernosa24994-RA, Mcavernosa23521-RA	Acerv_evm.model.Segkk3488_pilon.5
OG0001128	Mcavernosa24987-RA, Mcavernosa24991-RA, Mcavernosa24985-RA	Acerv_evm.model.Segkk935_pilon.1
OG0001129	Mcavernosa16490-RA	Acerv_evm.model.Segkk3350_pilon.1
OG0001129	Mcavernosa12578-RA	Acerv_evm.model.Segkk3976_pilon.3
OG0001130	Mcavernosa08033-RA	Acerv_evm.model.Segkk1047_pilon.3
OG0001130	Mcavernosa06799-RA	Acerv_evm.model.Segkk4039_pilon.2
OG0001131	Mcavernosa07663-RA, Mcavernosa27671-RA, Mcavernosa27670-RA	Acerv_evm.model.Segkk4012_pilon.35
OG0001132	Mcavernosa07869-RA	Acerv_evm.model.Segkk1078_pilon.50
OG0001133	Mcavernosa19294-RA	Acerv_evm.model.Segkk1081_pilon.2
OG0001135	Mcavernosa07851-RA	Acerv_evm.model.Segkk1152_pilon.27
OG0001137	Mcavernosa22520-RA	Acerv_evm.model.Segkk1169_pilon.15
OG0001139	Mcavernosa32900-RA, Mcavernosa32717-RA, Mcavernosa09484-RA, Mcavernosa09487-RA, Mcavernosa09485-RA, Mcavernosa09486-RA	Acerv_evm.model.Segkk1214_pilon.4
OG0001140	Mcavernosa02774-RA	Acerv_evm.model.Segkk1229_pilon.9, Acerv_evm.model.Segkk1229_pilon.1
OG0001141	Mcavernosa16952-RA	Acerv_evm.model.Segkk3979_pilon.27, Acerv_evm.model.Segkk3979_pilon.26
OG0001141	Mcavernosa16954-RA	Acerv_evm.model.Segkk1254_pilon.1
OG0001142	Mcavernosa19170-RA	Acerv_evm.model.Segkk1291_pilon.1
OG0001143	Mcavernosa31274-RA, Mcavernosa31275-RA, Mcavernosa31276-RA, Mcavernosa31273-RA	Acerv_evm.model.Segkk2322_pilon.39, Acerv_evm.model.Segkk1296_pilon.2, Acerv_evm.model.Segkk2322_pilon.38
OG0001144	Mcavernosa00951-RA, Mcavernosa00950-RA	Acerv_evm.model.Segkk1310_pilon.7
OG0001145	Mcavernosa13733-RA, Mcavernosa30669-RA	Acerv_evm.model.Segkk3572_pilon.9, Acerv_evm.model.Segkk1800_pilon.18, Acerv_evm.model.Segkk3408_pilon.11, Acerv_evm.model.Segkk1765_pilon.19, Acerv_evm.model.Segkk1316_pilon.5
OG0001147	Mcavernosa32260-RA	Acerv_evm.model.Segkk2112_pilon.10, Acerv_evm.model.Segkk1451_pilon.42, Acerv_evm.model.Segkk1451_pilon.41, Acerv_evm.model.Segkk1356_pilon.3, Acerv_evm.model.Segkk3233_pilon.50
OG0001148	Mcavernosa23001-RA	Acerv_evm.model.Segkk3187_pilon.1, Acerv_evm.model.Segkk1372_pilon.2, Acerv_evm.model.Segkk1600_pilon.7, Acerv_evm.model.Segkk2056_pilon.52, Acerv_evm.model.Segkk3807_pilon.21, Acerv_evm.model.Segkk3102_pilon.14, Acerv_evm.model.Segkk2056_pilon.54, Acerv_evm.model.Segkk3577_pilon.5, Acerv_evm.model.Segkk3577_pilon.4, Acerv_evm.model.Segkk3129_pilon.2
OG0001149	Mcavernosa14351-RA	Acerv_evm.model.Segkk1386_pilon.27, Acerv_evm.model.Segkk1386_pilon.25, Acerv_evm.model.Segkk2148_pilon.1, Acerv_evm.model.Segkk2261_pilon.13, Acerv_evm.model.Segkk2322_pilon.5
OG0001150	Mcavernosa05313-RA, Mcavernosa05314-RA	Acerv_evm.model.Segkk2632_pilon.2, Acerv_evm.model.Segkk1415_pilon.10, Acerv_evm.model.Segkk2632_pilon.1, Acerv_evm.model.Segkk4166_pilon.2
OG0001152	Mcavernosa32074-RA, Mcavernosa32075-RA, Mcavernosa32709-RA, Mcavernosa16790-RA	Acerv_evm.model.Segkk3847_pilon.8, Acerv_evm.model.Segkk3847_pilon.7, Acerv_evm.model.Segkk1534_pilon.1
OG0001153	Mcavernosa01602-RA, Mcavernosa01603-RA	Acerv_evm.model.Segkk4005_pilon.2, Acerv_evm.model.Segkk1551_pilon.10, Acerv_evm.model.Segkk4005_pilon.1
OG0001154	Mcavernosa24708-RA, Mcavernosa05939-RA	Acerv_evm.model.Segkk1624_pilon.1
OG0001154	Mcavernosa24711-RA	Acerv_evm.model.Segkk2233_pilon.9
OG0001155	Mcavernosa05955-RA, Mcavernosa05952-RA, Mcavernosa05950-RA, Mcavernosa05954-RA	Acerv_evm.model.Segkk1628_pilon.10
OG0001156	Mcavernosa22389-RA	Acerv_evm.model.Segkk1644_pilon.1
OG0001157	Mcavernosa16113-RA, Mcavernosa16104-RA, Mcavernosa30645-RA	Acerv_evm.model.Segkk2875_pilon.14, Acerv_evm.model.Segkk3931_pilon.1
OG0001157	Mcavernosa11441-RA	Acerv_evm.model.Segkk1650_pilon.25
OG0001159	Mcavernosa00861-RA, Mcavernosa32509-RA, Mcavernosa00863-RA, Mcavernosa26125-RA	Acerv_evm.model.Segkk1657_pilon.30
OG0001160	Mcavernosa16098-RA, Mcavernosa16090-RA, Mcavernosa16091-RA	Acerv_evm.model.Segkk1680_pilon.15
OG0001160	Mcavernosa16095-RA	Acerv_evm.model.Segkk1680_pilon.16
OG0001161	Mcavernosa01753-RA	Acerv_evm.model.Segkk3112_pilon.42
OG0001161	Mcavernosa01752-RA	Acerv_evm.model.Segkk1692_pilon.3
OG0001162	Mcavernosa08231-RA, Mcavernosa08232-RA	Acerv_evm.model.Segkk1707_pilon.22
OG0001163	Mcavernosa02685-RA, Mcavernosa19769-RA, Mcavernosa17664-RA	Acerv_evm.model.Segkk2550_pilon.16
OG0001163	Mcavernosa29364-RA	Acerv_evm.model.Segkk1728_pilon.34
OG0001164	Mcavernosa13736-RA, Mcavernosa13738-RA, Mcavernosa13737-RA, Mcavernosa13735-RA	Acerv_evm.model.Segkk1732_pilon.67, Acerv_evm.model.Segkk1732_pilon.70
OG0001165	Mcavernosa15706-RA	Acerv_evm.model.Segkk1733_pilon.6
OG0001166	Mcavernosa19592-RA, Mcavernosa19591-RA, Mcavernosa19596-RA, Mcavernosa10616-RA	Acerv_evm.model.Segkk1755_pilon.3
OG0001167	Mcavernosa10123-RA, Mcavernosa27157-RA, Mcavernosa29139-RA	Acerv_evm.model.Segkk2899_pilon.1, Acerv_evm.model.Segkk1829_pilon.2, Acerv_evm.model.Segkk4264_pilon.3, Acerv_evm.model.Segkk4361_pilon.1
OG0001168	Mcavernosa24151-RA	Acerv_evm.model.Segkk1854_pilon.4
OG0001169	Mcavernosa21539-RA, Mcavernosa29640-RA	Acerv_evm.model.Segkk1879_pilon.1
OG0001170	Mcavernosa23506-RA, Mcavernosa09922-RA, Mcavernosa32813-RA, Mcavernosa09923-RA	Acerv_evm.model.Segkk1895_pilon.1
OG0001171	Mcavernosa06232-RA, Mcavernosa34174-RA	Acerv_evm.model.Segkk3900_pilon.59
OG0001171	Mcavernosa10988-RA	Acerv_evm.model.Segkk1909_pilon.10
OG0001172	Mcavernosa17496-RA	Acerv_evm.model.Segkk1942_pilon.1, Acerv_evm.model.Segkk3239_pilon.2
OG0001172	Mcavernosa17497-RA	Acerv_evm.model.Segkk3239_pilon.1
OG0001173	Mcavernosa08043-RA	Acerv_evm.model.Segkk1981_pilon.2, Acerv_evm.model.Segkk3484_pilon.1, Acerv_evm.model.Segkk3484_pilon.2, Acerv_evm.model.Segkk3484_pilon.3
OG0001174	Mcavernosa03803-RA, Mcavernosa17413-RA, Mcavernosa17408-RA, Mcavernosa17409-RA, Mcavernosa13744-RA	Acerv_evm.model.Segkk1991_pilon.30
OG0001175	Mcavernosa22038-RA, Mcavernosa34643-RA, Mcavernosa22036-RA, Mcavernosa34647-RA, Mcavernosa22037-RA	Acerv_evm.model.Segkk2043_pilon.1, Acerv_evm.model.Segkk3769_pilon.1
OG0001176	Mcavernosa17272-RA, Mcavernosa15679-RA, Mcavernosa15680-RA	Acerv_evm.model.Segkk2071_pilon.7
OG0001178	Mcavernosa25933-RA	Acerv_evm.model.Segkk4065_pilon.25
OG0001178	Mcavernosa25932-RA	Acerv_evm.model.Segkk2103_pilon.1
OG0001178	Mcavernosa10617-RA	Acerv_evm.model.Segkk2103_pilon.2
OG0001179	Mcavernosa17480-RA, Mcavernosa17484-RA, Mcavernosa17485-RA, Mcavernosa17489-RA	Acerv_evm.model.Segkk3883_pilon.3, Acerv_evm.model.Segkk2112_pilon.19
OG0001180	Mcavernosa33710-RA, Mcavernosa01730-RA, Mcavernosa26035-RA	Acerv_evm.model.Segkk2122_pilon.13
OG0001181	Mcavernosa19013-RA, Mcavernosa19015-RA	Acerv_evm.model.Segkk2201_pilon.46
OG0001182	Mcavernosa31900-RA	Acerv_evm.model.Segkk2236_pilon.1
OG0001183	Mcavernosa11933-RA, Mcavernosa11931-RA	Acerv_evm.model.Segkk2325_pilon.13
OG0001184	Mcavernosa22295-RA	Acerv_evm.model.Segkk2433_pilon.36, Acerv_evm.model.Segkk4153_pilon.8
OG0001185	Mcavernosa03322-RA	Acerv_evm.model.Segkk2464_pilon.24
OG0001186	Mcavernosa21996-RA, Mcavernosa22001-RA, Mcavernosa22003-RA, Mcavernosa21993-RA, Mcavernosa13176-RA, Mcavernosa28919-RA	Acerv_evm.model.Segkk2469_pilon.5
OG0001187	Mcavernosa11628-RA, Mcavernosa23057-RA	Acerv_evm.model.Segkk2481_pilon.117
OG0001188	Mcavernosa25024-RA	Acerv_evm.model.Segkk2507_pilon.15
OG0001189	Mcavernosa11231-RA, Mcavernosa04498-RA	Acerv_evm.model.Segkk2526_pilon.5
OG0001190	Mcavernosa29952-RA	Acerv_evm.model.Segkk2596_pilon.44
OG0001191	Mcavernosa22178-RA, Mcavernosa22185-RA, Mcavernosa22184-RA, Mcavernosa22181-RA	Acerv_evm.model.Segkk3659_pilon.7, Acerv_evm.model.Segkk2641_pilon.8
OG0001192	Mcavernosa08068-RA, Mcavernosa34689-RA, Mcavernosa23661-RA, Mcavernosa14161-RA, Mcavernosa26597-RA	Acerv_evm.model.Segkk3547_pilon.4, Acerv_evm.model.Segkk2666_pilon.28, Acerv_evm.model.Segkk3197_pilon.9, Acerv_evm.model.Segkk3197_pilon.8, Acerv_evm.model.Segkk3935_pilon.57
OG0001193	Mcavernosa30095-RA	Acerv_evm.model.Segkk2675_pilon.7
OG0001194	Mcavernosa20656-RA	Acerv_evm.model.Segkk2706_pilon.1
OG0001194	Mcavernosa20657-RA	Acerv_evm.model.Segkk2788_pilon.2
OG0001195	Mcavernosa25692-RA, Mcavernosa25691-RA	Acerv_evm.model.Segkk2716_pilon.17
OG0001195	Mcavernosa25693-RA	Acerv_evm.model.Segkk2716_pilon.16
OG0001196	Mcavernosa02932-RA	Acerv_evm.model.Segkk2716_pilon.13
OG0001197	Mcavernosa09185-RA	Acerv_evm.model.Segkk2759_pilon.27
OG0001198	Mcavernosa10632-RA	Acerv_evm.model.Segkk2782_pilon.34
OG0001199	Mcavernosa16477-RA, Mcavernosa16481-RA	Acerv_evm.model.Segkk2873_pilon.4
OG0001200	Mcavernosa08914-RA	Acerv_evm.model.Segkk2921_pilon.2
OG0001201	Mcavernosa32865-RA	Acerv_evm.model.Segkk2923_pilon.2
OG0001202	Mcavernosa15532-RA, Mcavernosa15530-RA	Acerv_evm.model.Segkk2961_pilon.1
OG0001203	Mcavernosa05891-RA, Mcavernosa05893-RA, Mcavernosa05894-RA, Mcavernosa05892-RA	Acerv_evm.model.Segkk3078_pilon.1
OG0001204	Mcavernosa24488-RA, Mcavernosa24484-RA	Acerv_evm.model.Segkk3086_pilon.3
OG0001205	Mcavernosa23508-RA, Mcavernosa28925-RA	Acerv_evm.model.Segkk3095_pilon.17, Acerv_evm.model.Segkk3095_pilon.14
OG0001207	Mcavernosa27954-RA	Acerv_evm.model.Segkk3142_pilon.16
OG0001208	Mcavernosa06079-RA	Acerv_evm.model.Segkk3176_pilon.4
OG0001210	Mcavernosa04130-RA, Mcavernosa04128-RA, Mcavernosa29396-RA	Acerv_evm.model.Segkk3306_pilon.21
OG0001210	Mcavernosa34679-RA	Acerv_evm.model.Segkk3306_pilon.22
OG0001211	Mcavernosa01839-RA, Mcavernosa01664-RA	Acerv_evm.model.Segkk3320_pilon.8
OG0001212	Mcavernosa30986-RA	Acerv_evm.model.Segkk3330_pilon.30
OG0001213	Mcavernosa24441-RA	Acerv_evm.model.Segkk3456_pilon.17, Acerv_evm.model.Segkk3927_pilon.1, Acerv_evm.model.Segkk3927_pilon.2
OG0001214	Mcavernosa14329-RA	Acerv_evm.model.Segkk3488_pilon.7
OG0001215	Mcavernosa00197-RA, Mcavernosa32805-RA, Mcavernosa00198-RA, Mcavernosa30444-RA	Acerv_evm.model.Segkk3619_pilon.5
OG0001216	Mcavernosa20637-RA, Mcavernosa04947-RA, Mcavernosa20639-RA, Mcavernosa20641-RA	Acerv_evm.model.Segkk3692_pilon.18
OG0001217	Mcavernosa24332-RA	Acerv_evm.model.Segkk3705_pilon.2, Acerv_evm.model.Segkk4193_pilon.2
OG0001218	Mcavernosa29154-RA	Acerv_evm.model.Segkk3726_pilon.4, Acerv_evm.model.Segkk3730_pilon.24, Acerv_evm.model.Segkk3726_pilon.1
OG0001219	Mcavernosa12224-RA, Mcavernosa13471-RA, Mcavernosa13473-RA, Mcavernosa13472-RA	Acerv_evm.model.Segkk3730_pilon.2
OG0001220	Mcavernosa06364-RA, Mcavernosa27753-RA, Mcavernosa06366-RA, Mcavernosa27755-RA	Acerv_evm.model.Segkk3730_pilon.1
OG0001221	Mcavernosa27370-RA	Acerv_evm.model.Segkk3764_pilon.3
OG0001221	Mcavernosa27371-RA, Mcavernosa27372-RA	Acerv_evm.model.Segkk3764_pilon.2
OG0001222	Mcavernosa14054-RA	Acerv_evm.model.Segkk3778_pilon.12, Acerv_evm.model.Segkk3778_pilon.13
OG0001223	Mcavernosa10771-RA	Acerv_evm.model.Segkk3782_pilon.14, Acerv_evm.model.Segkk3782_pilon.12, Acerv_evm.model.Segkk3782_pilon.13
OG0001224	Mcavernosa18879-RA, Mcavernosa27406-RA, Mcavernosa18880-RA, Mcavernosa18881-RA	Acerv_evm.model.Segkk3813_pilon.7
OG0001225	Mcavernosa28894-RA, Mcavernosa13178-RA, Mcavernosa13179-RA	Acerv_evm.model.Segkk3843_pilon.2
OG0001227	Mcavernosa14269-RA, Mcavernosa14267-RA	Acerv_evm.model.Segkk3933_pilon.7
OG0001228	Mcavernosa14215-RA	Acerv_evm.model.Segkk3945_pilon.8
OG0001232	Mcavernosa07192-RA	Acerv_evm.model.Segkk4113_pilon.15
OG0001233	Mcavernosa12604-RA	Acerv_evm.model.Segkk4124_pilon.30, Acerv_evm.model.Segkk4124_pilon.31, Acerv_evm.model.Segkk4124_pilon.35, Acerv_evm.model.Segkk4124_pilon.33, Acerv_evm.model.Segkk4124_pilon.34
OG0001234	Mcavernosa07600-RA, Mcavernosa07599-RA, Mcavernosa11557-RA	Acerv_evm.model.Segkk4195_pilon.2
OG0001235	Mcavernosa08420-RA, Mcavernosa29481-RA, Mcavernosa08411-RA, Mcavernosa18666-RA, Mcavernosa29482-RA, Mcavernosa29483-RA	Acerv_evm.model.Segkk4292_pilon.12
OG0001236	Mcavernosa33881-RA, Mcavernosa33878-RA, Mcavernosa10582-RA, Mcavernosa10586-RA, Mcavernosa24262-RA, Mcavernosa26431-RA	Acerv_evm.model.Segkk4300_pilon.5
OG0001237	Mcavernosa29170-RA, Mcavernosa12532-RA, Mcavernosa12523-RA, Mcavernosa32841-RA, Mcavernosa12533-RA, Mcavernosa29169-RA	Acerv_evm.model.Segkk4306_pilon.3
OG0001238	Mcavernosa28871-RA	Acerv_evm.model.Segkk4338_pilon.37
OG0001267	Mcavernosa04701-RA	Acerv_evm.model.Segkk3454_pilon.11, Acerv_evm.model.Segkk0_pilon.15
OG0001268	Mcavernosa21796-RA	Acerv_evm.model.Segkk4290_pilon.11
OG0001268	Mcavernosa19161-RA	Acerv_evm.model.Segkk17_pilon.28, Acerv_evm.model.Segkk68_pilon.6
OG0001269	Mcavernosa22716-RA	Acerv_evm.model.Segkk18_pilon.12, Acerv_evm.model.Segkk2142_pilon.10
OG0001270	Mcavernosa19061-RA	Acerv_evm.model.Segkk2086_pilon.1, Acerv_evm.model.Segkk2611_pilon.19, Acerv_evm.model.Segkk815_pilon.4, Acerv_evm.model.Segkk3721_pilon.1, Acerv_evm.model.Segkk2474_pilon.2, Acerv_evm.model.Segkk3721_pilon.2, Acerv_evm.model.Segkk28_pilon.12, Acerv_evm.model.Segkk815_pilon.5, Acerv_evm.model.Segkk2086_pilon.2, Acerv_evm.model.Segkk2231_pilon.5, Acerv_evm.model.Segkk2231_pilon.6, Acerv_evm.model.Segkk4037_pilon.4
OG0001273	Mcavernosa27487-RA	Acerv_evm.model.Segkk58_pilon.26
OG0001274	Mcavernosa24534-RA	Acerv_evm.model.Segkk735_pilon.40
OG0001274	Mcavernosa29581-RA	Acerv_evm.model.Segkk73_pilon.13, Acerv_evm.model.Segkk2781_pilon.18, Acerv_evm.model.Segkk3904_pilon.20
OG0001275	Mcavernosa33206-RA	Acerv_evm.model.Segkk3685_pilon.2, Acerv_evm.model.Segkk2380_pilon.1, Acerv_evm.model.Segkk4340_pilon.1
OG0001275	Mcavernosa00144-RA	Acerv_evm.model.Segkk100_pilon.1, Acerv_evm.model.Segkk3685_pilon.5
OG0001276	Mcavernosa24248-RA	Acerv_evm.model.Segkk105_pilon.10, Acerv_evm.model.Segkk105_pilon.12, Acerv_evm.model.Segkk105_pilon.11
OG0001277	Mcavernosa14280-RA	Acerv_evm.model.Segkk117_pilon.13
OG0001279	Mcavernosa10056-RA, Mcavernosa10063-RA, Mcavernosa27123-RA, Mcavernosa34150-RA, Mcavernosa21333-RA, Mcavernosa06439-RA, Mcavernosa19094-RA, Mcavernosa28261-RA	Acerv_evm.model.Segkk178_pilon.2
OG0001282	Mcavernosa26581-RA	Acerv_evm.model.Segkk553_pilon.6
OG0001283	Mcavernosa03192-RA, Mcavernosa03204-RA, Mcavernosa30598-RA	Acerv_evm.model.Segkk3837_pilon.1, Acerv_evm.model.Segkk3837_pilon.3, Acerv_evm.model.Segkk1286_pilon.1
OG0001284	Mcavernosa34114-RA, Mcavernosa34538-RA	Acerv_evm.model.Segkk2410_pilon.1, Acerv_evm.model.Segkk227_pilon.2, Acerv_evm.model.Segkk3814_pilon.1
OG0001284	Mcavernosa17609-RA	Acerv_evm.model.Segkk2410_pilon.6
OG0001285	Mcavernosa22190-RA, Mcavernosa19072-RA	Acerv_evm.model.Segkk3980_pilon.28
OG0001287	Mcavernosa17611-RA, Mcavernosa04653-RA	Acerv_evm.model.Segkk2519_pilon.2, Acerv_evm.model.Segkk523_pilon.1, Acerv_evm.model.Segkk246_pilon.1, Acerv_evm.model.Segkk2212_pilon.4, Acerv_evm.model.Segkk765_pilon.4
OG0001288	Mcavernosa17791-RA, Mcavernosa12331-RA	Acerv_evm.model.Segkk255_pilon.21
OG0001290	Mcavernosa13369-RA, Mcavernosa13371-RA, Mcavernosa13370-RA, Mcavernosa33842-RA	Acerv_evm.model.Segkk261_pilon.4, Acerv_evm.model.Segkk261_pilon.5
OG0001291	Mcavernosa22217-RA	Acerv_evm.model.Segkk278_pilon.1
OG0001291	Mcavernosa25486-RA, Mcavernosa22216-RA	Acerv_evm.model.Segkk3417_pilon.70
OG0001292	Mcavernosa15169-RA	Acerv_evm.model.Segkk3047_pilon.7, Acerv_evm.model.Segkk548_pilon.19
OG0001292	Mcavernosa10965-RA, Mcavernosa15170-RA, Mcavernosa32258-RA	Acerv_evm.model.Segkk294_pilon.1
OG0001292	Mcavernosa16582-RA	Acerv_evm.model.Segkk548_pilon.20, Acerv_evm.model.Segkk3047_pilon.8
OG0001295	Mcavernosa16251-RA, Mcavernosa26722-RA, Mcavernosa29202-RA	Acerv_evm.model.Segkk319_pilon.7
OG0001296	Mcavernosa06181-RA	Acerv_evm.model.Segkk337_pilon.5, Acerv_evm.model.Segkk337_pilon.6
OG0001297	Mcavernosa27626-RA, Mcavernosa30675-RA, Mcavernosa22435-RA	Acerv_evm.model.Segkk839_pilon.4, Acerv_evm.model.Segkk1216_pilon.10
OG0001297	Mcavernosa22266-RA	Acerv_evm.model.Segkk824_pilon.11, Acerv_evm.model.Segkk4175_pilon.4, Acerv_evm.model.Segkk338_pilon.1
OG0001299	Mcavernosa11518-RA, Mcavernosa11519-RA, Mcavernosa30317-RA, Mcavernosa11520-RA	Acerv_evm.model.Segkk359_pilon.4
OG0001300	Mcavernosa34644-RA	Acerv_evm.model.Segkk575_pilon.1
OG0001300	Mcavernosa06336-RA	Acerv_evm.model.Segkk1541_pilon.3, Acerv_evm.model.Segkk379_pilon.2
OG0001300	Mcavernosa13134-RA	Acerv_evm.model.Segkk3192_pilon.35, Acerv_evm.model.Segkk1844_pilon.3, Acerv_evm.model.Segkk1436_pilon.9
OG0001301	Mcavernosa24497-RA, Mcavernosa24496-RA, Mcavernosa24499-RA	Acerv_evm.model.Segkk701_pilon.1, Acerv_evm.model.Segkk384_pilon.15, Acerv_evm.model.Segkk384_pilon.16
OG0001303	Mcavernosa01324-RA, Mcavernosa01323-RA	Acerv_evm.model.Segkk1868_pilon.19, Acerv_evm.model.Segkk1868_pilon.47, Acerv_evm.model.Segkk389_pilon.49
OG0001304	Mcavernosa01061-RA	Acerv_evm.model.Segkk696_pilon.1, Acerv_evm.model.Segkk394_pilon.1, Acerv_evm.model.Segkk1034_pilon.1, Acerv_evm.model.Segkk3944_pilon.1
OG0001305	Mcavernosa11114-RA, Mcavernosa30551-RA, Mcavernosa11111-RA	Acerv_evm.model.Segkk416_pilon.3
OG0001306	Mcavernosa30088-RA	Acerv_evm.model.Segkk431_pilon.9
OG0001307	Mcavernosa24172-RA	Acerv_evm.model.Segkk441_pilon.19
OG0001308	Mcavernosa22997-RA, Mcavernosa05763-RA, Mcavernosa32147-RA	Acerv_evm.model.Segkk2029_pilon.2, Acerv_evm.model.Segkk444_pilon.3, Acerv_evm.model.Segkk2776_pilon.2
OG0001310	Mcavernosa25737-RA, Mcavernosa27203-RA	Acerv_evm.model.Segkk478_pilon.9
OG0001312	Mcavernosa13350-RA	Acerv_evm.model.Segkk4282_pilon.2, Acerv_evm.model.Segkk2233_pilon.28, Acerv_evm.model.Segkk2233_pilon.33, Acerv_evm.model.Segkk1667_pilon.4, Acerv_evm.model.Segkk2186_pilon.1, Acerv_evm.model.Segkk1046_pilon.4, Acerv_evm.model.Segkk4339_pilon.1, Acerv_evm.model.Segkk550_pilon.1, Acerv_evm.model.Segkk528_pilon.1
OG0001313	Mcavernosa16189-RA, Mcavernosa16191-RA, Mcavernosa34303-RA, Mcavernosa16190-RA	Acerv_evm.model.Segkk544_pilon.1, Acerv_evm.model.Segkk3452_pilon.2, Acerv_evm.model.Segkk4309_pilon.6, Acerv_evm.model.Segkk3452_pilon.1
OG0001314	Mcavernosa23596-RA, Mcavernosa22628-RA, Mcavernosa22630-RA	Acerv_evm.model.Segkk555_pilon.9, Acerv_evm.model.Segkk555_pilon.12, Acerv_evm.model.Segkk555_pilon.11, Acerv_evm.model.Segkk555_pilon.15, Acerv_evm.model.Segkk555_pilon.13, Acerv_evm.model.Segkk555_pilon.14
OG0001315	Mcavernosa17528-RA	Acerv_evm.model.Segkk555_pilon.18, Acerv_evm.model.Segkk555_pilon.30
OG0001316	Mcavernosa07627-RA	Acerv_evm.model.Segkk555_pilon.38
OG0001317	Mcavernosa00472-RA, Mcavernosa25701-RA, Mcavernosa25704-RA, Mcavernosa26878-RA	Acerv_evm.model.Segkk2319_pilon.2, Acerv_evm.model.Segkk2116_pilon.45, Acerv_evm.model.Segkk2116_pilon.40, Acerv_evm.model.Segkk2116_pilon.39, Acerv_evm.model.Segkk575_pilon.10
OG0001318	Mcavernosa08665-RA, Mcavernosa08668-RA	Acerv_evm.model.Segkk580_pilon.15
OG0001319	Mcavernosa29328-RA	Acerv_evm.model.Segkk3408_pilon.17, Acerv_evm.model.Segkk3108_pilon.5, Acerv_evm.model.Segkk3995_pilon.13
OG0001319	Mcavernosa09424-RA	Acerv_evm.model.Segkk3983_pilon.7, Acerv_evm.model.Segkk3518_pilon.26, Acerv_evm.model.Segkk2040_pilon.2, Acerv_evm.model.Segkk581_pilon.51, Acerv_evm.model.Segkk2076_pilon.21, Acerv_evm.model.Segkk702_pilon.8
OG0001320	Mcavernosa30595-RA, Mcavernosa32555-RA, Mcavernosa03186-RA	Acerv_evm.model.Segkk629_pilon.1, Acerv_evm.model.Segkk2929_pilon.1
OG0001321	Mcavernosa12898-RA, Mcavernosa12876-RA, Mcavernosa12884-RA	Acerv_evm.model.Segkk642_pilon.47, Acerv_evm.model.Segkk2748_pilon.3
OG0001322	Mcavernosa28499-RA	Acerv_evm.model.Segkk2596_pilon.10, Acerv_evm.model.Segkk2410_pilon.23, Acerv_evm.model.Segkk3122_pilon.14, Acerv_evm.model.Segkk4028_pilon.42, Acerv_evm.model.Segkk1280_pilon.16, Acerv_evm.model.Segkk649_pilon.6, Acerv_evm.model.Segkk650_pilon.34, Acerv_evm.model.Segkk971_pilon.12
OG0001323	Mcavernosa33357-RA, Mcavernosa25397-RA	Acerv_evm.model.Segkk3518_pilon.44, Acerv_evm.model.Segkk4368_pilon.6, Acerv_evm.model.Segkk2131_pilon.3
OG0001323	Mcavernosa33452-RA, Mcavernosa26949-RA, Mcavernosa29310-RA	Acerv_evm.model.Segkk650_pilon.51
OG0001324	Mcavernosa30061-RA, Mcavernosa18369-RA, Mcavernosa19322-RA, Mcavernosa19324-RA, Mcavernosa19323-RA	Acerv_evm.model.Segkk687_pilon.1, Acerv_evm.model.Segkk1203_pilon.3
OG0001325	Mcavernosa21862-RA	Acerv_evm.model.Segkk708_pilon.8
OG0001326	Mcavernosa34889-RA, Mcavernosa11506-RA	Acerv_evm.model.Segkk2062_pilon.10
OG0001326	Mcavernosa23183-RA	Acerv_evm.model.Segkk722_pilon.3, Acerv_evm.model.Segkk722_pilon.4
OG0001328	Mcavernosa04107-RA	Acerv_evm.model.Segkk789_pilon.35
OG0001329	Mcavernosa04090-RA	Acerv_evm.model.Segkk789_pilon.48
OG0001330	Mcavernosa10347-RA, Mcavernosa32966-RA, Mcavernosa10346-RA	Acerv_evm.model.Segkk802_pilon.1
