"","prot","Predict","GO_term"
"8578","Mcavernosa07135-RA","PRINTS","GO:0004930,GO:0007186,GO:0016021"
"8579","Mcavernosa07135-RA","ProSiteProfiles","GO:0016021"
"8580","Mcavernosa07135-RA","ProSitePatterns","GO:0004930,GO:0007186,GO:0016021"
"8581","Mcavernosa02238-RA","Pfam","GO:0030246"
"8582","Mcavernosa02238-RA","ProSiteProfiles","GO:0030246"
"8583","Mcavernosa25357-RA","Pfam","GO:0001733,GO:0009247,GO:0016021"
"8584","Mcavernosa11468-RA","Pfam","GO:0030246"
"8585","Mcavernosa11468-RA","ProSiteProfiles","GO:0030246"
"8586","Mcavernosa11468-RA","ProSitePatterns","GO:0005509"
"8587","Mcavernosa11468-RA","SMART","GO:0005509"
"8588","Mcavernosa11468-RA","SMART","GO:0005509"
"8589","Mcavernosa11608-RA","Pfam","GO:0006284"
"8590","Mcavernosa11608-RA","Pfam","GO:0003677"
"8591","Mcavernosa11608-RA","CDD","GO:0006284"
"8592","Mcavernosa11608-RA","SMART","GO:0006284"
"8593","Mcavernosa11608-RA","SUPERFAMILY","GO:0003824,GO:0006281"
"8594","Mcavernosa11608-RA","Hamap","GO:0003906,GO:0005634,GO:0006281,GO:0006285,GO:0019104"
"8595","Mcavernosa07921-RA","ProSiteProfiles","GO:0005515"
"8596","Mcavernosa07921-RA","SMART","GO:0005515"
"8597","Mcavernosa07921-RA","SMART","GO:0005515"
"8598","Mcavernosa07921-RA","SMART","GO:0005515"
"8599","Mcavernosa07921-RA","ProSiteProfiles","GO:0005515"
"8600","Mcavernosa07921-RA","ProSiteProfiles","GO:0005515"
"8601","Mcavernosa05934-RA","Gene3D","GO:0005524"
"8602","Mcavernosa11379-RA","Pfam","GO:0003676,GO:0005524"
"8603","Mcavernosa11379-RA","ProSiteProfiles","GO:0004386"
"8604","Mcavernosa28381-RA","Pfam","GO:0004861,GO:0005634,GO:0007050"
"8605","Mcavernosa08289-RA","Pfam","GO:0070273"
"8606","Mcavernosa24934-RA","Pfam","GO:0003677"
"8607","Mcavernosa24934-RA","SMART","GO:0003677"
"8608","Mcavernosa24934-RA","CDD","GO:0003677"
"8609","Mcavernosa24934-RA","ProSiteProfiles","GO:0003677"
"8610","Mcavernosa21559-RA","Pfam","GO:0004930,GO:0007186,GO:0016021"
"8611","Mcavernosa21559-RA","PRINTS","GO:0004930,GO:0007186,GO:0016021"
"8612","Mcavernosa21559-RA","PRINTS","GO:0004930,GO:0007186,GO:0016021"
"8613","Mcavernosa21559-RA","PRINTS","GO:0004930,GO:0007186,GO:0016021"
"8614","Mcavernosa21559-RA","ProSiteProfiles","GO:0004888,GO:0007166,GO:0016021"
"8615","Mcavernosa18033-RA","SMART","GO:0005515"
"8616","Mcavernosa18033-RA","SMART","GO:0005515"
"8617","Mcavernosa18033-RA","SMART","GO:0005515"
"8618","Mcavernosa18033-RA","SMART","GO:0005515"
"8619","Mcavernosa18033-RA","ProSiteProfiles","GO:0005515"
"8620","Mcavernosa18033-RA","Gene3D","GO:0005515"
"8621","Mcavernosa18033-RA","ProSiteProfiles","GO:0005515"
"8622","Mcavernosa18033-RA","Gene3D","GO:0005515"
"8623","Mcavernosa18033-RA","ProSiteProfiles","GO:0005515"
"8624","Mcavernosa18033-RA","Pfam","GO:0005515"
"8625","Mcavernosa18033-RA","Pfam","GO:0005515"
"8626","Mcavernosa18033-RA","Pfam","GO:0005515"
"8627","Mcavernosa18033-RA","Gene3D","GO:0005515"
"8628","Mcavernosa18033-RA","SUPERFAMILY","GO:0005515"
"8629","Mcavernosa18033-RA","ProSiteProfiles","GO:0005515"
"8630","Mcavernosa18033-RA","ProSiteProfiles","GO:0005515"
"8631","Mcavernosa18033-RA","ProSiteProfiles","GO:0005515"
"8632","Mcavernosa29664-RA","Pfam","GO:0005515"
"8633","Mcavernosa12413-RA","Gene3D","GO:0004843,GO:0006511"
"8634","Mcavernosa12413-RA","Gene3D","GO:0004843,GO:0006511"
"8635","Mcavernosa12413-RA","Pfam","GO:0004843,GO:0006511"
"8636","Mcavernosa12633-RA","PRINTS","GO:0016020"
"8637","Mcavernosa12633-RA","PRINTS","GO:0016020"
"8638","Mcavernosa12633-RA","PRINTS","GO:0016020"
"8639","Mcavernosa12633-RA","PRINTS","GO:0016020"
"8640","Mcavernosa12633-RA","PRINTS","GO:0016020"
"8641","Mcavernosa20716-RA","SUPERFAMILY","GO:0016020"
"8642","Mcavernosa20716-RA","SUPERFAMILY","GO:0016020"
"8643","Mcavernosa20716-RA","Gene3D","GO:0016020"
"8644","Mcavernosa20716-RA","ProSiteProfiles","GO:0005044,GO:0016020"
"8645","Mcavernosa20716-RA","ProSiteProfiles","GO:0005044,GO:0016020"
"8646","Mcavernosa20716-RA","SUPERFAMILY","GO:0016020"
"8647","Mcavernosa20716-RA","ProSiteProfiles","GO:0005044,GO:0016020"
"8648","Mcavernosa20716-RA","Gene3D","GO:0016020"
"8649","Mcavernosa20716-RA","Gene3D","GO:0016020"
"8650","Mcavernosa20716-RA","Gene3D","GO:0016020"
"8651","Mcavernosa20716-RA","Gene3D","GO:0016020"
"8652","Mcavernosa20716-RA","ProSiteProfiles","GO:0005044,GO:0016020"
"8653","Mcavernosa20716-RA","SUPERFAMILY","GO:0016020"
"8654","Mcavernosa20716-RA","SUPERFAMILY","GO:0016020"
"8655","Mcavernosa20716-RA","PRINTS","GO:0005044,GO:0016020"
"8656","Mcavernosa20716-RA","PRINTS","GO:0005044,GO:0016020"
"8657","Mcavernosa20716-RA","PRINTS","GO:0005044,GO:0016020"
"8658","Mcavernosa20716-RA","PRINTS","GO:0005044,GO:0016020"
"8659","Mcavernosa20716-RA","PRINTS","GO:0005044,GO:0016020"
"8660","Mcavernosa20716-RA","SUPERFAMILY","GO:0016020"
"8661","Mcavernosa20716-RA","Gene3D","GO:0016020"
"8662","Mcavernosa20716-RA","SUPERFAMILY","GO:0016020"
"8663","Mcavernosa20716-RA","ProSiteProfiles","GO:0005044,GO:0016020"
"8664","Mcavernosa20716-RA","SMART","GO:0016020"
"8665","Mcavernosa20716-RA","SMART","GO:0016020"
"8666","Mcavernosa20716-RA","SMART","GO:0016020"
"8667","Mcavernosa20716-RA","SMART","GO:0016020"
"8668","Mcavernosa20716-RA","SMART","GO:0016020"
"8669","Mcavernosa20716-RA","SMART","GO:0016020"
"8670","Mcavernosa20716-RA","Pfam","GO:0005044,GO:0016020"
"8671","Mcavernosa20716-RA","Pfam","GO:0005044,GO:0016020"
"8672","Mcavernosa20716-RA","Pfam","GO:0005044,GO:0016020"
"8673","Mcavernosa20716-RA","Pfam","GO:0005044,GO:0016020"
"8674","Mcavernosa20716-RA","Pfam","GO:0005044,GO:0016020"
"8675","Mcavernosa20716-RA","Pfam","GO:0005044,GO:0016020"
"8676","Mcavernosa20716-RA","Pfam","GO:0005044,GO:0016020"
"8677","Mcavernosa20716-RA","ProSiteProfiles","GO:0005044,GO:0016020"
"8678","Mcavernosa08411-RA","SMART","GO:0005509"
"8679","Mcavernosa08411-RA","SMART","GO:0005509"
"8680","Mcavernosa08411-RA","SMART","GO:0005509"
"8681","Mcavernosa08411-RA","SMART","GO:0005509"
"8682","Mcavernosa08411-RA","SMART","GO:0005509"
"8683","Mcavernosa08411-RA","SMART","GO:0005509"
"8684","Mcavernosa08411-RA","Pfam","GO:0005509"
"8685","Mcavernosa08411-RA","Pfam","GO:0005509"
"8686","Mcavernosa08411-RA","Pfam","GO:0005509"
"8687","Mcavernosa08411-RA","ProSitePatterns","GO:0005509"
"8688","Mcavernosa34382-RA","PRINTS","GO:0004930,GO:0007186,GO:0016021"
"8689","Mcavernosa34382-RA","PRINTS","GO:0004930,GO:0007186,GO:0016021"
"8690","Mcavernosa34382-RA","PRINTS","GO:0004930,GO:0007186,GO:0016021"
"8691","Mcavernosa34382-RA","PRINTS","GO:0004930,GO:0007186,GO:0016021"
"8692","Mcavernosa34382-RA","PRINTS","GO:0004930,GO:0007186,GO:0016021"
"8693","Mcavernosa34382-RA","PRINTS","GO:0004930,GO:0007186,GO:0016021"
"8694","Mcavernosa34382-RA","PRINTS","GO:0004930,GO:0007186,GO:0016021"
"8695","Mcavernosa34382-RA","PRINTS","GO:0004930,GO:0007186,GO:0016021"
"8696","Mcavernosa34382-RA","Pfam","GO:0004930,GO:0007186"
"8697","Mcavernosa34382-RA","Pfam","GO:0004930,GO:0007186"
"8698","Mcavernosa34382-RA","ProSiteProfiles","GO:0004930,GO:0007186,GO:0016021"
"8699","Mcavernosa34382-RA","Pfam","GO:0004930,GO:0007186,GO:0016021"
"8700","Mcavernosa34382-RA","Pfam","GO:0004930,GO:0007186,GO:0016021"
"8701","Mcavernosa34382-RA","ProSiteProfiles","GO:0004930,GO:0007186,GO:0016021"
"8702","Mcavernosa19425-RA","ProSitePatterns","GO:0003700,GO:0006355,GO:0043565"
"8703","Mcavernosa19425-RA","ProSiteProfiles","GO:0003700,GO:0006355,GO:0043565"
"8704","Mcavernosa19425-RA","CDD","GO:0003700,GO:0006355,GO:0043565"
"8705","Mcavernosa19425-RA","PRINTS","GO:0003700,GO:0006355,GO:0043565"
"8706","Mcavernosa19425-RA","PRINTS","GO:0003700,GO:0006355,GO:0043565"
"8707","Mcavernosa19425-RA","PRINTS","GO:0003700,GO:0006355,GO:0043565"
"8708","Mcavernosa19425-RA","Pfam","GO:0003700,GO:0006355,GO:0043565"
"8709","Mcavernosa19425-RA","SMART","GO:0003700,GO:0006355,GO:0043565"
"8710","Mcavernosa10082-RA","Gene3D","GO:0005515"
"8711","Mcavernosa10082-RA","Pfam","GO:0005515"
"8712","Mcavernosa10082-RA","ProSiteProfiles","GO:0005515"
"8713","Mcavernosa04453-RA","ProSiteProfiles","GO:0030001,GO:0046872"
"8714","Mcavernosa04453-RA","Pfam","GO:0006801,GO:0046872"
"8715","Mcavernosa04453-RA","SUPERFAMILY","GO:0006801,GO:0046872"
"8716","Mcavernosa04453-RA","PRINTS","GO:0006801,GO:0046872"
"8717","Mcavernosa04453-RA","PRINTS","GO:0006801,GO:0046872"
"8718","Mcavernosa04453-RA","SUPERFAMILY","GO:0030001,GO:0046872"
"8719","Mcavernosa04453-RA","CDD","GO:0030001,GO:0046872"
"8720","Mcavernosa04453-RA","Gene3D","GO:0006801,GO:0046872"
"8721","Mcavernosa21476-RA","Pfam","GO:0051126"
"8722","Mcavernosa29856-RA","PRINTS","GO:0015267,GO:0016020,GO:0055085"
"8723","Mcavernosa29856-RA","PRINTS","GO:0015267,GO:0016020,GO:0055085"
"8724","Mcavernosa29856-RA","PRINTS","GO:0015267,GO:0016020,GO:0055085"
"8725","Mcavernosa29856-RA","Pfam","GO:0015267,GO:0016020,GO:0055085"
"8726","Mcavernosa25019-RA","ProSiteProfiles","GO:0004222,GO:0006508"
"8727","Mcavernosa25019-RA","Pfam","GO:0004222,GO:0006508"
"8728","Mcavernosa25019-RA","PRINTS","GO:0004222,GO:0006508"
"8729","Mcavernosa25019-RA","PRINTS","GO:0004222,GO:0006508"
"8730","Mcavernosa25019-RA","Gene3D","GO:0008237"
"8731","Mcavernosa09318-RA","Pfam","GO:0005634,GO:0006281,GO:0006974,GO:0070876"
"8732","Mcavernosa22589-RA","Pfam","GO:0006508,GO:0008234"
"8733","Mcavernosa22589-RA","SMART","GO:0006508,GO:0008234"
"8734","Mcavernosa08767-RA","ProSiteProfiles","GO:0005515"
"8735","Mcavernosa08767-RA","SUPERFAMILY","GO:0005515"
"8736","Mcavernosa08767-RA","Pfam","GO:0005515"
"8737","Mcavernosa08767-RA","SMART","GO:0005515"
"8738","Mcavernosa08767-RA","PRINTS","GO:0005515"
"8739","Mcavernosa08767-RA","PRINTS","GO:0005515"
"8740","Mcavernosa08767-RA","PRINTS","GO:0005515"
"8741","Mcavernosa08061-RA","ProSiteProfiles","GO:0004672,GO:0005524,GO:0006468"
"8742","Mcavernosa08061-RA","Pfam","GO:0004672,GO:0006468"
"8743","Mcavernosa23824-RA","ProSiteProfiles","GO:0022857"
"8744","Mcavernosa08181-RA","SMART","GO:0008270"
"8745","Mcavernosa08181-RA","SMART","GO:0008270"
"8746","Mcavernosa08181-RA","Gene3D","GO:0005515"
"8747","Mcavernosa08181-RA","Pfam","GO:0008270"
"8748","Mcavernosa08181-RA","Pfam","GO:0008270"
"8749","Mcavernosa08181-RA","Pfam","GO:0005515"
"8750","Mcavernosa08181-RA","SMART","GO:0005515"
"8751","Mcavernosa08181-RA","SUPERFAMILY","GO:0005515"
"8752","Mcavernosa08181-RA","ProSiteProfiles","GO:0005515"
"8753","Mcavernosa08181-RA","ProSiteProfiles","GO:0008270"
"8754","Mcavernosa08181-RA","CDD","GO:0008270"
"8755","Mcavernosa08181-RA","ProSiteProfiles","GO:0008270"
"8756","Mcavernosa33583-RA","Pfam","GO:0005515"
"8757","Mcavernosa33583-RA","SMART","GO:0005515"
"8758","Mcavernosa33583-RA","ProSiteProfiles","GO:0005515"
"8759","Mcavernosa09071-RA","ProSiteProfiles","GO:0005515"
"8760","Mcavernosa09071-RA","PRINTS","GO:0005515"
"8761","Mcavernosa09071-RA","PRINTS","GO:0005515"
"8762","Mcavernosa09071-RA","ProSiteProfiles","GO:0005515"
"8763","Mcavernosa09071-RA","Pfam","GO:0005515"
"8764","Mcavernosa09071-RA","ProSiteProfiles","GO:0005515"
"8765","Mcavernosa09071-RA","SMART","GO:0005515"
"8766","Mcavernosa09071-RA","SMART","GO:0005515"
"8767","Mcavernosa09071-RA","SMART","GO:0005515"
"8768","Mcavernosa09071-RA","SMART","GO:0005515"
"8769","Mcavernosa09071-RA","SMART","GO:0005515"
"8770","Mcavernosa09071-RA","SMART","GO:0005515"
"8771","Mcavernosa09071-RA","ProSiteProfiles","GO:0005515"
"8772","Mcavernosa09071-RA","ProSiteProfiles","GO:0005515"
"8773","Mcavernosa09071-RA","SMART","GO:0005515"
"8774","Mcavernosa09071-RA","SMART","GO:0005515"
"8775","Mcavernosa09071-RA","ProSiteProfiles","GO:0005515"
"8776","Mcavernosa09071-RA","ProSiteProfiles","GO:0005515"
"8777","Mcavernosa09071-RA","Pfam","GO:0005515"
"8778","Mcavernosa16035-RA","Pfam","GO:0005515"
"8779","Mcavernosa16035-RA","ProSiteProfiles","GO:0005515"
"8780","Mcavernosa16035-RA","SUPERFAMILY","GO:0005515"
"8781","Mcavernosa16035-RA","Pfam","GO:0016020,GO:0055085"
"8782","Mcavernosa07521-RA","Pfam","GO:0016702,GO:0046872,GO:0055114"
"8783","Mcavernosa07521-RA","PRINTS","GO:0016702,GO:0046872,GO:0055114"
"8784","Mcavernosa07521-RA","PRINTS","GO:0016702,GO:0046872,GO:0055114"
"8785","Mcavernosa07521-RA","PRINTS","GO:0016702,GO:0046872,GO:0055114"
"8786","Mcavernosa07521-RA","ProSiteProfiles","GO:0016702,GO:0046872,GO:0055114"
"8787","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8788","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8789","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8790","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8791","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8792","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8793","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8794","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8795","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8796","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8797","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8798","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8799","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8800","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8801","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8802","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8803","Mcavernosa01526-RA","Pfam","GO:0005515"
"8804","Mcavernosa01526-RA","Pfam","GO:0005515"
"8805","Mcavernosa01526-RA","Pfam","GO:0005515"
"8806","Mcavernosa01526-RA","Pfam","GO:0005515"
"8807","Mcavernosa01526-RA","Pfam","GO:0005515"
"8808","Mcavernosa01526-RA","Pfam","GO:0005515"
"8809","Mcavernosa01526-RA","Pfam","GO:0005515"
"8810","Mcavernosa01526-RA","Pfam","GO:0005515"
"8811","Mcavernosa01526-RA","Pfam","GO:0005515"
"8812","Mcavernosa01526-RA","Pfam","GO:0005515"
"8813","Mcavernosa01526-RA","Pfam","GO:0005515"
"8814","Mcavernosa01526-RA","Pfam","GO:0005515"
"8815","Mcavernosa01526-RA","Pfam","GO:0005515"
"8816","Mcavernosa01526-RA","Pfam","GO:0005515"
"8817","Mcavernosa01526-RA","Pfam","GO:0005515"
"8818","Mcavernosa01526-RA","Pfam","GO:0005515"
"8819","Mcavernosa01526-RA","Pfam","GO:0005515"
"8820","Mcavernosa01526-RA","Pfam","GO:0005515"
"8821","Mcavernosa01526-RA","Pfam","GO:0005515"
"8822","Mcavernosa01526-RA","Pfam","GO:0005515"
"8823","Mcavernosa01526-RA","Pfam","GO:0005515"
"8824","Mcavernosa01526-RA","Pfam","GO:0005515"
"8825","Mcavernosa01526-RA","Pfam","GO:0005515"
"8826","Mcavernosa01526-RA","Pfam","GO:0005515"
"8827","Mcavernosa01526-RA","Pfam","GO:0005515"
"8828","Mcavernosa01526-RA","Pfam","GO:0005515"
"8829","Mcavernosa01526-RA","Pfam","GO:0005515"
"8830","Mcavernosa01526-RA","Pfam","GO:0005515"
"8831","Mcavernosa01526-RA","Pfam","GO:0005515"
"8832","Mcavernosa01526-RA","Pfam","GO:0005515"
"8833","Mcavernosa01526-RA","Pfam","GO:0005515"
"8834","Mcavernosa01526-RA","Pfam","GO:0005515"
"8835","Mcavernosa01526-RA","Pfam","GO:0005515"
"8836","Mcavernosa01526-RA","Pfam","GO:0005515"
"8837","Mcavernosa01526-RA","Pfam","GO:0005515"
"8838","Mcavernosa01526-RA","Pfam","GO:0005515"
"8839","Mcavernosa01526-RA","Pfam","GO:0005515"
"8840","Mcavernosa01526-RA","Pfam","GO:0005515"
"8841","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8842","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8843","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8844","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8845","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8846","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8847","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8848","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8849","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8850","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8851","Mcavernosa01526-RA","SMART","GO:0005515"
"8852","Mcavernosa01526-RA","SMART","GO:0005515"
"8853","Mcavernosa01526-RA","SMART","GO:0005515"
"8854","Mcavernosa01526-RA","SMART","GO:0005515"
"8855","Mcavernosa01526-RA","SMART","GO:0005515"
"8856","Mcavernosa01526-RA","SMART","GO:0005515"
"8857","Mcavernosa01526-RA","SMART","GO:0005515"
"8858","Mcavernosa01526-RA","SMART","GO:0005515"
"8859","Mcavernosa01526-RA","SMART","GO:0005515"
"8860","Mcavernosa01526-RA","SMART","GO:0005515"
"8861","Mcavernosa01526-RA","SMART","GO:0005515"
"8862","Mcavernosa01526-RA","SMART","GO:0005515"
"8863","Mcavernosa01526-RA","SMART","GO:0005515"
"8864","Mcavernosa01526-RA","SMART","GO:0005515"
"8865","Mcavernosa01526-RA","SMART","GO:0005515"
"8866","Mcavernosa01526-RA","SMART","GO:0005515"
"8867","Mcavernosa01526-RA","SMART","GO:0005515"
"8868","Mcavernosa01526-RA","SMART","GO:0005515"
"8869","Mcavernosa01526-RA","SMART","GO:0005515"
"8870","Mcavernosa01526-RA","SMART","GO:0005515"
"8871","Mcavernosa01526-RA","SMART","GO:0005515"
"8872","Mcavernosa01526-RA","SMART","GO:0005515"
"8873","Mcavernosa01526-RA","SMART","GO:0005515"
"8874","Mcavernosa01526-RA","SMART","GO:0005515"
"8875","Mcavernosa01526-RA","SMART","GO:0005515"
"8876","Mcavernosa01526-RA","SMART","GO:0005515"
"8877","Mcavernosa01526-RA","SMART","GO:0005515"
"8878","Mcavernosa01526-RA","SMART","GO:0005515"
"8879","Mcavernosa01526-RA","SMART","GO:0005515"
"8880","Mcavernosa01526-RA","SMART","GO:0005515"
"8881","Mcavernosa01526-RA","SMART","GO:0005515"
"8882","Mcavernosa01526-RA","SMART","GO:0005515"
"8883","Mcavernosa01526-RA","SMART","GO:0005515"
"8884","Mcavernosa01526-RA","SMART","GO:0005515"
"8885","Mcavernosa01526-RA","SMART","GO:0005515"
"8886","Mcavernosa01526-RA","SMART","GO:0005515"
"8887","Mcavernosa01526-RA","SMART","GO:0005515"
"8888","Mcavernosa01526-RA","SMART","GO:0005515"
"8889","Mcavernosa01526-RA","SMART","GO:0005515"
"8890","Mcavernosa01526-RA","SMART","GO:0005515"
"8891","Mcavernosa01526-RA","SMART","GO:0005515"
"8892","Mcavernosa01526-RA","SMART","GO:0005515"
"8893","Mcavernosa01526-RA","SMART","GO:0005515"
"8894","Mcavernosa01526-RA","SMART","GO:0005515"
"8895","Mcavernosa01526-RA","SMART","GO:0005515"
"8896","Mcavernosa01526-RA","SMART","GO:0005515"
"8897","Mcavernosa01526-RA","SMART","GO:0005515"
"8898","Mcavernosa01526-RA","SMART","GO:0005515"
"8899","Mcavernosa01526-RA","SMART","GO:0005515"
"8900","Mcavernosa01526-RA","SMART","GO:0005515"
"8901","Mcavernosa01526-RA","SMART","GO:0005515"
"8902","Mcavernosa01526-RA","SMART","GO:0005515"
"8903","Mcavernosa01526-RA","SMART","GO:0005515"
"8904","Mcavernosa01526-RA","SMART","GO:0005515"
"8905","Mcavernosa01526-RA","SMART","GO:0005515"
"8906","Mcavernosa01526-RA","SMART","GO:0005515"
"8907","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8908","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8909","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8910","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8911","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8912","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8913","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8914","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8915","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8916","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8917","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8918","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8919","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8920","Mcavernosa01526-RA","ProSiteProfiles","GO:0005515"
"8921","Mcavernosa19310-RA","SMART","GO:0005509"
"8922","Mcavernosa19310-RA","SMART","GO:0005509"
"8923","Mcavernosa19310-RA","SMART","GO:0005509"
"8924","Mcavernosa19310-RA","CDD","GO:0005509"
"8925","Mcavernosa19310-RA","Pfam","GO:0005509"
"8926","Mcavernosa19310-RA","Pfam","GO:0005509"
"8927","Mcavernosa19310-RA","ProSiteProfiles","GO:0005509"
"8928","Mcavernosa19310-RA","ProSiteProfiles","GO:0005509"
"8929","Mcavernosa19310-RA","ProSiteProfiles","GO:0005509"
"8930","Mcavernosa19310-RA","ProSiteProfiles","GO:0005509"
"8931","Mcavernosa09306-RA","Gene3D","GO:0005515"
"8932","Mcavernosa09306-RA","SMART","GO:0005515"
"8933","Mcavernosa09306-RA","SMART","GO:0005515"
"8934","Mcavernosa09306-RA","SMART","GO:0005515"
"8935","Mcavernosa09306-RA","SMART","GO:0005515"
"8936","Mcavernosa09306-RA","SMART","GO:0005515"
"8937","Mcavernosa09306-RA","SMART","GO:0005515"
"8938","Mcavernosa09306-RA","ProSiteProfiles","GO:0005515"
"8939","Mcavernosa09306-RA","ProSiteProfiles","GO:0005515"
"8940","Mcavernosa09306-RA","ProSiteProfiles","GO:0005515"
"8941","Mcavernosa09306-RA","ProSiteProfiles","GO:0005515"
"8942","Mcavernosa09306-RA","SUPERFAMILY","GO:0005515"
"8943","Mcavernosa09306-RA","ProSiteProfiles","GO:0005515"
"8944","Mcavernosa09306-RA","Gene3D","GO:0005515"
"8945","Mcavernosa09306-RA","Gene3D","GO:0005515"
"8946","Mcavernosa09306-RA","ProSiteProfiles","GO:0005515"
"8947","Mcavernosa09306-RA","ProSiteProfiles","GO:0005515"
"8948","Mcavernosa09306-RA","SUPERFAMILY","GO:0005515"
"8949","Mcavernosa09306-RA","ProSiteProfiles","GO:0005515"
"8950","Mcavernosa09306-RA","SUPERFAMILY","GO:0005515"
"8951","Mcavernosa20625-RA","SMART","GO:0051015"
"8952","Mcavernosa20625-RA","SMART","GO:0051015"
"8953","Mcavernosa20625-RA","SMART","GO:0051015"
"8954","Mcavernosa20625-RA","SMART","GO:0051015"
"8955","Mcavernosa20625-RA","SMART","GO:0051015"
"8956","Mcavernosa20625-RA","ProSiteProfiles","GO:0003779,GO:0007010"
"8957","Mcavernosa20625-RA","SMART","GO:0003779,GO:0007010"
"8958","Mcavernosa20625-RA","Gene3D","GO:0003779,GO:0007010"
"8959","Mcavernosa20625-RA","SUPERFAMILY","GO:0003779,GO:0007010"
"8960","Mcavernosa20625-RA","PRINTS","GO:0051015"
"8961","Mcavernosa20625-RA","PRINTS","GO:0051015"
"8962","Mcavernosa20625-RA","PRINTS","GO:0051015"
"8963","Mcavernosa20625-RA","PRINTS","GO:0051015"
"8964","Mcavernosa20625-RA","PRINTS","GO:0051015"
"8965","Mcavernosa20625-RA","PRINTS","GO:0051015"
"8966","Mcavernosa20625-RA","Pfam","GO:0003779,GO:0007010"
"8967","Mcavernosa34223-RA","SMART","GO:0003677"
"8968","Mcavernosa34223-RA","Gene3D","GO:0003677"
"8969","Mcavernosa34223-RA","Pfam","GO:0003677"
"8970","Mcavernosa34223-RA","SUPERFAMILY","GO:0003677"
"8971","Mcavernosa34223-RA","ProSiteProfiles","GO:0003677"
"8972","Mcavernosa33005-RA","Pfam","GO:0016021"
"8973","Mcavernosa33005-RA","PRINTS","GO:0004930,GO:0007186,GO:0016021"
"8974","Mcavernosa33005-RA","PRINTS","GO:0004930,GO:0007186,GO:0016021"
"8975","Mcavernosa33005-RA","PRINTS","GO:0004930,GO:0007186,GO:0016021"
"8976","Mcavernosa33005-RA","PRINTS","GO:0004930,GO:0007186,GO:0016021"
"8977","Mcavernosa33005-RA","ProSitePatterns","GO:0004930,GO:0007186,GO:0016021"
"8978","Mcavernosa33005-RA","ProSiteProfiles","GO:0016021"
"8979","Mcavernosa33005-RA","SMART","GO:0004930,GO:0007186,GO:0016021"
"8980","Mcavernosa25441-RA","SMART","GO:0008270"
"8981","Mcavernosa13745-RA","PRINTS","GO:0016020"
"8982","Mcavernosa13745-RA","PRINTS","GO:0016020"
"8983","Mcavernosa13745-RA","PRINTS","GO:0016020"
"8984","Mcavernosa13745-RA","PRINTS","GO:0016020"
"8985","Mcavernosa34675-RA","SUPERFAMILY","GO:0005515"
"8986","Mcavernosa34675-RA","Gene3D","GO:0005515"
"8987","Mcavernosa07710-RA","Pfam","GO:0004930,GO:0007186,GO:0016021"
"8988","Mcavernosa07710-RA","ProSiteProfiles","GO:0004930,GO:0007186,GO:0016021"
"8989","Mcavernosa06151-RA","Pfam","GO:0004386"
