"","gene","GO.ID","term","ontology","over_represented_pvalue","6_1","9_1","25_1","26_1","8_1","21_1","29_1","34_1","7_1","22_1","23_1","27_1"
"123","plut2.m8.3794","GO:0003924,GO:0003924,GO:0005200,GO:0005525,GO:0005525,GO:0005874,GO:0005874,GO:0005874,GO:0007017,GO:0007017,GO:0007017","GTPase activity,GTPase activity,structural constituent of cytoskeleton,GTP binding,GTP binding,microtubule,microtubule,microtubule,microtubule-based process,microtubule-based process,microtubule-based process","MF,MF,MF,MF,MF,CC,CC,CC,BP,BP,BP","0.0886632518598277,0.0886632518598277,0.000410920601514889,0.0663633528676455,0.0663633528676455,0.000605154447696111,0.000605154447696111,0.000605154447696111,0.000720866884659495,0.000720866884659495,0.000720866884659495",198,30,127,84,185,405,270,144,269,180,265,245
"124","plut2.m8.4130","NA","NA","NA","NA",26,5,14,11,18,29,21,10,17,14,12,15
"125","plut2.m8.4150","GO:0005515,GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903",28,7,9,20,9,29,17,9,27,18,23,14
"126","plut2.m8.4590","NA","NA","NA","NA",16,5,8,10,31,69,35,23,71,37,39,40
"127","plut2.m8.4878","NA","NA","NA","NA",32,0,43,26,15,65,35,21,44,37,36,24
"128","plut2.m8.5234","GO:0005515,GO:0005515,GO:0007165,GO:0007165","protein binding,protein binding,signal transduction,signal transduction","MF,MF,BP,BP","0.0286437958505903,0.0286437958505903,0.422262934912543,0.422262934912543",14,0,8,9,14,10,17,11,13,9,16,8
"129","plut2.m8.5539","GO:0005347,GO:0005471,GO:0005743,GO:0055085,GO:0140021,GO:1990544","ATP transmembrane transporter activity,ATP:ADP antiporter activity,mitochondrial inner membrane,transmembrane transport,mitochondrial ADP transmembrane transport,mitochondrial ATP transmembrane transport","MF,MF,CC,BP,BP,BP","0.174244209187036,0.0199405826128202,0.157424245897495,0.910026530360384,0.0199405826128202,0.0199405826128202",69,17,49,28,20,383,260,18,9,27,20,24
"130","plut2.m8.5800","GO:0000723,GO:0003678,GO:0006281","telomere maintenance,DNA helicase activity,DNA repair","BP,MF,BP","0.148887061471776,0.206889813958785,0.437342487930765",12,16,32,9,30,36,30,19,45,20,40,22
"131","plut2.m8.5801","NA","NA","NA","NA",30,13,38,24,25,31,34,18,43,20,30,16
"132","plut2.m8.5923","NA","NA","NA","NA",179,66,191,133,7,20,16,8,12,16,10,10
"133","plut2.m8.6590","NA","NA","NA","NA",103,19,73,56,32,86,54,32,80,34,54,39
"134","plut2.m8.6795","NA","NA","NA","NA",16,6,19,14,17,23,16,6,20,13,16,15
"135","plut2.m8.7016","GO:0005507,GO:0005507,GO:0005507,GO:0005507,GO:0005507,GO:0008131,GO:0008131,GO:0008131,GO:0008131,GO:0008131,GO:0009308,GO:0009308,GO:0009308,GO:0009308,GO:0009308,GO:0048038,GO:0048038,GO:0048038,GO:0048038,GO:0048038,GO:0055114,GO:0055114,GO:0055114,GO:0055114,GO:0055114","copper ion binding,copper ion binding,copper ion binding,copper ion binding,copper ion binding,primary amine oxidase activity,primary amine oxidase activity,primary amine oxidase activity,primary amine oxidase activity,primary amine oxidase activity,amine metabolic process,amine metabolic process,amine metabolic process,amine metabolic process,amine metabolic process,quinone binding,quinone binding,quinone binding,quinone binding,quinone binding,oxidation-reduction process,oxidation-reduction process,oxidation-reduction process,oxidation-reduction process,oxidation-reduction process","MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,BP,BP,BP,BP,BP,MF,MF,MF,MF,MF,BP,BP,BP,BP,BP","0.230529560200717,0.230529560200717,0.230529560200717,0.230529560200717,0.230529560200717,0.0394860691601916,0.0394860691601916,0.0394860691601916,0.0394860691601916,0.0394860691601916,0.0394860691601916,0.0394860691601916,0.0394860691601916,0.0394860691601916,0.0394860691601916,0.0586442377851483,0.0586442377851483,0.0586442377851483,0.0586442377851483,0.0586442377851483,0.812818990054364,0.812818990054364,0.812818990054364,0.812818990054364,0.812818990054364",768,180,524,498,106,216,145,108,482,299,232,255
"136","plut2.m8.7118","GO:0005525,GO:0005525","GTP binding,GTP binding","MF,MF","0.0663633528676455,0.0663633528676455",25,3,23,17,20,40,20,10,41,32,35,35
"137","plut2.m8.7161","NA","NA","NA","NA",40,5,20,15,14,35,21,8,16,16,20,11
"138","plut2.m8.7220","GO:0005576,GO:0005576,GO:0005576,GO:0008061,GO:0008061,GO:0008061,GO:0008061","extracellular region,extracellular region,extracellular region,chitin binding,chitin binding,chitin binding,chitin binding","CC,CC,CC,MF,MF,MF,MF","0.055301617374779,0.055301617374779,0.055301617374779,0.0137385160672146,0.0137385160672146,0.0137385160672146,0.0137385160672146",12,0,7,6,20,34,20,20,40,43,31,32
"139","plut2.m8.7302","GO:0004252,GO:0004252,GO:0004252,GO:0004252,GO:0004252,GO:0004252,GO:0005044,GO:0005044,GO:0005044,GO:0005044,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0006508,GO:0006508,GO:0006508,GO:0006508,GO:0006508,GO:0006508,GO:0016020,GO:0016020,GO:0016020,GO:0016020,GO:0016020,GO:0016020,GO:0016020,GO:0016020,GO:0016020,GO:0016020","serine-type endopeptidase activity,serine-type endopeptidase activity,serine-type endopeptidase activity,serine-type endopeptidase activity,serine-type endopeptidase activity,serine-type endopeptidase activity,scavenger receptor activity,scavenger receptor activity,scavenger receptor activity,scavenger receptor activity,protein binding,protein binding,protein binding,protein binding,protein binding,proteolysis,proteolysis,proteolysis,proteolysis,proteolysis,proteolysis,membrane,membrane,membrane,membrane,membrane,membrane,membrane,membrane,membrane,membrane","MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,BP,BP,BP,BP,BP,BP,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC","0.567476304287613,0.567476304287613,0.567476304287613,0.567476304287613,0.567476304287613,0.567476304287613,0.0746637283212524,0.0746637283212524,0.0746637283212524,0.0746637283212524,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.479824509776889,0.479824509776889,0.479824509776889,0.479824509776889,0.479824509776889,0.479824509776889,0.779529923428034,0.779529923428034,0.779529923428034,0.779529923428034,0.779529923428034,0.779529923428034,0.779529923428034,0.779529923428034,0.779529923428034,0.779529923428034",393,146,393,241,77,218,112,55,83,33,101,51
"140","plut2.m8.7375","NA","NA","NA","NA",247,92,215,150,144,426,261,99,198,152,180,121
"141","plut2.m8.7539","GO:0005515","protein binding","MF","0.0286437958505903",12,8,12,1,17,18,19,9,9,22,13,15
"142","plut2.m8.7555","GO:0003924,GO:0003924,GO:0005200,GO:0005525,GO:0005525,GO:0005874,GO:0005874,GO:0005874,GO:0007017,GO:0007017,GO:0007017","GTPase activity,GTPase activity,structural constituent of cytoskeleton,GTP binding,GTP binding,microtubule,microtubule,microtubule,microtubule-based process,microtubule-based process,microtubule-based process","MF,MF,MF,MF,MF,CC,CC,CC,BP,BP,BP","0.0886632518598277,0.0886632518598277,0.000410920601514889,0.0663633528676455,0.0663633528676455,0.000605154447696111,0.000605154447696111,0.000605154447696111,0.000720866884659495,0.000720866884659495,0.000720866884659495",182,47,99,76,200,166,221,236,286,131,277,155
"143","plut2.m8.8087","GO:0003924,GO:0005525","GTPase activity,GTP binding","MF,MF","0.0886632518598277,0.0663633528676455",36,10,27,29,19,67,37,26,51,78,43,37
"144","plut2.m8.8613","NA","NA","NA","NA",71,8,44,49,17,101,72,14,22,13,16,18
"145","plut2.m8.8790","GO:0005576","extracellular region","CC","0.055301617374779",477,61,302,157,78,207,70,58,208,279,172,203
"146","plut2.m8.92","GO:0003924,GO:0003924,GO:0005200,GO:0005525,GO:0005525,GO:0005874,GO:0005874,GO:0005874,GO:0007017,GO:0007017,GO:0007017","GTPase activity,GTPase activity,structural constituent of cytoskeleton,GTP binding,GTP binding,microtubule,microtubule,microtubule,microtubule-based process,microtubule-based process,microtubule-based process","MF,MF,MF,MF,MF,CC,CC,CC,BP,BP,BP","0.0886632518598277,0.0886632518598277,0.000410920601514889,0.0663633528676455,0.0663633528676455,0.000605154447696111,0.000605154447696111,0.000605154447696111,0.000720866884659495,0.000720866884659495,0.000720866884659495",1483,395,1186,886,594,848,632,419,721,711,695,662
"147","plut2.m8.921","GO:0003777,GO:0003777,GO:0003777,GO:0003777,GO:0003777,GO:0005524,GO:0005524,GO:0005524,GO:0005524,GO:0005524,GO:0007018,GO:0007018,GO:0007018,GO:0007018,GO:0007018,GO:0008017,GO:0008017,GO:0008017,GO:0008017","microtubule motor activity,microtubule motor activity,microtubule motor activity,microtubule motor activity,microtubule motor activity,ATP binding,ATP binding,ATP binding,ATP binding,ATP binding,microtubule-based movement,microtubule-based movement,microtubule-based movement,microtubule-based movement,microtubule-based movement,microtubule binding,microtubule binding,microtubule binding,microtubule binding","MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,BP,BP,BP,BP,BP,MF,MF,MF,MF","0.325137642079415,0.325137642079415,0.325137642079415,0.325137642079415,0.325137642079415,0.977308593587781,0.977308593587781,0.977308593587781,0.977308593587781,0.977308593587781,0.431626460611151,0.431626460611151,0.431626460611151,0.431626460611151,0.431626460611151,0.414129930902352,0.414129930902352,0.414129930902352,0.414129930902352",348,87,206,205,65,100,56,40,82,72,90,79
"148","plut2.m8.9273","GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005871","protein binding,protein binding,protein binding,protein binding,protein binding,kinesin complex","MF,MF,MF,MF,MF,CC","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0102924440737289",22,8,23,10,23,30,19,9,23,16,13,12
"149","plut2.m8.9304","GO:0003824,GO:0005509","catalytic activity,calcium ion binding","MF,MF","0.720773941283605,0.0489601742803986",66,7,37,34,17,287,220,13,24,62,40,19
"150","plut2.m8.9356","GO:0005201","extracellular matrix structural constituent","MF","0.0383710324555699",236,43,124,116,22,13,14,16,52,41,68,37
"151","plut2.m8.9453","GO:0004672,GO:0004672,GO:0004672,GO:0004713,GO:0005515,GO:0005524,GO:0006468,GO:0006468,GO:0006468,GO:0006468","protein kinase activity,protein kinase activity,protein kinase activity,protein tyrosine kinase activity,protein binding,ATP binding,protein phosphorylation,protein phosphorylation,protein phosphorylation,protein phosphorylation","MF,MF,MF,MF,MF,MF,BP,BP,BP,BP","0.910026530361294,0.910026530361294,0.910026530361294,0.620842592259033,0.0286437958505903,0.977308593587781,0.912951284788311,0.912951284788311,0.912951284788311,0.912951284788311",41,24,83,28,61,71,34,30,79,42,54,69
"152","plut2.m8.9532","NA","NA","NA","NA",23,5,12,17,9,26,19,9,15,11,18,11
"153","plut2.m8.9923","NA","NA","NA","NA",138,20,60,58,27,63,51,31,71,43,82,44
"154","plut2.m8.9965","GO:0016021,GO:0016021,GO:0016192,GO:0016192","integral component of membrane,integral component of membrane,vesicle-mediated transport,vesicle-mediated transport","CC,CC,BP,BP","0.835065561120913,0.835065561120913,0.511620263966567,0.511620263966567",64,12,50,46,20,76,52,21,53,67,36,35
