"","gene_id","19_T33_Ac_WK","24_T12_Ac_FM","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","45_T41_Ac_SC_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM","scaffold","start","stop","length","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"2249","Acerv_evm.TU.Segkk2055_pilon.35",103,0,209,193,85,128,81,96,198,272,80,63,56,127,40,"Segkk2055_pilon",416331,429076,12745,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2251","Acerv_evm.TU.Segkk2055_pilon.5",42,0,59,78,17,36,30,15,31,32,4,32,7,27,16,"Segkk2055_pilon",57626,58177,551,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2252","Acerv_evm.TU.Segkk2055_pilon.6",90,0,155,108,40,79,44,36,140,204,35,29,37,76,23,"Segkk2055_pilon",63639,65452,1813,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2253","Acerv_evm.TU.Segkk2055_pilon.7",37,0,101,85,43,79,32,41,43,106,24,59,54,119,31,"Segkk2055_pilon",72011,72769,758,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2276","Acerv_evm.TU.Segkk2069_pilon.15",2568,0,5424,3824,2037,2661,1845,1369,4645,5394,1375,2085,1232,2821,1334,"Segkk2069_pilon",143584,150006,6422,"GO:0016772",0.0325000999366365,0.999563082205217,1,6,"transferase activity, transferring phosphorus-containing groups","MF"
"2286","Acerv_evm.TU.Segkk2071_pilon.13",89,0,153,86,57,87,43,52,126,154,32,24,34,98,24,"Segkk2071_pilon",152083,152766,683,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2299","Acerv_evm.TU.Segkk2079_pilon.10",118,5,168,153,79,135,53,58,162,169,53,37,58,100,29,"Segkk2079_pilon",97296,98009,713,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2310","Acerv_evm.TU.Segkk2085_pilon.1",125,0,259,259,108,177,91,108,235,293,60,52,68,171,55,"Segkk2085_pilon",1895,3467,1572,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2339","Acerv_evm.TU.Segkk2102_pilon.18",185,0,323,240,121,191,92,74,186,252,60,63,83,172,46,"Segkk2102_pilon",180463,195912,15449,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2570","Acerv_evm.TU.Segkk2194_pilon.28",191,0,294,411,124,217,89,95,209,275,66,74,104,173,48,"Segkk2194_pilon",229975,234047,4072,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2574","Acerv_evm.TU.Segkk2196_pilon.1",174,0,294,283,98,179,108,251,319,401,120,191,106,166,82,"Segkk2196_pilon",2434,10520,8086,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2575","Acerv_evm.TU.Segkk2196_pilon.2",139,0,295,245,74,152,80,105,240,486,74,79,47,189,41,"Segkk2196_pilon",15378,22331,6953,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2580","Acerv_evm.TU.Segkk2198_pilon.17",721,0,1191,1186,775,951,580,307,742,786,243,652,634,1076,346,"Segkk2198_pilon",244784,279847,35063,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2581","Acerv_evm.TU.Segkk2198_pilon.19",113,0,135,279,141,232,58,83,127,175,51,57,94,126,36,"Segkk2198_pilon",329050,334711,5661,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2582","Acerv_evm.TU.Segkk2198_pilon.20",175,1,159,559,164,277,77,185,234,274,128,152,122,144,70,"Segkk2198_pilon",339471,340874,1403,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2596","Acerv_evm.TU.Segkk2201_pilon.51",1337,0,2668,1832,988,1809,642,797,1334,2637,517,488,685,1547,296,"Segkk2201_pilon",407551,430083,22532,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2604","Acerv_evm.TU.Segkk2210_pilon.2",157,2,268,228,91,204,87,57,223,318,47,48,71,184,36,"Segkk2210_pilon",8385,10127,1742,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2616","Acerv_evm.TU.Segkk2217_pilon.5",73,0,178,141,53,84,54,54,143,165,41,34,33,77,34,"Segkk2217_pilon",48429,55219,6790,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2618","Acerv_evm.TU.Segkk2218_pilon.2",125,1,245,172,83,136,65,52,104,186,46,65,88,160,31,"Segkk2218_pilon",25098,25937,839,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2619","Acerv_evm.TU.Segkk2218_pilon.4",291,0,571,566,201,336,215,206,623,759,201,194,138,365,156,"Segkk2218_pilon",38618,48951,10333,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2639","Acerv_evm.TU.Segkk2219_pilon.5",578,0,1507,1143,482,882,460,523,927,1676,396,433,379,984,237,"Segkk2219_pilon",31671,46373,14702,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2641","Acerv_evm.TU.Segkk2219_pilon.9",276,0,541,274,245,219,172,150,404,635,116,217,236,314,88,"Segkk2219_pilon",71063,84852,13789,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2646","Acerv_evm.TU.Segkk2221_pilon.2",59,0,116,131,40,74,44,43,95,198,33,46,32,67,25,"Segkk2221_pilon",3518,10771,7253,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2647","Acerv_evm.TU.Segkk2222_pilon.2",18,0,23,25,9,19,11,10,25,24,9,7,12,20,5,"Segkk2222_pilon",10684,16755,6071,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2651","Acerv_evm.TU.Segkk2223_pilon.1",57,0,105,113,38,68,41,46,55,168,29,24,33,65,17,"Segkk2223_pilon",21,2689,2668,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2657","Acerv_evm.TU.Segkk2223_pilon.4",341,0,760,724,253,420,265,273,668,962,241,209,177,469,181,"Segkk2223_pilon",30621,36395,5774,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2659","Acerv_evm.TU.Segkk2223_pilon.6",100,0,256,177,85,144,53,60,138,206,44,33,54,116,28,"Segkk2223_pilon",47477,60476,12999,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2661","Acerv_evm.TU.Segkk2224_pilon.1",2229,0,3844,3534,1365,2908,1219,787,1425,2088,587,1415,979,2315,600,"Segkk2224_pilon",3039,14690,11651,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2663","Acerv_evm.TU.Segkk2226_pilon.11",243,0,695,323,242,351,153,201,199,262,78,123,126,300,86,"Segkk2226_pilon",90329,110407,20078,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2669","Acerv_evm.TU.Segkk2229_pilon.5",66,0,122,142,49,84,51,91,203,267,64,55,33,68,33,"Segkk2229_pilon",37655,77781,40126,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2702","Acerv_evm.TU.Segkk2240_pilon.26",25,0,32,41,22,30,13,24,63,74,21,21,10,23,11,"Segkk2240_pilon",203831,204688,857,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2704","Acerv_evm.TU.Segkk2240_pilon.8",106,0,191,198,71,92,67,147,345,372,93,86,55,123,42,"Segkk2240_pilon",88802,93139,4337,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2715","Acerv_evm.TU.Segkk2242_pilon.6",175,0,262,244,131,218,103,202,303,339,86,105,105,207,63,"Segkk2242_pilon",56698,69340,12642,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2716","Acerv_evm.TU.Segkk2243_pilon.1",38,0,140,117,40,62,33,46,76,157,36,27,18,65,13,"Segkk2243_pilon",163,7615,7452,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2721","Acerv_evm.TU.Segkk2246_pilon.5",280,0,526,561,182,348,174,310,734,869,238,181,112,290,102,"Segkk2246_pilon",39385,54753,15368,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2729","Acerv_evm.TU.Segkk2252_pilon.3",238,0,525,548,173,321,180,222,563,792,186,147,100,245,110,"Segkk2252_pilon",12077,17601,5524,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2731","Acerv_evm.TU.Segkk2252_pilon.6",1132,0,2326,1782,742,1320,832,858,1792,2422,609,582,518,1388,428,"Segkk2252_pilon",34072,64452,30380,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2748","Acerv_evm.TU.Segkk2261_pilon.9",1271,0,2622,1499,916,1790,584,734,1223,2274,346,457,555,1683,288,"Segkk2261_pilon",97934,147880,49946,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2749","Acerv_evm.TU.Segkk2262_pilon.3",45,0,32,77,63,122,31,86,54,53,59,37,31,66,15,"Segkk2262_pilon",8206,15763,7557,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2750","Acerv_evm.TU.Segkk2263_pilon.2",618,0,1103,952,384,645,400,663,1036,1484,299,318,315,684,212,"Segkk2263_pilon",82820,99931,17111,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2761","Acerv_evm.TU.Segkk2266_pilon.4",45,1,74,134,39,53,39,66,129,139,35,64,25,58,37,"Segkk2266_pilon",22918,32024,9106,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2762","Acerv_evm.TU.Segkk2266_pilon.4",45,1,74,134,39,53,39,66,129,139,35,64,25,58,37,"Segkk2266_pilon",22918,32024,9106,"GO:0004190",0.0377620954367538,0.999379666947881,1,8,"aspartic-type endopeptidase activity","MF"
"2764","Acerv_evm.TU.Segkk2267_pilon.27",61,0,59,49,39,68,34,25,28,46,31,30,19,43,13,"Segkk2267_pilon",303572,304114,542,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2776","Acerv_evm.TU.Segkk2277_pilon.4",97,0,185,152,58,83,60,48,84,119,35,51,31,62,27,"Segkk2277_pilon",38852,56794,17942,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2777","Acerv_evm.TU.Segkk2279_pilon.3",74,0,172,121,62,93,49,88,198,243,64,35,30,85,24,"Segkk2279_pilon",10090,26920,16830,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2788","Acerv_evm.TU.Segkk2286_pilon.1",43,0,107,87,29,41,25,32,67,100,20,13,28,48,12,"Segkk2286_pilon",313,2999,2686,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2803","Acerv_evm.TU.Segkk2292_pilon.12",189,0,385,308,140,234,127,168,280,369,93,103,90,201,71,"Segkk2292_pilon",142481,157152,14671,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2808","Acerv_evm.TU.Segkk2292_pilon.3",315,0,550,798,220,388,136,270,459,580,158,302,157,321,96,"Segkk2292_pilon",13765,36564,22799,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2809","Acerv_evm.TU.Segkk2292_pilon.6",23,0,51,56,24,31,22,34,58,78,23,16,14,34,15,"Segkk2292_pilon",77518,80845,3327,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2823","Acerv_evm.TU.Segkk2299_pilon.3",400,0,1093,652,361,826,257,118,205,419,50,205,215,583,105,"Segkk2299_pilon",20076,43577,23501,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2832","Acerv_evm.TU.Segkk2300_pilon.18",203,0,400,369,142,226,145,175,467,425,155,180,108,206,69,"Segkk2300_pilon",207675,215042,7367,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2833","Acerv_evm.TU.Segkk2300_pilon.19",246,0,515,366,185,303,167,291,295,388,112,189,152,280,90,"Segkk2300_pilon",219506,231984,12478,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2835","Acerv_evm.TU.Segkk2300_pilon.21",1046,13,2130,1481,783,1400,721,865,1287,1758,510,459,661,1321,357,"Segkk2300_pilon",252444,270968,18524,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2836","Acerv_evm.TU.Segkk2300_pilon.22",22,4,33,23,20,23,10,9,41,36,9,14,9,15,9,"Segkk2300_pilon",272864,273736,872,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2837","Acerv_evm.TU.Segkk2300_pilon.23",23,1,31,32,12,18,19,18,50,37,18,18,11,25,13,"Segkk2300_pilon",273930,274577,647,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2858","Acerv_evm.TU.Segkk2306_pilon.6",567,0,1073,1572,558,818,510,1024,1388,1261,655,471,344,743,396,"Segkk2306_pilon",15404,20555,5151,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"2859","Acerv_evm.TU.Segkk2306_pilon.7",24,0,79,69,46,31,32,32,53,95,18,9,22,54,13,"Segkk2306_pilon",29301,30926,1625,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3027","Acerv_evm.TU.Segkk2370_pilon.1",56,0,109,138,60,81,58,64,133,171,46,57,34,114,38,"Segkk2370_pilon",161,3523,3362,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3033","Acerv_evm.TU.Segkk2375_pilon.1",568,0,1327,549,331,560,386,443,648,1048,166,240,204,732,211,"Segkk2375_pilon",2375,4212,1837,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3041","Acerv_evm.TU.Segkk2375_pilon.5",112,0,220,75,115,178,53,100,125,188,56,43,62,134,35,"Segkk2375_pilon",54527,72405,17878,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3042","Acerv_evm.TU.Segkk2375_pilon.6",1494,0,4230,1992,1544,2090,1019,1240,2921,3494,790,485,816,2184,484,"Segkk2375_pilon",92405,123633,31228,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3043","Acerv_evm.TU.Segkk2377_pilon.1",338,0,460,431,257,544,161,143,197,316,87,142,169,346,83,"Segkk2377_pilon",575,10090,9515,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3065","Acerv_evm.TU.Segkk2390_pilon.23",209,0,726,382,260,288,251,391,192,446,149,241,314,630,191,"Segkk2390_pilon",230207,234827,4620,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3066","Acerv_evm.TU.Segkk2390_pilon.24",126,0,344,299,124,140,153,291,267,334,85,229,123,210,92,"Segkk2390_pilon",251098,255547,4449,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3070","Acerv_evm.TU.Segkk2390_pilon.3",138,0,315,289,100,166,80,121,245,373,85,45,59,113,42,"Segkk2390_pilon",10340,13124,2784,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3073","Acerv_evm.TU.Segkk2390_pilon.6",711,0,1648,1878,586,934,634,593,1525,2331,560,1014,384,1079,435,"Segkk2390_pilon",19880,26029,6149,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3102","Acerv_evm.TU.Segkk2424_pilon.11",134,0,38,19,85,125,123,233,26,28,77,49,52,227,71,"Segkk2424_pilon",78955,99471,20516,"GO:0016831",0.015846065214068,0.99990710472357,1,4,"carboxy-lyase activity","MF"
"3103","Acerv_evm.TU.Segkk2424_pilon.11",134,0,38,19,85,125,123,233,26,28,77,49,52,227,71,"Segkk2424_pilon",78955,99471,20516,"GO:0004190",0.0377620954367538,0.999379666947881,1,8,"aspartic-type endopeptidase activity","MF"
"3104","Acerv_evm.TU.Segkk2424_pilon.11",134,0,38,19,85,125,123,233,26,28,77,49,52,227,71,"Segkk2424_pilon",78955,99471,20516,"GO:0019752",0.0213984456604476,0.999818939773616,1,5,"carboxylic acid metabolic process","BP"
"3105","Acerv_evm.TU.Segkk2424_pilon.12",1825,0,6996,4901,1769,2194,2085,4748,9144,11878,1609,675,737,4512,1105,"Segkk2424_pilon",111347,124684,13337,"GO:0019752",0.0213984456604476,0.999818939773616,1,5,"carboxylic acid metabolic process","BP"
"3106","Acerv_evm.TU.Segkk2424_pilon.12",1825,0,6996,4901,1769,2194,2085,4748,9144,11878,1609,675,737,4512,1105,"Segkk2424_pilon",111347,124684,13337,"GO:0016831",0.015846065214068,0.99990710472357,1,4,"carboxy-lyase activity","MF"
"3121","Acerv_evm.TU.Segkk2431_pilon.11",45,1,111,94,36,64,58,71,197,171,76,39,20,64,31,"Segkk2431_pilon",102862,104231,1369,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3125","Acerv_evm.TU.Segkk2432_pilon.2",195,0,512,515,194,303,146,222,353,535,140,122,129,276,60,"Segkk2432_pilon",31829,42234,10405,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3131","Acerv_evm.TU.Segkk2433_pilon.15",97,0,112,205,95,182,59,125,140,148,68,64,67,123,26,"Segkk2433_pilon",131927,135167,3240,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3258","Acerv_evm.TU.Segkk2488_pilon.4",272,0,350,269,189,466,102,110,89,175,40,83,122,216,41,"Segkk2488_pilon",24663,35424,10761,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3259","Acerv_evm.TU.Segkk2488_pilon.5",357,0,434,401,263,750,89,61,102,139,18,23,191,356,22,"Segkk2488_pilon",59263,66433,7170,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3271","Acerv_evm.TU.Segkk2497_pilon.3",121,3,273,195,83,152,63,63,123,163,42,39,54,135,32,"Segkk2497_pilon",51553,52170,617,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3272","Acerv_evm.TU.Segkk2497_pilon.5",43,0,80,66,40,53,26,31,53,85,0,26,35,71,13,"Segkk2497_pilon",56555,59951,3396,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3275","Acerv_evm.TU.Segkk2498_pilon.1",30,0,69,46,20,25,13,14,14,39,14,10,9,34,7,"Segkk2498_pilon",363,10458,10095,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3277","Acerv_evm.TU.Segkk2499_pilon.3",385,0,868,868,383,505,497,366,899,865,246,309,235,660,304,"Segkk2499_pilon",9276,12980,3704,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3281","Acerv_evm.TU.Segkk2502_pilon.4",14,6,33,30,18,20,17,13,37,33,12,17,16,25,0,"Segkk2502_pilon",14819,16554,1735,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3283","Acerv_evm.TU.Segkk2507_pilon.20",498,0,987,933,345,577,305,432,1047,1443,359,383,230,497,204,"Segkk2507_pilon",227932,250245,22313,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3286","Acerv_evm.TU.Segkk2507_pilon.26",48,0,74,84,65,101,20,40,51,69,20,19,35,66,15,"Segkk2507_pilon",286639,289731,3092,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3298","Acerv_evm.TU.Segkk2512_pilon.3",254,22,412,367,168,300,145,185,284,371,123,153,88,288,88,"Segkk2512_pilon",13326,24872,11546,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3300","Acerv_evm.TU.Segkk2513_pilon.1",200,0,460,373,183,298,115,153,249,410,72,98,88,249,68,"Segkk2513_pilon",583,17571,16988,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3317","Acerv_evm.TU.Segkk2521_pilon.6",97,0,191,209,89,113,81,95,205,261,69,78,52,113,51,"Segkk2521_pilon",92177,94562,2385,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3320","Acerv_evm.TU.Segkk2526_pilon.1",189,0,426,342,130,203,171,171,312,237,96,223,77,189,104,"Segkk2526_pilon",4163,11331,7168,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3326","Acerv_evm.TU.Segkk2529_pilon.13",715,0,1304,1110,488,923,349,403,962,1370,332,323,345,753,216,"Segkk2529_pilon",99500,135946,36446,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3328","Acerv_evm.TU.Segkk2529_pilon.5",2350,0,2087,2643,1671,3809,1008,728,1411,1896,492,791,1577,1820,402,"Segkk2529_pilon",33139,59073,25934,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3329","Acerv_evm.TU.Segkk2529_pilon.7",316,0,598,577,216,385,194,183,447,612,128,156,187,371,114,"Segkk2529_pilon",64797,76186,11389,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3335","Acerv_evm.TU.Segkk2531_pilon.2",556,0,920,1114,664,1115,360,298,395,885,265,232,483,1057,155,"Segkk2531_pilon",7858,22457,14599,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3338","Acerv_evm.TU.Segkk2532_pilon.1",621,8,1390,1084,407,812,367,503,1103,1747,369,270,271,682,204,"Segkk2532_pilon",811,10819,10008,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3343","Acerv_evm.TU.Segkk2537_pilon.20",349,0,676,572,269,535,162,181,291,572,140,89,201,583,80,"Segkk2537_pilon",199981,204511,4530,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3345","Acerv_evm.TU.Segkk2537_pilon.24",122,1,129,183,99,147,92,147,143,307,66,42,58,156,69,"Segkk2537_pilon",251580,252176,596,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3346","Acerv_evm.TU.Segkk2537_pilon.25",150,2,226,167,254,274,279,232,99,171,51,225,262,905,204,"Segkk2537_pilon",257374,258030,656,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3479","Acerv_evm.TU.Segkk2587_pilon.11",31,0,73,53,23,27,14,26,59,114,22,13,9,27,8,"Segkk2587_pilon",120839,124664,3825,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3487","Acerv_evm.TU.Segkk2595_pilon.2",488,0,1038,779,284,446,368,333,754,882,259,523,179,475,219,"Segkk2595_pilon",10545,19042,8497,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3500","Acerv_evm.TU.Segkk2596_pilon.40",258,0,546,553,195,358,227,263,599,874,196,278,170,380,140,"Segkk2596_pilon",448836,457240,8404,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3504","Acerv_evm.TU.Segkk2596_pilon.50",19,1,30,28,14,18,10,18,30,69,8,8,6,14,6,"Segkk2596_pilon",549891,551660,1769,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3506","Acerv_evm.TU.Segkk2598_pilon.10",670,0,1094,826,417,717,300,314,722,1185,220,262,270,721,156,"Segkk2598_pilon",142041,163402,21361,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3508","Acerv_evm.TU.Segkk2598_pilon.3",197,0,382,395,153,254,146,134,333,544,108,69,98,221,51,"Segkk2598_pilon",32075,44548,12473,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3512","Acerv_evm.TU.Segkk2603_pilon.3",142,0,262,193,101,194,65,100,167,262,54,61,74,189,44,"Segkk2603_pilon",33309,46948,13639,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3516","Acerv_evm.TU.Segkk2609_pilon.1",141,0,322,360,112,178,116,148,389,457,126,118,76,166,77,"Segkk2609_pilon",1012,3439,2427,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3530","Acerv_evm.TU.Segkk2614_pilon.18",225,0,390,388,164,262,184,184,350,469,122,140,155,296,118,"Segkk2614_pilon",186404,198783,12379,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3531","Acerv_evm.TU.Segkk2614_pilon.5",23,0,26,70,42,58,18,20,35,28,20,11,22,18,9,"Segkk2614_pilon",25762,29060,3298,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3532","Acerv_evm.TU.Segkk2614_pilon.6",80,0,201,164,80,133,52,193,203,304,90,40,37,92,23,"Segkk2614_pilon",30747,36412,5665,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3551","Acerv_evm.TU.Segkk2624_pilon.5",1167,0,2656,1855,816,1346,796,968,1881,2596,643,508,439,1175,382,"Segkk2624_pilon",27851,52515,24664,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3553","Acerv_evm.TU.Segkk2625_pilon.1",70,0,140,103,46,92,41,75,130,156,38,46,26,79,19,"Segkk2625_pilon",296,16553,16257,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3556","Acerv_evm.TU.Segkk2627_pilon.1",150,0,210,209,80,132,56,83,187,283,56,39,66,119,35,"Segkk2627_pilon",4791,14121,9330,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3573","Acerv_evm.TU.Segkk2633_pilon.3",54,0,89,116,31,53,22,43,145,151,30,23,16,47,19,"Segkk2633_pilon",13264,14811,1547,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3590","Acerv_evm.TU.Segkk2640_pilon.1",152,2,250,261,92,208,80,101,175,304,73,76,75,171,46,"Segkk2640_pilon",1564,13734,12170,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3605","Acerv_evm.TU.Segkk2651_pilon.13",247,0,526,423,175,285,166,183,426,570,127,123,128,248,84,"Segkk2651_pilon",120258,136563,16305,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3606","Acerv_evm.TU.Segkk2651_pilon.15",334,0,652,648,201,340,208,270,622,715,218,364,157,389,178,"Segkk2651_pilon",146127,154288,8161,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3627","Acerv_evm.TU.Segkk2666_pilon.10",90,0,154,179,61,79,61,70,146,179,41,60,35,82,32,"Segkk2666_pilon",93628,105893,12265,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
