"","GO.IDs","term","ontology","over_represented_pvalue","GO.Term","GO.Slim.Term","Cat","Species","Site"
"27217","GO:0051607","defense response to virus","BP",0.010345631,"defense response to virus","stress response","P","A.cervicornis","Florida"
"28388","GO:0060074","synapse maturation","BP",0.021427953,"synapse maturation","developmental processes","P","A.cervicornis","Florida"
"28389","GO:0060074","synapse maturation","BP",0.021427953,"synapse maturation","cell organization and biogenesis","P","A.cervicornis","Florida"
"28453","GO:0060125","negative regulation of growth hormone secretion","BP",0.048778735,"negative regulation of growth hormone secretion","transport","P","A.cervicornis","Florida"
"28454","GO:0060125","negative regulation of growth hormone secretion","BP",0.048778735,"negative regulation of growth hormone secretion","cell-cell signaling","P","A.cervicornis","Florida"
"28642","GO:0060291","long-term synaptic potentiation","BP",0.009677982,"long-term synaptic potentiation","cell-cell signaling","P","A.cervicornis","Florida"
"28679","GO:0060324","face development","BP",0.042592659,"face development","other biological processes","P","A.cervicornis","Florida"
"28688","GO:0060333","interferon-gamma-mediated signaling pathway","BP",0.023448705,"interferon-gamma-mediated signaling pathway","signal transduction","P","A.cervicornis","Florida"
"28691","GO:0060336","negative regulation of interferon-gamma-mediated signaling pathway","BP",0.043761092,"negative regulation of interferon-gamma-mediated signaling pathway","signal transduction","P","A.cervicornis","Florida"
"28806","GO:0060440","trachea formation","BP",0.042592659,"trachea formation","developmental processes","P","A.cervicornis","Florida"
"28938","GO:0060548","negative regulation of cell death","BP",0.039230804,"negative regulation of cell death","death","P","A.cervicornis","Florida"
"28983","GO:0060585","positive regulation of prostaglandin-endoperoxide synthase activity","BP",0.02140892,"positive regulation of prostaglandin-endoperoxidase synthase activity","other biological processes","P","A.cervicornis","Florida"
"29033","GO:0060627","regulation of vesicle-mediated transport","BP",0.003012716,"regulation of vesicle-mediated transport","transport","P","A.cervicornis","Florida"
"29230","GO:0060907","positive regulation of macrophage cytokine production","BP",0.023199075,NA,NA,NA,"A.cervicornis","Florida"
"29231","GO:0061051","positive regulation of cell growth involved in cardiac muscle cell development","BP",0.046858676,NA,NA,NA,"A.cervicornis","Florida"
"29232","GO:0061308","cardiac neural crest cell development involved in heart development","BP",0.021654746,NA,NA,NA,"A.cervicornis","Florida"
"29713","GO:0070371","ERK1 and ERK2 cascade","BP",0.048263201,"ERK1 and ERK2 cascade","signal transduction","P","A.cervicornis","Florida"
"29785","GO:0070431","nucleotide-binding oligomerization domain containing 2 signaling pathway","BP",0.02140892,"nucleotide-binding oligomerization domain containing 2 signaling pathway","signal transduction","P","A.cervicornis","Florida"
"29786","GO:0070431","nucleotide-binding oligomerization domain containing 2 signaling pathway","BP",0.02140892,"nucleotide-binding oligomerization domain containing 2 signaling pathway","stress response","P","A.cervicornis","Florida"
"30270","GO:0070849","response to epidermal growth factor","BP",0.043099814,NA,NA,NA,"A.cervicornis","Florida"
"30271","GO:0070857","regulation of bile acid biosynthetic process","BP",0.043317952,NA,NA,NA,"A.cervicornis","Florida"
"30272","GO:0070887","cellular response to chemical stimulus","BP",0.005174816,NA,NA,NA,"A.cervicornis","Florida"
"30273","GO:0070900","mitochondrial tRNA modification","BP",0.025600312,NA,NA,NA,"A.cervicornis","Florida"
"30274","GO:0070925","organelle assembly","BP",0.013872272,NA,NA,NA,"A.cervicornis","Florida"
"30299","GO:0071034","CUT catabolic process","BP",0.021409265,NA,NA,NA,"A.cervicornis","Florida"
"30300","GO:0071035","nuclear polyadenylation-dependent rRNA catabolic process","BP",0.043180453,NA,NA,NA,"A.cervicornis","Florida"
"30301","GO:0071048","nuclear retention of unspliced pre-mRNA at the site of transcription","BP",0.021409265,NA,NA,NA,"A.cervicornis","Florida"
"30303","GO:0071224","cellular response to peptidoglycan","BP",0.02140892,NA,NA,NA,"A.cervicornis","Florida"
"30304","GO:0071225","cellular response to muramyl dipeptide","BP",0.02140892,NA,NA,NA,"A.cervicornis","Florida"
"30305","GO:0071303","cellular response to vitamin B3","BP",0.023199075,NA,NA,NA,"A.cervicornis","Florida"
"30306","GO:0071347","cellular response to interleukin-1","BP",0.033364516,NA,NA,NA,"A.cervicornis","Florida"
"30307","GO:0071356","cellular response to tumor necrosis factor","BP",0.005725533,NA,NA,NA,"A.cervicornis","Florida"
"30308","GO:0071360","cellular response to exogenous dsRNA","BP",0.029697422,NA,NA,NA,"A.cervicornis","Florida"
"30309","GO:0071441","negative regulation of histone H3-K14 acetylation","BP",0.023199075,NA,NA,NA,"A.cervicornis","Florida"
"30310","GO:0071493","cellular response to UV-B","BP",0.021153966,NA,NA,NA,"A.cervicornis","Florida"
"30311","GO:0071639","positive regulation of monocyte chemotactic protein-1 production","BP",0.042386376,NA,NA,NA,"A.cervicornis","Florida"
"30313","GO:0071985","multivesicular body sorting pathway","BP",0.021364539,NA,NA,NA,"A.cervicornis","Florida"
"30314","GO:0072038","mesenchymal stem cell maintenance involved in nephron morphogenesis","BP",0.021408568,NA,NA,NA,"A.cervicornis","Florida"
"30315","GO:0072095","regulation of branch elongation involved in ureteric bud branching","BP",0.021408568,NA,NA,NA,"A.cervicornis","Florida"
"30316","GO:0072107","positive regulation of ureteric bud formation","BP",0.021408568,NA,NA,NA,"A.cervicornis","Florida"
"30317","GO:0072137","condensed mesenchymal cell proliferation","BP",0.042303313,NA,NA,NA,"A.cervicornis","Florida"
"30318","GO:0072161","mesenchymal cell differentiation involved in kidney development","BP",0.021408568,NA,NA,NA,"A.cervicornis","Florida"
"30319","GO:0072584","caveolin-mediated endocytosis","BP",0.021654746,NA,NA,NA,"A.cervicornis","Florida"
"30320","GO:0072697","protein localization to cell cortex","BP",0.021427953,NA,NA,NA,"A.cervicornis","Florida"
"30670","GO:0075732","viral penetration into host nucleus","BP",0.049341815,NA,NA,NA,"A.cervicornis","Florida"
"30806","GO:0080134","regulation of response to stress","BP",0.040906836,"regulation of response to stress","stress response","P","A.cervicornis","Florida"
"30847","GO:0090022","regulation of neutrophil chemotaxis","BP",0.02140892,NA,NA,NA,"A.cervicornis","Florida"
"30848","GO:0090170","regulation of Golgi inheritance","BP",0.042592659,NA,NA,NA,"A.cervicornis","Florida"
"30849","GO:0090312","positive regulation of protein deacetylation","BP",0.023199075,NA,NA,NA,"A.cervicornis","Florida"
"30850","GO:0090400","stress-induced premature senescence","BP",0.023199075,NA,NA,NA,"A.cervicornis","Florida"
"30851","GO:0097168","mesenchymal stem cell proliferation","BP",0.021408568,NA,NA,NA,"A.cervicornis","Florida"
"30852","GO:0097242","amyloid-beta clearance","BP",0.047940813,NA,NA,NA,"A.cervicornis","Florida"
"30853","GO:0097553","calcium ion transmembrane import into cytosol","BP",0.045259361,NA,NA,NA,"A.cervicornis","Florida"
"30858","GO:0120036","plasma membrane bounded cell projection organization","BP",0.047923355,NA,NA,NA,"A.cervicornis","Florida"
"30859","GO:0120041","positive regulation of macrophage proliferation","BP",0.021654746,NA,NA,NA,"A.cervicornis","Florida"
"30861","GO:1900106","positive regulation of hyaluranon cable assembly","BP",0.021153966,NA,NA,NA,"A.cervicornis","Florida"
"30862","GO:1900113","negative regulation of histone H3-K9 trimethylation","BP",0.042755269,NA,NA,NA,"A.cervicornis","Florida"
"30863","GO:1900208","regulation of cardiolipin metabolic process","BP",0.029949103,NA,NA,NA,"A.cervicornis","Florida"
"30864","GO:1901416","regulation of response to ethanol","BP",0.023199075,NA,NA,NA,"A.cervicornis","Florida"
"30865","GO:1901698","response to nitrogen compound","BP",0.021406369,NA,NA,NA,"A.cervicornis","Florida"
"30866","GO:1901842","negative regulation of high voltage-gated calcium channel activity","BP",0.023378402,NA,NA,NA,"A.cervicornis","Florida"
"30867","GO:1901890","positive regulation of cell junction assembly","BP",0.029697422,NA,NA,NA,"A.cervicornis","Florida"
"30868","GO:1902043","positive regulation of extrinsic apoptotic signaling pathway via death domain receptors","BP",0.002156658,NA,NA,NA,"A.cervicornis","Florida"
"30869","GO:1902166","negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","BP",0.023199075,NA,NA,NA,"A.cervicornis","Florida"
"30870","GO:1902176","negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway","BP",0.044108662,NA,NA,NA,"A.cervicornis","Florida"
"30871","GO:1902216","positive regulation of interleukin-4-mediated signaling pathway","BP",0.043761092,NA,NA,NA,"A.cervicornis","Florida"
"30872","GO:1902523","positive regulation of protein K63-linked ubiquitination","BP",0.044381204,NA,NA,NA,"A.cervicornis","Florida"
"30873","GO:1902531","regulation of intracellular signal transduction","BP",0.001161044,NA,NA,NA,"A.cervicornis","Florida"
"30874","GO:1902570","protein localization to nucleolus","BP",0.020514623,NA,NA,NA,"A.cervicornis","Florida"
"30875","GO:1902624","positive regulation of neutrophil migration","BP",0.043230355,NA,NA,NA,"A.cervicornis","Florida"
"30876","GO:1902731","negative regulation of chondrocyte proliferation","BP",0.031712692,NA,NA,NA,"A.cervicornis","Florida"
"30877","GO:1902732","positive regulation of chondrocyte proliferation","BP",0.038677081,NA,NA,NA,"A.cervicornis","Florida"
"30878","GO:1902915","negative regulation of protein polyubiquitination","BP",0.023378402,NA,NA,NA,"A.cervicornis","Florida"
"30879","GO:1902957","negative regulation of mitochondrial electron transport, NADH to ubiquinone","BP",0.029949103,NA,NA,NA,"A.cervicornis","Florida"
"30880","GO:1903220","positive regulation of malate dehydrogenase (decarboxylating) (NADP+) activity","BP",0.032890629,NA,NA,NA,"A.cervicornis","Florida"
"30881","GO:1903445","protein transport from ciliary membrane to plasma membrane","BP",0.030458925,NA,NA,NA,"A.cervicornis","Florida"
"30882","GO:1903772","regulation of viral budding via host ESCRT complex","BP",0.021364539,NA,NA,NA,"A.cervicornis","Florida"
"30883","GO:1904179","positive regulation of adipose tissue development","BP",0.023199075,NA,NA,NA,"A.cervicornis","Florida"
"30884","GO:1904373","response to kainic acid","BP",0.023199075,NA,NA,NA,"A.cervicornis","Florida"
"30885","GO:1904638","response to resveratrol","BP",0.023199075,NA,NA,NA,"A.cervicornis","Florida"
"30886","GO:1904644","cellular response to curcumin","BP",0.023199075,NA,NA,NA,"A.cervicornis","Florida"
"30887","GO:1904645","response to amyloid-beta","BP",0.042787873,NA,NA,NA,"A.cervicornis","Florida"
"30888","GO:1904648","cellular response to rotenone","BP",0.023199075,NA,NA,NA,"A.cervicornis","Florida"
"30889","GO:1904872","regulation of telomerase RNA localization to Cajal body","BP",0.042388097,NA,NA,NA,"A.cervicornis","Florida"
"30890","GO:1904893","negative regulation of receptor signaling pathway via STAT","BP",0.026197771,NA,NA,NA,"A.cervicornis","Florida"
"30891","GO:1905246","negative regulation of aspartic-type peptidase activity","BP",0.02140892,NA,NA,NA,"A.cervicornis","Florida"
"30892","GO:1905776","positive regulation of DNA helicase activity","BP",0.025341352,NA,NA,NA,"A.cervicornis","Florida"
"30894","GO:1990417","snoRNA release from pre-rRNA","BP",0.023287271,NA,NA,NA,"A.cervicornis","Florida"
"30896","GO:2000110","negative regulation of macrophage apoptotic process","BP",0.02140892,NA,NA,NA,"A.cervicornis","Florida"
"30897","GO:2000111","positive regulation of macrophage apoptotic process","BP",0.023199075,NA,NA,NA,"A.cervicornis","Florida"
"30898","GO:2000363","positive regulation of prostaglandin-E synthase activity","BP",0.02140892,NA,NA,NA,"A.cervicornis","Florida"
"30899","GO:2000481","positive regulation of cAMP-dependent protein kinase activity","BP",0.023199075,NA,NA,NA,"A.cervicornis","Florida"
"30900","GO:2000614","positive regulation of thyroid-stimulating hormone secretion","BP",0.023199075,NA,NA,NA,"A.cervicornis","Florida"
"30901","GO:2000619","negative regulation of histone H4-K16 acetylation","BP",0.045177814,NA,NA,NA,"A.cervicornis","Florida"
"30902","GO:2000655","negative regulation of cellular response to testosterone stimulus","BP",0.023199075,NA,NA,NA,"A.cervicornis","Florida"
"30903","GO:2000697","negative regulation of epithelial cell differentiation involved in kidney development","BP",0.021409242,NA,NA,NA,"A.cervicornis","Florida"
"30904","GO:2000774","positive regulation of cellular senescence","BP",0.023199075,NA,NA,NA,"A.cervicornis","Florida"
"30905","GO:2001161","negative regulation of histone H3-K79 methylation","BP",0.021414665,NA,NA,NA,"A.cervicornis","Florida"
"31321","GO:0000422","autophagy of mitochondrion","BP",0.024445749,"mitochondrion degradation","other metabolic processes","P","M.cavernosa","Florida"
"31718","GO:0001502","cartilage condensation","BP",0.043304951,"cartilage condensation","developmental processes","P","M.cavernosa","Florida"
"31719","GO:0001502","cartilage condensation","BP",0.043304951,"cartilage condensation","cell adhesion","P","M.cavernosa","Florida"
"31760","GO:0001550","ovarian cumulus expansion","BP",0.005289377,"ovarian cumulus expansion","developmental processes","P","M.cavernosa","Florida"
"31944","GO:0001770","establishment of natural killer cell polarity","BP",0.005106591,"establishment of natural killer cell polarity","cell organization and biogenesis","P","M.cavernosa","Florida"
"31958","GO:0001782","B cell homeostasis","BP",0.026048226,"B cell homeostasis","other biological processes","P","M.cavernosa","Florida"
"32073","GO:0001880","Mullerian duct regression","BP",0.010454942,"Mullerian duct regression","developmental processes","P","M.cavernosa","Florida"
"32301","GO:0002090","regulation of receptor internalization","BP",0.029506907,"regulation of receptor internalization","transport","P","M.cavernosa","Florida"
"32302","GO:0002090","regulation of receptor internalization","BP",0.029506907,"regulation of receptor internalization","cell organization and biogenesis","P","M.cavernosa","Florida"
"32303","GO:0002090","regulation of receptor internalization","BP",0.029506907,"regulation of receptor internalization","protein metabolism","P","M.cavernosa","Florida"
"32455","GO:0002281","macrophage activation involved in immune response","BP",0.022248911,"macrophage activation during immune response","other biological processes","P","M.cavernosa","Florida"
"32489","GO:0002315","marginal zone B cell differentiation","BP",0.013569657,"marginal zone B cell differentiation","developmental processes","P","M.cavernosa","Florida"
"33299","GO:0003183","mitral valve morphogenesis","BP",0.015257808,NA,NA,NA,"M.cavernosa","Florida"
"33300","GO:0003186","tricuspid valve morphogenesis","BP",0.005289377,NA,NA,NA,"M.cavernosa","Florida"
"33301","GO:0003215","cardiac right ventricle morphogenesis","BP",0.029716596,NA,NA,NA,"M.cavernosa","Florida"
"33302","GO:0003222","ventricular trabecula myocardium morphogenesis","BP",0.022580629,NA,NA,NA,"M.cavernosa","Florida"
"33303","GO:0003223","ventricular compact myocardium morphogenesis","BP",0.024379728,NA,NA,NA,"M.cavernosa","Florida"
"33304","GO:0003272","endocardial cushion formation","BP",0.010683252,NA,NA,NA,"M.cavernosa","Florida"
"35126","GO:0006071","glycerol metabolic process","BP",0.031802858,"glycerol metabolic process","other metabolic processes","P","M.cavernosa","Florida"
"35467","GO:0006426","glycyl-tRNA aminoacylation","BP",0.00377484,"glycyl-tRNA aminoacylation","protein metabolism","P","M.cavernosa","Florida"
"35468","GO:0006426","glycyl-tRNA aminoacylation","BP",0.00377484,"glycyl-tRNA aminoacylation","RNA metabolism","P","M.cavernosa","Florida"
"35531","GO:0006497","protein lipidation","BP",0.021325233,"protein amino acid lipidation","protein metabolism","P","M.cavernosa","Florida"
"35542","GO:0006513","protein monoubiquitination","BP",0.047496768,"protein monoubiquitination","protein metabolism","P","M.cavernosa","Florida"
"35572","GO:0006544","glycine metabolic process","BP",0.018851804,"glycine metabolic process","other metabolic processes","P","M.cavernosa","Florida"
"35672","GO:0006641","triglyceride metabolic process","BP",0.03877324,"triglyceride metabolic process","other metabolic processes","P","M.cavernosa","Florida"
"35733","GO:0006703","estrogen biosynthetic process","BP",0.020076201,"estrogen biosynthetic process","other metabolic processes","P","M.cavernosa","Florida"
"35820","GO:0006807","nitrogen compound metabolic process","BP",0.017626361,"nitrogen compound metabolic process","other metabolic processes","P","M.cavernosa","Florida"
"36226","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","BP",0.033629173,"transmembrane receptor protein serine/threonine kinase signaling pathway","signal transduction","P","M.cavernosa","Florida"
"36459","GO:0007398","ectoderm development","BP",0.01918799,"ectoderm development","developmental processes","P","M.cavernosa","Florida"
"36586","GO:0007525","somatic muscle development","BP",0.011051174,"somatic muscle development","developmental processes","P","M.cavernosa","Florida"
"36661","GO:0007606","sensory perception of chemical stimulus","BP",0.016289886,"sensory perception of chemical stimulus","other biological processes","P","M.cavernosa","Florida"
"36687","GO:0007635","chemosensory behavior","BP",0.023269311,"chemosensory behavior","other biological processes","P","M.cavernosa","Florida"
"37902","GO:0009411","response to UV","BP",0.049569621,"response to UV","other biological processes","P","M.cavernosa","Florida"
"38537","GO:0010102","lateral root morphogenesis","BP",0.003669778,"lateral root morphogenesis","developmental processes","P","M.cavernosa","Florida"
"38948","GO:0010499","proteasomal ubiquitin-independent protein catabolic process","BP",0.016437567,"proteasomal ubiquitin-independent protein catabolic process","protein metabolism","P","M.cavernosa","Florida"
"39101","GO:0010634","positive regulation of epithelial cell migration","BP",0.005596614,"positive regulation of epithelial cell migration","other biological processes","P","M.cavernosa","Florida"
"39325","GO:0010811","positive regulation of cell-substrate adhesion","BP",0.035030598,"positive regulation of cell-substrate adhesion","cell adhesion","P","M.cavernosa","Florida"
"39383","GO:0010862","positive regulation of pathway-restricted SMAD protein phosphorylation","BP",0.04356632,"positive regulation of pathway-restricted SMAD protein phosphorylation","signal transduction","P","M.cavernosa","Florida"
"39384","GO:0010862","positive regulation of pathway-restricted SMAD protein phosphorylation","BP",0.04356632,"positive regulation of pathway-restricted SMAD protein phosphorylation","protein metabolism","P","M.cavernosa","Florida"
"39441","GO:0010917","negative regulation of mitochondrial membrane potential","BP",0.026092869,"negative regulation of mitochondrial membrane potential","other biological processes","P","M.cavernosa","Florida"
"39506","GO:0010976","positive regulation of neuron projection development","BP",0.032260528,"positive regulation of neuron projection development","cell organization and biogenesis","P","M.cavernosa","Florida"
"39507","GO:0010976","positive regulation of neuron projection development","BP",0.032260528,"positive regulation of neuron projection development","developmental processes","P","M.cavernosa","Florida"
"39588","GO:0014032","neural crest cell development","BP",0.001144569,"neural crest cell development","developmental processes","P","M.cavernosa","Florida"
"39829","GO:0014912","negative regulation of smooth muscle cell migration","BP",0.019935896,"negative regulation of smooth muscle cell migration","other biological processes","P","M.cavernosa","Florida"
"40588","GO:0015918","sterol transport","BP",0.032841677,"sterol transport","transport","P","M.cavernosa","Florida"
"40635","GO:0015966","diadenosine tetraphosphate biosynthetic process","BP",0.009090382,"diadenosine tetraphosphate biosynthetic process","other metabolic processes","P","M.cavernosa","Florida"
"40693","GO:0016032","viral process","BP",0.02823049,"viral reproduction","other biological processes","P","M.cavernosa","Florida"
"40849","GO:0016203","muscle attachment","BP",0.016953688,"muscle attachment","developmental processes","P","M.cavernosa","Florida"
"42571","GO:0018991","oviposition","BP",0.029098814,"oviposition","other biological processes","P","M.cavernosa","Florida"
"43697","GO:0021680","cerebellar Purkinje cell layer development","BP",0.026704721,"cerebellar Purkinje cell layer development","developmental processes","P","M.cavernosa","Florida"
"43907","GO:0021860","pyramidal neuron development","BP",0.024419533,"pyramidal neuron development","developmental processes","P","M.cavernosa","Florida"
"44057","GO:0021955","central nervous system neuron axonogenesis","BP",0.015510461,"central nervous system neuron axonogenesis","cell organization and biogenesis","P","M.cavernosa","Florida"
"44058","GO:0021955","central nervous system neuron axonogenesis","BP",0.015510461,"central nervous system neuron axonogenesis","developmental processes","P","M.cavernosa","Florida"
"44108","GO:0021983","pituitary gland development","BP",0.040156638,"pituitary gland development","developmental processes","P","M.cavernosa","Florida"
"44124","GO:0021998","neural plate mediolateral regionalization","BP",0.005289377,"neural plate mediolateral pattern formation","developmental processes","P","M.cavernosa","Florida"
"44219","GO:0022617","extracellular matrix disassembly","BP",0.036526514,"extracellular matrix disassembly","cell organization and biogenesis","P","M.cavernosa","Florida"
"44301","GO:0022900","electron transport chain","BP",0.001919699,"electron transport chain","other metabolic processes","P","M.cavernosa","Florida"
"44459","GO:0030166","proteoglycan biosynthetic process","BP",0.034080184,"proteoglycan biosynthetic process","other metabolic processes","P","M.cavernosa","Florida"
"44829","GO:0030587","sorocarp development","BP",0.030752658,"sorocarp development","stress response","P","M.cavernosa","Florida"
"44830","GO:0030587","sorocarp development","BP",0.030752658,"sorocarp development","developmental processes","P","M.cavernosa","Florida"
"45729","GO:0031396","regulation of protein ubiquitination","BP",0.038019541,"regulation of protein ubiquitination","protein metabolism","P","M.cavernosa","Florida"
"46040","GO:0031663","lipopolysaccharide-mediated signaling pathway","BP",0.023025443,"lipopolysaccharide-mediated signaling pathway","signal transduction","P","M.cavernosa","Florida"
"46640","GO:0032218","riboflavin transport","BP",0.019211729,"riboflavin transport","transport","P","M.cavernosa","Florida"
"46648","GO:0032226","positive regulation of synaptic transmission, dopaminergic","BP",0.00902976,"positive regulation of synaptic transmission, dopaminergic","cell-cell signaling","P","M.cavernosa","Florida"
"46652","GO:0032230","positive regulation of synaptic transmission, GABAergic","BP",0.047755981,"positive regulation of synaptic transmission, GABAergic","cell-cell signaling","P","M.cavernosa","Florida"
"46769","GO:0032332","positive regulation of chondrocyte differentiation","BP",0.018036683,"positive regulation of chondrocyte differentiation","developmental processes","P","M.cavernosa","Florida"
"46938","GO:0032486","Rap protein signal transduction","BP",0.007407729,"Rap protein signal transduction","signal transduction","P","M.cavernosa","Florida"
"47394","GO:0032915","positive regulation of transforming growth factor beta2 production","BP",0.005289377,"positive regulation of transforming growth factor-beta2 production","other biological processes","P","M.cavernosa","Florida"
"47748","GO:0033227","dsRNA transport","BP",0.022817482,"dsRNA transport","transport","P","M.cavernosa","Florida"
"48740","GO:0034116","positive regulation of heterotypic cell-cell adhesion","BP",0.009416404,"positive regulation of heterotypic cell-cell adhesion","developmental processes","P","M.cavernosa","Florida"
"48741","GO:0034116","positive regulation of heterotypic cell-cell adhesion","BP",0.009416404,"positive regulation of heterotypic cell-cell adhesion","cell adhesion","P","M.cavernosa","Florida"
"48786","GO:0034141","positive regulation of toll-like receptor 3 signaling pathway","BP",0.009328119,"positive regulation of toll-like receptor 3 signaling pathway","stress response","P","M.cavernosa","Florida"
"48787","GO:0034141","positive regulation of toll-like receptor 3 signaling pathway","BP",0.009328119,"positive regulation of toll-like receptor 3 signaling pathway","signal transduction","P","M.cavernosa","Florida"
"49315","GO:0034614","cellular response to reactive oxygen species","BP",0.0323525,"cellular response to reactive oxygen species","stress response","P","M.cavernosa","Florida"
"49773","GO:0035023","regulation of Rho protein signal transduction","BP",0.010385489,"regulation of Rho protein signal transduction","signal transduction","P","M.cavernosa","Florida"
"49775","GO:0035025","positive regulation of Rho protein signal transduction","BP",0.033433478,"positive regulation of Rho protein signal transduction","signal transduction","P","M.cavernosa","Florida"
"49851","GO:0035093","spermatogenesis, exchange of chromosomal proteins","BP",0.024326431,"spermatogenesis, exchange of chromosomal proteins","cell organization and biogenesis","P","M.cavernosa","Florida"
"49899","GO:0035137","hindlimb morphogenesis","BP",0.023531025,"hindlimb morphogenesis","developmental processes","P","M.cavernosa","Florida"
"50098","GO:0035669","TRAM-dependent toll-like receptor 4 signaling pathway","BP",0.009110924,NA,NA,NA,"M.cavernosa","Florida"
"50099","GO:0035912","dorsal aorta morphogenesis","BP",0.009898896,NA,NA,NA,"M.cavernosa","Florida"
"50100","GO:0035999","tetrahydrofolate interconversion","BP",0.024185742,NA,NA,NA,"M.cavernosa","Florida"
"50101","GO:0036010","protein localization to endosome","BP",0.023811038,NA,NA,NA,"M.cavernosa","Florida"
"50103","GO:0036120","cellular response to platelet-derived growth factor stimulus","BP",0.043272832,NA,NA,NA,"M.cavernosa","Florida"
"50105","GO:0038096","Fc-gamma receptor signaling pathway involved in phagocytosis","BP",0.014184481,NA,NA,NA,"M.cavernosa","Florida"
"50106","GO:0038180","nerve growth factor signaling pathway","BP",0.018529139,NA,NA,NA,"M.cavernosa","Florida"
"50107","GO:0039521","suppression by virus of host autophagy","BP",0.005654587,NA,NA,NA,"M.cavernosa","Florida"
"50108","GO:0039689","negative stranded viral RNA replication","BP",0.005654587,NA,NA,NA,"M.cavernosa","Florida"
"50133","GO:0040024","dauer larval development","BP",0.021352902,"dauer larval development","developmental processes","P","M.cavernosa","Florida"
"51747","GO:0043547","positive regulation of GTPase activity","BP",0.013626736,"positive regulation of GTPase activity","other biological processes","P","M.cavernosa","Florida"
"52457","GO:0044854","plasma membrane raft assembly","BP",0.005284331,NA,NA,NA,"M.cavernosa","Florida"
"53427","GO:0045937","positive regulation of phosphate metabolic process","BP",0.007668244,"positive regulation of phosphate metabolic process","other metabolic processes","P","M.cavernosa","Florida"
"53689","GO:0046167","glycerol-3-phosphate biosynthetic process","BP",0.00504164,"glycerol-3-phosphate biosynthetic process","other metabolic processes","P","M.cavernosa","Florida"
"53721","GO:0046203","spermidine catabolic process","BP",0.004225595,"spermidine catabolic process","other metabolic processes","P","M.cavernosa","Florida"
"53726","GO:0046208","spermine catabolic process","BP",0.004225595,"spermine catabolic process","other metabolic processes","P","M.cavernosa","Florida"
"55504","GO:0048009","insulin-like growth factor receptor signaling pathway","BP",0.021801135,"insulin-like growth factor receptor signaling pathway","signal transduction","P","M.cavernosa","Florida"
"55840","GO:0048352","paraxial mesoderm structural organization","BP",0.005289377,"paraxial mesoderm structural organization","developmental processes","P","M.cavernosa","Florida"
"55866","GO:0048378","regulation of lateral mesodermal cell fate specification","BP",0.025614247,"regulation of lateral mesodermal cell fate specification","developmental processes","P","M.cavernosa","Florida"
"55870","GO:0048382","mesendoderm development","BP",0.023890922,"mesendoderm development","developmental processes","P","M.cavernosa","Florida"
"56055","GO:0048592","eye morphogenesis","BP",0.000512722,"eye morphogenesis","developmental processes","P","M.cavernosa","Florida"
"56103","GO:0048643","positive regulation of skeletal muscle tissue development","BP",0.019897887,"positive regulation of skeletal muscle tissue development","developmental processes","P","M.cavernosa","Florida"
"57190","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","BP",0.022968759,"regulation of peptidyl-tyrosine phosphorylation","protein metabolism","P","M.cavernosa","Florida"
"57342","GO:0050877","nervous system process","BP",0.027694513,"neurological system process","other biological processes","P","M.cavernosa","Florida"
"57358","GO:0050893","sensory processing","BP",0.034578607,"sensory processing","other biological processes","P","M.cavernosa","Florida"
"57391","GO:0050927","positive regulation of positive chemotaxis","BP",0.016411549,"positive regulation of positive chemotaxis","other biological processes","P","M.cavernosa","Florida"
"57439","GO:0050975","sensory perception of touch","BP",0.029285013,"sensory perception of touch","other biological processes","P","M.cavernosa","Florida"
"57460","GO:0050996","positive regulation of lipid catabolic process","BP",0.009110924,"positive regulation of lipid catabolic process","other metabolic processes","P","M.cavernosa","Florida"
"57619","GO:0051148","negative regulation of muscle cell differentiation","BP",0.015343969,"negative regulation of muscle cell differentiation","other biological processes","P","M.cavernosa","Florida"
"57756","GO:0051280","negative regulation of release of sequestered calcium ion into cytosol","BP",0.012706826,"negative regulation of release of sequestered calcium ion into cytosol","transport","P","M.cavernosa","Florida"
"58063","GO:0051562","negative regulation of mitochondrial calcium ion concentration","BP",0.012706826,"reduction of mitochondrial calcium ion concentration","other biological processes","P","M.cavernosa","Florida"
"58089","GO:0051580","regulation of neurotransmitter uptake","BP",0.009300416,"regulation of neurotransmitter uptake","cell-cell signaling","P","M.cavernosa","Florida"
"58090","GO:0051580","regulation of neurotransmitter uptake","BP",0.009300416,"regulation of neurotransmitter uptake","transport","P","M.cavernosa","Florida"
"59257","GO:0060041","retina development in camera-type eye","BP",0.012608109,"retina development in camera-type eye","developmental processes","P","M.cavernosa","Florida"
"59545","GO:0060284","regulation of cell development","BP",0.043690888,"regulation of cell development","other biological processes","P","M.cavernosa","Florida"
"59615","GO:0060350","endochondral bone morphogenesis","BP",0.018251139,"endochondral bone morphogenesis","developmental processes","P","M.cavernosa","Florida"
"59620","GO:0060355","positive regulation of cell adhesion molecule production","BP",0.019442068,"positive regulation of cell adhesion molecule production","other biological processes","P","M.cavernosa","Florida"
"59660","GO:0060391","positive regulation of SMAD protein signal transduction","BP",0.027745706,"positive regulation of SMAD protein nuclear translocation","transport","P","M.cavernosa","Florida"
