"","GO.IDs","term","ontology","over_represented_pvalue","Species","Site"
"30","GO:0071380","cellular response to prostaglandin E stimulus","BP",0.032553671,"M.cavernosa","Florida"
"31","GO:0034614","cellular response to reactive oxygen species","BP",0.0323525,"M.cavernosa","Florida"
"33","GO:0090156","cellular sphingolipid homeostasis","BP",0.011406658,"M.cavernosa","Florida"
"35","GO:0021955","central nervous system neuron axonogenesis","BP",0.015510461,"M.cavernosa","Florida"
"37","GO:0021680","cerebellar Purkinje cell layer development","BP",0.026704721,"M.cavernosa","Florida"
"39","GO:0061684","chaperone-mediated autophagy","BP",0.011025332,"M.cavernosa","Florida"
"41","GO:0007635","chemosensory behavior","BP",0.023269311,"M.cavernosa","Florida"
"42","GO:0040024","dauer larval development","BP",0.021352902,"M.cavernosa","Florida"
"43","GO:1990504","dense core granule exocytosis","BP",0.012706826,"M.cavernosa","Florida"
"44","GO:0015966","diadenosine tetraphosphate biosynthetic process","BP",0.009090382,"M.cavernosa","Florida"
"47","GO:0035912","dorsal aorta morphogenesis","BP",0.009898896,"M.cavernosa","Florida"
"49","GO:0033227","dsRNA transport","BP",0.022817482,"M.cavernosa","Florida"
"51","GO:0007398","ectoderm development","BP",0.01918799,"M.cavernosa","Florida"
"53","GO:0022900","electron transport chain","BP",0.001919699,"M.cavernosa","Florida"
"61","GO:0003272","endocardial cushion formation","BP",0.010683252,"M.cavernosa","Florida"
"63","GO:0060350","endochondral bone morphogenesis","BP",0.018251139,"M.cavernosa","Florida"
"651","GO:0099638","endosome to plasma membrane protein transport","BP",0.010266755,"M.cavernosa","Florida"
"661","GO:0061028","establishment of endothelial barrier","BP",0.021079837,"M.cavernosa","Florida"
"67","GO:0001770","establishment of natural killer cell polarity","BP",0.005106591,"M.cavernosa","Florida"
"681","GO:0006703","estrogen biosynthetic process","BP",0.020076201,"M.cavernosa","Florida"
"702","GO:0022617","extracellular matrix disassembly","BP",0.036526514,"M.cavernosa","Florida"
"721","GO:0048592","eye morphogenesis","BP",0.000512722,"M.cavernosa","Florida"
"74","GO:0038096","Fc-gamma receptor signaling pathway involved in phagocytosis","BP",0.014184481,"M.cavernosa","Florida"
"752","GO:1905285","fibrous ring of heart morphogenesis","BP",0.005289377,"M.cavernosa","Florida"
"77","GO:0006071","glycerol metabolic process","BP",0.031802858,"M.cavernosa","Florida"
"78","GO:0046167","glycerol-3-phosphate biosynthetic process","BP",0.00504164,"M.cavernosa","Florida"
"79","GO:0006544","glycine metabolic process","BP",0.018851804,"M.cavernosa","Florida"
"801","GO:0006426","glycyl-tRNA aminoacylation","BP",0.00377484,"M.cavernosa","Florida"
"83","GO:0060914","heart formation","BP",0.020112146,"M.cavernosa","Florida"
"85","GO:0035137","hindlimb morphogenesis","BP",0.023531025,"M.cavernosa","Florida"
"87","GO:0099703","induction of synaptic vesicle exocytosis by positive regulation of presynaptic cytosolic calcium ion concentration","BP",0.010251631,"M.cavernosa","Florida"
"88","GO:0048009","insulin-like growth factor receptor signaling pathway","BP",0.021801135,"M.cavernosa","Florida"
"89","GO:0010102","lateral root morphogenesis","BP",0.003669778,"M.cavernosa","Florida"
"903","GO:0031663","lipopolysaccharide-mediated signaling pathway","BP",0.023025443,"M.cavernosa","Florida"
"912","GO:0002281","macrophage activation involved in immune response","BP",0.022248911,"M.cavernosa","Florida"
"92","GO:0002315","marginal zone B cell differentiation","BP",0.013569657,"M.cavernosa","Florida"
"94","GO:0048382","mesendoderm development","BP",0.023890922,"M.cavernosa","Florida"
"961","GO:0003183","mitral valve morphogenesis","BP",0.015257808,"M.cavernosa","Florida"
"98","GO:0001880","Mullerian duct regression","BP",0.010454942,"M.cavernosa","Florida"
"100","GO:0016203","muscle attachment","BP",0.016953688,"M.cavernosa","Florida"
"101","GO:1902731","negative regulation of chondrocyte proliferation","BP",0.009746732,"M.cavernosa","Florida"
"103","GO:2000619","negative regulation of histone H4-K16 acetylation","BP",0.005654587,"M.cavernosa","Florida"
"105","GO:1903609","negative regulation of inward rectifier potassium channel activity","BP",0.009151091,"M.cavernosa","Florida"
"106","GO:0051562","negative regulation of mitochondrial calcium ion concentration","BP",0.012706826,"M.cavernosa","Florida"
"107","GO:0090298","negative regulation of mitochondrial DNA replication","BP",0.005654587,"M.cavernosa","Florida"
"109","GO:0010917","negative regulation of mitochondrial membrane potential","BP",0.026092869,"M.cavernosa","Florida"
"110","GO:0051148","negative regulation of muscle cell differentiation","BP",0.015343969,"M.cavernosa","Florida"
"112","GO:1903204","negative regulation of oxidative stress-induced neuron death","BP",0.034494398,"M.cavernosa","Florida"
"1141","GO:0051280","negative regulation of release of sequestered calcium ion into cytosol","BP",0.012706826,"M.cavernosa","Florida"
"1151","GO:2001024","negative regulation of response to drug","BP",0.012706826,"M.cavernosa","Florida"
"1161","GO:0014912","negative regulation of smooth muscle cell migration","BP",0.019935896,"M.cavernosa","Florida"
"1181","GO:2000650","negative regulation of sodium ion transmembrane transporter activity","BP",0.012856776,"M.cavernosa","Florida"
"119","GO:0090155","negative regulation of sphingolipid biosynthetic process","BP",0.005654587,"M.cavernosa","Florida"
"1211","GO:0039689","negative stranded viral RNA replication","BP",0.005654587,"M.cavernosa","Florida"
"1231","GO:0038180","nerve growth factor signaling pathway","BP",0.018529139,"M.cavernosa","Florida"
"1241","GO:0050877","nervous system process","BP",0.027694513,"M.cavernosa","Florida"
"1271","GO:0014032","neural crest cell development","BP",0.001144569,"M.cavernosa","Florida"
"1321","GO:0021998","neural plate mediolateral regionalization","BP",0.005289377,"M.cavernosa","Florida"
"134","GO:0006807","nitrogen compound metabolic process","BP",0.017626361,"M.cavernosa","Florida"
"142","GO:0001550","ovarian cumulus expansion","BP",0.005289377,"M.cavernosa","Florida"
"144","GO:0018991","oviposition","BP",0.029098814,"M.cavernosa","Florida"
"145","GO:0048352","paraxial mesoderm structural organization","BP",0.005289377,"M.cavernosa","Florida"
"147","GO:0061626","pharyngeal arch artery morphogenesis","BP",0.014362501,"M.cavernosa","Florida"
"149","GO:0021983","pituitary gland development","BP",0.040156638,"M.cavernosa","Florida"
"151","GO:0044854","plasma membrane raft assembly","BP",0.005284331,"M.cavernosa","Florida"
"153","GO:0075044","positive regulation by symbiont of host autophagy","BP",0.010771441,"M.cavernosa","Florida"
"155","GO:1904719","positive regulation of AMPA glutamate receptor clustering","BP",0.005106591,"M.cavernosa","Florida"
"156","GO:1904414","positive regulation of cardiac ventricle development","BP",0.005289377,"M.cavernosa","Florida"
"158","GO:0060355","positive regulation of cell adhesion molecule production","BP",0.019442068,"M.cavernosa","Florida"
"160","GO:1901890","positive regulation of cell junction assembly","BP",0.009954662,"M.cavernosa","Florida"
"162","GO:2000049","positive regulation of cell-cell adhesion mediated by cadherin","BP",0.020297038,"M.cavernosa","Florida"
"164","GO:0010811","positive regulation of cell-substrate adhesion","BP",0.035030598,"M.cavernosa","Florida"
"165","GO:2001031","positive regulation of cellular glucuronidation","BP",0.009110924,"M.cavernosa","Florida"
"166","GO:0032332","positive regulation of chondrocyte differentiation","BP",0.018036683,"M.cavernosa","Florida"
"168","GO:0010634","positive regulation of epithelial cell migration","BP",0.005596614,"M.cavernosa","Florida"
"170","GO:1902043","positive regulation of extrinsic apoptotic signaling pathway via death domain receptors","BP",0.01099736,"M.cavernosa","Florida"
"172","GO:0043547","positive regulation of GTPase activity","BP",0.013626736,"M.cavernosa","Florida"
"175","GO:0034116","positive regulation of heterotypic cell-cell adhesion","BP",0.009416404,"M.cavernosa","Florida"
"177","GO:0050996","positive regulation of lipid catabolic process","BP",0.009110924,"M.cavernosa","Florida"
"178","GO:0070257","positive regulation of mucus secretion","BP",7.15e-05,"M.cavernosa","Florida"
"1811","GO:1901741","positive regulation of myoblast fusion","BP",0.013201201,"M.cavernosa","Florida"
"183","GO:0010976","positive regulation of neuron projection development","BP",0.032260528,"M.cavernosa","Florida"
"188","GO:0010862","positive regulation of pathway-restricted SMAD protein phosphorylation","BP",0.04356632,"M.cavernosa","Florida"
"190","GO:0045937","positive regulation of phosphate metabolic process","BP",0.007668244,"M.cavernosa","Florida"
"191","GO:0050927","positive regulation of positive chemotaxis","BP",0.016411549,"M.cavernosa","Florida"
"192","GO:1902895","positive regulation of pri-miRNA transcription by RNA polymerase II","BP",0.041691004,"M.cavernosa","Florida"
"194","GO:0071902","positive regulation of protein serine/threonine kinase activity","BP",0.024758684,"M.cavernosa","Florida"
"196","GO:0035025","positive regulation of Rho protein signal transduction","BP",0.033433478,"M.cavernosa","Florida"
"200","GO:0048643","positive regulation of skeletal muscle tissue development","BP",0.019897887,"M.cavernosa","Florida"
"2021","GO:0060391","positive regulation of SMAD protein signal transduction","BP",0.027745706,"M.cavernosa","Florida"
"204","GO:0032226","positive regulation of synaptic transmission, dopaminergic","BP",0.00902976,"M.cavernosa","Florida"
"206","GO:0032230","positive regulation of synaptic transmission, GABAergic","BP",0.047755981,"M.cavernosa","Florida"
"207","GO:0034141","positive regulation of toll-like receptor 3 signaling pathway","BP",0.009328119,"M.cavernosa","Florida"
"209","GO:0032915","positive regulation of transforming growth factor beta2 production","BP",0.005289377,"M.cavernosa","Florida"
"211","GO:1904707","positive regulation of vascular smooth muscle cell proliferation","BP",0.046221738,"M.cavernosa","Florida"
"213","GO:0090303","positive regulation of wound healing","BP",0.038440499,"M.cavernosa","Florida"
"214","GO:0010499","proteasomal ubiquitin-independent protein catabolic process","BP",0.016437567,"M.cavernosa","Florida"
"215","GO:0070528","protein kinase C signaling","BP",0.02815273,"M.cavernosa","Florida"
"217","GO:0006497","protein lipidation","BP",0.021325233,"M.cavernosa","Florida"
"219","GO:0036010","protein localization to endosome","BP",0.023811038,"M.cavernosa","Florida"
"220","GO:1903044","protein localization to membrane raft","BP",0.019942825,"M.cavernosa","Florida"
"222","GO:0097428","protein maturation by iron-sulfur cluster transfer","BP",0.024796912,"M.cavernosa","Florida"
"223","GO:0006513","protein monoubiquitination","BP",0.047496768,"M.cavernosa","Florida"
"226","GO:0030166","proteoglycan biosynthetic process","BP",0.034080184,"M.cavernosa","Florida"
"228","GO:0021860","pyramidal neuron development","BP",0.024419533,"M.cavernosa","Florida"
"230","GO:0032486","Rap protein signal transduction","BP",0.007407729,"M.cavernosa","Florida"
"231","GO:0060284","regulation of cell development","BP",0.043690888,"M.cavernosa","Florida"
"233","GO:1901888","regulation of cell junction assembly","BP",0.011237536,"M.cavernosa","Florida"
"234","GO:2000772","regulation of cellular senescence","BP",0.010394311,"M.cavernosa","Florida"
"236","GO:1903706","regulation of hemopoiesis","BP",0.022135443,"M.cavernosa","Florida"
"238","GO:0048378","regulation of lateral mesodermal cell fate specification","BP",0.025614247,"M.cavernosa","Florida"
"240","GO:0051580","regulation of neurotransmitter uptake","BP",0.009300416,"M.cavernosa","Florida"
"2421","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","BP",0.022968759,"M.cavernosa","Florida"
"2431","GO:0071900","regulation of protein serine/threonine kinase activity","BP",0.013966092,"M.cavernosa","Florida"
"2441","GO:0031396","regulation of protein ubiquitination","BP",0.038019541,"M.cavernosa","Florida"
"246","GO:0002090","regulation of receptor internalization","BP",0.029506907,"M.cavernosa","Florida"
"2481","GO:0035023","regulation of Rho protein signal transduction","BP",0.010385489,"M.cavernosa","Florida"
"250","GO:1902617","response to fluoride","BP",0.010614114,"M.cavernosa","Florida"
"252","GO:1904313","response to methamphetamine hydrochloride","BP",0.008770611,"M.cavernosa","Florida"
"253","GO:1902074","response to salt","BP",0.028231322,"M.cavernosa","Florida"
"254","GO:0009411","response to UV","BP",0.049569621,"M.cavernosa","Florida"
"255","GO:0060041","retina development in camera-type eye","BP",0.012608109,"M.cavernosa","Florida"
"258","GO:0032218","riboflavin transport","BP",0.019211729,"M.cavernosa","Florida"
"259","GO:0007606","sensory perception of chemical stimulus","BP",0.016289886,"M.cavernosa","Florida"
"260","GO:0050975","sensory perception of touch","BP",0.029285013,"M.cavernosa","Florida"
"261","GO:0050893","sensory processing","BP",0.034578607,"M.cavernosa","Florida"
"262","GO:0007525","somatic muscle development","BP",0.011051174,"M.cavernosa","Florida"
"263","GO:0030587","sorocarp development","BP",0.030752658,"M.cavernosa","Florida"
"264","GO:0035093","spermatogenesis, exchange of chromosomal proteins","BP",0.024326431,"M.cavernosa","Florida"
"265","GO:0046203","spermidine catabolic process","BP",0.004225595,"M.cavernosa","Florida"
"267","GO:0046208","spermine catabolic process","BP",0.004225595,"M.cavernosa","Florida"
"269","GO:0015918","sterol transport","BP",0.032841677,"M.cavernosa","Florida"
"2701","GO:0039521","suppression by virus of host autophagy","BP",0.005654587,"M.cavernosa","Florida"
"2721","GO:0035999","tetrahydrofolate interconversion","BP",0.024185742,"M.cavernosa","Florida"
"273","GO:1903602","thermospermine catabolic process","BP",0.004225595,"M.cavernosa","Florida"
"275","GO:0035669","TRAM-dependent toll-like receptor 4 signaling pathway","BP",0.009110924,"M.cavernosa","Florida"
"2761","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","BP",0.033629173,"M.cavernosa","Florida"
"2781","GO:0003186","tricuspid valve morphogenesis","BP",0.005289377,"M.cavernosa","Florida"
"280","GO:0006641","triglyceride metabolic process","BP",0.03877324,"M.cavernosa","Florida"
"281","GO:0003223","ventricular compact myocardium morphogenesis","BP",0.024379728,"M.cavernosa","Florida"
"283","GO:0060412","ventricular septum morphogenesis","BP",0.042771719,"M.cavernosa","Florida"
"285","GO:0003222","ventricular trabecula myocardium morphogenesis","BP",0.022580629,"M.cavernosa","Florida"
"287","GO:0016032","viral process","BP",0.02823049,"M.cavernosa","Florida"
"5","GO:0043065","positive regulation of apoptotic process","BP",0.0293161967458291,"O.faveolata","Florida"
"7","GO:0009967","positive regulation of signal transduction","BP",0.023515805378922,"O.faveolata","Florida"
"11","GO:0006955","immune response","BP",0.0207877424158439,"O.faveolata","Florida"
"13","GO:0001701","in utero embryonic development","BP",0.026484491554184,"O.faveolata","Florida"
"1410","GO:0009791","post-embryonic development","BP",0.0118395764300183,"O.faveolata","Florida"
"15","GO:0033037","polysaccharide localization","BP",0.00226062380349728,"O.faveolata","Florida"
"1610","GO:0090050","positive regulation of cell migration involved in sprouting angiogenesis","BP",0.00540391017629176,"O.faveolata","Florida"
"1710","GO:0048589","developmental growth","BP",0.0118768481206077,"O.faveolata","Florida"
"184","GO:0043066","negative regulation of apoptotic process","BP",0.0450327425567693,"O.faveolata","Florida"
"1911","GO:0030512","negative regulation of transforming growth factor beta receptor signaling pathway","BP",0.0119920081322938,"O.faveolata","Florida"
"208","GO:0007585","respiratory gaseous exchange by respiratory system","BP",0.00348739806139617,"O.faveolata","Florida"
"216","GO:0030206","chondroitin sulfate biosynthetic process","BP",0.00439936032482092,"O.faveolata","Florida"
"24","GO:0045893","positive regulation of transcription, DNA-templated","BP",0.0395569630696894,"O.faveolata","Florida"
"26","GO:1900745","positive regulation of p38MAPK cascade","BP",0.00677895300935677,"O.faveolata","Florida"
"277","GO:2000773","negative regulation of cellular senescence","BP",0.00613043011070298,"O.faveolata","Florida"
"295","GO:0042733","embryonic digit morphogenesis","BP",0.0098206968999555,"O.faveolata","Florida"
"307","GO:0002063","chondrocyte development","BP",0.00431982223350761,"O.faveolata","Florida"
"316","GO:0048703","embryonic viscerocranium morphogenesis","BP",0.00674253780636777,"O.faveolata","Florida"
"32","GO:0071864","positive regulation of cell proliferation in bone marrow","BP",0.00303514761460099,"O.faveolata","Florida"
"331","GO:0036342","post-anal tail morphogenesis","BP",0.0110911269628763,"O.faveolata","Florida"
"351","GO:0003008","system process","BP",0.0207986464351217,"O.faveolata","Florida"
"36","GO:0046777","protein autophosphorylation","BP",0.0252651623617438,"O.faveolata","Florida"
"379","GO:0050655","dermatan sulfate proteoglycan metabolic process","BP",0.000761440159945576,"O.faveolata","Florida"
"40","GO:0071260","cellular response to mechanical stimulus","BP",0.0116151231087962,"O.faveolata","Florida"
"417","GO:0050896","response to stimulus","BP",0.0422206496367251,"O.faveolata","Florida"
"423","GO:0043123","positive regulation of I-kappaB kinase/NF-kappaB signaling","BP",0.0120933668214507,"O.faveolata","Florida"
"431","GO:0042127","regulation of cell population proliferation","BP",0.0153396549107457,"O.faveolata","Florida"
"152","GO:0008614","pyridoxine metabolic process","BP",0.0280627133165739,"P.acuta","Hawaii"
"210","GO:0008615","pyridoxine biosynthetic process","BP",0.0392976531458539,"P.acuta","Hawaii"
"55","GO:0055114","oxidation-reduction process","BP",0.0129138783984272,"P.acuta","Hawaii"
"710","GO:0002168","instar larval development","BP",0.013160630881287,"P.acuta","Hawaii"
"9","GO:0016571","histone methylation","BP",0.0248711000102883,"P.acuta","Hawaii"
"104","GO:1905516","positive regulation of fertilization","BP",0.0184369786565883,"P.acuta","Hawaii"
"1210","GO:0007292","female gamete generation","BP",0.0424138328719339,"P.acuta","Hawaii"
"1310","GO:0060903","positive regulation of meiosis I","BP",0.0120316600909532,"P.acuta","Hawaii"
"1510","GO:0051567","histone H3-K9 methylation","BP",0.015524627860811,"P.acuta","Hawaii"
"1712","GO:0006311","meiotic gene conversion","BP",0.00794944630766018,"P.acuta","Hawaii"
"1912","GO:1905437","positive regulation of histone H3-K4 trimethylation","BP",0.00781312350401769,"P.acuta","Hawaii"
"2010","GO:0044648","histone H3-K4 dimethylation","BP",0.0174709558087123,"P.acuta","Hawaii"
"218","GO:0097198","histone H3-K36 trimethylation","BP",0.00187009089603829,"P.acuta","Hawaii"
"232","GO:0048232","male gamete generation","BP",0.0227951793809806,"P.acuta","Hawaii"
"2410","GO:0097676","histone H3-K36 dimethylation","BP",0.00215862812533471,"P.acuta","Hawaii"
"2510","GO:1990918","double-strand break repair involved in meiotic recombination","BP",0.0127338837671867,"P.acuta","Hawaii"
"2610","GO:0010845","positive regulation of reciprocal meiotic recombination","BP",0.00834556267726665,"P.acuta","Hawaii"
"279","GO:0051568","histone H3-K4 methylation","BP",0.00504657188127514,"P.acuta","Hawaii"
"28","GO:2001255","positive regulation of histone H3-K36 trimethylation","BP",0.0106746494777866,"P.acuta","Hawaii"
"297","GO:0034968","histone lysine methylation","BP",0.00890611851318778,"P.acuta","Hawaii"
"3010","GO:0097692","histone H3-K4 monomethylation","BP",0.0141177618491436,"P.acuta","Hawaii"
"317","GO:0043588","skin development","BP",0.0106514626816518,"P.acuta","Hawaii"
"321","GO:0030500","regulation of bone mineralization","BP",0.000165419440609687,"P.acuta","Hawaii"
"333","GO:0014909","smooth muscle cell migration","BP",2.51535444050308e-06,"P.acuta","Hawaii"
"34","GO:0045669","positive regulation of osteoblast differentiation","BP",0.000965590383002573,"P.acuta","Hawaii"
"352","GO:0010763","positive regulation of fibroblast migration","BP",3.83078358459964e-05,"P.acuta","Hawaii"
"361","GO:0003416","endochondral bone growth","BP",0.000596884925278045,"P.acuta","Hawaii"
"3710","GO:0034103","regulation of tissue remodeling","BP",1.44581514389834e-05,"P.acuta","Hawaii"
"38","GO:0018108","peptidyl-tyrosine phosphorylation","BP",0.00680741518544651,"P.acuta","Hawaii"
"394","GO:0031100","animal organ regeneration","BP",0.0016427876363374,"P.acuta","Hawaii"
"419","GO:0035988","chondrocyte proliferation","BP",0.000980804882012351,"P.acuta","Hawaii"
"424","GO:0030199","collagen fibril organization","BP",0.014932311427517,"P.acuta","Hawaii"
"441","GO:0001503","ossification","BP",0.0021581027612895,"P.acuta","Hawaii"
"45","GO:0007565","female pregnancy","BP",0.00167844387213663,"P.acuta","Hawaii"
"46","GO:0044319","wound healing, spreading of cells","BP",3.34561551355441e-05,"P.acuta","Hawaii"
"4710","GO:0001952","regulation of cell-matrix adhesion","BP",2.80737211418797e-05,"P.acuta","Hawaii"
"48","GO:1990138","neuron projection extension","BP",0.000907821576603974,"P.acuta","Hawaii"
"512","GO:0060444","branching involved in mammary gland duct morphogenesis","BP",0.000126149951408219,"P.acuta","Hawaii"
"52","GO:0090091","positive regulation of extracellular matrix disassembly","BP",0.000162867174906491,"P.acuta","Hawaii"
"534","GO:0007595","lactation","BP",0.00573473109235968,"P.acuta","Hawaii"
"54","GO:0010715","regulation of extracellular matrix disassembly","BP",0.000150786457450313,"P.acuta","Hawaii"
"57","GO:0051091","positive regulation of DNA-binding transcription factor activity","BP",0.0127813432959614,"P.acuta","Hawaii"
"58","GO:0001558","regulation of cell growth","BP",0.00623352827667099,"P.acuta","Hawaii"
"59","GO:0048146","positive regulation of fibroblast proliferation","BP",0.0159615867798635,"P.acuta","Hawaii"
"60","GO:0031214","biomineral tissue development","BP",3.20040412509475e-05,"P.acuta","Hawaii"
"6110","GO:0060749","mammary gland alveolus development","BP",5.31585473507209e-06,"P.acuta","Hawaii"
"62","GO:0038063","collagen-activated tyrosine kinase receptor signaling pathway","BP",0.000136374775178866,"P.acuta","Hawaii"
"632","GO:0038083","peptidyl-tyrosine autophosphorylation","BP",0.000257828514261959,"P.acuta","Hawaii"
"64","GO:0061302","smooth muscle cell-matrix adhesion","BP",3.7298895125723e-07,"P.acuta","Hawaii"
"652","GO:0033674","positive regulation of kinase activity","BP",0.013624455734055,"P.acuta","Hawaii"
"662","GO:0061564","axon development","BP",0.0011631361952557,"P.acuta","Hawaii"
"671","GO:0043583","ear development","BP",0.00181929898083964,"P.acuta","Hawaii"
"682","GO:0007566","embryo implantation","BP",0.00592887332461384,"P.acuta","Hawaii"
"691","GO:2000850","negative regulation of glucocorticoid secretion","BP",0.000855761603763184,"P.acuta","Hawaii"
"722","GO:0006975","DNA damage induced protein phosphorylation","BP",0.007818024700968,"P.acuta","Hawaii"
"731","GO:2000001","regulation of DNA damage checkpoint","BP",0.000379246161008611,"P.acuta","Hawaii"
"743","GO:0043153","entrainment of circadian clock by photoperiod","BP",0.040485111844615,"P.acuta","Hawaii"
"756","GO:0050896","response to stimulus","BP",0.000696942642566455,"P.acuta","Hawaii"
"76","GO:0042754","negative regulation of circadian rhythm","BP",0.00825440574797146,"P.acuta","Hawaii"
"783","GO:0042752","regulation of circadian rhythm","BP",0.0101451864229339,"P.acuta","Hawaii"
"802","GO:0033762","response to glucagon","BP",0.0150380953042921,"P.acuta","Hawaii"
"81","GO:0014823","response to activity","BP",0.0363836638730489,"P.acuta","Hawaii"
"82","GO:2000323","negative regulation of glucocorticoid receptor signaling pathway","BP",0.00382719347057545,"P.acuta","Hawaii"
"84","GO:0018298","protein-chromophore linkage","BP",0.00137799241530732,"P.acuta","Hawaii"
"851","GO:0031397","negative regulation of protein ubiquitination","BP",0.00182739476841542,"P.acuta","Hawaii"
"8710","GO:0045721","negative regulation of gluconeogenesis","BP",0.0242040503691813,"P.acuta","Hawaii"
"8810","GO:0045744","negative regulation of G protein-coupled receptor signaling pathway","BP",0.00492184504092093,"P.acuta","Hawaii"
"891","GO:0009785","blue light signaling pathway","BP",0.00603851416201815,"P.acuta","Hawaii"
"9010","GO:0017000","antibiotic biosynthetic process","BP",0.012024168313281,"P.acuta","Hawaii"
"95","GO:0050667","homocysteine metabolic process","BP",0.0106739650008018,"P.acuta","Hawaii"
"962","GO:0070814","hydrogen sulfide biosynthetic process","BP",0.013110139337373,"P.acuta","Hawaii"
"981","GO:0018272","protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine","BP",0.00412006865028155,"P.acuta","Hawaii"
"99","GO:1904831","positive regulation of aortic smooth muscle cell differentiation","BP",0.00634372197424556,"P.acuta","Hawaii"
"1001","GO:0044524","protein sulfhydration","BP",0.00412006865028155,"P.acuta","Hawaii"
"1011","GO:0019343","cysteine biosynthetic process via cystathionine","BP",0.00756466789092137,"P.acuta","Hawaii"
"102","GO:0008652","cellular amino acid biosynthetic process","BP",0.040660174689644,"P.acuta","Hawaii"
"1031","GO:0019344","cysteine biosynthetic process","BP",0.00543021117506844,"P.acuta","Hawaii"
"1051","GO:0019346","transsulfuration","BP",0.0206964743543152,"P.acuta","Hawaii"
"1071","GO:0006534","cysteine metabolic process","BP",0.000707553102981437,"P.acuta","Hawaii"
"1111","GO:0071476","cellular hypotonic response","BP",0.00543040167091058,"P.acuta","Hawaii"
"1121","GO:0006626","protein targeting to mitochondrion","BP",0.0144729169294906,"P.acuta","Hawaii"
"1131","GO:0006694","steroid biosynthetic process","BP",0.0307231173425446,"P.acuta","Hawaii"
"1142","GO:0006700","C21-steroid hormone biosynthetic process","BP",0.00166865668171028,"P.acuta","Hawaii"
"1152","GO:2000379","positive regulation of reactive oxygen species metabolic process","BP",0.0188739180569451,"P.acuta","Hawaii"
"1163","GO:0051901","positive regulation of mitochondrial depolarization","BP",0.0119479559018091,"P.acuta","Hawaii"
"117","GO:0072656","maintenance of protein location in mitochondrion","BP",0.00384410891493501,"P.acuta","Hawaii"
"1182","GO:0048266","behavioral response to pain","BP",0.00434418507076883,"P.acuta","Hawaii"
"1212","GO:0010940","positive regulation of necrotic cell death","BP",0.00323430086885657,"P.acuta","Hawaii"
"1221","GO:0060253","negative regulation of glial cell proliferation","BP",0.00624073133283941,"P.acuta","Hawaii"
"1232","GO:0032570","response to progesterone","BP",0.034040332503288,"P.acuta","Hawaii"
"1251","GO:1903147","negative regulation of autophagy of mitochondrion","BP",0.00637064191870063,"P.acuta","Hawaii"
"1261","GO:0006820","anion transport","BP",0.0428248270060915,"P.acuta","Hawaii"
"1273","GO:0050810","regulation of steroid biosynthetic process","BP",0.00877242588244854,"P.acuta","Hawaii"
"1291","GO:0060242","contact inhibition","BP",0.00220818374963499,"P.acuta","Hawaii"
"1301","GO:0014012","peripheral nervous system axon regeneration","BP",0.0182293971595155,"P.acuta","Hawaii"
"131","GO:0048265","response to pain","BP",0.0390827354954397,"P.acuta","Hawaii"
"1322","GO:0045019","negative regulation of nitric oxide biosynthetic process","BP",0.048703333635075,"P.acuta","Hawaii"
"1331","GO:0072655","establishment of protein localization to mitochondrion","BP",0.00513503657835041,"P.acuta","Hawaii"
"1341","GO:0006783","heme biosynthetic process","BP",0.000230077591632319,"P.acuta","Hawaii"
"135","GO:0010042","response to manganese ion","BP",0.0267497626889636,"P.acuta","Hawaii"
"1361","GO:0008347","glial cell migration","BP",0.00763649260639969,"P.acuta","Hawaii"
"137","GO:2000853","negative regulation of corticosterone secretion","BP",0.000219555010745325,"P.acuta","Hawaii"
"138","GO:0010823","negative regulation of mitochondrion organization","BP",0.000938303021766533,"P.acuta","Hawaii"
"139","GO:0010266","response to vitamin B1","BP",0.000898251696944297,"P.acuta","Hawaii"
"140","GO:1903579","negative regulation of ATP metabolic process","BP",0.000664406262205026,"P.acuta","Hawaii"
"141","GO:0033574","response to testosterone","BP",0.0487020796913676,"P.acuta","Hawaii"
"1421","GO:0032374","regulation of cholesterol transport","BP",0.0120317903834113,"P.acuta","Hawaii"
"143","GO:0060252","positive regulation of glial cell proliferation","BP",0.0272181276454752,"P.acuta","Hawaii"
"146","GO:1904231","positive regulation of succinate dehydrogenase activity","BP",0.0449052683153339,"P.acuta","Hawaii"
"148","GO:0045333","cellular respiration","BP",0.000126403146143639,"P.acuta","Hawaii"
"1531","GO:0015854","guanine transport","BP",0.0331079538837967,"P.acuta","Hawaii"
"154","GO:0006856","eye pigment precursor transport","BP",0.0258101700666021,"P.acuta","Hawaii"
"1561","GO:1903716","guanine transmembrane transport","BP",0.0258101700666021,"P.acuta","Hawaii"
"1581","GO:0042441","eye pigment metabolic process","BP",0.0258101700666021,"P.acuta","Hawaii"
"161","GO:0042401","cellular biogenic amine biosynthetic process","BP",0.0258101700666021,"P.acuta","Hawaii"
"1621","GO:0070731","cGMP transport","BP",0.0353118530098725,"P.acuta","Hawaii"
"1641","GO:0042906","xanthine transport","BP",0.0258101700666021,"P.acuta","Hawaii"
"1662","GO:0032218","riboflavin transport","BP",0.0139094133181857,"P.acuta","Hawaii"
"167","GO:0042332","gravitaxis","BP",0.0438740400794284,"P.acuta","Hawaii"
