Orthogroup	GCF_002042975.1_ofav_dov_v1_protein	Mcavernosa.maker.proteins
OG0000917	XP_020620914.1	Mcavernosa18957-RA
OG0000917	XP_020620873.1	Mcavernosa27449-RA
OG0000918	XP_020614514.1, XP_020614509.1, XP_020614508.1, XP_020614513.1, XP_020614512.1, XP_020614516.1, XP_020614510.1, XP_020614511.1, XP_020614515.1	Mcavernosa20426-RA
OG0000919	XP_020601762.1	Mcavernosa03146-RA
OG0000919	XP_020601761.1	Mcavernosa03154-RA
OG0000921	XP_020627626.1	Mcavernosa18542-RA
OG0000922	XP_020600789.1	Mcavernosa29519-RA, Mcavernosa29518-RA
OG0000922	XP_020601016.1, XP_020600768.1, XP_020600767.1	Mcavernosa29517-RA
OG0000923	XP_020626072.1	Mcavernosa21890-RA
OG0000923	XP_020626186.1	Mcavernosa03342-RA, Mcavernosa18758-RA
OG0000924	XP_020604617.1	Mcavernosa27490-RA, Mcavernosa28534-RA
OG0000925	XP_020614873.1, XP_020631312.1, XP_020604713.1, XP_020604812.1, XP_020631345.1	Mcavernosa13448-RA
OG0000925	XP_020608242.1	Mcavernosa08880-RA
OG0000925	XP_020608269.1	Mcavernosa08879-RA
OG0000926	XP_020605852.1, XP_020605847.1, XP_020605848.1	Mcavernosa12158-RA, Mcavernosa12161-RA, Mcavernosa12152-RA, Mcavernosa12155-RA, Mcavernosa12156-RA, Mcavernosa12159-RA, Mcavernosa12157-RA, Mcavernosa12143-RA, Mcavernosa12160-RA, Mcavernosa12150-RA
OG0000927	XP_020627094.1	Mcavernosa17728-RA
OG0000927	XP_020608359.1	Mcavernosa12948-RA
OG0000927	XP_020608361.1, XP_020608420.1	Mcavernosa12954-RA
OG0000928	XP_020620061.1, XP_020610631.1	Mcavernosa34998-RA, Mcavernosa29361-RA, Mcavernosa20750-RA, Mcavernosa15626-RA, Mcavernosa23188-RA, Mcavernosa18424-RA, Mcavernosa02724-RA
OG0000929	XP_020612549.1	Mcavernosa18098-RA, Mcavernosa18079-RA, Mcavernosa34244-RA, Mcavernosa21287-RA
OG0000930	XP_020628510.1	Mcavernosa10633-RA
OG0000930	XP_020615129.1	Mcavernosa21352-RA
OG0000931	XP_020619981.1	Mcavernosa29373-RA, Mcavernosa18809-RA, Mcavernosa18810-RA, Mcavernosa18811-RA, Mcavernosa18808-RA
OG0000932	XP_020623119.1	Mcavernosa35214-RA
OG0000933	XP_020626879.1, XP_020626878.1, XP_020626877.1	Mcavernosa25892-RA, Mcavernosa25894-RA
OG0000934	XP_020631238.1	Mcavernosa05328-RA, Mcavernosa35046-RA, Mcavernosa19060-RA, Mcavernosa10799-RA
OG0000935	XP_020632263.1, XP_020632261.1	Mcavernosa24937-RA, Mcavernosa24941-RA
OG0000935	XP_020632227.1	Mcavernosa24940-RA
OG0000944	XP_020628001.1, XP_020628000.1	Mcavernosa29830-RA, Mcavernosa29420-RA
OG0000944	XP_020629955.1	Mcavernosa21550-RA
OG0000945	XP_020606335.1	Mcavernosa23468-RA
OG0000946	XP_020619398.1	Mcavernosa09601-RA
OG0000946	XP_020619340.1	Mcavernosa09593-RA, Mcavernosa09592-RA
OG0000947	XP_020628025.1	Mcavernosa06054-RA
OG0000947	XP_020628024.1, XP_020628026.1	Mcavernosa03416-RA, Mcavernosa09989-RA, Mcavernosa06058-RA, Mcavernosa02711-RA, Mcavernosa09990-RA, Mcavernosa03417-RA
OG0000949	XP_020632813.1, XP_020632814.1	Mcavernosa15984-RA
OG0000949	XP_020632815.1	Mcavernosa15986-RA
OG0000950	XP_020624113.1	Mcavernosa07700-RA, Mcavernosa07704-RA, Mcavernosa07696-RA, Mcavernosa28912-RA, Mcavernosa25137-RA
OG0000951	XP_020628173.1, XP_020600949.1, XP_020631014.1, XP_020612619.1, XP_020609374.1, XP_020609367.1, XP_020609373.1, XP_020609366.1, XP_020628225.1, XP_020628226.1	Mcavernosa22742-RA
OG0000952	XP_020618503.1	Mcavernosa15904-RA
OG0000956	XP_020604503.1	Mcavernosa28456-RA
OG0000960	XP_020626761.1	Mcavernosa08208-RA
OG0000960	XP_020613317.1	Mcavernosa08199-RA
OG0000960	XP_020612763.1, XP_020613297.1, XP_020613309.1	Mcavernosa08204-RA, Mcavernosa08200-RA
OG0000961	XP_020624775.1, XP_020624767.1, XP_020624768.1, XP_020624765.1	Mcavernosa34810-RA, Mcavernosa00400-RA, Mcavernosa00403-RA
OG0000963	XP_020610392.1, XP_020610393.1, XP_020610406.1, XP_020610422.1, XP_020610423.1, XP_020610434.1	Mcavernosa24507-RA
OG0000964	XP_020626343.1	Mcavernosa30419-RA, Mcavernosa26602-RA, Mcavernosa25760-RA, Mcavernosa33888-RA, Mcavernosa27042-RA, Mcavernosa33420-RA, Mcavernosa21548-RA, Mcavernosa11080-RA, Mcavernosa07643-RA, Mcavernosa30714-RA, Mcavernosa28960-RA
OG0000965	XP_020606999.1	Mcavernosa05619-RA, Mcavernosa14815-RA
OG0000965	XP_020629777.1, XP_020629769.1, XP_020629747.1, XP_020629755.1, XP_020629761.1, XP_020629784.1	Mcavernosa05617-RA
OG0000966	XP_020605312.1, XP_020626342.1	Mcavernosa18817-RA
OG0000966	XP_020616415.1, XP_020627129.1	Mcavernosa15229-RA
OG0000967	XP_020612147.1	Mcavernosa28056-RA
OG0000968	XP_020629091.1	Mcavernosa27834-RA
OG0000969	XP_020612286.1	Mcavernosa02747-RA
OG0000969	XP_020612284.1	Mcavernosa02746-RA
OG0000970	XP_020615049.1	Mcavernosa04790-RA
OG0000971	XP_020629959.1	Mcavernosa23045-RA, Mcavernosa23041-RA
OG0000971	XP_020616953.1, XP_020616971.1	Mcavernosa23046-RA, Mcavernosa23047-RA
OG0000977	XP_020631213.1	Mcavernosa15661-RA, Mcavernosa15660-RA, Mcavernosa33001-RA, Mcavernosa29362-RA, Mcavernosa22602-RA, Mcavernosa34369-RA
OG0000979	XP_020626836.1, XP_020627038.1	Mcavernosa25004-RA
OG0000980	XP_020603675.1, XP_020603674.1, XP_020612160.1, XP_020612111.1	Mcavernosa13553-RA
OG0000980	XP_020612174.1	Mcavernosa19301-RA
OG0000981	XP_020609585.1	Mcavernosa05192-RA
OG0000982	XP_020631492.1	Mcavernosa08103-RA
OG0000983	XP_020628518.1	Mcavernosa29531-RA, Mcavernosa29535-RA
OG0000984	XP_020632873.1	Mcavernosa21695-RA
OG0000984	XP_020632880.1, XP_020632883.1, XP_020632882.1, XP_020632881.1, XP_020632885.1	Mcavernosa29604-RA, Mcavernosa29606-RA
OG0000986	XP_020627571.1	Mcavernosa30894-RA
OG0000986	XP_020622594.1, XP_020622618.1	Mcavernosa34887-RA
OG0000986	XP_020619508.1	Mcavernosa04560-RA
OG0000987	XP_020630922.1	Mcavernosa27970-RA, Mcavernosa33079-RA
OG0000988	XP_020618711.1	Mcavernosa19332-RA
OG0000988	XP_020629268.1	Mcavernosa27718-RA
OG0000990	XP_020604369.1, XP_020604253.1, XP_020632278.1, XP_020632279.1	Mcavernosa02960-RA
OG0000991	XP_020601336.1	Mcavernosa20692-RA
OG0000991	XP_020612426.1, XP_020612427.1	Mcavernosa00952-RA
OG0000992	XP_020619114.1, XP_020619112.1	Mcavernosa18487-RA
OG0000992	XP_020619107.1, XP_020619105.1, XP_020619106.1, XP_020619103.1, XP_020619085.1, XP_020619086.1	Mcavernosa16767-RA
OG0000993	XP_020604915.1	Mcavernosa10340-RA
OG0000993	XP_020604852.1, XP_020604853.1, XP_020604854.1	Mcavernosa16925-RA
OG0000994	XP_020611910.1, XP_020611856.1	Mcavernosa33189-RA, Mcavernosa34496-RA
OG0000994	XP_020611946.1	Mcavernosa28700-RA, Mcavernosa28698-RA, Mcavernosa28693-RA
OG0000994	XP_020611963.1	Mcavernosa28695-RA
OG0000995	XP_020625256.1	Mcavernosa16210-RA, Mcavernosa16208-RA
OG0000995	XP_020625282.1	Mcavernosa16212-RA
OG0000996	XP_020602122.1	Mcavernosa21078-RA
OG0000997	XP_020622119.1, XP_020622120.1, XP_020622117.1, XP_020622118.1, XP_020622115.1, XP_020622116.1	Mcavernosa12676-RA
OG0000998	XP_020609290.1	Mcavernosa34361-RA, Mcavernosa23667-RA, Mcavernosa30343-RA
OG0000998	XP_020609291.1	Mcavernosa27128-RA, Mcavernosa21406-RA
OG0000999	XP_020631556.1, XP_020631557.1	Mcavernosa29044-RA
OG0001001	XP_020627314.1, XP_020627316.1, XP_020627315.1, XP_020627313.1	Mcavernosa14553-RA, Mcavernosa14555-RA
OG0001001	XP_020627318.1	Mcavernosa14558-RA
OG0001002	XP_020618315.1, XP_020618316.1	Mcavernosa24622-RA, Mcavernosa23316-RA
OG0001002	XP_020618345.1	Mcavernosa24623-RA
OG0001003	XP_020609101.1	Mcavernosa08140-RA
OG0001003	XP_020609097.1, XP_020609100.1, XP_020609099.1, XP_020609098.1	Mcavernosa04815-RA, Mcavernosa22482-RA
OG0001005	XP_020604951.1, XP_020604948.1, XP_020604944.1, XP_020604947.1, XP_020604946.1, XP_020604950.1, XP_020604949.1, XP_020604954.1, XP_020604952.1, XP_020604953.1	Mcavernosa26257-RA
OG0001006	XP_020602749.1, XP_020602748.1, XP_020602747.1, XP_020602746.1, XP_020602752.1, XP_020602751.1, XP_020602745.1, XP_020602750.1	Mcavernosa15666-RA, Mcavernosa30878-RA
OG0001007	XP_020627746.1	Mcavernosa03712-RA
OG0001007	XP_020627780.1, XP_020627781.1	Mcavernosa32870-RA, Mcavernosa03711-RA
OG0001008	XP_020631464.1	Mcavernosa00459-RA, Mcavernosa00460-RA, Mcavernosa00461-RA, Mcavernosa00462-RA
OG0001008	XP_020631465.1	Mcavernosa00458-RA, Mcavernosa00457-RA
OG0001011	XP_020620242.1, XP_020620380.1, XP_020620241.1	Mcavernosa03221-RA, Mcavernosa03230-RA
OG0001013	XP_020627890.1, XP_020627891.1, XP_020627893.1, XP_020627944.1, XP_020627889.1	Mcavernosa18056-RA
OG0001014	XP_020618615.1	Mcavernosa26591-RA, Mcavernosa26593-RA
OG0001014	XP_020609977.1	Mcavernosa26585-RA
OG0001014	XP_020629497.1	Mcavernosa24701-RA
OG0001015	XP_020627134.1	Mcavernosa16556-RA, Mcavernosa16555-RA
OG0001016	XP_020621666.1, XP_020621508.1, XP_020621500.1, XP_020606851.1	Mcavernosa30493-RA
OG0001017	XP_020602435.1, XP_020602434.1, XP_020602433.1, XP_020602432.1, XP_020602436.1, XP_020602437.1, XP_020602439.1, XP_020602438.1	Mcavernosa28389-RA, Mcavernosa28387-RA
OG0001018	XP_020603074.1	Mcavernosa24649-RA, Mcavernosa24648-RA
OG0001018	XP_020620217.1, XP_020632613.1	Mcavernosa16270-RA
OG0001019	XP_020624111.1	Mcavernosa06208-RA
OG0001019	XP_020612202.1	Mcavernosa06209-RA
OG0001019	XP_020625835.1	Mcavernosa06206-RA
OG0001020	XP_020603446.1	Mcavernosa34216-RA
OG0001020	XP_020603403.1	Mcavernosa21265-RA
OG0001021	XP_020603209.1, XP_020603210.1, XP_020603211.1	Mcavernosa21339-RA
OG0001022	XP_020603253.1, XP_020613479.1, XP_020613480.1, XP_020603325.1	Mcavernosa21328-RA, Mcavernosa34814-RA, Mcavernosa21325-RA, Mcavernosa18606-RA
OG0001025	XP_020604840.1, XP_020604480.1, XP_020604548.1, XP_020604340.1, XP_020604270.1, XP_020604623.1, XP_020604693.1, XP_020604115.1, XP_020604766.1, XP_020604413.1, XP_020604191.1	Mcavernosa01501-RA
OG0001026	XP_020629396.1, XP_020629403.1	Mcavernosa21768-RA
OG0001027	XP_020627064.1	Mcavernosa21653-RA
OG0001027	XP_020627062.1, XP_020627061.1	Mcavernosa21648-RA
OG0001028	XP_020615026.1, XP_020620083.1, XP_020620164.1, XP_020620165.1, XP_020615027.1, XP_020615016.1, XP_020615015.1, XP_020615017.1, XP_020615018.1	Mcavernosa17740-RA
OG0001029	XP_020627611.1, XP_020627614.1	Mcavernosa30792-RA
OG0001029	XP_020605086.1, XP_020605078.1	Mcavernosa17954-RA
OG0001030	XP_020620656.1, XP_020620421.1, XP_020620422.1, XP_020620655.1	Mcavernosa28417-RA
OG0001032	XP_020630655.1, XP_020630657.1, XP_020630656.1	Mcavernosa01721-RA, Mcavernosa01720-RA
OG0001033	XP_020626384.1	Mcavernosa05897-RA
OG0001033	XP_020630423.1	Mcavernosa12669-RA
OG0001034	XP_020630437.1, XP_020630438.1	Mcavernosa21576-RA, Mcavernosa27759-RA
OG0001035	XP_020612043.1, XP_020612096.1	Mcavernosa10900-RA
OG0001035	XP_020612044.1	Mcavernosa10901-RA
OG0001035	XP_020612047.1, XP_020612046.1	Mcavernosa34457-RA
OG0001036	XP_020619360.1, XP_020619359.1, XP_020619356.1, XP_020619358.1, XP_020619357.1	Mcavernosa08293-RA
OG0001037	XP_020623802.1	Mcavernosa32967-RA
OG0001037	XP_020614035.1	Mcavernosa17036-RA
OG0001038	XP_020631344.1	Mcavernosa33960-RA
OG0001038	XP_020631307.1	Mcavernosa04089-RA
OG0001039	XP_020605027.1, XP_020605023.1	Mcavernosa25372-RA, Mcavernosa22169-RA, Mcavernosa22168-RA, Mcavernosa02296-RA
OG0001039	XP_020631049.1	Mcavernosa31940-RA, Mcavernosa31941-RA
OG0001040	XP_020625470.1, XP_020625471.1	Mcavernosa02259-RA
OG0001040	XP_020625480.1, XP_020625479.1	Mcavernosa02257-RA
OG0001041	XP_020622307.1, XP_020622317.1	Mcavernosa20714-RA
OG0001041	XP_020622389.1	Mcavernosa20713-RA, Mcavernosa33223-RA
OG0001042	XP_020618235.1, XP_020618236.1	Mcavernosa01672-RA, Mcavernosa01671-RA
OG0001042	XP_020611365.1	Mcavernosa07526-RA
OG0001043	XP_020623828.1	Mcavernosa10098-RA
OG0001043	XP_020603166.1	Mcavernosa06468-RA
OG0001043	XP_020632215.1	Mcavernosa11303-RA, Mcavernosa11295-RA
OG0001044	XP_020624138.1, XP_020624139.1, XP_020624141.1, XP_020624142.1, XP_020624143.1, XP_020624137.1, XP_020624135.1, XP_020624134.1, XP_020624136.1	Mcavernosa08987-RA
OG0001045	XP_020614068.1, XP_020614073.1, XP_020614074.1, XP_020614067.1	Mcavernosa17017-RA
OG0001046	XP_020613399.1	Mcavernosa25291-RA
OG0001046	XP_020624769.1	Mcavernosa00366-RA, Mcavernosa13394-RA
OG0001046	XP_020613509.1	Mcavernosa25294-RA, Mcavernosa25284-RA
OG0001047	XP_020630905.1, XP_020632686.1, XP_020632684.1, XP_020632685.1, XP_020632688.1, XP_020632689.1, XP_020632687.1	Mcavernosa30262-RA, Mcavernosa21878-RA, Mcavernosa24056-RA
OG0001048	XP_020620613.1, XP_020620615.1, XP_020620614.1	Mcavernosa12540-RA
OG0001049	XP_020602947.1, XP_020602946.1, XP_020608316.1, XP_020608244.1	Mcavernosa08888-RA
OG0001050	XP_020603029.1, XP_020603026.1, XP_020603025.1, XP_020603028.1, XP_020603027.1, XP_020603022.1, XP_020603024.1, XP_020603015.1, XP_020603017.1, XP_020603014.1, XP_020603016.1, XP_020603018.1, XP_020603023.1, XP_020603019.1	Mcavernosa18973-RA
OG0001051	XP_020623178.1, XP_020623134.1	Mcavernosa12103-RA
OG0001052	XP_020603333.1	Mcavernosa27510-RA, Mcavernosa06820-RA, Mcavernosa19001-RA, Mcavernosa04874-RA, Mcavernosa13988-RA, Mcavernosa30108-RA, Mcavernosa17665-RA, Mcavernosa34233-RA, Mcavernosa16258-RA, Mcavernosa09346-RA
OG0001053	XP_020604618.1, XP_020624432.1	Mcavernosa30345-RA, Mcavernosa33428-RA
OG0001053	XP_020604446.1, XP_020604453.1	Mcavernosa07796-RA, Mcavernosa05285-RA
OG0001055	XP_020606334.1	Mcavernosa12646-RA, Mcavernosa12648-RA
OG0001058	XP_020609150.1	Mcavernosa09267-RA, Mcavernosa09268-RA
OG0001060	XP_020609722.1	Mcavernosa22918-RA
OG0001060	XP_020632383.1	Mcavernosa22915-RA
OG0001061	XP_020609930.1, XP_020609934.1	Mcavernosa19187-RA, Mcavernosa19197-RA, Mcavernosa33312-RA, Mcavernosa27233-RA, Mcavernosa19196-RA, Mcavernosa27230-RA
OG0001062	XP_020610378.1	Mcavernosa18305-RA, Mcavernosa32936-RA, Mcavernosa27064-RA, Mcavernosa25404-RA, Mcavernosa27070-RA, Mcavernosa33606-RA, Mcavernosa27066-RA, Mcavernosa02830-RA
OG0001065	XP_020612179.1, XP_020631702.1, XP_020631701.1	Mcavernosa26618-RA, Mcavernosa26616-RA, Mcavernosa28561-RA, Mcavernosa24257-RA
OG0001065	XP_020619070.1, XP_020619071.1, XP_020619072.1, XP_020618998.1, XP_020618999.1	Mcavernosa07171-RA
OG0001066	XP_020621251.1, XP_020621252.1	Mcavernosa22351-RA
OG0001066	XP_020621287.1	Mcavernosa22352-RA
OG0001066	XP_020621249.1	Mcavernosa22354-RA
OG0001066	XP_020621288.1	Mcavernosa22355-RA
OG0001067	XP_020623710.1	Mcavernosa10095-RA
OG0001067	XP_020623709.1	Mcavernosa10097-RA
OG0001067	XP_020623847.1, XP_020623848.1, XP_020623697.1, XP_020623891.1	Mcavernosa10096-RA
OG0001068	XP_020628156.1	Mcavernosa21502-RA, Mcavernosa16734-RA, Mcavernosa33049-RA, Mcavernosa16735-RA, Mcavernosa16740-RA
OG0001068	XP_020627737.1	Mcavernosa23677-RA, Mcavernosa23676-RA, Mcavernosa16736-RA, Mcavernosa34628-RA
OG0001069	XP_020630313.1	Mcavernosa28905-RA
OG0001073	XP_020602840.1, XP_020623036.1	Mcavernosa29704-RA
OG0001076	XP_020624394.1	Mcavernosa13893-RA, Mcavernosa13896-RA
OG0001080	XP_020622676.1, XP_020622677.1	Mcavernosa05578-RA
OG0001082	XP_020630602.1	Mcavernosa01478-RA
OG0001084	XP_020612970.1	Mcavernosa30105-RA
OG0001086	XP_020623206.1	Mcavernosa13699-RA
OG0001089	XP_020629989.1, XP_020629988.1	Mcavernosa18428-RA, Mcavernosa18429-RA
OG0001090	XP_020614017.1, XP_020614018.1, XP_020614019.1, XP_020614020.1	Mcavernosa15352-RA
OG0001090	XP_020614021.1, XP_020614022.1	Mcavernosa15350-RA
OG0001093	XP_020606956.1, XP_020606954.1, XP_020606953.1, XP_020606952.1	Mcavernosa02692-RA
OG0001093	XP_020606921.1	Mcavernosa02693-RA
OG0001094	XP_020603093.1	Mcavernosa17321-RA, Mcavernosa17322-RA
OG0001095	XP_020624913.1	Mcavernosa25823-RA
OG0001097	XP_020625498.1	Mcavernosa34152-RA, Mcavernosa29295-RA
OG0001098	XP_020624103.1	Mcavernosa06210-RA
OG0001098	XP_020619856.1	Mcavernosa21662-RA
OG0001098	XP_020619825.1, XP_020609824.1, XP_020609825.1	Mcavernosa15075-RA
OG0001099	XP_020619463.1	Mcavernosa07393-RA
OG0001099	XP_020613739.1, XP_020613737.1	Mcavernosa31725-RA, Mcavernosa31727-RA, Mcavernosa31726-RA
OG0001100	XP_020629606.1	Mcavernosa07830-RA
OG0001100	XP_020629602.1	Mcavernosa26927-RA
OG0001102	XP_020606269.1, XP_020606272.1, XP_020606271.1	Mcavernosa19443-RA, Mcavernosa19442-RA, Mcavernosa19441-RA
OG0001103	XP_020627307.1	Mcavernosa06692-RA
OG0001103	XP_020627436.1	Mcavernosa06695-RA
OG0001103	XP_020627319.1	Mcavernosa06697-RA, Mcavernosa32858-RA
OG0001104	XP_020626672.1	Mcavernosa25771-RA, Mcavernosa25770-RA, Mcavernosa25483-RA
OG0001107	XP_020630824.1, XP_020630808.1, XP_020630809.1, XP_020630807.1	Mcavernosa17254-RA, Mcavernosa29140-RA, Mcavernosa17251-RA, Mcavernosa34573-RA, Mcavernosa17252-RA
OG0001108	XP_020619301.1, XP_020619303.1	Mcavernosa24282-RA
OG0001108	XP_020616585.1, XP_020616583.1	Mcavernosa24278-RA, Mcavernosa24280-RA
OG0001108	XP_020604698.1	Mcavernosa07110-RA
OG0001110	XP_020614185.1	Mcavernosa24946-RA, Mcavernosa24947-RA, Mcavernosa24945-RA
OG0001111	XP_020612276.1, XP_020612393.1	Mcavernosa03467-RA
OG0001111	XP_020612390.1, XP_020612389.1	Mcavernosa03468-RA
OG0001112	XP_020629588.1, XP_020629587.1	Mcavernosa33847-RA, Mcavernosa12903-RA, Mcavernosa12895-RA
OG0001112	XP_020632766.1	Mcavernosa12902-RA
OG0001118	XP_020620577.1, XP_020620449.1, XP_020620448.1, XP_020620578.1, XP_020620808.1	Mcavernosa25456-RA
OG0001121	XP_020632791.1	Mcavernosa05991-RA
OG0001122	XP_020606960.1, XP_020606951.1, XP_020606943.1	Mcavernosa12124-RA, Mcavernosa12118-RA, Mcavernosa12121-RA
OG0001123	XP_020612702.1, XP_020612703.1, XP_020612701.1	Mcavernosa34117-RA, Mcavernosa04126-RA, Mcavernosa34796-RA
OG0001123	XP_020615733.1	Mcavernosa04085-RA
OG0001124	XP_020610138.1	Mcavernosa19329-RA
OG0001124	XP_020607725.1	Mcavernosa27373-RA, Mcavernosa17755-RA, Mcavernosa30937-RA
OG0001125	XP_020625283.1	Mcavernosa13449-RA
OG0001125	XP_020625255.1, XP_020625253.1	Mcavernosa16215-RA
OG0001126	XP_020619878.1, XP_020619877.1, XP_020619839.1	Mcavernosa02201-RA
OG0001127	XP_020626154.1	Mcavernosa08693-RA, Mcavernosa08691-RA, Mcavernosa08692-RA
OG0001128	XP_020627029.1, XP_020627027.1, XP_020623746.1	Mcavernosa24994-RA, Mcavernosa23521-RA
OG0001128	XP_020627018.1	Mcavernosa24987-RA, Mcavernosa24991-RA, Mcavernosa24985-RA
OG0001129	XP_020628799.1	Mcavernosa16490-RA
OG0001130	XP_020630698.1, XP_020630699.1	Mcavernosa08033-RA
OG0001130	XP_020615447.1	Mcavernosa06799-RA
OG0001132	XP_020612843.1, XP_020612842.1, XP_020612841.1, XP_020612840.1, XP_020612839.1, XP_020612838.1, XP_020612844.1	Mcavernosa07869-RA
OG0001133	XP_020631509.1, XP_020631538.1, XP_020631552.1	Mcavernosa19294-RA
OG0001135	XP_020601023.1, XP_020601396.1	Mcavernosa07851-RA
OG0001137	XP_020613671.1, XP_020613670.1, XP_020613668.1, XP_020613664.1, XP_020613663.1, XP_020613666.1, XP_020613667.1, XP_020613665.1, XP_020613669.1	Mcavernosa22520-RA
OG0001140	XP_020627434.1, XP_020612403.1	Mcavernosa02774-RA
OG0001141	XP_020604776.1, XP_020604777.1, XP_020604666.1	Mcavernosa16952-RA
OG0001141	XP_020604775.1	Mcavernosa16954-RA
OG0001142	XP_020626135.1, XP_020626136.1, XP_020626129.1, XP_020626134.1, XP_020626130.1, XP_020626131.1, XP_020626132.1	Mcavernosa19170-RA
OG0001143	XP_020619759.1	Mcavernosa31274-RA, Mcavernosa31275-RA
OG0001144	XP_020612457.1, XP_020612456.1, XP_020612455.1, XP_020612458.1	Mcavernosa00951-RA
OG0001144	XP_020625017.1, XP_020625018.1	Mcavernosa00950-RA
OG0001147	XP_020622963.1	Mcavernosa32260-RA
OG0001148	XP_020603419.1	Mcavernosa23001-RA
OG0001149	XP_020605222.1	Mcavernosa14351-RA
OG0001151	XP_020628597.1	Mcavernosa29076-RA
OG0001152	XP_020603879.1	Mcavernosa32074-RA
OG0001152	XP_020603878.1	Mcavernosa32075-RA
OG0001152	XP_020601595.1	Mcavernosa32709-RA, Mcavernosa16790-RA
OG0001153	XP_020607392.1	Mcavernosa01602-RA, Mcavernosa01603-RA
OG0001154	XP_020629486.1, XP_020629487.1	Mcavernosa24711-RA
OG0001155	XP_020626353.1	Mcavernosa05955-RA
OG0001155	XP_020626377.1	Mcavernosa05952-RA, Mcavernosa05950-RA, Mcavernosa05954-RA
OG0001156	XP_020608246.1	Mcavernosa22389-RA
OG0001156	XP_020608307.1, XP_020608291.1	Mcavernosa22392-RA
OG0001157	XP_020616174.1	Mcavernosa16113-RA, Mcavernosa16104-RA, Mcavernosa30645-RA
OG0001157	XP_020611451.1	Mcavernosa11441-RA
OG0001159	XP_020603205.1	Mcavernosa00861-RA
OG0001159	XP_020603204.1	Mcavernosa32509-RA, Mcavernosa00863-RA, Mcavernosa26125-RA
OG0001160	XP_020617665.1	Mcavernosa16098-RA, Mcavernosa16090-RA, Mcavernosa16091-RA
OG0001160	XP_020617616.1, XP_020617638.1	Mcavernosa16095-RA
OG0001161	XP_020612803.1, XP_020612801.1	Mcavernosa01753-RA
OG0001161	XP_020612907.1, XP_020612800.1	Mcavernosa01754-RA
OG0001161	XP_020612830.1	Mcavernosa01752-RA
OG0001162	XP_020610078.1	Mcavernosa08231-RA, Mcavernosa08232-RA
OG0001162	XP_020610048.1, XP_020610050.1	Mcavernosa03219-RA
OG0001163	XP_020628091.1	Mcavernosa02685-RA, Mcavernosa19769-RA, Mcavernosa17664-RA
OG0001164	XP_020622194.1, XP_020622221.1	Mcavernosa13736-RA
OG0001164	XP_020622222.1	Mcavernosa13738-RA, Mcavernosa13737-RA
OG0001164	XP_020622195.1	Mcavernosa13735-RA
OG0001165	XP_020607785.1, XP_020607788.1, XP_020607786.1	Mcavernosa15706-RA
OG0001166	XP_020625205.1, XP_020625204.1	Mcavernosa19592-RA
OG0001166	XP_020625206.1	Mcavernosa19591-RA, Mcavernosa19596-RA, Mcavernosa10616-RA
OG0001167	XP_020611613.1	Mcavernosa10123-RA, Mcavernosa27157-RA, Mcavernosa29139-RA
OG0001168	XP_020616254.1, XP_020616257.1, XP_020616258.1, XP_020616259.1, XP_020616256.1, XP_020616262.1, XP_020616263.1, XP_020616255.1, XP_020616261.1, XP_020616260.1	Mcavernosa24151-RA
OG0001169	XP_020608591.1, XP_020608487.1, XP_020604215.1, XP_020604207.1, XP_020604224.1	Mcavernosa21539-RA, Mcavernosa29640-RA
OG0001170	XP_020623903.1	Mcavernosa23506-RA
OG0001172	XP_020615757.1	Mcavernosa17496-RA
OG0001172	XP_020615742.1, XP_020615756.1	Mcavernosa17497-RA
OG0001173	XP_020615885.1	Mcavernosa08043-RA
OG0001174	XP_020630215.1	Mcavernosa03803-RA
OG0001174	XP_020621019.1	Mcavernosa17413-RA, Mcavernosa17408-RA
OG0001174	XP_020620995.1	Mcavernosa17409-RA
OG0001175	XP_020608543.1	Mcavernosa22038-RA, Mcavernosa34643-RA, Mcavernosa22036-RA
OG0001175	XP_020608619.1	Mcavernosa34647-RA, Mcavernosa22037-RA
OG0001176	XP_020624071.1	Mcavernosa17272-RA
OG0001176	XP_020624063.1, XP_020624065.1, XP_020624064.1, XP_020629504.1	Mcavernosa15680-RA
OG0001178	XP_020616306.1, XP_020616305.1, XP_020616471.1	Mcavernosa10617-RA
OG0001179	XP_020617697.1	Mcavernosa17480-RA, Mcavernosa17484-RA, Mcavernosa17485-RA
OG0001179	XP_020617667.1, XP_020617671.1, XP_020617676.1	Mcavernosa17489-RA
OG0001180	XP_020607150.1	Mcavernosa33710-RA, Mcavernosa01730-RA, Mcavernosa26035-RA
OG0001181	XP_020608575.1, XP_020608574.1, XP_020608576.1, XP_020608577.1	Mcavernosa19013-RA
OG0001181	XP_020608623.1	Mcavernosa19015-RA
OG0001182	XP_020605662.1, XP_020610248.1	Mcavernosa31900-RA
OG0001183	XP_020606554.1	Mcavernosa11930-RA
OG0001184	XP_020602460.1, XP_020602467.1	Mcavernosa22295-RA
OG0001185	XP_020618482.1	Mcavernosa03322-RA
OG0001185	XP_020618467.1, XP_020618466.1	Mcavernosa03325-RA
OG0001186	XP_020615002.1, XP_020615001.1	Mcavernosa13176-RA, Mcavernosa28919-RA
OG0001188	XP_020625825.1, XP_020623144.1	Mcavernosa25025-RA
OG0001188	XP_020626747.1, XP_020626746.1, XP_020626831.1	Mcavernosa25024-RA
