Orthogroup	GCF_002042975.1_ofav_dov_v1_protein	Pocillopora_acuta_HIv1.genes.pep
OG0001612	XP_020601117.1, XP_020601118.1, XP_020601116.1, XP_020601120.1	Pocillopora_acuta_HIv1_PredGene_g30843.t1, Pocillopora_acuta_HIv1_PredGene_g30843.t2, Pocillopora_acuta_HIv1_PredGene_g30843.t3
OG0001613	XP_020632865.1, XP_020632872.1	Pocillopora_acuta_HIv1_PredGene_g10636.t1, Pocillopora_acuta_HIv1_PredGene_g24097.t1, Pocillopora_acuta_HIv1_PredGene_g24105.t1
OG0001614	XP_020604538.1	Pocillopora_acuta_HIv1_PredGene_g11747.t1, Pocillopora_acuta_HIv1_PredGene_8715_t
OG0001615	XP_020627245.1, XP_020627244.1, XP_020627243.1, XP_020627242.1	Pocillopora_acuta_HIv1_PredGene_g10199.t1
OG0001616	XP_020617643.1, XP_020617644.1	Pocillopora_acuta_HIv1_PredGene_g6501.t1, Pocillopora_acuta_HIv1_PredGene_g8154.t1, Pocillopora_acuta_HIv1_PredGene_g6476.t1, Pocillopora_acuta_HIv1_PredGene_g6473.t1, Pocillopora_acuta_HIv1_PredGene_g8196.t1, Pocillopora_acuta_HIv1_PredGene_g6503.t1, Pocillopora_acuta_HIv1_PredGene_5756_t
OG0001617	XP_020619449.1, XP_020619450.1	Pocillopora_acuta_HIv1_PredGene_g23983.t1
OG0001617	XP_020624299.1	Pocillopora_acuta_HIv1_PredGene_g1196.t1
OG0001618	XP_020614724.1	Pocillopora_acuta_HIv1_PredGene_g3820.t1, Pocillopora_acuta_HIv1_PredGene_g3821.t1, Pocillopora_acuta_HIv1_PredGene_g3822.t1
OG0001619	XP_020606009.1, XP_020606008.1	Pocillopora_acuta_HIv1_PredGene_g31044.t1
OG0001619	XP_020606145.1	Pocillopora_acuta_HIv1_PredGene_g31043.t1, Pocillopora_acuta_HIv1_PredGene_g31042.t1
OG0001621	XP_020608660.1	Pocillopora_acuta_HIv1_PredGene_520_t, Pocillopora_acuta_HIv1_PredGene_g7537.t1
OG0001622	XP_020613103.1	Pocillopora_acuta_HIv1_PredGene_g660.t1, Pocillopora_acuta_HIv1_PredGene_g670.t1, Pocillopora_acuta_HIv1_PredGene_g674.t1, Pocillopora_acuta_HIv1_PredGene_g661.t1, Pocillopora_acuta_HIv1_PredGene_g675.t1, Pocillopora_acuta_HIv1_PredGene_g3162.t1, Pocillopora_acuta_HIv1_PredGene_g3163.t1, Pocillopora_acuta_HIv1_PredGene_g673.t1
OG0001623	XP_020619619.1, XP_020619643.1, XP_020619634.1, XP_020619598.1, XP_020619606.1, XP_020619591.1, XP_020619611.1, XP_020619627.1	Pocillopora_acuta_HIv1_PredGene_g22771.t1
OG0001625	XP_020617091.1	Pocillopora_acuta_HIv1_PredGene_g7525.t1, Pocillopora_acuta_HIv1_PredGene_g7523.t1
OG0001625	XP_020614558.1	Pocillopora_acuta_HIv1_PredGene_g31100.t1
OG0001626	XP_020621712.1, XP_020621718.1	Pocillopora_acuta_HIv1_PredGene_31906_t, Pocillopora_acuta_HIv1_PredGene_30128_t, Pocillopora_acuta_HIv1_PredGene_g8909.t1, Pocillopora_acuta_HIv1_PredGene_g2196.t1, Pocillopora_acuta_HIv1_PredGene_g8910.t1, Pocillopora_acuta_HIv1_PredGene_g2195.t1
OG0001627	XP_020608379.1, XP_020608380.1, XP_020608378.1	Pocillopora_acuta_HIv1_PredGene_g10398.t1, Pocillopora_acuta_HIv1_PredGene_27698_t, Pocillopora_acuta_HIv1_PredGene_g656.t1, Pocillopora_acuta_HIv1_PredGene_g657.t1
OG0001628	XP_020627275.1	Pocillopora_acuta_HIv1_PredGene_5526_t
OG0001628	XP_020627189.1	Pocillopora_acuta_HIv1_PredGene_g30771.t2, Pocillopora_acuta_HIv1_PredGene_g30771.t1, Pocillopora_acuta_HIv1_PredGene_g20285.t1, Pocillopora_acuta_HIv1_PredGene_g20285.t2, Pocillopora_acuta_HIv1_PredGene_5525_t
OG0001629	XP_020625415.1, XP_020629300.1	Pocillopora_acuta_HIv1_PredGene_g21938.t2, Pocillopora_acuta_HIv1_PredGene_g21938.t1, Pocillopora_acuta_HIv1_PredGene_g26950.t1
OG0001629	XP_020632484.1, XP_020624068.1	Pocillopora_acuta_HIv1_PredGene_g26894.t1, Pocillopora_acuta_HIv1_PredGene_g21939.t1
OG0001630	XP_020626519.1	Pocillopora_acuta_HIv1_PredGene_g3721.t1
OG0001631	XP_020630994.1	Pocillopora_acuta_HIv1_PredGene_15350_t, Pocillopora_acuta_HIv1_PredGene_4507_t, Pocillopora_acuta_HIv1_PredGene_15351_t, Pocillopora_acuta_HIv1_PredGene_g2257.t1, Pocillopora_acuta_HIv1_PredGene_g26981.t1
OG0001632	XP_020617479.1	Pocillopora_acuta_HIv1_PredGene_7002_t, Pocillopora_acuta_HIv1_PredGene_g20533.t1
OG0001634	XP_020606927.1, XP_020606925.1	Pocillopora_acuta_HIv1_PredGene_g11854.t1
OG0001634	XP_020607008.1	Pocillopora_acuta_HIv1_PredGene_g11855.t1
OG0001635	XP_020622402.1, XP_020622403.1, XP_020622404.1, XP_020622401.1	Pocillopora_acuta_HIv1_PredGene_g10051.t1, Pocillopora_acuta_HIv1_PredGene_12318_t, Pocillopora_acuta_HIv1_PredGene_g10052.t1
OG0001636	XP_020630871.1	Pocillopora_acuta_HIv1_PredGene_g774.t1, Pocillopora_acuta_HIv1_PredGene_g25096.t1, Pocillopora_acuta_HIv1_PredGene_g33207.t1, Pocillopora_acuta_HIv1_PredGene_g33208.t1
OG0001636	XP_020621562.1	Pocillopora_acuta_HIv1_PredGene_g601.t1, Pocillopora_acuta_HIv1_PredGene_g598.t1
OG0001637	XP_020614831.1, XP_020614826.1, XP_020614827.1, XP_020614830.1, XP_020614829.1, XP_020614828.1	Pocillopora_acuta_HIv1_PredGene_g24514.t1, Pocillopora_acuta_HIv1_PredGene_g24514.t3, Pocillopora_acuta_HIv1_PredGene_g24514.t2
OG0001638	XP_020629038.1	Pocillopora_acuta_HIv1_PredGene_g7445.t1
OG0001638	XP_020628992.1	Pocillopora_acuta_HIv1_PredGene_g7469.t1, Pocillopora_acuta_HIv1_PredGene_g7469.t2
OG0001639	XP_020601794.1, XP_020601780.1	Pocillopora_acuta_HIv1_PredGene_g10683.t1
OG0001640	XP_020619265.1, XP_020619263.1, XP_020619262.1, XP_020619264.1	Pocillopora_acuta_HIv1_PredGene_g32975.t1, Pocillopora_acuta_HIv1_PredGene_g32975.t2, Pocillopora_acuta_HIv1_PredGene_g32975.t3
OG0001641	XP_020609037.1, XP_020601720.1, XP_020608967.1, XP_020609039.1, XP_020609038.1, XP_020609040.1	Pocillopora_acuta_HIv1_PredGene_g7113.t2, Pocillopora_acuta_HIv1_PredGene_g7113.t1
OG0001642	XP_020615304.1, XP_020615305.1, XP_020615303.1, XP_020615306.1	Pocillopora_acuta_HIv1_PredGene_g9669.t1, Pocillopora_acuta_HIv1_PredGene_g11514.t1
OG0001643	XP_020609302.1, XP_020609303.1	Pocillopora_acuta_HIv1_PredGene_g4455.t1, Pocillopora_acuta_HIv1_PredGene_g4450.t1, Pocillopora_acuta_HIv1_PredGene_g4414.t1, Pocillopora_acuta_HIv1_PredGene_g4463.t1, Pocillopora_acuta_HIv1_PredGene_g4406.t1, Pocillopora_acuta_HIv1_PredGene_g4399.t1, Pocillopora_acuta_HIv1_PredGene_g4419.t1
OG0001644	XP_020601204.1, XP_020601191.1, XP_020601201.1, XP_020601202.1, XP_020601199.1	Pocillopora_acuta_HIv1_PredGene_g30854.t1, Pocillopora_acuta_HIv1_PredGene_g30854.t2
OG0001645	XP_020600998.1, XP_020601000.1, XP_020601001.1, XP_020601002.1, XP_020600999.1	Pocillopora_acuta_HIv1_PredGene_g30679.t1, Pocillopora_acuta_HIv1_PredGene_g30679.t2, Pocillopora_acuta_HIv1_PredGene_g30680.t1, Pocillopora_acuta_HIv1_PredGene_g30681.t1
OG0001646	XP_020609362.1	Pocillopora_acuta_HIv1_PredGene_17509_t, Pocillopora_acuta_HIv1_PredGene_18723_t, Pocillopora_acuta_HIv1_PredGene_26886_t, Pocillopora_acuta_HIv1_PredGene_g6088.t1, Pocillopora_acuta_HIv1_PredGene_g5043.t1
OG0001647	XP_020615864.1, XP_020600809.1, XP_020600807.1, XP_020600808.1, XP_020600806.1	Pocillopora_acuta_HIv1_PredGene_g14689.t1
OG0001649	XP_020609336.1, XP_020609337.1, XP_020609338.1, XP_020609339.1	Pocillopora_acuta_HIv1_PredGene_g21846.t5, Pocillopora_acuta_HIv1_PredGene_g21846.t3, Pocillopora_acuta_HIv1_PredGene_g21846.t1, Pocillopora_acuta_HIv1_PredGene_g21846.t2, Pocillopora_acuta_HIv1_PredGene_g21846.t4
OG0001650	XP_020618681.1, XP_020618680.1, XP_020618678.1, XP_020618677.1	Pocillopora_acuta_HIv1_PredGene_g12102.t1, Pocillopora_acuta_HIv1_PredGene_9841_t, Pocillopora_acuta_HIv1_PredGene_g1191.t1, Pocillopora_acuta_HIv1_PredGene_11560_t, Pocillopora_acuta_HIv1_PredGene_27586_t
OG0001651	XP_020601993.1	Pocillopora_acuta_HIv1_PredGene_g16630.t1, Pocillopora_acuta_HIv1_PredGene_g11071.t1, Pocillopora_acuta_HIv1_PredGene_g20019.t1, Pocillopora_acuta_HIv1_PredGene_24654_t, Pocillopora_acuta_HIv1_PredGene_30274_t, Pocillopora_acuta_HIv1_PredGene_18718_t
OG0001652	XP_020608139.1, XP_020608138.1, XP_020608137.1, XP_020608136.1, XP_020608135.1, XP_020608134.1	Pocillopora_acuta_HIv1_PredGene_g4193.t1, Pocillopora_acuta_HIv1_PredGene_g4186.t1, Pocillopora_acuta_HIv1_PredGene_g4192.t1
OG0001653	XP_020615010.1, XP_020615011.1	Pocillopora_acuta_HIv1_PredGene_g25448.t1, Pocillopora_acuta_HIv1_PredGene_g5549.t1, Pocillopora_acuta_HIv1_PredGene_20614_t
OG0001653	XP_020620169.1	Pocillopora_acuta_HIv1_PredGene_g5532.t1
OG0001654	XP_020617190.1	Pocillopora_acuta_HIv1_PredGene_g2187.t2, Pocillopora_acuta_HIv1_PredGene_g5425.t2, Pocillopora_acuta_HIv1_PredGene_g20831.t2, Pocillopora_acuta_HIv1_PredGene_g20831.t1, Pocillopora_acuta_HIv1_PredGene_g20831.t3
OG0001655	XP_020631167.1, XP_020631177.1, XP_020631192.1, XP_020631184.1, XP_020631200.1, XP_020631171.1	Pocillopora_acuta_HIv1_PredGene_32095_t, Pocillopora_acuta_HIv1_PredGene_g5302.t2, Pocillopora_acuta_HIv1_PredGene_g5302.t1
OG0001656	XP_020612433.1, XP_020612421.1	Pocillopora_acuta_HIv1_PredGene_g21007.t1, Pocillopora_acuta_HIv1_PredGene_10661_t
OG0001657	XP_020616773.1, XP_020616775.1, XP_020616776.1, XP_020616777.1, XP_020616792.1	Pocillopora_acuta_HIv1_PredGene_g28271.t1, Pocillopora_acuta_HIv1_PredGene_g20201.t1, Pocillopora_acuta_HIv1_PredGene_22556_t
OG0001658	XP_020623319.1	Pocillopora_acuta_HIv1_PredGene_g4050.t1, Pocillopora_acuta_HIv1_PredGene_g32006.t1, Pocillopora_acuta_HIv1_PredGene_g6965.t1, Pocillopora_acuta_HIv1_PredGene_g28616.t1, Pocillopora_acuta_HIv1_PredGene_g4493.t1, Pocillopora_acuta_HIv1_PredGene_g33497.t1, Pocillopora_acuta_HIv1_PredGene_g33522.t1, Pocillopora_acuta_HIv1_PredGene_g10387.t1
OG0001659	XP_020608289.1	Pocillopora_acuta_HIv1_PredGene_g1472.t1
OG0001659	XP_020608038.1, XP_020608033.1	Pocillopora_acuta_HIv1_PredGene_28681_t, Pocillopora_acuta_HIv1_PredGene_g22252.t1
OG0001660	XP_020616715.1	Pocillopora_acuta_HIv1_PredGene_g64.t1
OG0001660	XP_020622148.1	Pocillopora_acuta_HIv1_PredGene_g65.t1
OG0001661	XP_020603976.1, XP_020603981.1, XP_020603980.1, XP_020603978.1, XP_020603977.1	Pocillopora_acuta_HIv1_PredGene_g21622.t1, Pocillopora_acuta_HIv1_PredGene_g3025.t1, Pocillopora_acuta_HIv1_PredGene_7214_t
OG0001662	XP_020619597.1, XP_020619596.1, XP_020619588.1	Pocillopora_acuta_HIv1_PredGene_5129_t, Pocillopora_acuta_HIv1_PredGene_g30733.t1
OG0001662	XP_020619573.1	Pocillopora_acuta_HIv1_PredGene_g30732.t1, Pocillopora_acuta_HIv1_PredGene_5128_t
OG0001663	XP_020607371.1, XP_020603800.1	Pocillopora_acuta_HIv1_PredGene_2228_t, Pocillopora_acuta_HIv1_PredGene_g18337.t1, Pocillopora_acuta_HIv1_PredGene_22089_t, Pocillopora_acuta_HIv1_PredGene_g1569.t1
OG0001664	XP_020619200.1, XP_020619186.1, XP_020619185.1, XP_020619216.1	Pocillopora_acuta_HIv1_PredGene_5209_t
OG0001665	XP_020611135.1, XP_020611136.1	Pocillopora_acuta_HIv1_PredGene_g25630.t1, Pocillopora_acuta_HIv1_PredGene_7474_t
OG0001666	XP_020603442.1, XP_020603445.1, XP_020603443.1, XP_020603444.1	Pocillopora_acuta_HIv1_PredGene_g8261.t1, Pocillopora_acuta_HIv1_PredGene_g8260.t1, Pocillopora_acuta_HIv1_PredGene_g8259.t1
OG0001667	XP_020624080.1	Pocillopora_acuta_HIv1_PredGene_14374_t, Pocillopora_acuta_HIv1_PredGene_g30886.t1
OG0001668	XP_020604892.1, XP_020604663.1	Pocillopora_acuta_HIv1_PredGene_g20250.t1
OG0001669	XP_020604830.1, XP_020604831.1, XP_020604829.1, XP_020604828.1	Pocillopora_acuta_HIv1_PredGene_g19011.t1, Pocillopora_acuta_HIv1_PredGene_g19011.t2, Pocillopora_acuta_HIv1_PredGene_g20242.t1, Pocillopora_acuta_HIv1_PredGene_g20242.t2, Pocillopora_acuta_HIv1_PredGene_g13640.t1
OG0001670	XP_020625472.1	Pocillopora_acuta_HIv1_PredGene_g25017.t1
OG0001670	XP_020623464.1	Pocillopora_acuta_HIv1_PredGene_g25018.t1, Pocillopora_acuta_HIv1_PredGene_g25021.t1, Pocillopora_acuta_HIv1_PredGene_g25021.t2
OG0001671	XP_020619724.1, XP_020619726.1, XP_020619725.1, XP_020632904.1	Pocillopora_acuta_HIv1_PredGene_g25364.t1, Pocillopora_acuta_HIv1_PredGene_g25365.t1, Pocillopora_acuta_HIv1_PredGene_g25362.t1
OG0001672	XP_020622515.1	Pocillopora_acuta_HIv1_PredGene_g32130.t1, Pocillopora_acuta_HIv1_PredGene_19308_t, Pocillopora_acuta_HIv1_PredGene_19283_t, Pocillopora_acuta_HIv1_PredGene_g32100.t1, Pocillopora_acuta_HIv1_PredGene_g32099.t1, Pocillopora_acuta_HIv1_PredGene_g32105.t1
OG0001673	XP_020618469.1, XP_020618468.1	Pocillopora_acuta_HIv1_PredGene_804_t
OG0001673	XP_020618464.1, XP_020618463.1	Pocillopora_acuta_HIv1_PredGene_g8086.t1, Pocillopora_acuta_HIv1_PredGene_g8086.t2
OG0001674	XP_020613702.1, XP_020610260.1	Pocillopora_acuta_HIv1_PredGene_g7504.t1, Pocillopora_acuta_HIv1_PredGene_g7502.t1
OG0001675	XP_020627926.1, XP_020607925.1, XP_020607926.1, XP_020627951.1, XP_020627950.1, XP_020627952.1	Pocillopora_acuta_HIv1_PredGene_g16133.t1
OG0001676	XP_020620608.1, XP_020620606.1, XP_020620610.1, XP_020620609.1	Pocillopora_acuta_HIv1_PredGene_g13350.t2, Pocillopora_acuta_HIv1_PredGene_g13350.t1, Pocillopora_acuta_HIv1_PredGene_g29913.t2, Pocillopora_acuta_HIv1_PredGene_g29913.t1
OG0001677	XP_020621817.1, XP_020621828.1, XP_020621802.1, XP_020621809.1, XP_020621820.1, XP_020621839.1	Pocillopora_acuta_HIv1_PredGene_g12985.t1, Pocillopora_acuta_HIv1_PredGene_g12985.t2
OG0001679	XP_020632670.1, XP_020632671.1	Pocillopora_acuta_HIv1_PredGene_g16922.t1
OG0001679	XP_020601635.1, XP_020601634.1	Pocillopora_acuta_HIv1_PredGene_g16919.t1, Pocillopora_acuta_HIv1_PredGene_g16921.t1, Pocillopora_acuta_HIv1_PredGene_g16920.t1, Pocillopora_acuta_HIv1_PredGene_g16916.t1
OG0001680	XP_020631933.1, XP_020606763.1, XP_020631869.1, XP_020631935.1, XP_020631934.1, XP_020612228.1, XP_020606803.1, XP_020632773.1, XP_020602138.1, XP_020607221.1	Pocillopora_acuta_HIv1_PredGene_g3816.t1, Pocillopora_acuta_HIv1_PredGene_g3815.t1
OG0001681	XP_020615110.1, XP_020615109.1, XP_020603282.1, XP_020603281.1, XP_020615094.1, XP_020615095.1, XP_020615096.1, XP_020603279.1, XP_020603248.1	Pocillopora_acuta_HIv1_PredGene_10952_t, Pocillopora_acuta_HIv1_PredGene_g14538.t1
OG0001682	XP_020604496.1, XP_020604494.1, XP_020604495.1, XP_020606013.1, XP_020606014.1, XP_020606016.1	Pocillopora_acuta_HIv1_PredGene_g30385.t1, Pocillopora_acuta_HIv1_PredGene_g30389.t1, Pocillopora_acuta_HIv1_PredGene_g30384.t1
OG0001683	XP_020604737.1, XP_020604740.1, XP_020604738.1, XP_020604736.1, XP_020604739.1, XP_020604735.1, XP_020604742.1, XP_020604743.1	Pocillopora_acuta_HIv1_PredGene_g19076.t1
OG0001685	XP_020623908.1	Pocillopora_acuta_HIv1_PredGene_g28067.t1, Pocillopora_acuta_HIv1_PredGene_12824_t
OG0001685	XP_020605767.1, XP_020605766.1, XP_020605765.1	Pocillopora_acuta_HIv1_PredGene_g28052.t1
OG0001686	XP_020612595.1	Pocillopora_acuta_HIv1_PredGene_g22166.t1, Pocillopora_acuta_HIv1_PredGene_g22165.t1, Pocillopora_acuta_HIv1_PredGene_g22168.t1, Pocillopora_acuta_HIv1_PredGene_g22172.t1, Pocillopora_acuta_HIv1_PredGene_g22173.t1
OG0001686	XP_020606509.1, XP_020606510.1	Pocillopora_acuta_HIv1_PredGene_g22159.t1, Pocillopora_acuta_HIv1_PredGene_g22176.t1, Pocillopora_acuta_HIv1_PredGene_g22215.t1, Pocillopora_acuta_HIv1_PredGene_g27261.t1
OG0001687	XP_020607433.1, XP_020607434.1, XP_020607419.1, XP_020607420.1, XP_020607431.1	Pocillopora_acuta_HIv1_PredGene_g9497.t1, Pocillopora_acuta_HIv1_PredGene_13905_t, Pocillopora_acuta_HIv1_PredGene_g9498.t1, Pocillopora_acuta_HIv1_PredGene_g11081.t1, Pocillopora_acuta_HIv1_PredGene_30463_t, Pocillopora_acuta_HIv1_PredGene_g20059.t1, Pocillopora_acuta_HIv1_PredGene_g20063.t1
OG0001688	XP_020608165.1, XP_020608170.1, XP_020610523.1, XP_020608168.1	Pocillopora_acuta_HIv1_PredGene_g24179.t1, Pocillopora_acuta_HIv1_PredGene_g24179.t2, Pocillopora_acuta_HIv1_PredGene_g24177.t1, Pocillopora_acuta_HIv1_PredGene_g10885.t1, Pocillopora_acuta_HIv1_PredGene_g10885.t2
OG0001689	XP_020609323.1, XP_020609341.1, XP_020609342.1, XP_020609333.1, XP_020609334.1, XP_020609344.1	Pocillopora_acuta_HIv1_PredGene_g21851.t1, Pocillopora_acuta_HIv1_PredGene_30305_t
OG0001690	XP_020610318.1	Pocillopora_acuta_HIv1_PredGene_g14049.t1
OG0001691	XP_020610533.1	Pocillopora_acuta_HIv1_PredGene_g1158.t1
OG0001692	XP_020610711.1, XP_020610712.1	Pocillopora_acuta_HIv1_PredGene_g18637.t1, Pocillopora_acuta_HIv1_PredGene_g18639.t1, Pocillopora_acuta_HIv1_PredGene_4096_t, Pocillopora_acuta_HIv1_PredGene_g18638.t1, Pocillopora_acuta_HIv1_PredGene_g18634.t1, Pocillopora_acuta_HIv1_PredGene_g18640.t1, Pocillopora_acuta_HIv1_PredGene_g18635.t1, Pocillopora_acuta_HIv1_PredGene_g18636.t1, Pocillopora_acuta_HIv1_PredGene_4093_t
OG0001693	XP_020610933.1	Pocillopora_acuta_HIv1_PredGene_g12794.t1, Pocillopora_acuta_HIv1_PredGene_g12793.t1, Pocillopora_acuta_HIv1_PredGene_g12792.t1
OG0001695	XP_020613273.1, XP_020613271.1, XP_020613272.1, XP_020613276.1, XP_020613274.1, XP_020613275.1	Pocillopora_acuta_HIv1_PredGene_g23818.t1, Pocillopora_acuta_HIv1_PredGene_g23820.t1, Pocillopora_acuta_HIv1_PredGene_g23820.t2
OG0001696	XP_020618121.1, XP_020613550.1	Pocillopora_acuta_HIv1_PredGene_g5277.t1, Pocillopora_acuta_HIv1_PredGene_g5274.t1, Pocillopora_acuta_HIv1_PredGene_g5276.t1, Pocillopora_acuta_HIv1_PredGene_g5275.t1, Pocillopora_acuta_HIv1_PredGene_g5274.t2
OG0001697	XP_020615705.1, XP_020615704.1	Pocillopora_acuta_HIv1_PredGene_g11030.t1, Pocillopora_acuta_HIv1_PredGene_g32526.t1, Pocillopora_acuta_HIv1_PredGene_g10527.t1, Pocillopora_acuta_HIv1_PredGene_23710_t, Pocillopora_acuta_HIv1_PredGene_g10530.t1, Pocillopora_acuta_HIv1_PredGene_g27411.t1
OG0001698	XP_020622276.1, XP_020615931.1	Pocillopora_acuta_HIv1_PredGene_g29277.t1, Pocillopora_acuta_HIv1_PredGene_22814_t, Pocillopora_acuta_HIv1_PredGene_g29280.t1
OG0001699	XP_020615982.1	Pocillopora_acuta_HIv1_PredGene_g19669.t1
OG0001700	XP_020617553.1	Pocillopora_acuta_HIv1_PredGene_g16945.t1
OG0001700	XP_020617530.1	Pocillopora_acuta_HIv1_PredGene_2327_t
OG0001702	XP_020618332.1, XP_020618333.1, XP_020618331.1, XP_020618330.1, XP_020618334.1	Pocillopora_acuta_HIv1_PredGene_g4998.t1, Pocillopora_acuta_HIv1_PredGene_g5005.t1, Pocillopora_acuta_HIv1_PredGene_g4999.t1
OG0001703	XP_020620027.1, XP_020620028.1, XP_020620038.1, XP_020620037.1	Pocillopora_acuta_HIv1_PredGene_g15948.t1, Pocillopora_acuta_HIv1_PredGene_20293_t
OG0001704	XP_020625020.1, XP_020620235.1, XP_020620196.1	Pocillopora_acuta_HIv1_PredGene_g25028.t1
OG0001705	XP_020621683.1	Pocillopora_acuta_HIv1_PredGene_g27601.t1
OG0001705	XP_020621526.1, XP_020621527.1, XP_020621575.1	Pocillopora_acuta_HIv1_PredGene_g27600.t1
OG0001706	XP_020623039.1, XP_020623040.1, XP_020623041.1	Pocillopora_acuta_HIv1_PredGene_g15852.t1, Pocillopora_acuta_HIv1_PredGene_g15846.t1, Pocillopora_acuta_HIv1_PredGene_g13433.t1, Pocillopora_acuta_HIv1_PredGene_g14270.t1, Pocillopora_acuta_HIv1_PredGene_g15849.t1, Pocillopora_acuta_HIv1_PredGene_g13434.t1, Pocillopora_acuta_HIv1_PredGene_22113_t
OG0001707	XP_020623186.1	Pocillopora_acuta_HIv1_PredGene_g28031.t1, Pocillopora_acuta_HIv1_PredGene_g33610.t1, Pocillopora_acuta_HIv1_PredGene_g27694.t1, Pocillopora_acuta_HIv1_PredGene_g33620.t1
OG0001708	XP_020623698.1	Pocillopora_acuta_HIv1_PredGene_g31227.t1, Pocillopora_acuta_HIv1_PredGene_g31226.t1, Pocillopora_acuta_HIv1_PredGene_g32184.t1, Pocillopora_acuta_HIv1_PredGene_g32182.t1, Pocillopora_acuta_HIv1_PredGene_g31223.t1, Pocillopora_acuta_HIv1_PredGene_g31154.t1
OG0001710	XP_020629929.1, XP_020629930.1	Pocillopora_acuta_HIv1_PredGene_g7104.t1
OG0001710	XP_020629790.1, XP_020629789.1	Pocillopora_acuta_HIv1_PredGene_g7102.t1, Pocillopora_acuta_HIv1_PredGene_98_t
OG0001711	XP_020632435.1, XP_020632436.1, XP_020632440.1, XP_020632443.1, XP_020632439.1, XP_020632441.1, XP_020632438.1, XP_020632442.1	Pocillopora_acuta_HIv1_PredGene_g10109.t1, Pocillopora_acuta_HIv1_PredGene_g10109.t2, Pocillopora_acuta_HIv1_PredGene_g10109.t3
OG0001712	XP_020632801.1, XP_020632799.1, XP_020632762.1, XP_020632788.1	Pocillopora_acuta_HIv1_PredGene_g13828.t1, Pocillopora_acuta_HIv1_PredGene_23926_t, Pocillopora_acuta_HIv1_PredGene_g13825.t1, Pocillopora_acuta_HIv1_PredGene_g13827.t1, Pocillopora_acuta_HIv1_PredGene_23929_t
OG0001715	XP_020617910.1	Pocillopora_acuta_HIv1_PredGene_g9767.t1, Pocillopora_acuta_HIv1_PredGene_g9768.t1
OG0001716	XP_020615200.1, XP_020615199.1, XP_020615197.1, XP_020615198.1, XP_020615202.1	Pocillopora_acuta_HIv1_PredGene_g22396.t1
OG0001718	XP_020624115.1	Pocillopora_acuta_HIv1_PredGene_g16874.t1, Pocillopora_acuta_HIv1_PredGene_g16874.t2, Pocillopora_acuta_HIv1_PredGene_g19241.t1
OG0001719	XP_020604070.1, XP_020604074.1, XP_020604071.1, XP_020604073.1, XP_020604072.1, XP_020604069.1	Pocillopora_acuta_HIv1_PredGene_g28940.t1
OG0001720	XP_020632282.1	Pocillopora_acuta_HIv1_PredGene_g4271.t1, Pocillopora_acuta_HIv1_PredGene_g24795.t1
OG0001723	XP_020616230.1	Pocillopora_acuta_HIv1_PredGene_g33113.t1
OG0001723	XP_020616239.1	Pocillopora_acuta_HIv1_PredGene_g33115.t1
OG0001724	XP_020602834.1, XP_020602835.1, XP_020602832.1, XP_020602831.1, XP_020602836.1	Pocillopora_acuta_HIv1_PredGene_g18981.t1
OG0001725	XP_020611955.1, XP_020617689.1	Pocillopora_acuta_HIv1_PredGene_g22650.t1, Pocillopora_acuta_HIv1_PredGene_g11647.t1
OG0001726	XP_020619153.1	Pocillopora_acuta_HIv1_PredGene_g32682.t1
OG0001726	XP_020619152.1	Pocillopora_acuta_HIv1_PredGene_g32680.t1, Pocillopora_acuta_HIv1_PredGene_g32679.t1
OG0001728	XP_020623203.1	Pocillopora_acuta_HIv1_PredGene_g1653.t1
OG0001729	XP_020631642.1, XP_020631471.1	Pocillopora_acuta_HIv1_PredGene_g31596.t1
OG0001729	XP_020631641.1	Pocillopora_acuta_HIv1_PredGene_g31597.t1, Pocillopora_acuta_HIv1_PredGene_g31598.t1
OG0001731	XP_020626736.1	Pocillopora_acuta_HIv1_PredGene_g9772.t1, Pocillopora_acuta_HIv1_PredGene_g2895.t1
OG0001731	XP_020602559.1, XP_020602560.1	Pocillopora_acuta_HIv1_PredGene_g1113.t1
OG0001732	XP_020626117.1	Pocillopora_acuta_HIv1_PredGene_g19869.t1, Pocillopora_acuta_HIv1_PredGene_g19437.t1
OG0001732	XP_020630924.1	Pocillopora_acuta_HIv1_PredGene_g7267.t1
OG0001733	XP_020601688.1, XP_020609111.1	Pocillopora_acuta_HIv1_PredGene_g7345.t1
OG0001736	XP_020618043.1, XP_020618052.1, XP_020617987.1, XP_020617994.1	Pocillopora_acuta_HIv1_PredGene_g15458.t1
OG0001737	XP_020620392.1, XP_020620399.1	Pocillopora_acuta_HIv1_PredGene_g25409.t1
OG0001740	XP_020612485.1	Pocillopora_acuta_HIv1_PredGene_22673_t, Pocillopora_acuta_HIv1_PredGene_g22187.t1
OG0001742	XP_020632663.1, XP_020632693.1, XP_020632694.1, XP_020632664.1, XP_020632662.1, XP_020632661.1, XP_020632669.1	Pocillopora_acuta_HIv1_PredGene_g16915.t1
OG0001743	XP_020619484.1, XP_020619480.1	Pocillopora_acuta_HIv1_PredGene_g14659.t1, Pocillopora_acuta_HIv1_PredGene_g14663.t1, Pocillopora_acuta_HIv1_PredGene_30637_t
OG0001744	XP_020626469.1, XP_020626470.1	Pocillopora_acuta_HIv1_PredGene_g15179.t1
