Orthogroup	Mcavernosa.maker.proteins	GCF_002042975.1_ofav_dov_v1_protein
OG0000584	Mcavernosa23377-RA	XP_020603346.1
OG0000586	Mcavernosa02523-RA	XP_020611956.1
OG0000588	Mcavernosa00304-RA	XP_020613292.1
OG0000588	Mcavernosa00300-RA	XP_020630242.1
OG0000589	Mcavernosa31372-RA	XP_020616843.1
OG0000591	Mcavernosa23279-RA	XP_020612168.1
OG0000591	Mcavernosa05852-RA, Mcavernosa34161-RA	XP_020626983.1, XP_020610691.1
OG0000591	Mcavernosa23278-RA	XP_020612167.1
OG0000594	Mcavernosa27040-RA	XP_020623189.1
OG0000596	Mcavernosa29582-RA	XP_020610742.1, XP_020608997.1
OG0000599	Mcavernosa23998-RA, Mcavernosa23900-RA, Mcavernosa34851-RA, Mcavernosa25854-RA, Mcavernosa05393-RA	XP_020621684.1
OG0000601	Mcavernosa05191-RA	XP_020622266.1
OG0000603	Mcavernosa28499-RA	XP_020609606.1
OG0000605	Mcavernosa01481-RA	XP_020610693.1
OG0000607	Mcavernosa08350-RA	XP_020630649.1, XP_020630650.1
OG0000607	Mcavernosa10444-RA	XP_020601459.1
OG0000608	Mcavernosa31419-RA	XP_020624040.1
OG0000608	Mcavernosa31418-RA	XP_020624073.1, XP_020624945.1
OG0000608	Mcavernosa31421-RA	XP_020622623.1
OG0000609	Mcavernosa14559-RA, Mcavernosa30386-RA, Mcavernosa14536-RA, Mcavernosa14541-RA, Mcavernosa06851-RA, Mcavernosa14560-RA, Mcavernosa02513-RA, Mcavernosa14542-RA, Mcavernosa30385-RA, Mcavernosa14539-RA	XP_020601196.1, XP_020627411.1, XP_020627412.1
OG0000610	Mcavernosa08747-RA, Mcavernosa12873-RA	XP_020621582.1
OG0000612	Mcavernosa06092-RA	XP_020614684.1, XP_020614685.1
OG0000612	Mcavernosa06098-RA	XP_020614760.1, XP_020614758.1, XP_020614757.1, XP_020614759.1, XP_020614756.1
OG0000612	Mcavernosa06099-RA	XP_020614761.1
OG0000612	Mcavernosa06094-RA	XP_020614548.1
OG0000612	Mcavernosa06093-RA	XP_020614686.1
OG0000613	Mcavernosa05357-RA	XP_020632303.1
OG0000619	Mcavernosa01720-RA, Mcavernosa01721-RA	XP_020630655.1, XP_020630657.1, XP_020630656.1
OG0000620	Mcavernosa28673-RA	XP_020619127.1
OG0000621	Mcavernosa09143-RA, Mcavernosa09141-RA, Mcavernosa09140-RA	XP_020606847.1
OG0000623	Mcavernosa01011-RA	XP_020622294.1, XP_020622345.1
OG0000623	Mcavernosa13890-RA, Mcavernosa13892-RA	XP_020605151.1, XP_020608869.1, XP_020608868.1
OG0000625	Mcavernosa05789-RA, Mcavernosa22083-RA, Mcavernosa24765-RA	XP_020622554.1, XP_020622553.1
OG0000630	Mcavernosa24855-RA, Mcavernosa04176-RA	XP_020606416.1
OG0000630	Mcavernosa14796-RA	XP_020606415.1
OG0000630	Mcavernosa14804-RA	XP_020617458.1, XP_020606463.1, XP_020606464.1
OG0000635	Mcavernosa05990-RA, Mcavernosa34582-RA, Mcavernosa32867-RA	XP_020632792.1
OG0000636	Mcavernosa10399-RA	XP_020602891.1
OG0000636	Mcavernosa23142-RA	XP_020619343.1, XP_020612542.1
OG0000637	Mcavernosa18672-RA	XP_020619329.1
OG0000637	Mcavernosa18675-RA	XP_020619336.1
OG0000637	Mcavernosa21796-RA	XP_020607109.1
OG0000641	Mcavernosa30504-RA	XP_020614823.1, XP_020616009.1
OG0000643	Mcavernosa06186-RA	XP_020610512.1
OG0000643	Mcavernosa09075-RA	XP_020617255.1, XP_020617256.1, XP_020617254.1
OG0000649	Mcavernosa04197-RA	XP_020616928.1, XP_020616854.1
OG0000649	Mcavernosa04200-RA	XP_020616858.1
OG0000649	Mcavernosa04199-RA	XP_020616889.1
OG0000650	Mcavernosa06710-RA	XP_020620120.1
OG0000650	Mcavernosa06715-RA, Mcavernosa15135-RA	XP_020632323.1, XP_020632322.1, XP_020632321.1, XP_020632320.1, XP_020632319.1, XP_020632318.1, XP_020632324.1
OG0000651	Mcavernosa08046-RA, Mcavernosa08045-RA	XP_020615885.1
OG0000651	Mcavernosa08043-RA	XP_020604101.1
OG0000652	Mcavernosa31782-RA	XP_020624830.1
OG0000654	Mcavernosa34556-RA, Mcavernosa29272-RA, Mcavernosa03697-RA	XP_020601468.1
OG0000655	Mcavernosa33323-RA, Mcavernosa21982-RA, Mcavernosa21980-RA, Mcavernosa32961-RA	XP_020613187.1, XP_020613186.1
OG0000655	Mcavernosa21978-RA	XP_020613176.1
OG0000657	Mcavernosa12274-RA, Mcavernosa28775-RA	XP_020611867.1
OG0000659	Mcavernosa29235-RA, Mcavernosa33541-RA, Mcavernosa30403-RA	XP_020608720.1
OG0000659	Mcavernosa17620-RA, Mcavernosa08580-RA	XP_020614061.1
OG0000661	Mcavernosa28345-RA	XP_020631357.1, XP_020623882.1, XP_020622986.1, XP_020622981.1
OG0000662	Mcavernosa23662-RA, Mcavernosa06589-RA, Mcavernosa29105-RA, Mcavernosa33546-RA, Mcavernosa33545-RA	XP_020625490.1
OG0000663	Mcavernosa29756-RA, Mcavernosa20288-RA, Mcavernosa10987-RA	XP_020628090.1, XP_020628089.1, XP_020628231.1
OG0000675	Mcavernosa23091-RA	XP_020628193.1
OG0000678	Mcavernosa31888-RA	XP_020610252.1, XP_020610249.1, XP_020610251.1, XP_020626208.1, XP_020626209.1, XP_020626206.1, XP_020626207.1, XP_020626210.1
OG0000678	Mcavernosa17252-RA, Mcavernosa17254-RA, Mcavernosa29140-RA, Mcavernosa17251-RA, Mcavernosa34573-RA	XP_020630824.1, XP_020630807.1, XP_020630809.1, XP_020630808.1
OG0000679	Mcavernosa32219-RA	XP_020614039.1, XP_020602981.1, XP_020602979.1
OG0000679	Mcavernosa01626-RA	XP_020618208.1, XP_020618207.1
OG0000681	Mcavernosa03514-RA	XP_020629609.1
OG0000681	Mcavernosa03515-RA	XP_020627717.1, XP_020627718.1, XP_020612463.1, XP_020612462.1, XP_020612461.1, XP_020606537.1, XP_020606534.1
OG0000682	Mcavernosa33017-RA	XP_020618103.1, XP_020630398.1, XP_020630412.1
OG0000687	Mcavernosa19702-RA	XP_020605683.1, XP_020626019.1
OG0000688	Mcavernosa20362-RA	XP_020607529.1, XP_020607502.1, XP_020607497.1, XP_020607496.1
OG0000689	Mcavernosa00876-RA	XP_020603222.1
OG0000689	Mcavernosa00875-RA	XP_020603221.1, XP_020603220.1, XP_020603223.1
OG0000689	Mcavernosa00879-RA	XP_020603215.1
OG0000689	Mcavernosa00877-RA	XP_020603217.1, XP_020603218.1, XP_020603219.1
OG0000689	Mcavernosa00873-RA, Mcavernosa00872-RA, Mcavernosa00874-RA	XP_020603226.1
OG0000693	Mcavernosa21341-RA, Mcavernosa21340-RA	XP_020603305.1
OG0000693	Mcavernosa21339-RA	XP_020603209.1, XP_020603210.1, XP_020603211.1
OG0000694	Mcavernosa33055-RA	XP_020607854.1
OG0000694	Mcavernosa34379-RA, Mcavernosa19054-RA, Mcavernosa32933-RA	XP_020607890.1
OG0000695	Mcavernosa13932-RA, Mcavernosa13935-RA, Mcavernosa29278-RA	XP_020607724.1, XP_020607731.1, XP_020607715.1, XP_020617457.1
OG0000695	Mcavernosa13934-RA, Mcavernosa29277-RA	XP_020607681.1, XP_020607267.1
OG0000697	Mcavernosa31905-RA	XP_020615063.1, XP_020615069.1, XP_020630533.1, XP_020630534.1, XP_020630536.1, XP_020630537.1
OG0000697	Mcavernosa10235-RA	XP_020604995.1, XP_020604996.1
OG0000698	Mcavernosa21051-RA	XP_020618007.1
OG0000700	Mcavernosa21556-RA, Mcavernosa21555-RA, Mcavernosa21559-RA, Mcavernosa21557-RA	XP_020603339.1
OG0000700	Mcavernosa17824-RA	XP_020603389.1
OG0000701	Mcavernosa09904-RA	XP_020603734.1
OG0000703	Mcavernosa00768-RA, Mcavernosa34618-RA	XP_020607349.1
OG0000708	Mcavernosa06183-RA	XP_020627228.1
OG0000709	Mcavernosa08822-RA	XP_020618113.1
OG0000711	Mcavernosa19441-RA	XP_020606246.1, XP_020606245.1
OG0000711	Mcavernosa19443-RA, Mcavernosa19442-RA	XP_020606269.1, XP_020606272.1, XP_020606271.1
OG0000712	Mcavernosa28248-RA	XP_020627096.1
OG0000713	Mcavernosa34524-RA	XP_020626357.1
OG0000714	Mcavernosa27480-RA	XP_020619857.1
OG0000714	Mcavernosa02169-RA, Mcavernosa11504-RA, Mcavernosa02172-RA	XP_020619860.1
OG0000715	Mcavernosa19069-RA, Mcavernosa35099-RA	XP_020624598.1, XP_020608226.1, XP_020622533.1, XP_020608225.1, XP_020622534.1, XP_020622172.1, XP_020628830.1
OG0000716	Mcavernosa04496-RA	XP_020610527.1
OG0000716	Mcavernosa24697-RA, Mcavernosa04018-RA, Mcavernosa04017-RA, Mcavernosa04016-RA	XP_020629496.1, XP_020629465.1
OG0000720	Mcavernosa23701-RA	XP_020602463.1, XP_020602464.1, XP_020622225.1
OG0000721	Mcavernosa09464-RA, Mcavernosa09476-RA	XP_020606391.1
OG0000722	Mcavernosa34190-RA, Mcavernosa14347-RA, Mcavernosa34604-RA, Mcavernosa14348-RA, Mcavernosa34603-RA, Mcavernosa27771-RA, Mcavernosa30723-RA, Mcavernosa08810-RA, Mcavernosa04620-RA, Mcavernosa31311-RA, Mcavernosa27770-RA	XP_020623745.1
OG0000724	Mcavernosa21870-RA	XP_020628749.1, XP_020628747.1
OG0000725	Mcavernosa31990-RA	XP_020610280.1
OG0000725	Mcavernosa30409-RA	XP_020610357.1, XP_020610350.1, XP_020610342.1
OG0000725	Mcavernosa31989-RA	XP_020610291.1, XP_020623044.1, XP_020623045.1, XP_020601650.1, XP_020601649.1
OG0000725	Mcavernosa25454-RA	XP_020620775.1, XP_020620776.1
OG0000728	Mcavernosa33688-RA	XP_020615074.1
OG0000728	Mcavernosa24270-RA	XP_020615073.1
OG0000730	Mcavernosa28888-RA, Mcavernosa01247-RA	XP_020601335.1
OG0000730	Mcavernosa01246-RA, Mcavernosa20694-RA	XP_020601147.1
OG0000734	Mcavernosa10984-RA, Mcavernosa10982-RA, Mcavernosa10981-RA, Mcavernosa10986-RA	XP_020607037.1, XP_020607035.1
OG0000734	Mcavernosa35095-RA	XP_020618212.1, XP_020618211.1, XP_020618210.1
OG0000735	Mcavernosa29465-RA, Mcavernosa03093-RA	XP_020604603.1
OG0000735	Mcavernosa02300-RA, Mcavernosa34980-RA, Mcavernosa29464-RA	XP_020609178.1, XP_020604514.1
OG0000736	Mcavernosa08887-RA	XP_020608245.1
OG0000736	Mcavernosa08888-RA	XP_020608297.1, XP_020608296.1, XP_020608294.1, XP_020608293.1, XP_020608292.1, XP_020608295.1, XP_020608316.1, XP_020602947.1, XP_020602946.1, XP_020608244.1
OG0000738	Mcavernosa19467-RA	XP_020625799.1
OG0000738	Mcavernosa33436-RA	XP_020621695.1, XP_020618686.1, XP_020618688.1
OG0000739	Mcavernosa10770-RA	XP_020602922.1, XP_020602944.1
OG0000739	Mcavernosa10772-RA	XP_020604094.1, XP_020604093.1
OG0000740	Mcavernosa02258-RA	XP_020625470.1, XP_020625471.1
OG0000740	Mcavernosa02257-RA	XP_020625480.1, XP_020625479.1
OG0000741	Mcavernosa01251-RA	XP_020603970.1, XP_020603971.1, XP_020603969.1, XP_020603967.1, XP_020603966.1
OG0000741	Mcavernosa01255-RA	XP_020601056.1, XP_020601057.1
OG0000741	Mcavernosa01252-RA	XP_020601215.1
OG0000742	Mcavernosa27587-RA	XP_020610139.1
OG0000743	Mcavernosa09251-RA, Mcavernosa09248-RA	XP_020609125.1
OG0000743	Mcavernosa09254-RA	XP_020620330.1
OG0000744	Mcavernosa32469-RA	XP_020623175.1, XP_020609159.1, XP_020623173.1, XP_020623172.1, XP_020623174.1, XP_020623171.1
OG0000745	Mcavernosa25566-RA	XP_020610365.1, XP_020610364.1, XP_020610368.1, XP_020610366.1
OG0000746	Mcavernosa10566-RA, Mcavernosa28893-RA, Mcavernosa14249-RA	XP_020617391.1, XP_020617389.1, XP_020617390.1
OG0000746	Mcavernosa34061-RA, Mcavernosa34057-RA	XP_020627921.1
OG0000746	Mcavernosa25558-RA	XP_020627993.1
OG0000746	Mcavernosa13180-RA	XP_020614981.1
OG0000747	Mcavernosa26315-RA	XP_020616836.1
OG0000748	Mcavernosa18329-RA	XP_020626413.1, XP_020626419.1, XP_020626426.1, XP_020626434.1
OG0000748	Mcavernosa18332-RA	XP_020629734.1
OG0000756	Mcavernosa16207-RA	XP_020625264.1
OG0000756	Mcavernosa16206-RA, Mcavernosa16204-RA	XP_020625268.1, XP_020625267.1
OG0000757	Mcavernosa29420-RA, Mcavernosa29830-RA	XP_020629958.1, XP_020629955.1, XP_020628001.1, XP_020628000.1
OG0000758	Mcavernosa34255-RA, Mcavernosa29029-RA, Mcavernosa24948-RA, Mcavernosa28966-RA, Mcavernosa28885-RA, Mcavernosa28886-RA, Mcavernosa27038-RA	XP_020632887.1
OG0000759	Mcavernosa09652-RA, Mcavernosa19211-RA	XP_020600961.1
OG0000760	Mcavernosa22838-RA	XP_020619490.1, XP_020619489.1
OG0000760	Mcavernosa22833-RA	XP_020619466.1, XP_020619467.1
OG0000760	Mcavernosa22834-RA	XP_020619542.1
OG0000760	Mcavernosa04580-RA	XP_020619459.1
OG0000761	Mcavernosa15231-RA	XP_020609184.1
OG0000763	Mcavernosa25041-RA, Mcavernosa25045-RA, Mcavernosa25042-RA	XP_020614137.1
OG0000763	Mcavernosa25046-RA, Mcavernosa25043-RA, Mcavernosa25040-RA, Mcavernosa25039-RA	XP_020614167.1, XP_020614108.1, XP_020614109.1, XP_020614275.1
OG0000765	Mcavernosa34204-RA, Mcavernosa29735-RA	XP_020601085.1
OG0000765	Mcavernosa29738-RA	XP_020600788.1, XP_020601570.1, XP_020601568.1, XP_020601569.1
OG0000766	Mcavernosa27205-RA, Mcavernosa27174-RA	XP_020601360.1
OG0000767	Mcavernosa24726-RA	XP_020606544.1, XP_020629502.1, XP_020629464.1
OG0000768	Mcavernosa34152-RA, Mcavernosa29295-RA	XP_020625498.1
OG0000769	Mcavernosa07159-RA, Mcavernosa18887-RA	XP_020618994.1
OG0000769	Mcavernosa07157-RA	XP_020619037.1, XP_020619036.1
OG0000772	Mcavernosa10062-RA	XP_020609434.1
OG0000772	Mcavernosa32917-RA, Mcavernosa10057-RA, Mcavernosa10069-RA, Mcavernosa07318-RA	XP_020609436.1, XP_020631698.1
OG0000772	Mcavernosa07315-RA	XP_020631620.1, XP_020631619.1
OG0000773	Mcavernosa07143-RA	XP_020618553.1
OG0000776	Mcavernosa19227-RA, Mcavernosa30420-RA, Mcavernosa11138-RA	XP_020622611.1
OG0000778	Mcavernosa08105-RA, Mcavernosa08103-RA	XP_020631492.1
OG0000779	Mcavernosa03392-RA, Mcavernosa03391-RA, Mcavernosa03394-RA	XP_020631297.1, XP_020610637.1, XP_020610636.1
OG0000782	Mcavernosa23550-RA, Mcavernosa03401-RA	XP_020624355.1
OG0000782	Mcavernosa30935-RA	XP_020630839.1, XP_020630838.1
OG0000783	Mcavernosa01946-RA, Mcavernosa17833-RA, Mcavernosa23264-RA	XP_020608988.1
OG0000784	Mcavernosa10494-RA	XP_020612509.1
OG0000784	Mcavernosa30979-RA	XP_020612511.1, XP_020627215.1
OG0000786	Mcavernosa24898-RA	XP_020632153.1
OG0000786	Mcavernosa32075-RA	XP_020603878.1
OG0000786	Mcavernosa32074-RA	XP_020603879.1
OG0000786	Mcavernosa16790-RA, Mcavernosa32709-RA	XP_020601595.1
OG0000787	Mcavernosa29110-RA	XP_020607847.1
OG0000789	Mcavernosa33175-RA, Mcavernosa19245-RA	XP_020614489.1, XP_020614490.1, XP_020614430.1
OG0000789	Mcavernosa08630-RA, Mcavernosa08632-RA, Mcavernosa08629-RA	XP_020614488.1
OG0000789	Mcavernosa34724-RA	XP_020614491.1
OG0000790	Mcavernosa09386-RA	XP_020617243.1
OG0000790	Mcavernosa13818-RA	XP_020604546.1
OG0000791	Mcavernosa25862-RA	XP_020616268.1
OG0000792	Mcavernosa01321-RA	XP_020609089.1
OG0000792	Mcavernosa01322-RA	XP_020608980.1, XP_020608989.1
OG0000793	Mcavernosa14862-RA	XP_020618492.1
OG0000795	Mcavernosa24754-RA	XP_020611710.1
OG0000795	Mcavernosa24746-RA, Mcavernosa24747-RA	XP_020613900.1, XP_020613901.1
OG0000795	Mcavernosa24753-RA	XP_020611712.1, XP_020611713.1, XP_020611711.1, XP_020611714.1, XP_020611715.1, XP_020611717.1
OG0000796	Mcavernosa31900-RA	XP_020605662.1, XP_020610248.1
OG0000801	Mcavernosa33370-RA	XP_020609694.1, XP_020609699.1
OG0000803	Mcavernosa21890-RA	XP_020626072.1
OG0000803	Mcavernosa18758-RA, Mcavernosa03342-RA	XP_020626186.1
OG0000803	Mcavernosa18759-RA	XP_020626185.1
OG0000804	Mcavernosa12319-RA	XP_020613379.1
OG0000805	Mcavernosa03539-RA	XP_020631384.1, XP_020631533.1
OG0000805	Mcavernosa33672-RA, Mcavernosa03537-RA	XP_020631426.1
OG0000806	Mcavernosa20744-RA	XP_020610221.1
OG0000806	Mcavernosa20745-RA	XP_020610201.1
OG0000807	Mcavernosa18444-RA	XP_020617098.1
OG0000807	Mcavernosa25766-RA	XP_020603340.1, XP_020603372.1
OG0000808	Mcavernosa09342-RA	XP_020604182.1
OG0000808	Mcavernosa09341-RA	XP_020604188.1
OG0000808	Mcavernosa13543-RA, Mcavernosa23639-RA, Mcavernosa13544-RA	XP_020606018.1, XP_020606019.1
OG0000809	Mcavernosa34351-RA	XP_020613150.1
OG0000809	Mcavernosa02944-RA	XP_020613127.1
OG0000810	Mcavernosa30192-RA, Mcavernosa22043-RA	XP_020615651.1, XP_020614346.1, XP_020614334.1
OG0000815	Mcavernosa22718-RA	XP_020618083.1, XP_020618056.1
OG0000815	Mcavernosa22719-RA	XP_020618004.1
OG0000819	Mcavernosa01385-RA	XP_020629933.1
OG0000819	Mcavernosa09119-RA	XP_020629807.1
OG0000820	Mcavernosa22553-RA	XP_020613868.1, XP_020613535.1, XP_020613536.1
OG0000824	Mcavernosa06062-RA, Mcavernosa09987-RA, Mcavernosa09988-RA	XP_020628024.1
OG0000824	Mcavernosa03416-RA, Mcavernosa09989-RA, Mcavernosa02711-RA, Mcavernosa03417-RA, Mcavernosa06058-RA, Mcavernosa09990-RA, Mcavernosa06054-RA, Mcavernosa09991-RA, Mcavernosa06057-RA	XP_020628025.1, XP_020628026.1
OG0000826	Mcavernosa15963-RA	XP_020630850.1, XP_020630849.1, XP_020630851.1, XP_020630852.1
OG0000826	Mcavernosa00557-RA, Mcavernosa34483-RA	XP_020630847.1, XP_020630846.1
OG0000832	Mcavernosa05227-RA	XP_020628190.1, XP_020628191.1
OG0000832	Mcavernosa05233-RA	XP_020628188.1
OG0000833	Mcavernosa24507-RA	XP_020610392.1, XP_020610393.1
OG0000836	Mcavernosa30025-RA	XP_020632751.1, XP_020632742.1
OG0000837	Mcavernosa27358-RA	XP_020611039.1
OG0000839	Mcavernosa03467-RA	XP_020612393.1, XP_020612276.1
OG0000839	Mcavernosa03468-RA	XP_020612390.1, XP_020612389.1
OG0000839	Mcavernosa30480-RA, Mcavernosa03802-RA, Mcavernosa03466-RA	XP_020612250.1, XP_020612249.1
OG0000840	Mcavernosa32670-RA	XP_020605241.1, XP_020605249.1
OG0000841	Mcavernosa19327-RA	XP_020627573.1
OG0000842	Mcavernosa28085-RA	XP_020605941.1, XP_020605940.1, XP_020605964.1
OG0000842	Mcavernosa28086-RA	XP_020606130.1, XP_020605943.1
OG0000842	Mcavernosa28087-RA	XP_020606149.1, XP_020606108.1
OG0000843	Mcavernosa12486-RA	XP_020620419.1
OG0000844	Mcavernosa00313-RA	XP_020624685.1
OG0000845	Mcavernosa04342-RA	XP_020632429.1, XP_020632430.1, XP_020632431.1, XP_020632432.1, XP_020632434.1, XP_020632433.1
OG0000845	Mcavernosa04348-RA	XP_020632442.1, XP_020632435.1, XP_020632436.1, XP_020632438.1, XP_020632441.1, XP_020632440.1, XP_020632443.1, XP_020632439.1
OG0000847	Mcavernosa18835-RA	XP_020630688.1
OG0000849	Mcavernosa30758-RA	XP_020625359.1
OG0000849	Mcavernosa30748-RA	XP_020625355.1
OG0000850	Mcavernosa13558-RA, Mcavernosa14036-RA	XP_020609846.1, XP_020609848.1
OG0000852	Mcavernosa22019-RA	XP_020611350.1
OG0000852	Mcavernosa22014-RA, Mcavernosa22017-RA, Mcavernosa22011-RA, Mcavernosa22023-RA	XP_020621538.1, XP_020611362.1, XP_020611363.1, XP_020611360.1, XP_020611361.1
OG0000853	Mcavernosa21536-RA, Mcavernosa28910-RA, Mcavernosa25379-RA	XP_020604291.1
OG0000854	Mcavernosa26233-RA, Mcavernosa26234-RA, Mcavernosa25256-RA	XP_020612001.1
OG0000854	Mcavernosa05196-RA, Mcavernosa33605-RA	XP_020604478.1
OG0000855	Mcavernosa00737-RA, Mcavernosa29484-RA, Mcavernosa00744-RA	XP_020608567.1
OG0000855	Mcavernosa00733-RA	XP_020608545.1
OG0000856	Mcavernosa22753-RA	XP_020621417.1
OG0000856	Mcavernosa22748-RA	XP_020623681.1
OG0000857	Mcavernosa08826-RA, Mcavernosa22136-RA	XP_020610087.1
OG0000857	Mcavernosa22917-RA	XP_020621398.1
OG0000859	Mcavernosa07754-RA, Mcavernosa07753-RA	XP_020613415.1
OG0000859	Mcavernosa07751-RA	XP_020613454.1
OG0000859	Mcavernosa07755-RA	XP_020613455.1, XP_020613456.1, XP_020613452.1
OG0000860	Mcavernosa04776-RA	XP_020610328.1, XP_020610250.1, XP_020613000.1, XP_020616788.1, XP_020627683.1, XP_020619889.1
OG0000863	Mcavernosa08559-RA	XP_020620943.1, XP_020620935.1, XP_020620674.1, XP_020620687.1
OG0000865	Mcavernosa18686-RA, Mcavernosa18685-RA, Mcavernosa18687-RA, Mcavernosa15007-RA	XP_020606857.1
OG0000866	Mcavernosa11717-RA	XP_020608712.1, XP_020608713.1, XP_020608711.1, XP_020614807.1
OG0000867	Mcavernosa33721-RA	XP_020632085.1
OG0000867	Mcavernosa03920-RA, Mcavernosa03921-RA	XP_020626082.1
OG0000867	Mcavernosa02959-RA, Mcavernosa03157-RA	XP_020632086.1
OG0000868	Mcavernosa25751-RA	XP_020622427.1, XP_020622426.1, XP_020622424.1, XP_020622425.1, XP_020622428.1
OG0000868	Mcavernosa05652-RA	XP_020628329.1
OG0000868	Mcavernosa25742-RA	XP_020622457.1, XP_020622458.1, XP_020622456.1
OG0000869	Mcavernosa26648-RA	XP_020614602.1, XP_020614586.1, XP_020614594.1
OG0000870	Mcavernosa31663-RA	XP_020620945.1, XP_020620964.1, XP_020620977.1, XP_020620979.1, XP_020626100.1
OG0000871	Mcavernosa20800-RA	XP_020618649.1, XP_020618650.1, XP_020618651.1, XP_020618632.1, XP_020618633.1, XP_020618630.1, XP_020618631.1, XP_020618648.1
OG0000872	Mcavernosa18697-RA	XP_020614958.1
OG0000872	Mcavernosa25024-RA	XP_020626831.1
OG0000874	Mcavernosa26997-RA	XP_020631788.1
OG0000875	Mcavernosa18850-RA, Mcavernosa18853-RA, Mcavernosa18854-RA, Mcavernosa18849-RA	XP_020602115.1
OG0000875	Mcavernosa18855-RA, Mcavernosa18852-RA	XP_020600666.1, XP_020600665.1
OG0000876	Mcavernosa02071-RA, Mcavernosa02065-RA	XP_020628537.1
OG0000876	Mcavernosa26900-RA	XP_020612447.1
OG0000877	Mcavernosa22325-RA	XP_020604366.1
OG0000877	Mcavernosa22327-RA	XP_020604669.1, XP_020626870.1, XP_020604562.1, XP_020604681.1
OG0000878	Mcavernosa09295-RA	XP_020628308.1, XP_020628304.1, XP_020628305.1
OG0000878	Mcavernosa09302-RA, Mcavernosa09298-RA, Mcavernosa09301-RA	XP_020628311.1, XP_020628310.1, XP_020628309.1
OG0000879	Mcavernosa02850-RA	XP_020627728.1
OG0000879	Mcavernosa33960-RA	XP_020631344.1
OG0000879	Mcavernosa04089-RA	XP_020631307.1
OG0000880	Mcavernosa32293-RA, Mcavernosa32290-RA	XP_020630895.1
OG0000880	Mcavernosa32287-RA	XP_020630923.1
OG0000880	Mcavernosa32288-RA, Mcavernosa32295-RA	XP_020630921.1
OG0000881	Mcavernosa02930-RA	XP_020613133.1
OG0000882	Mcavernosa21137-RA	XP_020619238.1
OG0000882	Mcavernosa02969-RA	XP_020632080.1
OG0000882	Mcavernosa26321-RA	XP_020600803.1
OG0000883	Mcavernosa29796-RA	XP_020630984.1, XP_020630985.1
OG0000883	Mcavernosa04226-RA, Mcavernosa04230-RA, Mcavernosa32533-RA	XP_020616912.1
OG0000885	Mcavernosa01833-RA, Mcavernosa19085-RA, Mcavernosa21334-RA, Mcavernosa34822-RA, Mcavernosa10065-RA, Mcavernosa10055-RA, Mcavernosa06438-RA	XP_020609396.1, XP_020609394.1, XP_020609397.1
OG0000888	Mcavernosa32417-RA, Mcavernosa32415-RA, Mcavernosa33275-RA, Mcavernosa32414-RA, Mcavernosa34965-RA	XP_020621203.1, XP_020621232.1
OG0000889	Mcavernosa28728-RA	XP_020615725.1, XP_020606217.1
OG0000890	Mcavernosa24534-RA	XP_020608919.1
OG0000891	Mcavernosa29083-RA, Mcavernosa00363-RA	XP_020624800.1
OG0000891	Mcavernosa00365-RA, Mcavernosa00367-RA	XP_020624786.1
OG0000891	Mcavernosa29084-RA	XP_020624790.1, XP_020624789.1
OG0000892	Mcavernosa23027-RA	XP_020614317.1, XP_020614316.1, XP_020609278.1, XP_020609276.1, XP_020615675.1
OG0000896	Mcavernosa02994-RA	XP_020618401.1, XP_020631450.1, XP_020632286.1, XP_020632285.1
OG0000901	Mcavernosa21056-RA, Mcavernosa21057-RA	XP_020617988.1
OG0000901	Mcavernosa21061-RA	XP_020617984.1
OG0000901	Mcavernosa21054-RA	XP_020605508.1, XP_020617983.1, XP_020618009.1
OG0000902	Mcavernosa03460-RA	XP_020612265.1
OG0000905	Mcavernosa17062-RA, Mcavernosa11590-RA, Mcavernosa34614-RA, Mcavernosa11581-RA, Mcavernosa35028-RA	XP_020605706.1, XP_020605707.1
OG0000906	Mcavernosa26641-RA, Mcavernosa33441-RA, Mcavernosa26447-RA	XP_020605860.1, XP_020605844.1
OG0000914	Mcavernosa31274-RA, Mcavernosa31275-RA	XP_020619759.1
OG0000915	Mcavernosa06225-RA	XP_020625487.1
OG0000916	Mcavernosa23001-RA	XP_020603419.1
OG0000918	Mcavernosa23182-RA	XP_020604601.1, XP_020604602.1
OG0000918	Mcavernosa32689-RA	XP_020601836.1, XP_020605225.1
OG0000919	Mcavernosa15229-RA, Mcavernosa11650-RA, Mcavernosa05989-RA, Mcavernosa11130-RA	XP_020605005.1
OG0000921	Mcavernosa08198-RA	XP_020612854.1, XP_020612845.1, XP_020612862.1, XP_020612869.1
OG0000921	Mcavernosa08210-RA	XP_020626760.1, XP_020613218.1, XP_020613227.1
OG0000921	Mcavernosa08207-RA, Mcavernosa08203-RA	XP_020612730.1
OG0000923	Mcavernosa23539-RA, Mcavernosa23531-RA	XP_020621730.1
OG0000924	Mcavernosa29392-RA	XP_020621411.1
OG0000924	Mcavernosa33179-RA	XP_020621408.1
OG0000924	Mcavernosa29391-RA	XP_020621400.1
OG0000924	Mcavernosa35174-RA, Mcavernosa24347-RA	XP_020621399.1
OG0000925	Mcavernosa11938-RA	XP_020618268.1
OG0000925	Mcavernosa11936-RA	XP_020606535.1
OG0000926	Mcavernosa12635-RA, Mcavernosa32990-RA, Mcavernosa03439-RA, Mcavernosa08809-RA, Mcavernosa09659-RA	XP_020629460.1
OG0000929	Mcavernosa29351-RA	XP_020615240.1, XP_020615246.1
