Orthogroup	GCF_002042975.1_ofav_dov_v1_protein	Acerv_assembly_v1.0.protein
OG0000583	XP_020619587.1	Acerv_evm.model.Segkk4124_pilon.20
OG0000588	XP_020613292.1	Acerv_evm.model.Segkk4323_pilon.3, Acerv_evm.model.Segkk1868_pilon.36
OG0000588	XP_020627154.1	Acerv_evm.model.Segkk1990_pilon.7
OG0000588	XP_020630242.1	Acerv_evm.model.Segkk993_pilon.71, Acerv_evm.model.Segkk2510_pilon.5
OG0000589	XP_020616843.1	Acerv_evm.model.Segkk1835_pilon.29, Acerv_evm.model.Segkk451_pilon.6, Acerv_evm.model.Segkk3725_pilon.7, Acerv_evm.model.Segkk3727_pilon.4, Acerv_evm.model.Segkk3633_pilon.16, Acerv_evm.model.Segkk104_pilon.1
OG0000591	XP_020612168.1, XP_020626983.1, XP_020610691.1	Acerv_evm.model.Segkk1172_pilon.9
OG0000591	XP_020612167.1	Acerv_evm.model.Segkk971_pilon.49, Acerv_evm.model.Segkk2113_pilon.10, Acerv_evm.model.Segkk2853_pilon.3, Acerv_evm.model.Segkk451_pilon.1, Acerv_evm.model.Segkk117_pilon.10, Acerv_evm.model.Segkk4121_pilon.10, Acerv_evm.model.Segkk2061_pilon.17, Acerv_evm.model.Segkk319_pilon.17
OG0000594	XP_020623189.1	Acerv_evm.model.Segkk3210_pilon.10
OG0000596	XP_020610742.1	Acerv_evm.model.Segkk2512_pilon.4, Acerv_evm.model.Segkk873_pilon.2, Acerv_evm.model.Segkk1932_pilon.26, Acerv_evm.model.Segkk392_pilon.1, Acerv_evm.model.Segkk3126_pilon.1, Acerv_evm.model.Segkk1684_pilon.1, Acerv_evm.model.Segkk1729_pilon.1, Acerv_evm.model.Segkk1932_pilon.25
OG0000596	XP_020608997.1	Acerv_evm.model.Segkk873_pilon.16
OG0000597	XP_020621359.1, XP_020621358.1	Acerv_evm.model.Segkk473_pilon.18, Acerv_evm.model.Segkk972_pilon.7
OG0000598	XP_020617513.1	Acerv_evm.model.Segkk2829_pilon.11, Acerv_evm.model.Segkk3050_pilon.7, Acerv_evm.model.Segkk1867_pilon.7, Acerv_evm.model.Segkk548_pilon.9, Acerv_evm.model.Segkk609_pilon.6, Acerv_evm.model.Segkk1419_pilon.2, Acerv_evm.model.Segkk3021_pilon.1, Acerv_evm.model.Segkk1436_pilon.16
OG0000600	XP_020622256.1	Acerv_evm.model.Segkk2668_pilon.21, Acerv_evm.model.Segkk4306_pilon.9, Acerv_evm.model.Segkk4255_pilon.6
OG0000601	XP_020624463.1	Acerv_evm.model.Segkk622_pilon.1, Acerv_evm.model.Segkk3140_pilon.10, Acerv_evm.model.Segkk1068_pilon.5
OG0000602	XP_020601647.1	Acerv_evm.model.Segkk1117_pilon.1, Acerv_evm.model.Segkk2164_pilon.27, Acerv_evm.model.Segkk1091_pilon.7, Acerv_evm.model.Segkk2061_pilon.14, Acerv_evm.model.Segkk2113_pilon.7, Acerv_evm.model.Segkk2164_pilon.26
OG0000603	XP_020609606.1	Acerv_evm.model.Segkk1280_pilon.15
OG0000605	XP_020610693.1	Acerv_evm.model.Segkk908_pilon.21, Acerv_evm.model.Segkk2182_pilon.10, Acerv_evm.model.Segkk2182_pilon.11
OG0000605	XP_020610690.1	Acerv_evm.model.Segkk2838_pilon.12, Acerv_evm.model.Segkk680_pilon.9, Acerv_evm.model.Segkk3973_pilon.1
OG0000606	XP_020614243.1	Acerv_evm.model.Segkk3773_pilon.9
OG0000607	XP_020630650.1	Acerv_evm.model.Segkk3700_pilon.10
OG0000607	XP_020630652.1, XP_020630651.1	Acerv_evm.model.Segkk3700_pilon.11
OG0000607	XP_020601459.1	Acerv_evm.model.Segkk1276_pilon.8
OG0000607	XP_020601460.1	Acerv_evm.model.Segkk1276_pilon.9
OG0000609	XP_020601196.1, XP_020627411.1, XP_020627412.1, XP_020601194.1	Acerv_evm.model.Segkk1639_pilon.6
OG0000610	XP_020621582.1	Acerv_evm.model.Segkk3776_pilon.4
OG0000610	XP_020604769.1, XP_020604768.1	Acerv_evm.model.Segkk1777_pilon.34
OG0000612	XP_020614684.1, XP_020614685.1, XP_020614760.1, XP_020614758.1, XP_020614757.1, XP_020614759.1, XP_020614756.1, XP_020614761.1, XP_020614548.1, XP_020614686.1	Acerv_evm.model.Segkk1936_pilon.11
OG0000613	XP_020632303.1	Acerv_evm.model.Segkk2115_pilon.1
OG0000615	XP_020604790.1, XP_020602125.1, XP_020620000.1, XP_020620003.1, XP_020604746.1	Acerv_evm.model.Segkk2226_pilon.10
OG0000617	XP_020628166.1	Acerv_evm.model.Segkk2470_pilon.4, Acerv_evm.model.Segkk2470_pilon.6, Acerv_evm.model.Segkk2470_pilon.5, Acerv_evm.model.Segkk2470_pilon.7, Acerv_evm.model.Segkk2470_pilon.8
OG0000618	XP_020622725.1	Acerv_evm.model.Segkk4019_pilon.10
OG0000619	XP_020630655.1, XP_020630657.1, XP_020630656.1	Acerv_evm.model.Segkk3541_pilon.1, Acerv_evm.model.Segkk3490_pilon.1
OG0000620	XP_020619127.1	Acerv_evm.model.Segkk3238_pilon.17
OG0000621	XP_020622141.1, XP_020622127.1, XP_020622133.1	Acerv_evm.model.Segkk3939_pilon.15, Acerv_evm.model.Segkk3939_pilon.12, Acerv_evm.model.Segkk3939_pilon.11
OG0000623	XP_020616363.1, XP_020622294.1, XP_020622345.1	Acerv_evm.model.Segkk2219_pilon.40
OG0000623	XP_020605151.1	Acerv_evm.model.Segkk126_pilon.9, Acerv_evm.model.Segkk126_pilon.18, Acerv_evm.model.Segkk126_pilon.12, Acerv_evm.model.Segkk126_pilon.20
OG0000624	XP_020608859.1, XP_020608861.1	Acerv_evm.model.Segkk150_pilon.24, Acerv_evm.model.Segkk150_pilon.23
OG0000625	XP_020622554.1, XP_020622553.1, XP_020608715.1	Acerv_evm.model.Segkk2264_pilon.2
OG0000626	XP_020600738.1	Acerv_evm.model.Segkk1408_pilon.1, Acerv_evm.model.Segkk763_pilon.2, Acerv_evm.model.Segkk1408_pilon.3
OG0000626	XP_020611076.1	Acerv_evm.model.Segkk3386_pilon.9, Acerv_evm.model.Segkk873_pilon.6
OG0000626	XP_020611093.1	Acerv_evm.model.Segkk2097_pilon.2
OG0000627	XP_020613020.1	Acerv_evm.model.Segkk2316_pilon.9, Acerv_evm.model.Segkk1028_pilon.5, Acerv_evm.model.Segkk971_pilon.32
OG0000628	XP_020614879.1, XP_020614812.1, XP_020614813.1, XP_020614814.1, XP_020614815.1, XP_020614822.1, XP_020614880.1, XP_020614877.1, XP_020614817.1	Acerv_evm.model.Segkk3334_pilon.1, Acerv_evm.model.Segkk3130_pilon.1, Acerv_evm.model.Segkk2475_pilon.2, Acerv_evm.model.Segkk1806_pilon.1, Acerv_evm.model.Segkk2089_pilon.9, Acerv_evm.model.Segkk301_pilon.35, Acerv_evm.model.Segkk3656_pilon.2
OG0000630	XP_020606421.1	Acerv_evm.model.Segkk863_pilon.1, Acerv_evm.model.Segkk2320_pilon.2, Acerv_evm.model.Segkk385_pilon.2, Acerv_evm.model.Segkk385_pilon.4
OG0000630	XP_020606416.1	Acerv_evm.model.Segkk1889_pilon.3, Acerv_evm.model.Segkk3179_pilon.31
OG0000632	XP_020629466.1	Acerv_evm.model.Segkk552_pilon.5, Acerv_evm.model.Segkk3233_pilon.14, Acerv_evm.model.Segkk3213_pilon.23, Acerv_evm.model.Segkk2550_pilon.9, Acerv_evm.model.Segkk3864_pilon.10, Acerv_evm.model.Segkk389_pilon.16, Acerv_evm.model.Segkk3658_pilon.2, Acerv_evm.model.Segkk3976_pilon.2, Acerv_evm.model.Segkk2204_pilon.1
OG0000635	XP_020632792.1	Acerv_evm.model.Segkk1934_pilon.2, Acerv_evm.model.Segkk2262_pilon.18, Acerv_evm.model.Segkk2356_pilon.13, Acerv_evm.model.Segkk574_pilon.2, Acerv_evm.model.Segkk2262_pilon.17
OG0000636	XP_020602891.1, XP_020619343.1, XP_020612542.1	Acerv_evm.model.Segkk3957_pilon.17
OG0000637	XP_020619329.1	Acerv_evm.model.Segkk2351_pilon.16
OG0000637	XP_020607109.1	Acerv_evm.model.Segkk4290_pilon.11
OG0000637	XP_020614331.1	Acerv_evm.model.Segkk630_pilon.1
OG0000638	XP_020618403.1, XP_020624239.1, XP_020618547.1	Acerv_evm.model.Segkk2319_pilon.14, Acerv_evm.model.Segkk721_pilon.21, Acerv_evm.model.Segkk881_pilon.3, Acerv_evm.model.Segkk957_pilon.3, Acerv_evm.model.Segkk881_pilon.2, Acerv_evm.model.Segkk3905_pilon.12
OG0000640	XP_020615574.1	Acerv_evm.model.Segkk1050_pilon.15
OG0000640	XP_020618519.1, XP_020604708.1	Acerv_evm.model.Segkk2481_pilon.23
OG0000641	XP_020602487.1, XP_020602488.1, XP_020602489.1, XP_020602491.1, XP_020602490.1	Acerv_evm.model.Segkk1507_pilon.3, Acerv_evm.model.Segkk1498_pilon.2, Acerv_evm.model.Segkk1120_pilon.5
OG0000641	XP_020614823.1, XP_020616009.1	Acerv_evm.model.Segkk2039_pilon.2, Acerv_evm.model.Segkk2626_pilon.2, Acerv_evm.model.Segkk3656_pilon.1
OG0000643	XP_020610512.1	Acerv_evm.model.Segkk1209_pilon.5
OG0000643	XP_020627190.1, XP_020627191.1	Acerv_evm.model.Segkk1992_pilon.4
OG0000643	XP_020617300.1	Acerv_evm.model.Segkk3658_pilon.4
OG0000645	XP_020626078.1, XP_020603345.1, XP_020600948.1	Acerv_evm.model.Segkk1533_pilon.1, Acerv_evm.model.Segkk1276_pilon.12
OG0000646	XP_020606630.1, XP_020606629.1	Acerv_evm.model.Segkk2685_pilon.1, Acerv_evm.model.Segkk1337_pilon.1, Acerv_evm.model.Segkk1951_pilon.2, Acerv_evm.model.Segkk3560_pilon.1, Acerv_evm.model.Segkk1462_pilon.13, Acerv_evm.model.Segkk1615_pilon.1, Acerv_evm.model.Segkk3953_pilon.1, Acerv_evm.model.Segkk2635_pilon.7, Acerv_evm.model.Segkk1371_pilon.6
OG0000647	XP_020627099.1	Acerv_evm.model.Segkk2483_pilon.4
OG0000648	XP_020629490.1	Acerv_evm.model.Segkk1599_pilon.19, Acerv_evm.model.Segkk1754_pilon.1, Acerv_evm.model.Segkk2481_pilon.101, Acerv_evm.model.Segkk2055_pilon.30
OG0000649	XP_020616858.1	Acerv_evm.model.Segkk1777_pilon.39
OG0000649	XP_020616889.1	Acerv_evm.model.Segkk1777_pilon.38, Acerv_evm.model.Segkk1777_pilon.37, Acerv_evm.model.Segkk1777_pilon.36
OG0000650	XP_020620120.1, XP_020620119.1, XP_020620118.1, XP_020620117.1	Acerv_evm.model.Segkk3023_pilon.1
OG0000650	XP_020632323.1, XP_020632322.1, XP_020632321.1, XP_020632320.1, XP_020632319.1, XP_020632318.1, XP_020632324.1	Acerv_evm.model.Segkk1947_pilon.4
OG0000651	XP_020615885.1	Acerv_evm.model.Segkk1981_pilon.2, Acerv_evm.model.Segkk3484_pilon.3, Acerv_evm.model.Segkk3484_pilon.1
OG0000651	XP_020604101.1	Acerv_evm.model.Segkk3484_pilon.2
OG0000654	XP_020601468.1	Acerv_evm.model.Segkk4162_pilon.2
OG0000655	XP_020607860.1	Acerv_evm.model.Segkk2869_pilon.3
OG0000655	XP_020607861.1, XP_020607855.1, XP_020613187.1, XP_020613186.1, XP_020613176.1	Acerv_evm.model.Segkk4318_pilon.6
OG0000657	XP_020611867.1	Acerv_evm.model.Segkk3052_pilon.8
OG0000657	XP_020611930.1	Acerv_evm.model.Segkk3052_pilon.10, Acerv_evm.model.Segkk3052_pilon.9
OG0000663	XP_020628090.1, XP_020628089.1, XP_020628231.1	Acerv_evm.model.Segkk18_pilon.4, Acerv_evm.model.Segkk2142_pilon.20
OG0000664	XP_020619880.1	Acerv_evm.model.Segkk4357_pilon.9, Acerv_evm.model.Segkk1814_pilon.1, Acerv_evm.model.Segkk1478_pilon.30, Acerv_evm.model.Segkk151_pilon.7, Acerv_evm.model.Segkk3900_pilon.72, Acerv_evm.model.Segkk48_pilon.4
OG0000665	XP_020617649.1	Acerv_evm.model.Segkk117_pilon.3, Acerv_evm.model.Segkk1925_pilon.1, Acerv_evm.model.Segkk3387_pilon.6, Acerv_evm.model.Segkk2469_pilon.7, Acerv_evm.model.Segkk3219_pilon.17
OG0000666	XP_020625411.1	Acerv_evm.model.Segkk657_pilon.12
OG0000667	XP_020617585.1	Acerv_evm.model.Segkk771_pilon.6, Acerv_evm.model.Segkk2844_pilon.7, Acerv_evm.model.Segkk2753_pilon.1, Acerv_evm.model.Segkk182_pilon.4, Acerv_evm.model.Segkk4345_pilon.6, Acerv_evm.model.Segkk2240_pilon.2, Acerv_evm.model.Segkk3644_pilon.7, Acerv_evm.model.Segkk2201_pilon.42, Acerv_evm.model.Segkk2109_pilon.38, Acerv_evm.model.Segkk3134_pilon.21, Acerv_evm.model.Segkk4308_pilon.33, Acerv_evm.model.Segkk1139_pilon.1
OG0000668	XP_020609633.1	Acerv_evm.model.Segkk1222_pilon.32, Acerv_evm.model.Segkk1536_pilon.3, Acerv_evm.model.Segkk249_pilon.7
OG0000669	XP_020614878.1, XP_020614882.1	Acerv_evm.model.Segkk2335_pilon.14
OG0000670	XP_020627708.1	Acerv_evm.model.Segkk993_pilon.60, Acerv_evm.model.Segkk718_pilon.7, Acerv_evm.model.Segkk1932_pilon.14, Acerv_evm.model.Segkk364_pilon.5, Acerv_evm.model.Segkk524_pilon.2, Acerv_evm.model.Segkk3126_pilon.2
OG0000672	XP_020624622.1	Acerv_evm.model.Segkk470_pilon.8, Acerv_evm.model.Segkk470_pilon.9
OG0000673	XP_020611824.1	Acerv_evm.model.Segkk4006_pilon.15
OG0000673	XP_020604133.1, XP_020631334.1	Acerv_evm.model.Segkk494_pilon.1, Acerv_evm.model.Segkk3112_pilon.11
OG0000674	XP_020629365.1, XP_020629366.1	Acerv_evm.model.Segkk580_pilon.19, Acerv_evm.model.Segkk542_pilon.2
OG0000675	XP_020628193.1	Acerv_evm.model.Segkk3154_pilon.6
OG0000677	XP_020620354.1	Acerv_evm.model.Segkk605_pilon.4
OG0000678	XP_020610252.1, XP_020610249.1, XP_020610251.1, XP_020626208.1, XP_020626209.1, XP_020626206.1, XP_020626207.1, XP_020626210.1, XP_020630824.1, XP_020630807.1, XP_020630809.1, XP_020630808.1	Acerv_evm.model.Segkk1934_pilon.3, Acerv_evm.model.Segkk606_pilon.1
OG0000679	XP_020618338.1	Acerv_evm.model.Segkk3320_pilon.2
OG0000679	XP_020614039.1, XP_020602981.1, XP_020602979.1	Acerv_evm.model.Segkk657_pilon.4
OG0000680	XP_020624132.1, XP_020624133.1, XP_020602186.1	Acerv_evm.model.Segkk4290_pilon.1, Acerv_evm.model.Segkk2500_pilon.1, Acerv_evm.model.Segkk669_pilon.25, Acerv_evm.model.Segkk3910_pilon.1, Acerv_evm.model.Segkk2123_pilon.1, Acerv_evm.model.Segkk844_pilon.1, Acerv_evm.model.Segkk3221_pilon.16, Acerv_evm.model.Segkk1797_pilon.1
OG0000681	XP_020629609.1, XP_020627717.1, XP_020627718.1, XP_020612463.1, XP_020612462.1, XP_020612461.1, XP_020606537.1, XP_020606534.1	Acerv_evm.model.Segkk708_pilon.2
OG0000682	XP_020624968.1, XP_020630513.1	Acerv_evm.model.Segkk3579_pilon.5
OG0000682	XP_020618103.1, XP_020630398.1, XP_020630412.1	Acerv_evm.model.Segkk2194_pilon.31
OG0000683	XP_020620430.1	Acerv_evm.model.Segkk1068_pilon.15
OG0000687	XP_020605683.1, XP_020626019.1	Acerv_evm.model.Segkk1484_pilon.4
OG0000688	XP_020607529.1, XP_020607502.1, XP_020607497.1, XP_020607496.1	Acerv_evm.model.Segkk1632_pilon.16, Acerv_evm.model.Segkk3053_pilon.17
OG0000689	XP_020603222.1, XP_020603221.1, XP_020603220.1, XP_020603223.1, XP_020603215.1, XP_020603217.1, XP_020603218.1, XP_020603219.1	Acerv_evm.model.Segkk1657_pilon.22
OG0000689	XP_020603226.1	Acerv_evm.model.Segkk1657_pilon.21
OG0000691	XP_020604001.1	Acerv_evm.model.Segkk1800_pilon.20, Acerv_evm.model.Segkk3122_pilon.4
OG0000693	XP_020603305.1	Acerv_evm.model.Segkk2121_pilon.3
OG0000694	XP_020607854.1, XP_020607890.1	Acerv_evm.model.Segkk2601_pilon.1
OG0000695	XP_020607681.1, XP_020607267.1	Acerv_evm.model.Segkk2390_pilon.24, Acerv_evm.model.Segkk2390_pilon.23
OG0000697	XP_020615063.1, XP_020615069.1, XP_020630533.1, XP_020630534.1, XP_020630536.1, XP_020630537.1, XP_020604995.1, XP_020604996.1	Acerv_evm.model.Segkk4333_pilon.2, Acerv_evm.model.Segkk3749_pilon.1, Acerv_evm.model.Segkk3182_pilon.1
OG0000698	XP_020618007.1	Acerv_evm.model.Segkk4059_pilon.5
OG0000703	XP_020607349.1	Acerv_evm.model.Segkk181_pilon.6
OG0000704	XP_020601409.1	Acerv_evm.model.Segkk1452_pilon.24, Acerv_evm.model.Segkk2596_pilon.4, Acerv_evm.model.Segkk1728_pilon.46, Acerv_evm.model.Segkk28_pilon.6, Acerv_evm.model.Segkk1003_pilon.22
OG0000705	XP_020623766.1, XP_020623765.1	Acerv_evm.model.Segkk33_pilon.4
OG0000707	XP_020626850.1	Acerv_evm.model.Segkk229_pilon.8, Acerv_evm.model.Segkk229_pilon.9, Acerv_evm.model.Segkk229_pilon.10
OG0000708	XP_020627228.1	Acerv_evm.model.Segkk337_pilon.2
OG0000708	XP_020630922.1	Acerv_evm.model.Segkk1158_pilon.16
OG0000709	XP_020618113.1	Acerv_evm.model.Segkk844_pilon.4
OG0000710	XP_020610413.1	Acerv_evm.model.Segkk693_pilon.1, Acerv_evm.model.Segkk400_pilon.1
OG0000711	XP_020606246.1, XP_020606245.1, XP_020606269.1, XP_020606272.1, XP_020606271.1	Acerv_evm.model.Segkk2758_pilon.6, Acerv_evm.model.Segkk583_pilon.1, Acerv_evm.model.Segkk2758_pilon.7, Acerv_evm.model.Segkk540_pilon.2
OG0000712	XP_020627096.1	Acerv_evm.model.Segkk469_pilon.85, Acerv_evm.model.Segkk4338_pilon.22, Acerv_evm.model.Segkk1281_pilon.40, Acerv_evm.model.Segkk1281_pilon.31, Acerv_evm.model.Segkk2146_pilon.2
OG0000713	XP_020620331.1, XP_020620339.1, XP_020620338.1, XP_020620337.1, XP_020620336.1, XP_020626357.1	Acerv_evm.model.Segkk473_pilon.17
OG0000714	XP_020619860.1	Acerv_evm.model.Segkk476_pilon.6, Acerv_evm.model.Segkk2485_pilon.3, Acerv_evm.model.Segkk476_pilon.3
OG0000714	XP_020619858.1	Acerv_evm.model.Segkk3422_pilon.1, Acerv_evm.model.Segkk3422_pilon.4
OG0000715	XP_020622172.1	Acerv_evm.model.Segkk4314_pilon.1, Acerv_evm.model.Segkk527_pilon.7, Acerv_evm.model.Segkk2533_pilon.1, Acerv_evm.model.Segkk3393_pilon.6
OG0000716	XP_020610573.1, XP_020610572.1, XP_020610575.1, XP_020610574.1	Acerv_evm.model.Segkk2526_pilon.3
OG0000716	XP_020629496.1, XP_020629465.1	Acerv_evm.model.Segkk543_pilon.13
OG0000717	XP_020632495.1, XP_020632487.1	Acerv_evm.model.Segkk554_pilon.4, Acerv_evm.model.Segkk3907_pilon.1, Acerv_evm.model.Segkk3907_pilon.2, Acerv_evm.model.Segkk3907_pilon.3, Acerv_evm.model.Segkk554_pilon.5, Acerv_evm.model.Segkk1487_pilon.3, Acerv_evm.model.Segkk1883_pilon.1, Acerv_evm.model.Segkk2482_pilon.12, Acerv_evm.model.Segkk2482_pilon.11, Acerv_evm.model.Segkk2482_pilon.2, Acerv_evm.model.Segkk2341_pilon.2, Acerv_evm.model.Segkk2482_pilon.3, Acerv_evm.model.Segkk2341_pilon.5, Acerv_evm.model.Segkk2482_pilon.4, Acerv_evm.model.Segkk2482_pilon.5
OG0000718	XP_020612754.1	Acerv_evm.model.Segkk4338_pilon.4, Acerv_evm.model.Segkk4308_pilon.29, Acerv_evm.model.Segkk2164_pilon.61, Acerv_evm.model.Segkk569_pilon.1
OG0000719	XP_020608787.1	Acerv_evm.model.Segkk2481_pilon.47, Acerv_evm.model.Segkk3755_pilon.5, Acerv_evm.model.Segkk2164_pilon.20, Acerv_evm.model.Segkk577_pilon.5
OG0000720	XP_020602463.1, XP_020602464.1, XP_020622225.1	Acerv_evm.model.Segkk2765_pilon.21, Acerv_evm.model.Segkk3054_pilon.20, Acerv_evm.model.Segkk615_pilon.1, Acerv_evm.model.Segkk2765_pilon.14, Acerv_evm.model.Segkk3054_pilon.17
OG0000721	XP_020606391.1	Acerv_evm.model.Segkk2585_pilon.21, Acerv_evm.model.Segkk616_pilon.13, Acerv_evm.model.Segkk3469_pilon.8, Acerv_evm.model.Segkk2585_pilon.20
OG0000722	XP_020623745.1	Acerv_evm.model.Segkk650_pilon.10
OG0000724	XP_020628749.1, XP_020628747.1	Acerv_evm.model.Segkk708_pilon.18
OG0000724	XP_020628656.1	Acerv_evm.model.Segkk708_pilon.17, Acerv_evm.model.Segkk708_pilon.19
OG0000725	XP_020610280.1, XP_020610357.1, XP_020610350.1, XP_020610342.1, XP_020600445.1, XP_020610291.1, XP_020623044.1, XP_020623045.1, XP_020601650.1, XP_020601649.1, XP_020620775.1, XP_020620776.1	Acerv_evm.model.Segkk711_pilon.40, Acerv_evm.model.Segkk1417_pilon.1, Acerv_evm.model.Segkk711_pilon.42
OG0000727	XP_020617464.1	Acerv_evm.model.Segkk824_pilon.25
OG0000728	XP_020615071.1	Acerv_evm.model.Segkk872_pilon.3
OG0000728	XP_020615073.1, XP_020631496.1	Acerv_evm.model.Segkk872_pilon.2
OG0000732	XP_020621975.1	Acerv_evm.model.Segkk3178_pilon.1
OG0000733	XP_020601440.1, XP_020601441.1, XP_020632965.1, XP_020631169.1	Acerv_evm.model.Segkk1237_pilon.9, Acerv_evm.model.Segkk1237_pilon.10, Acerv_evm.model.Segkk1237_pilon.11
OG0000734	XP_020618212.1, XP_020618211.1, XP_020618210.1	Acerv_evm.model.Segkk1239_pilon.1, Acerv_evm.model.Segkk3265_pilon.1
OG0000735	XP_020604603.1, XP_020609178.1, XP_020604514.1	Acerv_evm.model.Segkk1438_pilon.10, Acerv_evm.model.Segkk2842_pilon.2, Acerv_evm.model.Segkk2842_pilon.1, Acerv_evm.model.Segkk1245_pilon.2, Acerv_evm.model.Segkk4267_pilon.17, Acerv_evm.model.Segkk3808_pilon.2, Acerv_evm.model.Segkk1438_pilon.19, Acerv_evm.model.Segkk1438_pilon.16
OG0000736	XP_020608245.1, XP_020608297.1, XP_020608296.1, XP_020608294.1, XP_020608293.1, XP_020608292.1, XP_020608295.1, XP_020608316.1, XP_020602947.1, XP_020602946.1, XP_020608244.1	Acerv_evm.model.Segkk3629_pilon.1, Acerv_evm.model.Segkk4131_pilon.4, Acerv_evm.model.Segkk1599_pilon.18
OG0000738	XP_020625799.1	Acerv_evm.model.Segkk2240_pilon.11
OG0000738	XP_020621695.1	Acerv_evm.model.Segkk2240_pilon.9, Acerv_evm.model.Segkk2240_pilon.10
OG0000739	XP_020604094.1, XP_020604093.1	Acerv_evm.model.Segkk2898_pilon.14
OG0000740	XP_020625470.1, XP_020625471.1, XP_020625480.1, XP_020625479.1	Acerv_evm.model.Segkk3417_pilon.23
OG0000741	XP_020603970.1, XP_020603971.1, XP_020603969.1, XP_020603967.1, XP_020603966.1	Acerv_evm.model.Segkk3807_pilon.5, Acerv_evm.model.Segkk3807_pilon.1
OG0000741	XP_020601215.1	Acerv_evm.model.Segkk4064_pilon.1, Acerv_evm.model.Segkk3807_pilon.9, Acerv_evm.model.Segkk3807_pilon.8, Acerv_evm.model.Segkk4138_pilon.34, Acerv_evm.model.Segkk4138_pilon.33
OG0000742	XP_020610139.1, XP_020632516.1, XP_020632517.1	Acerv_evm.model.Segkk4159_pilon.22
OG0000750	XP_020611249.1	Acerv_evm.model.Segkk3194_pilon.10, Acerv_evm.model.Segkk873_pilon.38, Acerv_evm.model.Segkk3318_pilon.2, Acerv_evm.model.Segkk20_pilon.15, Acerv_evm.model.Segkk4379_pilon.1, Acerv_evm.model.Segkk842_pilon.1, Acerv_evm.model.Segkk4327_pilon.32, Acerv_evm.model.Segkk2586_pilon.11, Acerv_evm.model.Segkk842_pilon.2
OG0000751	XP_020628039.1, XP_020616054.1, XP_020628651.1, XP_020630538.1	Acerv_evm.model.Segkk2111_pilon.2
OG0000753	XP_020609754.1	Acerv_evm.model.Segkk2213_pilon.5, Acerv_evm.model.Segkk3890_pilon.2, Acerv_evm.model.Segkk58_pilon.27, Acerv_evm.model.Segkk3860_pilon.4, Acerv_evm.model.Segkk3555_pilon.3, Acerv_evm.model.Segkk4014_pilon.2
OG0000755	XP_020610156.1, XP_020610158.1, XP_020610157.1	Acerv_evm.model.Segkk921_pilon.7, Acerv_evm.model.Segkk548_pilon.8, Acerv_evm.model.Segkk353_pilon.11, Acerv_evm.model.Segkk1597_pilon.4, Acerv_evm.model.Segkk4302_pilon.31, Acerv_evm.model.Segkk1727_pilon.16, Acerv_evm.model.Segkk190_pilon.28, Acerv_evm.model.Segkk3866_pilon.2, Acerv_evm.model.Segkk1158_pilon.1, Acerv_evm.model.Segkk1727_pilon.3
OG0000756	XP_020616067.1, XP_020616068.1	Acerv_evm.model.Segkk208_pilon.1
OG0000756	XP_020625268.1, XP_020625267.1	Acerv_evm.model.Segkk2306_pilon.32
OG0000757	XP_020629958.1	Acerv_evm.model.Segkk228_pilon.3
OG0000757	XP_020629955.1	Acerv_evm.model.Segkk2924_pilon.38
OG0000757	XP_020628001.1, XP_020628000.1	Acerv_evm.model.Segkk2386_pilon.10
OG0000758	XP_020632887.1	Acerv_evm.model.Segkk1240_pilon.5, Acerv_evm.model.Segkk1928_pilon.1, Acerv_evm.model.Segkk242_pilon.8, Acerv_evm.model.Segkk1072_pilon.3, Acerv_evm.model.Segkk3300_pilon.3, Acerv_evm.model.Segkk3776_pilon.6, Acerv_evm.model.Segkk3300_pilon.2
OG0000759	XP_020600961.1	Acerv_evm.model.Segkk2762_pilon.15, Acerv_evm.model.Segkk3474_pilon.4, Acerv_evm.model.Segkk469_pilon.8, Acerv_evm.model.Segkk1156_pilon.1, Acerv_evm.model.Segkk681_pilon.4, Acerv_evm.model.Segkk4018_pilon.7, Acerv_evm.model.Segkk252_pilon.31
OG0000760	XP_020619490.1, XP_020619489.1	Acerv_evm.model.Segkk975_pilon.4
OG0000760	XP_020619466.1, XP_020619467.1	Acerv_evm.model.Segkk975_pilon.3
OG0000760	XP_020619459.1	Acerv_evm.model.Segkk253_pilon.5
OG0000761	XP_020609184.1	Acerv_evm.model.Segkk1009_pilon.15, Acerv_evm.model.Segkk1738_pilon.3, Acerv_evm.model.Segkk266_pilon.8, Acerv_evm.model.Segkk1009_pilon.13, Acerv_evm.model.Segkk2353_pilon.11, Acerv_evm.model.Segkk2992_pilon.7, Acerv_evm.model.Segkk2722_pilon.41, Acerv_evm.model.Segkk2464_pilon.11, Acerv_evm.model.Segkk2353_pilon.12, Acerv_evm.model.Segkk2992_pilon.8
OG0000762	XP_020622575.1	Acerv_evm.model.Segkk951_pilon.12
OG0000763	XP_020614137.1, XP_020614167.1, XP_020614108.1, XP_020614109.1, XP_020614275.1	Acerv_evm.model.Segkk327_pilon.38
OG0000765	XP_020601085.1, XP_020600788.1, XP_020601570.1, XP_020601568.1, XP_020601569.1	Acerv_evm.model.Segkk4175_pilon.5, Acerv_evm.model.Segkk3651_pilon.3, Acerv_evm.model.Segkk358_pilon.1
