Orthogroup	plut2v1.1.proteins	GCF_002042975.1_ofav_dov_v1_protein
OG0000342	plut2.m8.744.m1	XP_020618529.1
OG0000342	plut2.m8.8341.m1, plut2.m8.8342.m1	XP_020608883.1, XP_020618538.1, XP_020618542.1, XP_020618540.1, XP_020618541.1
OG0000344	plut2.m8.26340.m1, plut2.m8.6232.m1, plut2.m8.9286.m1, plut2.m8.6224.m1	XP_020617463.1
OG0000344	plut2.m8.22383.m1, plut2.m8.17826.m1, plut2.m8.18369.m1, plut2.m8.6980.m1, plut2.m8.18376.m1, plut2.m8.18740.m1, plut2.m8.4978.m1, plut2.m8.18378.m1, plut2.m8.6981.m1, plut2.m8.6985.m1, plut2.m8.5000.m1, plut2.m8.6278.m1	XP_020604335.1, XP_020606202.1
OG0000345	plut2.m8.12079.m1	XP_020630550.1, XP_020625603.1, XP_020625602.1, XP_020625601.1, XP_020625600.1, XP_020617933.1, XP_020617929.1, XP_020617926.1, XP_020617927.1, XP_020617928.1, XP_020617930.1, XP_020617931.1, XP_020617932.1, XP_020617935.1, XP_020617934.1, XP_020617936.1, XP_020630526.1, XP_020630525.1
OG0000345	plut2.m8.20182.m1, plut2.m8.33514.m1, plut2.m8.33366.m1	XP_020625596.1, XP_020625595.1, XP_020617937.1, XP_020617938.1, XP_020614090.1, XP_020630502.1
OG0000346	plut2.m8.2921.m1	XP_020627095.1, XP_020609248.1, XP_020609249.1, XP_020609301.1
OG0000348	plut2.m8.6903.m1, plut2.m8.25164.m1, plut2.m8.4535.m1, plut2.m8.12295.m1, plut2.m8.12293.m1	XP_020616833.1
OG0000349	jamg1.model.Sc0000110.60, jamg1.model.Sc0000001.204	XP_020627014.1, XP_020626805.1
OG0000349	plut2.m8.2422.m1	XP_020626986.1
OG0000351	plut2.m8.27540.m1	XP_020624810.1, XP_020617657.1, XP_020621345.1, XP_020621344.1, XP_020621319.1, XP_020617660.1, XP_020628125.1, XP_020628126.1, XP_020628127.1, XP_020617648.1
OG0000355	jamg1.model.Sc0000164.18, plut2.m8.12568.m1	XP_020610576.1, XP_020610624.1, XP_020610626.1, XP_020610627.1, XP_020611703.1, XP_020619558.1, XP_020619557.1, XP_020619560.1, XP_020619559.1, XP_020619556.1, XP_020619552.1, XP_020619553.1, XP_020601981.1, XP_020601980.1
OG0000356	plut2.m8.16919.m1, plut2.m8.31987.m1	XP_020608320.1
OG0000356	plut2.m8.2559.m1, plut2.m8.1724.m1, plut2.m8.21733.m1, plut2.m8.25600.m1, plut2.m8.12210.m1, plut2.m8.19784.m1	XP_020616649.1
OG0000357	jamg1.model.xfSc0000621.1	XP_020617834.1, XP_020610409.1
OG0000358	plut2.m8.33609.m1, plut2.m8.22691.m1	XP_020630169.1, XP_020630170.1, XP_020630109.1, XP_020630171.1, XP_020630174.1, XP_020630168.1, XP_020630128.1
OG0000358	plut2.m8.33335.m1	XP_020630167.1
OG0000359	plut2.m8.24498.m1, jamg1.model.Sc0000125.1, jamg1.model.Sc0000454.23, jamg1.model.Sc0000246.3	XP_020624916.1
OG0000361	plut2.m8.6709.m1	XP_020609624.1, XP_020618392.1
OG0000362	jamg1.model.Sc0000086.6	XP_020617325.1
OG0000364	plut2.m8.33029.m1, plut2.m8.25746.m1, plut2.m8.23541.m1, plut2.m8.23543.m1	XP_020617072.1, XP_020617065.1, XP_020617034.1, XP_020617044.1
OG0000364	plut2.m8.7806.m1, plut2.m8.7809.m1	XP_020609053.1
OG0000366	jamg1.model.Sc0000756.5, jamg1.model.xfSc0000016.12, jamg1.model.xfSc0000088.14, jamg1.model.Sc0000104.87, jamg1.model.Sc0000194.22, jamg1.model.Sc0000592.8, jamg1.model.xfSc0000208.1, jamg1.model.Sc0000059.61, plut2.m8.15534.m1, plut2.m8.19602.m1	XP_020626795.1, XP_020619861.1
OG0000367	plut2.m8.20162.m1, plut2.m8.19598.m1, plut2.m8.20805.m1, plut2.m8.19599.m1, plut2.m8.20161.m1	XP_020611892.1, XP_020603059.1, XP_020623408.1, XP_020618793.1
OG0000367	plut2.m8.12580.m1	XP_020611837.1
OG0000367	jamg1.model.Sc0000117.66	XP_020626168.1
OG0000367	plut2.m8.2707.m1	XP_020617021.1
OG0000367	plut2.m8.14530.m1	XP_020631349.1
OG0000369	plut2.m8.560.m1, plut2.m8.16466.m1, plut2.m8.11151.m1, jamg1.model.Sc0000851.9, jamg1.model.xpSc0007232.14, plut2.m8.16795.m1, plut2.m8.18784.m1	XP_020620237.1, XP_020620275.1
OG0000369	plut2.m8.26637.m1	XP_020616940.1
OG0000369	jamg1.model.Sc0000546.7	XP_020617107.1, XP_020602811.1, XP_020620276.1
OG0000370	plut2.m8.15075.m1	XP_020600712.1, XP_020600714.1, XP_020600711.1, XP_020600715.1, XP_020600716.1, XP_020600719.1
OG0000370	plut2.m8.15076.m1	XP_020600710.1, XP_020600708.1, XP_020600709.1, XP_020600717.1, XP_020600718.1, XP_020600720.1, XP_020600721.1, XP_020600722.1
OG0000371	plut2.m8.204.m1, plut2.m8.201.m1, plut2.m8.24838.m1, plut2.m8.24833.m1, plut2.m8.2558.m1, plut2.m8.2560.m1, plut2.m8.2562.m1, plut2.m8.2557.m1, plut2.m8.24844.m1, plut2.m8.2600.m1, plut2.m8.29817.m1	XP_020615034.1
OG0000373	plut2.m8.11967.m1, plut2.m8.30826.m1, plut2.m8.4307.m1	XP_020617316.1
OG0000374	plut2.m8.32891.m1, plut2.m8.32884.m1, plut2.m8.32887.m1, plut2.m8.32890.m1, plut2.m8.32881.m1, plut2.m8.32885.m1, plut2.m8.865.m1	XP_020603119.1, XP_020631299.1, XP_020631354.1, XP_020627172.1, XP_020631340.1
OG0000375	plut2.m8.3973.m1, plut2.m8.3972.m1	XP_020623711.1
OG0000375	plut2.m8.3934.m1, plut2.m8.33489.m1, plut2.m8.3938.m1	XP_020623775.1, XP_020623774.1, XP_020623773.1, XP_020623776.1, XP_020623867.1, XP_020623865.1
OG0000376	plut2.m8.15619.m1	XP_020602584.1
OG0000377	plut2.m8.5530.m1, plut2.m8.25221.m1, plut2.m8.26649.m1, jamg1.model.xfSc0000005.16, plut2.m8.26661.m1, jamg1.model.xpSc0007479.1, plut2.m8.26647.m1, plut2.m8.26653.m1, plut2.m8.26660.m1, plut2.m8.16716.m1	XP_020618518.1
OG0000379	plut2.m8.30942.m1, plut2.m8.764.m1, plut2.m8.30832.m1, plut2.m8.26288.m1, jamg1.model.Sc0000939.1, plut2.m8.25843.m1, plut2.m8.25712.m1, plut2.m8.9817.m1, plut2.m8.26265.m1, plut2.m8.25605.m1, plut2.m8.22216.m1, plut2.m8.24020.m1, jamg1.model.Sc0000657.3, plut2.m8.25964.m1, plut2.m8.1586.m1	XP_020620194.1, XP_020620195.1
OG0000382	plut2.m8.32356.m1, plut2.m8.32367.m1, plut2.m8.8982.m1, jamg1.model.Sc0000021.96, plut2.m8.20288.m1	XP_020629949.1
OG0000382	plut2.m8.23124.m1	XP_020604332.1, XP_020614350.1, XP_020614351.1
OG0000384	plut2.m8.12007.m1, plut2.m8.1066.m1	XP_020613136.1, XP_020613135.1, XP_020613137.1
OG0000384	plut2.m8.25616.m1, plut2.m8.1055.m1	XP_020629148.1, XP_020629146.1
OG0000387	jamg1.model.xfSc0000455.1	XP_020623283.1
OG0000387	plut2.m8.17149.m1	XP_020605372.1, XP_020605370.1
OG0000392	plut2.m8.13244.m1	XP_020631218.1, XP_020631220.1
OG0000392	plut2.m8.17268.m1	XP_020632121.1
OG0000393	plut2.m8.26342.m1, plut2.m8.29955.m1	XP_020604909.1, XP_020604910.1, XP_020602292.1, XP_020602332.1, XP_020602278.1, XP_020602277.1
OG0000394	plut2.m8.32350.m1, plut2.m8.25633.m1, plut2.m8.32370.m1, plut2.m8.30617.m1, plut2.m8.24125.m1, plut2.m8.25575.m1, plut2.m8.8601.m1, plut2.m8.29820.m1, plut2.m8.32354.m1, plut2.m8.30618.m1, plut2.m8.19940.m1, plut2.m8.1831.m1, plut2.m8.20042.m1, plut2.m8.1828.m1, plut2.m8.32361.m1, plut2.m8.11462.m1, plut2.m8.28607.m1, plut2.m8.2665.m1	XP_020631555.1, XP_020631554.1
OG0000395	plut2.m8.20732.m1, jamg1.model.Sc0000390.21	XP_020632656.1, XP_020632372.1
OG0000402	jamg1.model.Sc0000047.103	XP_020600787.1
OG0000402	jamg1.model.Sc0000141.83, jamg1.model.Sc0000053.136, jamg1.model.Sc0000029.40	XP_020630867.1
OG0000404	plut2.m8.5334.m1	XP_020604271.1
OG0000404	jamg1.model.Sc0000049.24, plut2.m8.5330.m1, plut2.m8.5329.m1	XP_020604281.1
OG0000406	jamg1.model.Sc0000086.1	XP_020618505.1
OG0000407	plut2.m8.17588.m1, plut2.m8.17577.m1, plut2.m8.17571.m1, plut2.m8.5976.m1, plut2.m8.30969.m1	XP_020620402.1, XP_020620787.1
OG0000409	plut2.m8.6690.m1	XP_020625529.1, XP_020620371.1, XP_020617219.1
OG0000410	plut2.m8.16361.m1	XP_020610153.1, XP_020610155.1
OG0000410	plut2.m8.25220.m1	XP_020604789.1
OG0000412	plut2.m8.22351.m1, plut2.m8.10002.m1, plut2.m8.19508.m1, plut2.m8.16123.m1, plut2.m8.8366.m1, jamg1.model.xfSc0000107.20, plut2.m8.30840.m1	XP_020613049.1
OG0000413	plut2.m8.22936.m1, plut2.m8.25544.m1	XP_020621536.1
OG0000413	plut2.m8.25546.m1	XP_020619385.1, XP_020619342.1
OG0000413	plut2.m8.33237.m1	XP_020619388.1
OG0000414	plut2.m8.19989.m1, plut2.m8.12217.m1, plut2.m8.31387.m1, plut2.m8.18440.m1, plut2.m8.26055.m1, plut2.m8.31973.m1, plut2.m8.18445.m1, plut2.m8.18443.m1, plut2.m8.18442.m1, plut2.m8.31835.m1, plut2.m8.18441.m1, plut2.m8.18447.m1, plut2.m8.18446.m1, plut2.m8.18444.m1, plut2.m8.19990.m1	XP_020623593.1, XP_020621299.1, XP_020621298.1
OG0000416	plut2.m8.20375.m1	XP_020614865.1
OG0000416	plut2.m8.20374.m1, plut2.m8.20373.m1	XP_020614507.1, XP_020614841.1, XP_020614963.1
OG0000418	plut2.m8.21217.m1, plut2.m8.21216.m1	XP_020600663.1, XP_020600662.1, XP_020600664.1
OG0000418	plut2.m8.22649.m1	XP_020600693.1, XP_020600695.1, XP_020600694.1, XP_020600696.1
OG0000419	plut2.m8.769.m1, plut2.m8.2603.m1	XP_020616781.1
OG0000419	plut2.m8.8620.m1, plut2.m8.758.m1	XP_020629943.1, XP_020629951.1, XP_020607897.1
OG0000419	plut2.m8.10069.m1, plut2.m8.10070.m1, plut2.m8.7537.m1, plut2.m8.7543.m1	XP_020601036.1, XP_020601034.1, XP_020601035.1, XP_020612737.1, XP_020612736.1, XP_020606653.1, XP_020601174.1, XP_020606654.1, XP_020601172.1
OG0000420	jamg1.model.xpSc0007336.4	XP_020602013.1, XP_020630024.1, XP_020609713.1
OG0000423	plut2.m8.2101.m1	XP_020616584.1, XP_020616534.1
OG0000423	plut2.m8.20105.m1, plut2.m8.20107.m1	XP_020603086.1, XP_020603085.1
OG0000424	plut2.m8.7538.m1, plut2.m8.7545.m1	XP_020629957.1, XP_020629937.1, XP_020629938.1
OG0000425	plut2.m8.8136.m1, plut2.m8.8127.m1, plut2.m8.8128.m1, jamg1.model.Sc0000086.37	XP_020623483.1
OG0000425	plut2.m8.8132.m1, plut2.m8.8129.m1, plut2.m8.8125.m1, plut2.m8.8123.m1, plut2.m8.8137.m1	XP_020623642.1
OG0000425	plut2.m8.8131.m1	XP_020623421.1
OG0000427	plut2.m8.329.m1, plut2.m8.324.m1, plut2.m8.311.m1, plut2.m8.326.m1, plut2.m8.327.m1, plut2.m8.25901.m1, plut2.m8.328.m1, plut2.m8.325.m1	XP_020601278.1, XP_020601266.1, XP_020601265.1, XP_020601158.1, XP_020601157.1, XP_020601249.1, XP_020601248.1
OG0000428	jamg1.model.Sc0000148.47, plut2.m8.23619.m1	XP_020611399.1
OG0000429	jamg1.model.xpSc0007060.27, jamg1.model.Sc0000118.25, jamg1.model.xfSc0000106.5	XP_020623973.1
OG0000431	plut2.m8.2824.m1, jamg1.model.Sc0000023.11, plut2.m8.19731.m1, jamg1.model.Sc0000043.14, plut2.m8.19726.m1, plut2.m8.2828.m1, plut2.m8.26365.m1, plut2.m8.2829.m1	XP_020617954.1, XP_020621124.1
OG0000435	plut2.m8.21376.m1, plut2.m8.8926.m1	XP_020630449.1, XP_020630512.1
OG0000437	plut2.m8.974.m1	XP_020632853.1, XP_020632846.1
OG0000437	plut2.m8.18739.m1	XP_020632844.1, XP_020629415.1, XP_020629413.1
OG0000437	plut2.m8.33129.m1	XP_020630548.1
OG0000439	plut2.m8.31433.m1, plut2.m8.5253.m1, plut2.m8.5250.m1, plut2.m8.24902.m1, plut2.m8.25760.m1, plut2.m8.27835.m1	XP_020624113.1
OG0000442	plut2.m8.21977.m1	XP_020602396.1
OG0000442	plut2.m8.11213.m1, plut2.m8.12753.m1, plut2.m8.33530.m1	XP_020603528.1, XP_020603527.1, XP_020615248.1, XP_020602326.1, XP_020602331.1, XP_020602336.1, XP_020602646.1
OG0000444	plut2.m8.30230.m1, plut2.m8.28803.m1, plut2.m8.28797.m1, plut2.m8.28802.m1, plut2.m8.28795.m1, plut2.m8.28798.m1, plut2.m8.28793.m1, plut2.m8.28804.m1, plut2.m8.22794.m1	XP_020620834.1
OG0000444	plut2.m8.30228.m1, plut2.m8.30229.m1	XP_020620841.1, XP_020620833.1, XP_020620832.1
OG0000445	plut2.m8.10342.m1	XP_020604716.1
OG0000445	plut2.m8.3668.m1	XP_020624717.1
OG0000445	plut2.m8.8807.m1	XP_020608626.1, XP_020608607.1
OG0000445	plut2.m8.23331.m1	XP_020620548.1, XP_020620549.1
OG0000446	plut2.m8.8452.m1, plut2.m8.31556.m1, plut2.m8.832.m1, plut2.m8.31557.m1, plut2.m8.2297.m1, plut2.m8.2295.m1	XP_020618911.1, XP_020618913.1, XP_020618912.1
OG0000446	plut2.m8.2298.m1, plut2.m8.8453.m1	XP_020603378.1
OG0000447	jamg1.model.Sc0000045.52	XP_020617145.1
OG0000447	plut2.m8.32903.m1, plut2.m8.4935.m1	XP_020617171.1
OG0000447	plut2.m8.22056.m1, plut2.m8.22065.m1, plut2.m8.32901.m1, plut2.m8.22061.m1, plut2.m8.4944.m1	XP_020617143.1
OG0000448	plut2.m8.26202.m1	XP_020628091.1
OG0000449	plut2.m8.20452.m1	XP_020622998.1, XP_020622997.1, XP_020621088.1, XP_020621089.1, XP_020609714.1, XP_020615933.1
OG0000450	plut2.m8.14293.m1	XP_020606744.1, XP_020606781.1
OG0000450	plut2.m8.1583.m1	XP_020626726.1
OG0000450	plut2.m8.17666.m1, plut2.m8.12030.m1, jamg1.model.Sc0000154.47, plut2.m8.12534.m1, plut2.m8.15096.m1, plut2.m8.31729.m1, plut2.m8.11731.m1, jamg1.model.Sc0000211.23, plut2.m8.15097.m1, plut2.m8.1421.m1, plut2.m8.1418.m1, plut2.m8.1420.m1	XP_020626681.1
OG0000450	jamg1.model.Sc0000209.38	XP_020629969.1, XP_020621202.1
OG0000450	plut2.m8.20676.m1	XP_020626712.1, XP_020626713.1
OG0000452	plut2.m8.3782.m1, plut2.m8.33497.m1, plut2.m8.4603.m1	XP_020616976.1
OG0000452	plut2.m8.9250.m1	XP_020632735.1
OG0000454	plut2.m8.28872.m1	XP_020617814.1
OG0000454	plut2.m8.28876.m1	XP_020608042.1
OG0000454	plut2.m8.26751.m1, plut2.m8.12634.m1	XP_020617864.1
OG0000454	plut2.m8.28871.m1	XP_020605446.1
OG0000455	plut2.m8.8865.m1	XP_020623185.1, XP_020628246.1, XP_020615111.1, XP_020627074.1, XP_020606553.1, XP_020610720.1, XP_020624187.1
OG0000456	plut2.m8.11759.m1, plut2.m8.11749.m1	XP_020627567.1
OG0000456	plut2.m8.19294.m1, plut2.m8.1999.m1	XP_020615562.1
OG0000461	plut2.m8.5742.m1	XP_020609614.1
OG0000462	plut2.m8.18502.m1, plut2.m8.18501.m1, jamg1.model.xfSc0000589.4, plut2.m8.29253.m1	XP_020626545.1
OG0000464	jamg1.model.Sc0000163.47, jamg1.model.Sc0000028.14	XP_020618907.1, XP_020625248.1, XP_020620703.1
OG0000465	plut2.m8.5397.m1	XP_020621535.1, XP_020627461.1, XP_020619540.1, XP_020619639.1
OG0000468	jamg1.model.Sc0000372.5, jamg1.model.Sc0000008.112	XP_020619427.1
OG0000468	plut2.m8.10978.m1, plut2.m8.30526.m1	XP_020628799.1
OG0000469	plut2.m8.22162.m1	XP_020627996.1
OG0000469	plut2.m8.22217.m1	XP_020627969.1
OG0000469	plut2.m8.1460.m1	XP_020600429.1
OG0000469	plut2.m8.30185.m1	XP_020627970.1, XP_020627983.1
OG0000469	plut2.m8.22151.m1	XP_020627971.1
OG0000471	plut2.m8.11569.m1, plut2.m8.31575.m1, plut2.m8.31574.m1, plut2.m8.11563.m1, jamg1.model.xfSc0000688.3, jamg1.model.xpSc0007933.1, plut2.m8.10010.m1, jamg1.model.Sc0000106.53	XP_020618182.1, XP_020614113.1, XP_020614153.1, XP_020614114.1, XP_020613537.1, XP_020614099.1, XP_020614098.1, XP_020614097.1, XP_020614096.1, XP_020614100.1
OG0000472	plut2.m8.25393.m1	XP_020615969.1, XP_020615968.1, XP_020615967.1
OG0000472	plut2.m8.22218.m1, plut2.m8.14600.m1	XP_020628811.1
OG0000472	plut2.m8.4496.m1	XP_020619200.1, XP_020619216.1, XP_020619185.1, XP_020619186.1
OG0000472	plut2.m8.4268.m1, plut2.m8.4265.m1	XP_020629193.1
OG0000473	plut2.m8.20445.m1, plut2.m8.19820.m1, plut2.m8.20447.m1	XP_020605862.1
OG0000473	plut2.m8.5026.m1	XP_020627719.1, XP_020627709.1
OG0000474	plut2.m8.9532.m1	XP_020632862.1
OG0000474	jamg1.model.Sc0000557.9, jamg1.model.Sc0000037.155	XP_020609182.1
OG0000475	jamg1.model.Sc0000077.36	XP_020611721.1
OG0000475	plut2.m8.5176.m1	XP_020628859.1, XP_020628901.1
OG0000475	jamg1.model.Sc0000037.106, jamg1.model.Sc0000037.105, jamg1.model.Sc0000037.126, jamg1.model.Sc0000037.104	XP_020619240.1, XP_020619147.1, XP_020619146.1, XP_020619149.1, XP_020619141.1
OG0000476	plut2.m8.29351.m1	XP_020632395.1
OG0000479	plut2.m8.13930.m1, plut2.m8.26364.m1, plut2.m8.2024.m1, plut2.m8.863.m1, plut2.m8.862.m1	XP_020621204.1, XP_020621234.1
OG0000479	plut2.m8.15939.m1, plut2.m8.22575.m1, plut2.m8.14687.m1, plut2.m8.30819.m1, plut2.m8.10797.m1, plut2.m8.10714.m1, plut2.m8.4902.m1, plut2.m8.10796.m1, plut2.m8.23320.m1	XP_020612941.1
OG0000480	plut2.m8.3866.m1	XP_020630002.1, XP_020630001.1, XP_020630003.1, XP_020630011.1, XP_020630012.1, XP_020630013.1, XP_020630006.1, XP_020630007.1, XP_020630008.1, XP_020630009.1, XP_020630014.1, XP_020630015.1, XP_020630004.1, XP_020630016.1, XP_020630010.1
OG0000481	plut2.m8.6197.m1	XP_020627617.1
OG0000481	plut2.m8.6204.m1	XP_020611343.1
OG0000482	plut2.m8.25168.m1, plut2.m8.27381.m1	XP_020602065.1, XP_020602066.1, XP_020615317.1, XP_020605501.1
OG0000483	plut2.m8.8735.m1	XP_020627303.1
OG0000483	jamg1.model.Sc0000343.37	XP_020625953.1, XP_020609378.1, XP_020611851.1
OG0000483	plut2.m8.15681.m1	XP_020620005.1, XP_020625721.1, XP_020629753.1
OG0000483	plut2.m8.7493.m1	XP_020628875.1, XP_020626515.1
OG0000484	jamg1.model.Sc0000053.142	XP_020619600.1, XP_020607685.1, XP_020607581.1, XP_020620959.1, XP_020620958.1, XP_020623222.1, XP_020620957.1, XP_020623223.1
OG0000486	jamg1.model.Sc0000073.8, plut2.m8.7310.m1	XP_020605873.1, XP_020608629.1, XP_020608515.1, XP_020621677.1, XP_020606852.1, XP_020621541.1
OG0000487	plut2.m8.4114.m1	XP_020631466.1
OG0000487	plut2.m8.18629.m1	XP_020602909.1
OG0000487	plut2.m8.7555.m1	XP_020605454.1
OG0000488	plut2.m8.22126.m1, jamg1.model.xfSc0000041.1, plut2.m8.22125.m1	XP_020619062.1
OG0000488	plut2.m8.17429.m1	XP_020618824.1
OG0000490	plut2.m8.23506.m1, plut2.m8.31164.m1, plut2.m8.24442.m1, plut2.m8.11960.m1, plut2.m8.24439.m1, plut2.m8.19541.m1, plut2.m8.11959.m1, plut2.m8.8869.m1, plut2.m8.19538.m1, plut2.m8.11970.m1	XP_020631163.1
OG0000491	plut2.m8.1654.m1, plut2.m8.17528.m1, plut2.m8.1649.m1, plut2.m8.27600.m1, plut2.m8.17532.m1, plut2.m8.17531.m1, plut2.m8.17529.m1	XP_020631359.1, XP_020614881.1, XP_020614820.1
OG0000491	jamg1.model.xfSc0004036.1, plut2.m8.17534.m1	XP_020631298.1
OG0000492	jamg1.model.Sc0000053.185, jamg1.model.Sc0000197.3	XP_020614483.1, XP_020614400.1, XP_020617306.1
OG0000493	plut2.m8.23876.m1, plut2.m8.18799.m1, plut2.m8.210.m1, plut2.m8.23877.m1, plut2.m8.23878.m1, plut2.m8.14886.m1	XP_020610679.1, XP_020610678.1
OG0000497	plut2.m8.32451.m1, plut2.m8.32452.m1, plut2.m8.31874.m1	XP_020621084.1, XP_020621040.1, XP_020621039.1, XP_020621041.1, XP_020621083.1, XP_020621062.1
OG0000498	jamg1.model.Sc0000524.9	XP_020605295.1
OG0000499	jamg1.model.Sc0000122.65	XP_020617364.1
OG0000500	plut2.m8.19987.m1, plut2.m8.1338.m1	XP_020623383.1, XP_020623381.1, XP_020623594.1, XP_020619604.1, XP_020623510.1
OG0000500	plut2.m8.19995.m1	XP_020623384.1
OG0000501	plut2.m8.25660.m1, plut2.m8.15443.m1, plut2.m8.15444.m1, plut2.m8.15445.m1	XP_020624827.1, XP_020625293.1, XP_020624825.1, XP_020611694.1, XP_020611692.1, XP_020611691.1, XP_020611696.1, XP_020611690.1, XP_020611697.1, XP_020611642.1
OG0000503	jamg1.model.Sc0000146.39	XP_020600775.1, XP_020617945.1
OG0000504	plut2.m8.33314.m1	XP_020615058.1, XP_020615060.1, XP_020615057.1, XP_020615061.1, XP_020615062.1, XP_020618106.1, XP_020618104.1, XP_020618107.1, XP_020618108.1, XP_020618109.1, XP_020618105.1
OG0000505	plut2.m8.25707.m1	XP_020621727.1
OG0000505	jamg1.model.Sc0000320.34, plut2.m8.9414.m1, jamg1.model.xpSc0007480.3, jamg1.model.Sc0000526.17, plut2.m8.16700.m1	XP_020629509.1
OG0000505	jamg1.model.Sc0000216.36	XP_020620956.1
OG0000506	plut2.m8.2274.m1, plut2.m8.24665.m1, plut2.m8.24666.m1, plut2.m8.24664.m1	XP_020600610.1, XP_020600609.1, XP_020600598.1, XP_020608640.1
OG0000507	plut2.m8.18438.m1, jamg1.model.xfSc0000522.1	XP_020617952.1, XP_020616636.1, XP_020615552.1
OG0000510	plut2.m8.11958.m1, plut2.m8.32828.m1	XP_020607837.1, XP_020604962.1
OG0000511	plut2.m8.33601.m1, plut2.m8.7871.m1, plut2.m8.7874.m1, plut2.m8.7873.m1, plut2.m8.7872.m1, plut2.m8.7870.m1	XP_020622436.1, XP_020622435.1, XP_020622418.1, XP_020622412.1, XP_020622416.1, XP_020622417.1, XP_020622419.1, XP_020605149.1, XP_020605140.1, XP_020605133.1
OG0000512	plut2.m8.17125.m1	XP_020612610.1, XP_020605466.1
OG0000512	plut2.m8.23071.m1	XP_020617560.1, XP_020617559.1, XP_020617565.1, XP_020617564.1, XP_020617574.1, XP_020617571.1, XP_020617575.1, XP_020617572.1, XP_020617569.1, XP_020617576.1, XP_020630194.1, XP_020617577.1, XP_020617573.1, XP_020617561.1
OG0000514	plut2.m8.24038.m1	XP_020611925.1
OG0000514	plut2.m8.18832.m1	XP_020627714.1, XP_020606069.1, XP_020603087.1, XP_020625694.1
OG0000514	plut2.m8.6835.m1, plut2.m8.19094.m1, plut2.m8.20160.m1, plut2.m8.20159.m1	XP_020629510.1, XP_020615135.1, XP_020611852.1, XP_020623407.1, XP_020609441.1, XP_020627715.1
OG0000515	plut2.m8.26816.m1, plut2.m8.26833.m1, plut2.m8.26817.m1, plut2.m8.26805.m1, plut2.m8.26811.m1, plut2.m8.15741.m1, plut2.m8.26810.m1, plut2.m8.26815.m1	XP_020610515.1, XP_020605019.1
OG0000516	plut2.m8.4838.m1, plut2.m8.4832.m1, plut2.m8.4836.m1, plut2.m8.4835.m1, plut2.m8.4839.m1, plut2.m8.4837.m1, plut2.m8.4834.m1, plut2.m8.33360.m1	XP_020607036.1, XP_020624512.1, XP_020624513.1, XP_020624514.1, XP_020624482.1
OG0000517	plut2.m8.17203.m1	XP_020631671.1, XP_020631670.1, XP_020631668.1, XP_020631669.1, XP_020631667.1
OG0000517	plut2.m8.17199.m1	XP_020631587.1
OG0000518	plut2.m8.1970.m1	XP_020601443.1
OG0000523	plut2.m8.32719.m1	XP_020621317.1
OG0000523	plut2.m8.6411.m1, jamg1.model.Sc0000359.36, plut2.m8.24270.m1	XP_020609371.1
OG0000524	plut2.m8.16329.m1	XP_020601429.1, XP_020602918.1
OG0000525	plut2.m8.28566.m1	XP_020611781.1, XP_020611780.1, XP_020611782.1
OG0000525	plut2.m8.7658.m1	XP_020625482.1
OG0000526	plut2.m8.26978.m1	XP_020623912.1, XP_020623916.1, XP_020632309.1, XP_020632306.1
OG0000526	plut2.m8.26292.m1, plut2.m8.30351.m1, plut2.m8.11147.m1, plut2.m8.15639.m1	XP_020621733.1, XP_020619696.1
OG0000527	plut2.m8.6482.m1, plut2.m8.6488.m1, plut2.m8.6479.m1, plut2.m8.6481.m1	XP_020622131.1, XP_020624605.1, XP_020624606.1, XP_020624607.1, XP_020622128.1, XP_020606704.1
OG0000528	jamg1.model.Sc0000098.21, plut2.m8.10463.m1	XP_020613976.1
OG0000528	plut2.m8.13343.m1	XP_020610183.1
OG0000529	plut2.m8.21238.m1, plut2.m8.4936.m1	XP_020612468.1, XP_020612469.1, XP_020612466.1, XP_020612464.1
OG0000529	plut2.m8.32733.m1	XP_020619397.1
OG0000530	jamg1.model.Sc0000087.29	XP_020600576.1, XP_020617409.1
OG0000530	jamg1.model.Sc0000212.37, jamg1.model.Sc0000532.18	XP_020632380.1
OG0000531	plut2.m8.32943.m1	XP_020628564.1
OG0000533	plut2.m8.14505.m1, jamg1.model.Sc0000497.10, jamg1.model.Sc0000011.130, plut2.m8.12637.m1, plut2.m8.19509.m1, plut2.m8.25612.m1, plut2.m8.4552.m1, jamg1.model.Sc0000700.9, jamg1.model.Sc0000010.130	XP_020608927.1, XP_020608928.1
OG0000535	plut2.m8.16943.m1	XP_020611948.1
OG0000535	plut2.m8.15194.m1	XP_020622242.1, XP_020622197.1, XP_020622198.1, XP_020622260.1, XP_020622259.1
OG0000536	plut2.m8.16427.m1	XP_020627053.1
OG0000536	plut2.m8.5206.m1	XP_020602020.1, XP_020601995.1
OG0000537	plut2.m8.25713.m1	XP_020624829.1
OG0000541	plut2.m8.8889.m1	XP_020632791.1
OG0000542	plut2.m8.9995.m1	XP_020617043.1, XP_020617033.1, XP_020617037.1, XP_020617035.1, XP_020617032.1, XP_020617009.1
OG0000543	plut2.m8.8334.m1	XP_020605193.1, XP_020605194.1, XP_020605195.1, XP_020605196.1, XP_020605201.1, XP_020605200.1, XP_020605199.1, XP_020605198.1, XP_020625388.1, XP_020625389.1, XP_020605191.1
OG0000545	plut2.m8.2397.m1	XP_020632608.1
OG0000545	plut2.m8.2398.m1, plut2.m8.2389.m1	XP_020627984.1
