Orthogroup	Mcavernosa.maker.proteins	Acerv_assembly_v1.0.protein
OG0002260	Mcavernosa05800-RA	Acerv_evm.model.Segkk2219_pilon.20, Acerv_evm.model.Segkk2853_pilon.14, Acerv_evm.model.Segkk4158_pilon.9
OG0002261	Mcavernosa09289-RA, Mcavernosa14361-RA, Mcavernosa14355-RA, Mcavernosa14372-RA	Acerv_evm.model.Segkk2261_pilon.9
OG0002262	Mcavernosa08251-RA	Acerv_evm.model.Segkk3323_pilon.5
OG0002262	Mcavernosa16530-RA	Acerv_evm.model.Segkk2264_pilon.19
OG0002264	Mcavernosa15280-RA	Acerv_evm.model.Segkk3283_pilon.1, Acerv_evm.model.Segkk2335_pilon.28
OG0002265	Mcavernosa21183-RA	Acerv_evm.model.Segkk2339_pilon.9
OG0002266	Mcavernosa13592-RA	Acerv_evm.model.Segkk2350_pilon.6
OG0002268	Mcavernosa25791-RA, Mcavernosa01278-RA, Mcavernosa01277-RA	Acerv_evm.model.Segkk2354_pilon.6
OG0002269	Mcavernosa13917-RA	Acerv_evm.model.Segkk2390_pilon.12
OG0002270	Mcavernosa22316-RA	Acerv_evm.model.Segkk3655_pilon.27
OG0002271	Mcavernosa03464-RA	Acerv_evm.model.Segkk2396_pilon.1
OG0002272	Mcavernosa02668-RA	Acerv_evm.model.Segkk3035_pilon.4
OG0002273	Mcavernosa08308-RA	Acerv_evm.model.Segkk2432_pilon.5, Acerv_evm.model.Segkk2432_pilon.4
OG0002274	Mcavernosa03193-RA, Mcavernosa33502-RA, Mcavernosa03205-RA, Mcavernosa03202-RA	Acerv_evm.model.Segkk2448_pilon.1
OG0002275	Mcavernosa21711-RA	Acerv_evm.model.Segkk2468_pilon.20, Acerv_evm.model.Segkk2468_pilon.21
OG0002276	Mcavernosa31561-RA	Acerv_evm.model.Segkk2480_pilon.3
OG0002276	Mcavernosa31560-RA	Acerv_evm.model.Segkk2480_pilon.2
OG0002277	Mcavernosa06300-RA	Acerv_evm.model.Segkk2481_pilon.10
OG0002278	Mcavernosa06859-RA	Acerv_evm.model.Segkk2487_pilon.15
OG0002279	Mcavernosa03209-RA, Mcavernosa03210-RA, Mcavernosa03196-RA	Acerv_evm.model.Segkk2501_pilon.4, Acerv_evm.model.Segkk4337_pilon.6, Acerv_evm.model.Segkk4337_pilon.3
OG0002280	Mcavernosa03195-RA, Mcavernosa03197-RA	Acerv_evm.model.Segkk4337_pilon.5, Acerv_evm.model.Segkk2501_pilon.2, Acerv_evm.model.Segkk3298_pilon.1, Acerv_evm.model.Segkk4337_pilon.2
OG0002281	Mcavernosa19583-RA, Mcavernosa34896-RA	Acerv_evm.model.Segkk2537_pilon.42
OG0002282	Mcavernosa21855-RA	Acerv_evm.model.Segkk2554_pilon.2
OG0002283	Mcavernosa26782-RA	Acerv_evm.model.Segkk2579_pilon.1
OG0002284	Mcavernosa12127-RA	Acerv_evm.model.Segkk2594_pilon.1
OG0002285	Mcavernosa20830-RA	Acerv_evm.model.Segkk2598_pilon.7
OG0002285	Mcavernosa20828-RA	Acerv_evm.model.Segkk2598_pilon.9
OG0002286	Mcavernosa17674-RA	Acerv_evm.model.Segkk2598_pilon.5
OG0002287	Mcavernosa14251-RA	Acerv_evm.model.Segkk2608_pilon.3
OG0002288	Mcavernosa00856-RA, Mcavernosa00855-RA	Acerv_evm.model.Segkk2614_pilon.5
OG0002288	Mcavernosa00854-RA	Acerv_evm.model.Segkk2614_pilon.6
OG0002289	Mcavernosa19007-RA	Acerv_evm.model.Segkk2634_pilon.9
OG0002290	Mcavernosa03627-RA, Mcavernosa03622-RA, Mcavernosa03620-RA	Acerv_evm.model.Segkk2642_pilon.7
OG0002293	Mcavernosa11265-RA, Mcavernosa11266-RA	Acerv_evm.model.Segkk2736_pilon.1, Acerv_evm.model.Segkk2788_pilon.1
OG0002295	Mcavernosa09186-RA	Acerv_evm.model.Segkk2759_pilon.28
OG0002296	Mcavernosa17887-RA	Acerv_evm.model.Segkk2760_pilon.9
OG0002298	Mcavernosa20050-RA, Mcavernosa20051-RA, Mcavernosa11063-RA	Acerv_evm.model.Segkk2797_pilon.11
OG0002299	Mcavernosa09188-RA	Acerv_evm.model.Segkk2811_pilon.24
OG0002300	Mcavernosa11620-RA, Mcavernosa11621-RA	Acerv_evm.model.Segkk2834_pilon.2
OG0002301	Mcavernosa10432-RA	Acerv_evm.model.Segkk2860_pilon.7
OG0002301	Mcavernosa10431-RA	Acerv_evm.model.Segkk2860_pilon.8
OG0002303	Mcavernosa06176-RA, Mcavernosa25821-RA	Acerv_evm.model.Segkk2887_pilon.9
OG0002304	Mcavernosa13941-RA	Acerv_evm.model.Segkk2922_pilon.5
OG0002305	Mcavernosa20441-RA, Mcavernosa20442-RA	Acerv_evm.model.Segkk3009_pilon.9
OG0002306	Mcavernosa29014-RA, Mcavernosa05284-RA, Mcavernosa05283-RA, Mcavernosa07800-RA	Acerv_evm.model.Segkk3029_pilon.6
OG0002307	Mcavernosa17364-RA	Acerv_evm.model.Segkk3063_pilon.8
OG0002308	Mcavernosa21213-RA	Acerv_evm.model.Segkk3089_pilon.4
OG0002309	Mcavernosa23290-RA, Mcavernosa16372-RA	Acerv_evm.model.Segkk3100_pilon.6
OG0002310	Mcavernosa03764-RA, Mcavernosa03763-RA	Acerv_evm.model.Segkk3102_pilon.8
OG0002311	Mcavernosa00111-RA	Acerv_evm.model.Segkk3125_pilon.2
OG0002312	Mcavernosa13428-RA	Acerv_evm.model.Segkk3126_pilon.13
OG0002313	Mcavernosa02155-RA	Acerv_evm.model.Segkk3134_pilon.6, Acerv_evm.model.Segkk3134_pilon.7
OG0002314	Mcavernosa03129-RA, Mcavernosa03131-RA, Mcavernosa03130-RA	Acerv_evm.model.Segkk3172_pilon.5
OG0002315	Mcavernosa14010-RA	Acerv_evm.model.Segkk3192_pilon.39
OG0002316	Mcavernosa01366-RA, Mcavernosa01367-RA	Acerv_evm.model.Segkk3196_pilon.1
OG0002317	Mcavernosa34455-RA	Acerv_evm.model.Segkk3263_pilon.34
OG0002317	Mcavernosa11317-RA	Acerv_evm.model.Segkk4006_pilon.11
OG0002319	Mcavernosa30945-RA	Acerv_evm.model.Segkk3330_pilon.16
OG0002320	Mcavernosa10533-RA	Acerv_evm.model.Segkk3365_pilon.4
OG0002321	Mcavernosa07586-RA	Acerv_evm.model.Segkk3385_pilon.2
OG0002321	Mcavernosa01898-RA, Mcavernosa07587-RA	Acerv_evm.model.Segkk3385_pilon.3
OG0002322	Mcavernosa26327-RA	Acerv_evm.model.Segkk4151_pilon.2
OG0002322	Mcavernosa34309-RA, Mcavernosa26328-RA	Acerv_evm.model.Segkk3394_pilon.20
OG0002324	Mcavernosa16187-RA	Acerv_evm.model.Segkk4309_pilon.4
OG0002324	Mcavernosa32812-RA	Acerv_evm.model.Segkk4309_pilon.5, Acerv_evm.model.Segkk3452_pilon.3
OG0002326	Mcavernosa08764-RA	Acerv_evm.model.Segkk3465_pilon.1
OG0002327	Mcavernosa14329-RA, Mcavernosa14323-RA	Acerv_evm.model.Segkk3488_pilon.7
OG0002328	Mcavernosa08270-RA	Acerv_evm.model.Segkk3490_pilon.3
OG0002328	Mcavernosa08271-RA	Acerv_evm.model.Segkk3490_pilon.4
OG0002329	Mcavernosa34881-RA, Mcavernosa06836-RA, Mcavernosa31116-RA	Acerv_evm.model.Segkk3497_pilon.9
OG0002330	Mcavernosa12567-RA, Mcavernosa12581-RA, Mcavernosa12580-RA	Acerv_evm.model.Segkk3517_pilon.4
OG0002331	Mcavernosa28683-RA	Acerv_evm.model.Segkk3549_pilon.4
OG0002333	Mcavernosa11279-RA	Acerv_evm.model.Segkk3615_pilon.4
OG0002334	Mcavernosa31438-RA	Acerv_evm.model.Segkk3690_pilon.2
OG0002335	Mcavernosa26360-RA	Acerv_evm.model.Segkk3707_pilon.2
OG0002335	Mcavernosa26363-RA	Acerv_evm.model.Segkk3707_pilon.1
OG0002336	Mcavernosa19276-RA	Acerv_evm.model.Segkk3712_pilon.1
OG0002337	Mcavernosa19615-RA	Acerv_evm.model.Segkk3741_pilon.36
OG0002338	Mcavernosa03788-RA	Acerv_evm.model.Segkk3766_pilon.12
OG0002340	Mcavernosa14213-RA	Acerv_evm.model.Segkk3773_pilon.11
OG0002341	Mcavernosa01287-RA	Acerv_evm.model.Segkk3796_pilon.1
OG0002342	Mcavernosa13178-RA, Mcavernosa13179-RA, Mcavernosa28894-RA	Acerv_evm.model.Segkk3843_pilon.2
OG0002343	Mcavernosa31747-RA	Acerv_evm.model.Segkk3855_pilon.7
OG0002344	Mcavernosa08782-RA	Acerv_evm.model.Segkk3974_pilon.5
OG0002345	Mcavernosa24977-RA, Mcavernosa24978-RA	Acerv_evm.model.Segkk3980_pilon.23, Acerv_evm.model.Segkk3980_pilon.13, Acerv_evm.model.Segkk3980_pilon.12
OG0002346	Mcavernosa29070-RA, Mcavernosa09264-RA	Acerv_evm.model.Segkk3988_pilon.4
OG0002347	Mcavernosa07677-RA	Acerv_evm.model.Segkk4012_pilon.22
OG0002348	Mcavernosa18947-RA	Acerv_evm.model.Segkk4023_pilon.23
OG0002349	Mcavernosa32162-RA, Mcavernosa32163-RA	Acerv_evm.model.Segkk4026_pilon.3
OG0002350	Mcavernosa00054-RA, Mcavernosa00056-RA, Mcavernosa00055-RA	Acerv_evm.model.Segkk4030_pilon.5
OG0002351	Mcavernosa33973-RA	Acerv_evm.model.Segkk4034_pilon.6
OG0002352	Mcavernosa17812-RA, Mcavernosa17813-RA, Mcavernosa17816-RA, Mcavernosa17810-RA	Acerv_evm.model.Segkk4037_pilon.20
OG0002353	Mcavernosa10332-RA	Acerv_evm.model.Segkk4039_pilon.58
OG0002355	Mcavernosa34652-RA, Mcavernosa34651-RA, Mcavernosa11349-RA	Acerv_evm.model.Segkk4068_pilon.3
OG0002356	Mcavernosa03302-RA	Acerv_evm.model.Segkk4122_pilon.3
OG0002358	Mcavernosa31472-RA	Acerv_evm.model.Segkk4230_pilon.14
OG0002359	Mcavernosa29071-RA, Mcavernosa06151-RA	Acerv_evm.model.Segkk4253_pilon.2, Acerv_evm.model.Segkk4253_pilon.1
OG0002360	Mcavernosa31708-RA, Mcavernosa31714-RA	Acerv_evm.model.Segkk4267_pilon.9
OG0002361	Mcavernosa15702-RA	Acerv_evm.model.Segkk4280_pilon.10
OG0002361	Mcavernosa15703-RA	Acerv_evm.model.Segkk4280_pilon.9
OG0002362	Mcavernosa12528-RA, Mcavernosa12526-RA	Acerv_evm.model.Segkk4306_pilon.5
OG0002364	Mcavernosa35204-RA, Mcavernosa13614-RA	Acerv_evm.model.Segkk4310_pilon.9
OG0002406	Mcavernosa04434-RA	Acerv_evm.model.Segkk3454_pilon.13, Acerv_evm.model.Segkk0_pilon.13
OG0002407	Mcavernosa04421-RA, Mcavernosa04420-RA	Acerv_evm.model.Segkk0_pilon.17, Acerv_evm.model.Segkk3454_pilon.9
OG0002410	Mcavernosa19156-RA, Mcavernosa19157-RA	Acerv_evm.model.Segkk17_pilon.29, Acerv_evm.model.Segkk68_pilon.4
OG0002411	Mcavernosa04278-RA	Acerv_evm.model.Segkk3431_pilon.11, Acerv_evm.model.Segkk21_pilon.14
OG0002412	Mcavernosa04215-RA, Mcavernosa34771-RA	Acerv_evm.model.Segkk30_pilon.17
OG0002412	Mcavernosa04218-RA	Acerv_evm.model.Segkk2285_pilon.2
OG0002413	Mcavernosa06501-RA	Acerv_evm.model.Segkk32_pilon.2, Acerv_evm.model.Segkk32_pilon.3
OG0002414	Mcavernosa16197-RA	Acerv_evm.model.Segkk33_pilon.2, Acerv_evm.model.Segkk1990_pilon.11, Acerv_evm.model.Segkk2715_pilon.11, Acerv_evm.model.Segkk2567_pilon.7
OG0002418	Mcavernosa11212-RA	Acerv_evm.model.Segkk48_pilon.2
OG0002420	Mcavernosa21481-RA	Acerv_evm.model.Segkk49_pilon.9
OG0002422	Mcavernosa13153-RA	Acerv_evm.model.Segkk68_pilon.67, Acerv_evm.model.Segkk68_pilon.70
OG0002424	Mcavernosa13231-RA	Acerv_evm.model.Segkk98_pilon.7
OG0002425	Mcavernosa34242-RA, Mcavernosa27474-RA, Mcavernosa26161-RA, Mcavernosa27471-RA, Mcavernosa03698-RA	Acerv_evm.model.Segkk113_pilon.3
OG0002425	Mcavernosa26164-RA	Acerv_evm.model.Segkk113_pilon.4
OG0002426	Mcavernosa05746-RA, Mcavernosa34516-RA	Acerv_evm.model.Segkk608_pilon.2
OG0002427	Mcavernosa17253-RA	Acerv_evm.model.Segkk3361_pilon.7, Acerv_evm.model.Segkk119_pilon.17
OG0002427	Mcavernosa33635-RA, Mcavernosa17250-RA	Acerv_evm.model.Segkk3557_pilon.1, Acerv_evm.model.Segkk3338_pilon.3
OG0002428	Mcavernosa08049-RA	Acerv_evm.model.Segkk131_pilon.3, Acerv_evm.model.Segkk3484_pilon.5
OG0002429	Mcavernosa22911-RA	Acerv_evm.model.Segkk145_pilon.3, Acerv_evm.model.Segkk3526_pilon.1, Acerv_evm.model.Segkk3643_pilon.5, Acerv_evm.model.Segkk4043_pilon.17, Acerv_evm.model.Segkk1547_pilon.17, Acerv_evm.model.Segkk3422_pilon.5
OG0002430	Mcavernosa13888-RA	Acerv_evm.model.Segkk162_pilon.1, Acerv_evm.model.Segkk1576_pilon.19
OG0002433	Mcavernosa19845-RA	Acerv_evm.model.Segkk175_pilon.1
OG0002435	Mcavernosa14447-RA, Mcavernosa34021-RA	Acerv_evm.model.Segkk190_pilon.17
OG0002436	Mcavernosa22433-RA, Mcavernosa26399-RA	Acerv_evm.model.Segkk3489_pilon.1
OG0002441	Mcavernosa20617-RA	Acerv_evm.model.Segkk252_pilon.16
OG0002442	Mcavernosa33254-RA, Mcavernosa04592-RA	Acerv_evm.model.Segkk253_pilon.4
OG0002443	Mcavernosa04572-RA	Acerv_evm.model.Segkk253_pilon.9
OG0002444	Mcavernosa17800-RA, Mcavernosa12330-RA	Acerv_evm.model.Segkk255_pilon.22
OG0002445	Mcavernosa13360-RA, Mcavernosa13361-RA, Mcavernosa33664-RA, Mcavernosa13359-RA	Acerv_evm.model.Segkk4052_pilon.1
OG0002446	Mcavernosa09601-RA	Acerv_evm.model.Segkk3170_pilon.2, Acerv_evm.model.Segkk1035_pilon.1
OG0002446	Mcavernosa09598-RA	Acerv_evm.model.Segkk302_pilon.9
OG0002447	Mcavernosa15158-RA, Mcavernosa31250-RA	Acerv_evm.model.Segkk307_pilon.12
OG0002448	Mcavernosa31283-RA	Acerv_evm.model.Segkk307_pilon.2
OG0002448	Mcavernosa31281-RA	Acerv_evm.model.Segkk2322_pilon.41, Acerv_evm.model.Segkk307_pilon.1
OG0002449	Mcavernosa11072-RA	Acerv_evm.model.Segkk308_pilon.5
OG0002450	Mcavernosa27173-RA	Acerv_evm.model.Segkk1066_pilon.1, Acerv_evm.model.Segkk312_pilon.21, Acerv_evm.model.Segkk727_pilon.5
OG0002451	Mcavernosa20896-RA	Acerv_evm.model.Segkk4058_pilon.1
OG0002451	Mcavernosa20895-RA	Acerv_evm.model.Segkk312_pilon.3
OG0002452	Mcavernosa20294-RA	Acerv_evm.model.Segkk321_pilon.2
OG0002453	Mcavernosa22742-RA	Acerv_evm.model.Segkk323_pilon.5
OG0002454	Mcavernosa24575-RA, Mcavernosa03950-RA	Acerv_evm.model.Segkk328_pilon.1, Acerv_evm.model.Segkk1299_pilon.2
OG0002455	Mcavernosa16501-RA	Acerv_evm.model.Segkk333_pilon.6, Acerv_evm.model.Segkk2390_pilon.4, Acerv_evm.model.Segkk1526_pilon.2, Acerv_evm.model.Segkk333_pilon.1, Acerv_evm.model.Segkk1526_pilon.5
OG0002456	Mcavernosa23362-RA	Acerv_evm.model.Segkk337_pilon.1
OG0002457	Mcavernosa01796-RA	Acerv_evm.model.Segkk711_pilon.5, Acerv_evm.model.Segkk515_pilon.5, Acerv_evm.model.Segkk3976_pilon.59, Acerv_evm.model.Segkk351_pilon.4, Acerv_evm.model.Segkk465_pilon.2, Acerv_evm.model.Segkk3219_pilon.39, Acerv_evm.model.Segkk666_pilon.4
OG0002459	Mcavernosa15921-RA	Acerv_evm.model.Segkk625_pilon.6
OG0002459	Mcavernosa13110-RA	Acerv_evm.model.Segkk368_pilon.2
OG0002461	Mcavernosa19201-RA	Acerv_evm.model.Segkk383_pilon.14
OG0002462	Mcavernosa10594-RA	Acerv_evm.model.Segkk391_pilon.2
OG0002463	Mcavernosa13396-RA, Mcavernosa13390-RA, Mcavernosa13395-RA	Acerv_evm.model.Segkk392_pilon.7
OG0002464	Mcavernosa18225-RA	Acerv_evm.model.Segkk3900_pilon.50, Acerv_evm.model.Segkk397_pilon.7
OG0002464	Mcavernosa18226-RA	Acerv_evm.model.Segkk3900_pilon.46
OG0002465	Mcavernosa16299-RA	Acerv_evm.model.Segkk2908_pilon.4
OG0002465	Mcavernosa34504-RA	Acerv_evm.model.Segkk407_pilon.8
OG0002466	Mcavernosa16301-RA, Mcavernosa16298-RA	Acerv_evm.model.Segkk411_pilon.1
OG0002467	Mcavernosa12559-RA	Acerv_evm.model.Segkk424_pilon.3, Acerv_evm.model.Segkk424_pilon.2
OG0002468	Mcavernosa12563-RA	Acerv_evm.model.Segkk424_pilon.5
OG0002470	Mcavernosa20486-RA	Acerv_evm.model.Segkk435_pilon.7
OG0002471	Mcavernosa16772-RA	Acerv_evm.model.Segkk442_pilon.5
OG0002473	Mcavernosa17328-RA	Acerv_evm.model.Segkk791_pilon.2
OG0002473	Mcavernosa09397-RA, Mcavernosa05457-RA	Acerv_evm.model.Segkk447_pilon.3
OG0002475	Mcavernosa33927-RA, Mcavernosa32677-RA, Mcavernosa32679-RA, Mcavernosa02500-RA, Mcavernosa02491-RA, Mcavernosa02504-RA, Mcavernosa02505-RA	Acerv_evm.model.Segkk463_pilon.19
OG0002476	Mcavernosa25346-RA	Acerv_evm.model.Segkk464_pilon.40
OG0002476	Mcavernosa33315-RA	Acerv_evm.model.Segkk1071_pilon.12
OG0002478	Mcavernosa12477-RA	Acerv_evm.model.Segkk470_pilon.17
OG0002478	Mcavernosa12478-RA	Acerv_evm.model.Segkk470_pilon.18
OG0002479	Mcavernosa12219-RA	Acerv_evm.model.Segkk524_pilon.9
OG0002479	Mcavernosa33934-RA	Acerv_evm.model.Segkk933_pilon.2
OG0002480	Mcavernosa01940-RA	Acerv_evm.model.Segkk543_pilon.17
OG0002482	Mcavernosa33888-RA, Mcavernosa27042-RA, Mcavernosa33420-RA	Acerv_evm.model.Segkk545_pilon.2, Acerv_evm.model.Segkk1206_pilon.6, Acerv_evm.model.Segkk4338_pilon.6
OG0002485	Mcavernosa09653-RA	Acerv_evm.model.Segkk584_pilon.27
OG0002488	Mcavernosa20189-RA	Acerv_evm.model.Segkk607_pilon.3
OG0002489	Mcavernosa25388-RA, Mcavernosa25030-RA	Acerv_evm.model.Segkk2056_pilon.31, Acerv_evm.model.Segkk642_pilon.35, Acerv_evm.model.Segkk3731_pilon.1
OG0002492	Mcavernosa11963-RA	Acerv_evm.model.Segkk3131_pilon.3, Acerv_evm.model.Segkk1280_pilon.1, Acerv_evm.model.Segkk646_pilon.10, Acerv_evm.model.Segkk2533_pilon.8
OG0002493	Mcavernosa17482-RA	Acerv_evm.model.Segkk1078_pilon.61
OG0002494	Mcavernosa12089-RA, Mcavernosa12086-RA, Mcavernosa12069-RA, Mcavernosa33775-RA, Mcavernosa23688-RA, Mcavernosa34461-RA	Acerv_evm.model.Segkk648_pilon.12
OG0002496	Mcavernosa20343-RA	Acerv_evm.model.Segkk660_pilon.4, Acerv_evm.model.Segkk1209_pilon.10
OG0002497	Mcavernosa07559-RA, Mcavernosa33031-RA	Acerv_evm.model.Segkk670_pilon.9
OG0002498	Mcavernosa21847-RA	Acerv_evm.model.Segkk685_pilon.3
OG0002500	Mcavernosa32894-RA, Mcavernosa26904-RA, Mcavernosa25790-RA	Acerv_evm.model.Segkk2183_pilon.1, Acerv_evm.model.Segkk2061_pilon.18, Acerv_evm.model.Segkk1091_pilon.9, Acerv_evm.model.Segkk2611_pilon.3, Acerv_evm.model.Segkk2164_pilon.25, Acerv_evm.model.Segkk698_pilon.7
OG0002501	Mcavernosa14193-RA, Mcavernosa14192-RA	Acerv_evm.model.Segkk2593_pilon.2
OG0002502	Mcavernosa02718-RA, Mcavernosa33143-RA	Acerv_evm.model.Segkk706_pilon.3
OG0002502	Mcavernosa32941-RA	Acerv_evm.model.Segkk706_pilon.2
OG0002504	Mcavernosa03967-RA, Mcavernosa03968-RA	Acerv_evm.model.Segkk713_pilon.22
OG0002505	Mcavernosa13733-RA, Mcavernosa29487-RA	Acerv_evm.model.Segkk714_pilon.1
OG0002506	Mcavernosa05095-RA	Acerv_evm.model.Segkk717_pilon.5
OG0002507	Mcavernosa14710-RA	Acerv_evm.model.Segkk2428_pilon.1
OG0002507	Mcavernosa14709-RA	Acerv_evm.model.Segkk726_pilon.5
OG0002508	Mcavernosa30194-RA	Acerv_evm.model.Segkk2898_pilon.1, Acerv_evm.model.Segkk739_pilon.1
OG0002509	Mcavernosa12020-RA	Acerv_evm.model.Segkk740_pilon.2, Acerv_evm.model.Segkk740_pilon.1
OG0002510	Mcavernosa03639-RA	Acerv_evm.model.Segkk762_pilon.2
OG0002511	Mcavernosa32238-RA, Mcavernosa20479-RA	Acerv_evm.model.Segkk2050_pilon.24, Acerv_evm.model.Segkk2335_pilon.5, Acerv_evm.model.Segkk3051_pilon.3, Acerv_evm.model.Segkk1302_pilon.8, Acerv_evm.model.Segkk766_pilon.4, Acerv_evm.model.Segkk2715_pilon.18
OG0002512	Mcavernosa09002-RA	Acerv_evm.model.Segkk2815_pilon.4, Acerv_evm.model.Segkk2815_pilon.3, Acerv_evm.model.Segkk779_pilon.1
OG0002513	Mcavernosa09004-RA, Mcavernosa09005-RA, Mcavernosa09003-RA	Acerv_evm.model.Segkk779_pilon.2
OG0002515	Mcavernosa22378-RA	Acerv_evm.model.Segkk1302_pilon.1
OG0002515	Mcavernosa26505-RA	Acerv_evm.model.Segkk4201_pilon.27, Acerv_evm.model.Segkk784_pilon.1
OG0002516	Mcavernosa01127-RA	Acerv_evm.model.Segkk822_pilon.1
OG0002518	Mcavernosa06644-RA	Acerv_evm.model.Segkk837_pilon.19
OG0002519	Mcavernosa32394-RA	Acerv_evm.model.Segkk838_pilon.2
OG0002519	Mcavernosa30144-RA	Acerv_evm.model.Segkk3167_pilon.5
OG0002520	Mcavernosa12395-RA	Acerv_evm.model.Segkk951_pilon.16, Acerv_evm.model.Segkk852_pilon.1, Acerv_evm.model.Segkk852_pilon.4
OG0002522	Mcavernosa01382-RA	Acerv_evm.model.Segkk869_pilon.1, Acerv_evm.model.Segkk1023_pilon.6
OG0002523	Mcavernosa24610-RA	Acerv_evm.model.Segkk894_pilon.6, Acerv_evm.model.Segkk894_pilon.5
OG0002525	Mcavernosa08087-RA	Acerv_evm.model.Segkk3245_pilon.2
OG0002525	Mcavernosa08086-RA, Mcavernosa08084-RA	Acerv_evm.model.Segkk909_pilon.6, Acerv_evm.model.Segkk3245_pilon.1, Acerv_evm.model.Segkk909_pilon.7
OG0002526	Mcavernosa15526-RA	Acerv_evm.model.Segkk3579_pilon.21, Acerv_evm.model.Segkk915_pilon.1
OG0002527	Mcavernosa01170-RA	Acerv_evm.model.Segkk925_pilon.1
OG0002528	Mcavernosa15323-RA	Acerv_evm.model.Segkk937_pilon.16
OG0002529	Mcavernosa04006-RA, Mcavernosa04004-RA	Acerv_evm.model.Segkk943_pilon.8, Acerv_evm.model.Segkk1366_pilon.11, Acerv_evm.model.Segkk3498_pilon.1, Acerv_evm.model.Segkk1366_pilon.10
OG0002530	Mcavernosa27311-RA	Acerv_evm.model.Segkk972_pilon.8
OG0002531	Mcavernosa24853-RA	Acerv_evm.model.Segkk982_pilon.5
OG0002531	Mcavernosa24246-RA	Acerv_evm.model.Segkk1153_pilon.8
OG0002535	Mcavernosa09976-RA	Acerv_evm.model.Segkk1010_pilon.5
OG0002536	Mcavernosa07256-RA	Acerv_evm.model.Segkk4280_pilon.6
OG0002536	Mcavernosa03727-RA	Acerv_evm.model.Segkk1031_pilon.8
OG0002537	Mcavernosa24619-RA, Mcavernosa24621-RA	Acerv_evm.model.Segkk1037_pilon.7, Acerv_evm.model.Segkk1037_pilon.3, Acerv_evm.model.Segkk1037_pilon.2
OG0002538	Mcavernosa33290-RA, Mcavernosa33289-RA, Mcavernosa33287-RA, Mcavernosa30636-RA	Acerv_evm.model.Segkk1046_pilon.8, Acerv_evm.model.Segkk1046_pilon.7
OG0002541	Mcavernosa09053-RA	Acerv_evm.model.Segkk1050_pilon.39, Acerv_evm.model.Segkk1050_pilon.38, Acerv_evm.model.Segkk1050_pilon.34, Acerv_evm.model.Segkk1050_pilon.36
OG0002543	Mcavernosa27428-RA, Mcavernosa03753-RA, Mcavernosa02475-RA	Acerv_evm.model.Segkk1070_pilon.20
OG0002543	Mcavernosa30466-RA	Acerv_evm.model.Segkk3507_pilon.6
OG0002544	Mcavernosa07663-RA, Mcavernosa27671-RA, Mcavernosa27670-RA	Acerv_evm.model.Segkk1075_pilon.19, Acerv_evm.model.Segkk4012_pilon.35
OG0002545	Mcavernosa22107-RA	Acerv_evm.model.Segkk1076_pilon.9
OG0002545	Mcavernosa22119-RA, Mcavernosa22120-RA	Acerv_evm.model.Segkk3929_pilon.1
OG0002546	Mcavernosa22110-RA	Acerv_evm.model.Segkk1076_pilon.3
OG0002547	Mcavernosa08684-RA	Acerv_evm.model.Segkk1077_pilon.12
OG0002548	Mcavernosa25192-RA, Mcavernosa25193-RA, Mcavernosa26210-RA, Mcavernosa25207-RA, Mcavernosa25212-RA	Acerv_evm.model.Segkk1078_pilon.13
OG0002549	Mcavernosa21839-RA	Acerv_evm.model.Segkk2060_pilon.4
OG0002550	Mcavernosa19303-RA	Acerv_evm.model.Segkk1081_pilon.6
OG0002553	Mcavernosa26422-RA	Acerv_evm.model.Segkk1169_pilon.9
OG0002553	Mcavernosa27959-RA	Acerv_evm.model.Segkk3142_pilon.10
OG0002554	Mcavernosa20162-RA	Acerv_evm.model.Segkk1877_pilon.2
OG0002556	Mcavernosa20232-RA, Mcavernosa20235-RA, Mcavernosa20234-RA	Acerv_evm.model.Segkk1185_pilon.5
OG0002557	Mcavernosa31886-RA, Mcavernosa31887-RA	Acerv_evm.model.Segkk1189_pilon.8
OG0002558	Mcavernosa11415-RA, Mcavernosa11422-RA, Mcavernosa11419-RA	Acerv_evm.model.Segkk1202_pilon.2
OG0002560	Mcavernosa01812-RA	Acerv_evm.model.Segkk2528_pilon.4, Acerv_evm.model.Segkk1216_pilon.2, Acerv_evm.model.Segkk1216_pilon.1
OG0002561	Mcavernosa20462-RA, Mcavernosa20458-RA	Acerv_evm.model.Segkk1226_pilon.4
OG0002562	Mcavernosa11600-RA, Mcavernosa23985-RA, Mcavernosa04809-RA	Acerv_evm.model.Segkk1229_pilon.8
OG0002563	Mcavernosa01893-RA	Acerv_evm.model.Segkk3390_pilon.1
OG0002563	Mcavernosa01896-RA	Acerv_evm.model.Segkk1231_pilon.1, Acerv_evm.model.Segkk1839_pilon.11
OG0002564	Mcavernosa30919-RA	Acerv_evm.model.Segkk1252_pilon.1
OG0002565	Mcavernosa13038-RA	Acerv_evm.model.Segkk1966_pilon.2
OG0002567	Mcavernosa02111-RA	Acerv_evm.model.Segkk1284_pilon.2
OG0002568	Mcavernosa00805-RA	Acerv_evm.model.Segkk2339_pilon.1
OG0002568	Mcavernosa00804-RA	Acerv_evm.model.Segkk1288_pilon.3
OG0002570	Mcavernosa14151-RA	Acerv_evm.model.Segkk1317_pilon.12, Acerv_evm.model.Segkk1317_pilon.13
