Orthogroup	plut2v1.1.proteins	Acerv_assembly_v1.0.protein
OG0001358	plut2.m8.9215.m1	Acerv_evm.model.Segkk650_pilon.36, Acerv_evm.model.Segkk4109_pilon.17, Acerv_evm.model.Segkk2056_pilon.24, Acerv_evm.model.Segkk2481_pilon.55
OG0001359	jamg1.model.xpSc0007153.3	Acerv_evm.model.Segkk4368_pilon.6, Acerv_evm.model.Segkk2131_pilon.3, Acerv_evm.model.Segkk3518_pilon.44
OG0001359	plut2.m8.25531.m1, plut2.m8.2684.m1	Acerv_evm.model.Segkk650_pilon.51
OG0001360	plut2.m8.12404.m1	Acerv_evm.model.Segkk656_pilon.6, Acerv_evm.model.Segkk3122_pilon.27, Acerv_evm.model.Segkk3983_pilon.14
OG0001362	plut2.m8.2440.m1	Acerv_evm.model.Segkk745_pilon.7
OG0001363	jamg1.model.Sc0000510.25, plut2.m8.10367.m1, jamg1.model.Sc0000061.85	Acerv_evm.model.Segkk934_pilon.2, Acerv_evm.model.Segkk759_pilon.2, Acerv_evm.model.Segkk934_pilon.3, Acerv_evm.model.Segkk759_pilon.3, Acerv_evm.model.Segkk3257_pilon.12
OG0001364	plut2.m8.29880.m1, plut2.m8.29878.m1, plut2.m8.534.m1	Acerv_evm.model.Segkk789_pilon.49
OG0001365	plut2.m8.20255.m1	Acerv_evm.model.Segkk824_pilon.31, Acerv_evm.model.Segkk824_pilon.32, Acerv_evm.model.Segkk1244_pilon.7, Acerv_evm.model.Segkk1244_pilon.3, Acerv_evm.model.Segkk1244_pilon.8, Acerv_evm.model.Segkk1244_pilon.4, Acerv_evm.model.Segkk3832_pilon.5, Acerv_evm.model.Segkk1244_pilon.13
OG0001366	plut2.m8.33507.m1, plut2.m8.24718.m1, plut2.m8.11762.m1	Acerv_evm.model.Segkk826_pilon.25, Acerv_evm.model.Segkk1985_pilon.6
OG0001367	plut2.m8.24615.m1	Acerv_evm.model.Segkk864_pilon.14
OG0001367	plut2.m8.32743.m1	Acerv_evm.model.Segkk864_pilon.13, Acerv_evm.model.Segkk1971_pilon.1, Acerv_evm.model.Segkk3857_pilon.1
OG0001370	plut2.m8.12785.m1	Acerv_evm.model.Segkk900_pilon.2, Acerv_evm.model.Segkk2471_pilon.17
OG0001372	plut2.m8.4561.m1	Acerv_evm.model.Segkk1151_pilon.8, Acerv_evm.model.Segkk971_pilon.43, Acerv_evm.model.Segkk3773_pilon.24
OG0001373	plut2.m8.19042.m1	Acerv_evm.model.Segkk993_pilon.24, Acerv_evm.model.Segkk3453_pilon.7
OG0001374	plut2.m8.1367.m1	Acerv_evm.model.Segkk998_pilon.10, Acerv_evm.model.Segkk1443_pilon.1, Acerv_evm.model.Segkk2087_pilon.1, Acerv_evm.model.Segkk998_pilon.8, Acerv_evm.model.Segkk998_pilon.11
OG0001376	jamg1.model.Sc0000323.23, jamg1.model.Sc0000323.26	Acerv_evm.model.Segkk1428_pilon.8, Acerv_evm.model.Segkk4220_pilon.4, Acerv_evm.model.Segkk1053_pilon.2, Acerv_evm.model.Segkk4220_pilon.5, Acerv_evm.model.Segkk1053_pilon.3
OG0001377	plut2.m8.24543.m1	Acerv_evm.model.Segkk1072_pilon.11
OG0001377	plut2.m8.24552.m1	Acerv_evm.model.Segkk1072_pilon.8
OG0001378	plut2.m8.26779.m1	Acerv_evm.model.Segkk1078_pilon.57
OG0001381	plut2.m8.17240.m1, plut2.m8.17243.m1	Acerv_evm.model.Segkk1261_pilon.3, Acerv_evm.model.Segkk1261_pilon.7, Acerv_evm.model.Segkk1261_pilon.5
OG0001381	jamg1.model.Sc0000198.32	Acerv_evm.model.Segkk1261_pilon.4, Acerv_evm.model.Segkk1261_pilon.8
OG0001382	jamg1.model.Sc0000072.132	Acerv_evm.model.Segkk1288_pilon.34, Acerv_evm.model.Segkk1347_pilon.2
OG0001383	plut2.m8.5602.m1	Acerv_evm.model.Segkk3453_pilon.1
OG0001383	plut2.m8.14688.m1	Acerv_evm.model.Segkk3271_pilon.4
OG0001384	plut2.m8.3267.m1	Acerv_evm.model.Segkk1325_pilon.11
OG0001385	plut2.m8.20569.m1	Acerv_evm.model.Segkk1350_pilon.3, Acerv_evm.model.Segkk1350_pilon.2
OG0001386	plut2.m8.237.m1	Acerv_evm.model.Segkk3159_pilon.8
OG0001386	jamg1.model.Sc0000329.7	Acerv_evm.model.Segkk1375_pilon.15, Acerv_evm.model.Segkk1583_pilon.4
OG0001387	plut2.m8.8356.m1, plut2.m8.8325.m1, plut2.m8.8328.m1	Acerv_evm.model.Segkk2322_pilon.5, Acerv_evm.model.Segkk1386_pilon.27, Acerv_evm.model.Segkk1386_pilon.25, Acerv_evm.model.Segkk2148_pilon.1, Acerv_evm.model.Segkk2261_pilon.13
OG0001388	plut2.m8.1366.m1	Acerv_evm.model.Segkk1443_pilon.5, Acerv_evm.model.Segkk1443_pilon.6, Acerv_evm.model.Segkk1443_pilon.9
OG0001389	plut2.m8.21837.m1	Acerv_evm.model.Segkk1499_pilon.2, Acerv_evm.model.Segkk1499_pilon.6
OG0001389	plut2.m8.20444.m1	Acerv_evm.model.Segkk1499_pilon.1, Acerv_evm.model.Segkk1499_pilon.5
OG0001390	plut2.m8.19998.m1, plut2.m8.20000.m1, plut2.m8.19999.m1, plut2.m8.20002.m1, plut2.m8.19997.m1, plut2.m8.19992.m1	Acerv_evm.model.Segkk3097_pilon.1, Acerv_evm.model.Segkk1501_pilon.1
OG0001391	plut2.m8.10065.m1	Acerv_evm.model.Segkk1564_pilon.20
OG0001392	plut2.m8.31317.m1, plut2.m8.25333.m1, plut2.m8.26243.m1, plut2.m8.30509.m1, plut2.m8.25678.m1	Acerv_evm.model.Segkk1572_pilon.4
OG0001393	plut2.m8.12683.m1	Acerv_evm.model.Segkk2487_pilon.3
OG0001393	plut2.m8.23176.m1	Acerv_evm.model.Segkk1639_pilon.4, Acerv_evm.model.Segkk2487_pilon.4
OG0001394	jamg1.model.Sc0000187.38	Acerv_evm.model.Segkk1644_pilon.1
OG0001395	plut2.m8.23296.m1	Acerv_evm.model.Segkk2223_pilon.17
OG0001395	plut2.m8.7476.m1	Acerv_evm.model.Segkk1657_pilon.20
OG0001396	plut2.m8.18158.m1	Acerv_evm.model.Segkk1665_pilon.1
OG0001397	plut2.m8.19005.m1	Acerv_evm.model.Segkk1727_pilon.21
OG0001398	plut2.m8.8286.m1	Acerv_evm.model.Segkk1732_pilon.70, Acerv_evm.model.Segkk1732_pilon.67
OG0001399	plut2.m8.27627.m1, plut2.m8.10415.m1	Acerv_evm.model.Segkk1749_pilon.15
OG0001400	plut2.m8.7117.m1	Acerv_evm.model.Segkk4065_pilon.7
OG0001400	plut2.m8.26869.m1	Acerv_evm.model.Segkk1768_pilon.3
OG0001401	plut2.m8.19048.m1, plut2.m8.4677.m1, plut2.m8.21693.m1	Acerv_evm.model.Segkk2813_pilon.5, Acerv_evm.model.Segkk2722_pilon.20, Acerv_evm.model.Segkk1771_pilon.14
OG0001402	plut2.m8.31238.m1	Acerv_evm.model.Segkk1821_pilon.19, Acerv_evm.model.Segkk1990_pilon.5
OG0001403	plut2.m8.24077.m1, plut2.m8.8596.m1, plut2.m8.9064.m1, plut2.m8.33433.m1	Acerv_evm.model.Segkk1874_pilon.2
OG0001404	plut2.m8.3330.m1	Acerv_evm.model.Segkk1940_pilon.2, Acerv_evm.model.Segkk1940_pilon.1
OG0001406	jamg1.model.Sc0000253.42	Acerv_evm.model.Segkk2102_pilon.34, Acerv_evm.model.Segkk3570_pilon.1, Acerv_evm.model.Segkk3570_pilon.2, Acerv_evm.model.Segkk2102_pilon.33, Acerv_evm.model.Segkk2102_pilon.32
OG0001407	plut2.m8.25667.m1	Acerv_evm.model.Segkk2103_pilon.2, Acerv_evm.model.Segkk4065_pilon.25, Acerv_evm.model.Segkk2103_pilon.1
OG0001408	plut2.m8.25246.m1	Acerv_evm.model.Segkk2109_pilon.13
OG0001408	plut2.m8.24190.m1	Acerv_evm.model.Segkk2109_pilon.11
OG0001410	plut2.m8.20171.m1	Acerv_evm.model.Segkk2182_pilon.7
OG0001411	plut2.m8.4708.m1, plut2.m8.4707.m1, plut2.m8.4710.m1, plut2.m8.4706.m1	Acerv_evm.model.Segkk3669_pilon.12
OG0001411	plut2.m8.4714.m1, plut2.m8.4712.m1, plut2.m8.32902.m1, plut2.m8.4709.m1, plut2.m8.4704.m1	Acerv_evm.model.Segkk2183_pilon.2
OG0001412	jamg1.model.xpSc0007321.3	Acerv_evm.model.Segkk2195_pilon.24, Acerv_evm.model.Segkk4364_pilon.49
OG0001412	jamg1.model.Sc0000476.22, jamg1.model.Sc0000732.5	Acerv_evm.model.Segkk4327_pilon.24
OG0001413	plut2.m8.14780.m1	Acerv_evm.model.Segkk2198_pilon.14, Acerv_evm.model.Segkk4083_pilon.1, Acerv_evm.model.Segkk2198_pilon.13, Acerv_evm.model.Segkk2198_pilon.15
OG0001414	plut2.m8.13194.m1	Acerv_evm.model.Segkk3481_pilon.10
OG0001414	plut2.m8.5889.m1	Acerv_evm.model.Segkk2233_pilon.12
OG0001415	plut2.m8.28405.m1, plut2.m8.28406.m1, plut2.m8.23385.m1, plut2.m8.5870.m1, plut2.m8.5871.m1	Acerv_evm.model.Segkk2233_pilon.6, Acerv_evm.model.Segkk2233_pilon.5
OG0001416	plut2.m8.14140.m1, plut2.m8.14141.m1	Acerv_evm.model.Segkk2292_pilon.2
OG0001418	plut2.m8.5381.m1, plut2.m8.5380.m1, plut2.m8.5415.m1	Acerv_evm.model.Segkk2351_pilon.7
OG0001420	plut2.m8.19985.m1, plut2.m8.4613.m1	Acerv_evm.model.Segkk3229_pilon.3, Acerv_evm.model.Segkk2464_pilon.15
OG0001421	plut2.m8.19616.m1	Acerv_evm.model.Segkk2464_pilon.17
OG0001422	plut2.m8.33589.m1, plut2.m8.30221.m1, plut2.m8.26315.m1	Acerv_evm.model.Segkk2481_pilon.117
OG0001423	jamg1.model.Sc0000251.46	Acerv_evm.model.Segkk2481_pilon.104, Acerv_evm.model.Segkk2481_pilon.103
OG0001424	jamg1.model.Sc0000171.79	Acerv_evm.model.Segkk2507_pilon.4
OG0001425	plut2.m8.16677.m1, plut2.m8.8949.m1, plut2.m8.16678.m1, plut2.m8.16673.m1, plut2.m8.32688.m1, plut2.m8.32689.m1, plut2.m8.16675.m1	Acerv_evm.model.Segkk2594_pilon.26, Acerv_evm.model.Segkk2594_pilon.25
OG0001426	plut2.m8.29048.m1	Acerv_evm.model.Segkk2625_pilon.2
OG0001427	plut2.m8.32993.m1	Acerv_evm.model.Segkk2693_pilon.5
OG0001428	plut2.m8.1042.m1, plut2.m8.13049.m1	Acerv_evm.model.Segkk2716_pilon.13
OG0001429	plut2.m8.15243.m1	Acerv_evm.model.Segkk2827_pilon.3
OG0001431	plut2.m8.6926.m1, plut2.m8.21816.m1, plut2.m8.21817.m1	Acerv_evm.model.Segkk2896_pilon.7
OG0001432	plut2.m8.16182.m1, plut2.m8.16181.m1, plut2.m8.625.m1, plut2.m8.16187.m1	Acerv_evm.model.Segkk2924_pilon.30
OG0001433	jamg1.model.Sc0000161.37	Acerv_evm.model.Segkk3058_pilon.3, Acerv_evm.model.Segkk2954_pilon.1
OG0001434	plut2.m8.23003.m1	Acerv_evm.model.Segkk3900_pilon.58, Acerv_evm.model.Segkk3440_pilon.1, Acerv_evm.model.Segkk3122_pilon.1
OG0001435	plut2.m8.18484.m1	Acerv_evm.model.Segkk3142_pilon.16
OG0001435	jamg1.model.Sc0000150.11	Acerv_evm.model.Segkk3142_pilon.2
OG0001436	plut2.m8.1938.m1, plut2.m8.18195.m1, plut2.m8.18208.m1, plut2.m8.18196.m1, jamg1.model.xpSc0007188.5	Acerv_evm.model.Segkk3159_pilon.6
OG0001439	plut2.m8.530.m1	Acerv_evm.model.Segkk3306_pilon.22, Acerv_evm.model.Segkk3306_pilon.23, Acerv_evm.model.Segkk3306_pilon.21
OG0001440	plut2.m8.15460.m1	Acerv_evm.model.Segkk3390_pilon.2
OG0001441	plut2.m8.26510.m1	Acerv_evm.model.Segkk3488_pilon.5
OG0001441	plut2.m8.26514.m1	Acerv_evm.model.Segkk3488_pilon.8
OG0001442	jamg1.model.Sc0000308.50	Acerv_evm.model.Segkk3673_pilon.6, Acerv_evm.model.Segkk3508_pilon.7, Acerv_evm.model.Segkk4262_pilon.4, Acerv_evm.model.Segkk3673_pilon.2
OG0001443	plut2.m8.5336.m1, plut2.m8.7327.m1	Acerv_evm.model.Segkk3578_pilon.13
OG0001444	plut2.m8.8942.m1, plut2.m8.8943.m1	Acerv_evm.model.Segkk4315_pilon.1, Acerv_evm.model.Segkk3638_pilon.15
OG0001446	plut2.m8.12751.m1	Acerv_evm.model.Segkk3685_pilon.8
OG0001446	plut2.m8.12749.m1	Acerv_evm.model.Segkk3685_pilon.9
OG0001447	plut2.m8.15095.m1	Acerv_evm.model.Segkk3709_pilon.2
OG0001448	plut2.m8.11448.m1	Acerv_evm.model.Segkk3782_pilon.11
OG0001448	jamg1.model.Sc0000143.13, jamg1.model.xfSc0000075.9, jamg1.model.Sc0000554.1	Acerv_evm.model.Segkk3782_pilon.12, Acerv_evm.model.Segkk3782_pilon.13
OG0001449	plut2.m8.11933.m1	Acerv_evm.model.Segkk3845_pilon.18
OG0001450	plut2.m8.22438.m1	Acerv_evm.model.Segkk3895_pilon.4
OG0001450	jamg1.model.Sc0000470.27	Acerv_evm.model.Segkk3895_pilon.6
OG0001451	plut2.m8.10680.m1	Acerv_evm.model.Segkk4012_pilon.8, Acerv_evm.model.Segkk4012_pilon.12, Acerv_evm.model.Segkk4012_pilon.6, Acerv_evm.model.Segkk4012_pilon.10, Acerv_evm.model.Segkk4012_pilon.7, Acerv_evm.model.Segkk4012_pilon.11
OG0001452	plut2.m8.24242.m1	Acerv_evm.model.Segkk4023_pilon.22, Acerv_evm.model.Segkk4023_pilon.17, Acerv_evm.model.Segkk4023_pilon.21, Acerv_evm.model.Segkk4309_pilon.25
OG0001453	plut2.m8.3636.m1	Acerv_evm.model.Segkk4126_pilon.2
OG0001454	plut2.m8.3240.m1, plut2.m8.3235.m1, plut2.m8.11917.m1	Acerv_evm.model.Segkk4195_pilon.3, Acerv_evm.model.Segkk4195_pilon.5, Acerv_evm.model.Segkk4195_pilon.4
OG0001455	plut2.m8.19424.m1	Acerv_evm.model.Segkk4325_pilon.2
OG0001473	plut2.m8.890.m1	Acerv_evm.model.Segkk3368_pilon.2, Acerv_evm.model.Segkk30_pilon.10
OG0001475	plut2.m8.8368.m1, plut2.m8.26752.m1	Acerv_evm.model.Segkk1060_pilon.1, Acerv_evm.model.Segkk90_pilon.1, Acerv_evm.model.Segkk379_pilon.1
OG0001475	plut2.m8.10174.m1	Acerv_evm.model.Segkk641_pilon.24
OG0001476	jamg1.model.Sc0000476.8, jamg1.model.Sc0000476.13	Acerv_evm.model.Segkk117_pilon.13, Acerv_evm.model.Segkk2055_pilon.15
OG0001479	jamg1.model.xfSc0000042.22, jamg1.model.xfSc0000015.26	Acerv_evm.model.Segkk3795_pilon.7, Acerv_evm.model.Segkk230_pilon.5
OG0001480	plut2.m8.25619.m1	Acerv_evm.model.Segkk2212_pilon.4
OG0001480	plut2.m8.25334.m1	Acerv_evm.model.Segkk523_pilon.1, Acerv_evm.model.Segkk246_pilon.1, Acerv_evm.model.Segkk765_pilon.4
OG0001481	plut2.m8.21510.m1	Acerv_evm.model.Segkk1912_pilon.1, Acerv_evm.model.Segkk2987_pilon.5, Acerv_evm.model.Segkk2435_pilon.8, Acerv_evm.model.Segkk301_pilon.28, Acerv_evm.model.Segkk3417_pilon.21
OG0001482	plut2.m8.10821.m1	Acerv_evm.model.Segkk2105_pilon.2, Acerv_evm.model.Segkk318_pilon.12, Acerv_evm.model.Segkk2105_pilon.1
OG0001483	plut2.m8.25581.m1, plut2.m8.25580.m1, plut2.m8.29344.m1, plut2.m8.16954.m1, plut2.m8.20338.m1, plut2.m8.16950.m1	Acerv_evm.model.Segkk722_pilon.1, Acerv_evm.model.Segkk343_pilon.3, Acerv_evm.model.Segkk2007_pilon.2, Acerv_evm.model.Segkk4264_pilon.2
OG0001484	plut2.m8.1689.m1	Acerv_evm.model.Segkk375_pilon.9
OG0001485	plut2.m8.24304.m1	Acerv_evm.model.Segkk2481_pilon.108, Acerv_evm.model.Segkk3378_pilon.7, Acerv_evm.model.Segkk2060_pilon.16, Acerv_evm.model.Segkk2008_pilon.7, Acerv_evm.model.Segkk2575_pilon.27, Acerv_evm.model.Segkk1499_pilon.3, Acerv_evm.model.Segkk384_pilon.18, Acerv_evm.model.Segkk3374_pilon.3
OG0001486	plut2.m8.5738.m1	Acerv_evm.model.Segkk467_pilon.1, Acerv_evm.model.Segkk3050_pilon.30, Acerv_evm.model.Segkk3268_pilon.5, Acerv_evm.model.Segkk1438_pilon.17, Acerv_evm.model.Segkk1285_pilon.1, Acerv_evm.model.Segkk1639_pilon.12, Acerv_evm.model.Segkk4345_pilon.13, Acerv_evm.model.Segkk2051_pilon.1, Acerv_evm.model.Segkk3057_pilon.12, Acerv_evm.model.Segkk384_pilon.24
OG0001487	plut2.m8.33183.m1, plut2.m8.25025.m1, plut2.m8.4590.m1	Acerv_evm.model.Segkk969_pilon.1, Acerv_evm.model.Segkk1948_pilon.1, Acerv_evm.model.Segkk402_pilon.5
OG0001488	plut2.m8.6166.m1	Acerv_evm.model.Segkk3775_pilon.3
OG0001488	plut2.m8.14591.m1, plut2.m8.14592.m1	Acerv_evm.model.Segkk404_pilon.3, Acerv_evm.model.Segkk2085_pilon.1
OG0001489	jamg1.model.Sc0000298.25	Acerv_evm.model.Segkk413_pilon.11
OG0001490	plut2.m8.6846.m1, plut2.m8.21530.m1	Acerv_evm.model.Segkk435_pilon.6
OG0001491	plut2.m8.23820.m1	Acerv_evm.model.Segkk1013_pilon.1, Acerv_evm.model.Segkk441_pilon.1
OG0001491	plut2.m8.13880.m1	Acerv_evm.model.Segkk2686_pilon.5
OG0001492	plut2.m8.1639.m1	Acerv_evm.model.Segkk1646_pilon.8, Acerv_evm.model.Segkk441_pilon.19
OG0001493	plut2.m8.31251.m1, plut2.m8.31597.m1	Acerv_evm.model.Segkk447_pilon.13, Acerv_evm.model.Segkk447_pilon.11
OG0001494	plut2.m8.16200.m1, plut2.m8.25133.m1, plut2.m8.23829.m1	Acerv_evm.model.Segkk679_pilon.11, Acerv_evm.model.Segkk469_pilon.51, Acerv_evm.model.Segkk4127_pilon.16, Acerv_evm.model.Segkk647_pilon.1
OG0001495	plut2.m8.12334.m1	Acerv_evm.model.Segkk470_pilon.22
OG0001496	plut2.m8.25103.m1, plut2.m8.6507.m1	Acerv_evm.model.Segkk487_pilon.22
OG0001497	plut2.m8.30219.m1	Acerv_evm.model.Segkk546_pilon.2
OG0001498	plut2.m8.7289.m1, jamg1.model.Sc0000813.8, jamg1.model.xfSc0000316.6, plut2.m8.15649.m1, jamg1.model.Sc0000457.2, jamg1.model.xfSc0000875.2	Acerv_evm.model.Segkk552_pilon.25
OG0001499	plut2.m8.10433.m1	Acerv_evm.model.Segkk552_pilon.24
OG0001499	plut2.m8.10441.m1	Acerv_evm.model.Segkk1550_pilon.2
OG0001500	plut2.m8.10860.m1	Acerv_evm.model.Segkk576_pilon.3
OG0001501	plut2.m8.12494.m1, plut2.m8.12491.m1	Acerv_evm.model.Segkk629_pilon.1, Acerv_evm.model.Segkk2929_pilon.1
OG0001504	plut2.m8.14425.m1	Acerv_evm.model.Segkk3629_pilon.3, Acerv_evm.model.Segkk4158_pilon.8, Acerv_evm.model.Segkk4158_pilon.3, Acerv_evm.model.Segkk4158_pilon.4, Acerv_evm.model.Segkk966_pilon.1, Acerv_evm.model.Segkk4158_pilon.15, Acerv_evm.model.Segkk665_pilon.8
OG0001506	plut2.m8.6622.m1, plut2.m8.4904.m1	Acerv_evm.model.Segkk2521_pilon.10, Acerv_evm.model.Segkk711_pilon.4
OG0001507	plut2.m8.32680.m1, plut2.m8.32675.m1	Acerv_evm.model.Segkk711_pilon.43
OG0001508	plut2.m8.5757.m1	Acerv_evm.model.Segkk993_pilon.23
OG0001508	jamg1.model.Sc0000194.20	Acerv_evm.model.Segkk1850_pilon.5, Acerv_evm.model.Segkk727_pilon.4
OG0001510	jamg1.model.Sc0000529.24	Acerv_evm.model.Segkk823_pilon.3
OG0001510	jamg1.model.Sc0000747.18	Acerv_evm.model.Segkk2278_pilon.8, Acerv_evm.model.Segkk823_pilon.2, Acerv_evm.model.Segkk2239_pilon.2
OG0001511	plut2.m8.27360.m1	Acerv_evm.model.Segkk1078_pilon.83, Acerv_evm.model.Segkk3832_pilon.3, Acerv_evm.model.Segkk3832_pilon.8, Acerv_evm.model.Segkk1244_pilon.6, Acerv_evm.model.Segkk824_pilon.30, Acerv_evm.model.Segkk3832_pilon.4, Acerv_evm.model.Segkk3832_pilon.2
OG0001512	plut2.m8.29356.m1	Acerv_evm.model.Segkk837_pilon.22
OG0001513	plut2.m8.26323.m1, plut2.m8.25645.m1, plut2.m8.8996.m1	Acerv_evm.model.Segkk938_pilon.3
OG0001514	plut2.m8.23351.m1	Acerv_evm.model.Segkk2510_pilon.46, Acerv_evm.model.Segkk948_pilon.3, Acerv_evm.model.Segkk2410_pilon.27
OG0001514	plut2.m8.32000.m1	Acerv_evm.model.Segkk948_pilon.2
OG0001515	plut2.m8.5765.m1	Acerv_evm.model.Segkk993_pilon.47
OG0001516	plut2.m8.1332.m1	Acerv_evm.model.Segkk4039_pilon.2
OG0001516	plut2.m8.5121.m1, plut2.m8.5123.m1	Acerv_evm.model.Segkk1047_pilon.3
OG0001518	plut2.m8.11323.m1	Acerv_evm.model.Segkk2195_pilon.34, Acerv_evm.model.Segkk3857_pilon.5, Acerv_evm.model.Segkk2266_pilon.7, Acerv_evm.model.Segkk3238_pilon.23, Acerv_evm.model.Segkk2181_pilon.1, Acerv_evm.model.Segkk2629_pilon.1, Acerv_evm.model.Segkk1068_pilon.17, Acerv_evm.model.Segkk2244_pilon.5
OG0001519	plut2.m8.19487.m1	Acerv_evm.model.Segkk1071_pilon.1
OG0001520	plut2.m8.20793.m1	Acerv_evm.model.Segkk1684_pilon.5, Acerv_evm.model.Segkk1684_pilon.4, Acerv_evm.model.Segkk3971_pilon.2, Acerv_evm.model.Segkk1153_pilon.2
OG0001521	plut2.m8.4042.m1	Acerv_evm.model.Segkk1975_pilon.7, Acerv_evm.model.Segkk1185_pilon.9
OG0001522	jamg1.model.Sc0000102.33	Acerv_evm.model.Segkk1613_pilon.9
OG0001522	plut2.m8.17262.m1	Acerv_evm.model.Segkk1274_pilon.6
OG0001523	plut2.m8.9338.m1	Acerv_evm.model.Segkk3378_pilon.1, Acerv_evm.model.Segkk4138_pilon.10, Acerv_evm.model.Segkk1292_pilon.11, Acerv_evm.model.Segkk2844_pilon.2, Acerv_evm.model.Segkk4138_pilon.22, Acerv_evm.model.Segkk2987_pilon.6, Acerv_evm.model.Segkk4039_pilon.47, Acerv_evm.model.Segkk2844_pilon.1, Acerv_evm.model.Segkk2881_pilon.7
OG0001524	plut2.m8.15346.m1	Acerv_evm.model.Segkk1332_pilon.11
OG0001527	jamg1.model.Sc0000192.70, jamg1.model.xfSc0000346.5	Acerv_evm.model.Segkk3815_pilon.3, Acerv_evm.model.Segkk2517_pilon.11, Acerv_evm.model.Segkk1870_pilon.8, Acerv_evm.model.Segkk1548_pilon.12, Acerv_evm.model.Segkk1870_pilon.4
OG0001529	plut2.m8.9617.m1	Acerv_evm.model.Segkk2316_pilon.3
OG0001529	plut2.m8.5882.m1	Acerv_evm.model.Segkk2233_pilon.9
OG0001530	plut2.m8.9601.m1, jamg1.model.Sc0000111.23, plut2.m8.9603.m1	Acerv_evm.model.Segkk1628_pilon.10
OG0001531	plut2.m8.14632.m1	Acerv_evm.model.Segkk2875_pilon.14
OG0001531	plut2.m8.19089.m1	Acerv_evm.model.Segkk1650_pilon.25
OG0001532	plut2.m8.29180.m1, plut2.m8.29184.m1	Acerv_evm.model.Segkk1680_pilon.16
OG0001532	plut2.m8.29181.m1	Acerv_evm.model.Segkk1680_pilon.15
OG0001533	plut2.m8.4458.m1	Acerv_evm.model.Segkk1692_pilon.3
OG0001533	plut2.m8.4457.m1	Acerv_evm.model.Segkk3112_pilon.42
OG0001534	plut2.m8.4311.m1, plut2.m8.4320.m1	Acerv_evm.model.Segkk1707_pilon.22
OG0001535	jamg1.model.Sc0000291.17	Acerv_evm.model.Segkk4191_pilon.2, Acerv_evm.model.Segkk4191_pilon.1, Acerv_evm.model.Segkk1794_pilon.3, Acerv_evm.model.Segkk1794_pilon.2, Acerv_evm.model.Segkk2342_pilon.3, Acerv_evm.model.Segkk2342_pilon.1, Acerv_evm.model.Segkk2342_pilon.2, Acerv_evm.model.Segkk3917_pilon.1, Acerv_evm.model.Segkk2937_pilon.2, Acerv_evm.model.Segkk1716_pilon.1
OG0001536	plut2.m8.22025.m1	Acerv_evm.model.Segkk1733_pilon.6
OG0001537	plut2.m8.29953.m1, plut2.m8.29954.m1, plut2.m8.12166.m1, plut2.m8.25498.m1	Acerv_evm.model.Segkk1774_pilon.14, Acerv_evm.model.Segkk2229_pilon.8
OG0001538	plut2.m8.14710.m1	Acerv_evm.model.Segkk1790_pilon.1, Acerv_evm.model.Segkk1790_pilon.2
OG0001539	plut2.m8.3723.m1	Acerv_evm.model.Segkk1802_pilon.2
OG0001542	plut2.m8.22285.m1, plut2.m8.8245.m1, plut2.m8.21672.m1, plut2.m8.22280.m1, plut2.m8.21682.m1	Acerv_evm.model.Segkk1991_pilon.22
OG0001543	jamg1.model.Sc0000286.18	Acerv_evm.model.Segkk1995_pilon.4, Acerv_evm.model.Segkk2758_pilon.47, Acerv_evm.model.Segkk2758_pilon.48, Acerv_evm.model.Segkk2758_pilon.49
OG0001544	plut2.m8.30008.m1	Acerv_evm.model.Segkk2009_pilon.2
OG0001545	plut2.m8.30752.m1, plut2.m8.22244.m1	Acerv_evm.model.Segkk3769_pilon.1, Acerv_evm.model.Segkk2043_pilon.1
OG0001546	plut2.m8.3601.m1	Acerv_evm.model.Segkk2056_pilon.37, Acerv_evm.model.Segkk3407_pilon.33, Acerv_evm.model.Segkk2056_pilon.36
OG0001550	jamg1.model.Sc0000463.23	Acerv_evm.model.Segkk2225_pilon.5, Acerv_evm.model.Segkk2578_pilon.28
OG0001551	plut2.m8.883.m1, plut2.m8.880.m1	Acerv_evm.model.Segkk2285_pilon.7, Acerv_evm.model.Segkk2285_pilon.6
OG0001552	jamg1.model.Sc0000557.23	Acerv_evm.model.Segkk4335_pilon.4, Acerv_evm.model.Segkk3469_pilon.3, Acerv_evm.model.Segkk2350_pilon.5, Acerv_evm.model.Segkk2573_pilon.19
OG0001554	plut2.m8.16501.m1	Acerv_evm.model.Segkk2375_pilon.5, Acerv_evm.model.Segkk2375_pilon.6
OG0001555	jamg1.model.xfSc0000168.11	Acerv_evm.model.Segkk2397_pilon.8, Acerv_evm.model.Segkk2397_pilon.6
OG0001556	plut2.m8.10483.m1	Acerv_evm.model.Segkk2434_pilon.1, Acerv_evm.model.Segkk2410_pilon.2
OG0001557	plut2.m8.11207.m1	Acerv_evm.model.Segkk2433_pilon.36, Acerv_evm.model.Segkk4153_pilon.8
OG0001558	plut2.m8.20302.m1	Acerv_evm.model.Segkk3159_pilon.7, Acerv_evm.model.Segkk2450_pilon.1
OG0001559	plut2.m8.15535.m1, plut2.m8.15532.m1	Acerv_evm.model.Segkk2464_pilon.24
OG0001560	plut2.m8.3470.m1	Acerv_evm.model.Segkk2481_pilon.24
