Orthogroup	Mcavernosa.maker.proteins	plut2v1.1.proteins
OG0001612	Mcavernosa12103-RA	plut2.m8.10358.m1
OG0001613	Mcavernosa20274-RA, Mcavernosa27857-RA, Mcavernosa20271-RA, Mcavernosa20273-RA	plut2.m8.32659.m1
OG0001614	Mcavernosa28903-RA	plut2.m8.25687.m1, jamg1.model.Sc0000743.3
OG0001614	Mcavernosa28905-RA	plut2.m8.9134.m1
OG0001615	Mcavernosa07796-RA, Mcavernosa05285-RA	plut2.m8.8638.m1
OG0001615	Mcavernosa30345-RA, Mcavernosa33428-RA	plut2.m8.8636.m1
OG0001616	Mcavernosa00726-RA, Mcavernosa17911-RA, Mcavernosa33985-RA, Mcavernosa23056-RA	plut2.m8.15354.m1
OG0001619	Mcavernosa14106-RA, Mcavernosa14100-RA	plut2.m8.5182.m1, plut2.m8.5186.m1, plut2.m8.11342.m1
OG0001622	Mcavernosa09267-RA, Mcavernosa09268-RA	plut2.m8.1991.m1
OG0001623	Mcavernosa02920-RA	plut2.m8.31922.m1
OG0001624	Mcavernosa28734-RA, Mcavernosa32824-RA	plut2.m8.33011.m1
OG0001625	Mcavernosa21750-RA, Mcavernosa12094-RA, Mcavernosa19392-RA	plut2.m8.20149.m1
OG0001627	Mcavernosa19068-RA	jamg1.model.xpSc0007098.6, jamg1.model.Sc0000331.26
OG0001628	Mcavernosa03703-RA	plut2.m8.2109.m1
OG0001630	Mcavernosa24937-RA, Mcavernosa24941-RA	plut2.m8.7921.m1
OG0001630	Mcavernosa24940-RA	plut2.m8.7923.m1
OG0001634	Mcavernosa29704-RA	plut2.m8.2632.m1, plut2.m8.17094.m1, plut2.m8.17095.m1
OG0001636	Mcavernosa22716-RA	jamg1.model.Sc0000001.111
OG0001637	Mcavernosa18510-RA, Mcavernosa27691-RA	jamg1.model.Sc0000526.29, plut2.m8.10461.m1
OG0001638	Mcavernosa13893-RA, Mcavernosa13896-RA	plut2.m8.22302.m1
OG0001638	Mcavernosa13897-RA	plut2.m8.31623.m1, plut2.m8.22304.m1
OG0001639	Mcavernosa32326-RA, Mcavernosa32329-RA, Mcavernosa32328-RA	plut2.m8.5577.m1, jamg1.model.Sc0000051.57, plut2.m8.5581.m1, plut2.m8.5582.m1
OG0001641	Mcavernosa05578-RA	plut2.m8.12950.m1
OG0001645	Mcavernosa03192-RA, Mcavernosa03204-RA, Mcavernosa30598-RA	plut2.m8.12492.m1
OG0001648	Mcavernosa05973-RA	plut2.m8.22821.m1, plut2.m8.22814.m1, plut2.m8.22373.m1
OG0001648	Mcavernosa05971-RA	plut2.m8.22374.m1
OG0001652	Mcavernosa13699-RA	plut2.m8.10387.m1, plut2.m8.10388.m1
OG0001654	Mcavernosa34148-RA, Mcavernosa30494-RA, Mcavernosa04228-RA	plut2.m8.860.m1
OG0001656	Mcavernosa03737-RA	plut2.m8.29292.m1
OG0001657	Mcavernosa18433-RA, Mcavernosa18428-RA, Mcavernosa18429-RA	plut2.m8.3860.m1
OG0001658	Mcavernosa25823-RA	plut2.m8.5830.m1
OG0001661	Mcavernosa11114-RA, Mcavernosa30551-RA, Mcavernosa11111-RA	plut2.m8.14606.m1
OG0001662	Mcavernosa29162-RA	plut2.m8.32583.m1
OG0001662	Mcavernosa05165-RA	plut2.m8.32585.m1
OG0001663	Mcavernosa34256-RA	plut2.m8.17599.m1
OG0001664	Mcavernosa06211-RA, Mcavernosa06210-RA	plut2.m8.18274.m1
OG0001664	Mcavernosa21662-RA	plut2.m8.12047.m1
OG0001665	Mcavernosa09585-RA, Mcavernosa09586-RA	plut2.m8.31916.m1
OG0001665	Mcavernosa09584-RA	plut2.m8.3487.m1
OG0001666	Mcavernosa11625-RA, Mcavernosa01698-RA	plut2.m8.21055.m1
OG0001667	Mcavernosa16189-RA, Mcavernosa16191-RA, Mcavernosa34303-RA, Mcavernosa16190-RA	plut2.m8.11240.m1, plut2.m8.11241.m1
OG0001668	Mcavernosa04662-RA, Mcavernosa24301-RA	plut2.m8.16948.m1, plut2.m8.16951.m1, plut2.m8.28554.m1
OG0001669	Mcavernosa07627-RA	plut2.m8.12956.m1
OG0001671	Mcavernosa14913-RA	plut2.m8.11042.m1
OG0001671	Mcavernosa18247-RA	plut2.m8.32520.m1
OG0001671	Mcavernosa14878-RA	plut2.m8.3092.m1
OG0001672	Mcavernosa05110-RA	plut2.m8.3200.m1
OG0001672	Mcavernosa26717-RA	plut2.m8.26221.m1
OG0001673	Mcavernosa20144-RA	plut2.m8.23547.m1
OG0001673	Mcavernosa20143-RA	plut2.m8.23471.m1
OG0001674	Mcavernosa15903-RA, Mcavernosa11554-RA, Mcavernosa16770-RA, Mcavernosa15907-RA, Mcavernosa15908-RA	plut2.m8.836.m1, plut2.m8.841.m1, plut2.m8.840.m1
OG0001675	Mcavernosa07764-RA	plut2.m8.10721.m1
OG0001676	Mcavernosa24946-RA, Mcavernosa24947-RA, Mcavernosa24945-RA	plut2.m8.5432.m1
OG0001677	Mcavernosa17453-RA, Mcavernosa17447-RA	plut2.m8.9428.m1
OG0001681	Mcavernosa10123-RA, Mcavernosa34889-RA	plut2.m8.26763.m1, plut2.m8.26758.m1
OG0001681	Mcavernosa11506-RA, Mcavernosa23183-RA	plut2.m8.7944.m1, plut2.m8.7948.m1, plut2.m8.6292.m1, plut2.m8.26436.m1
OG0001682	Mcavernosa20506-RA, Mcavernosa20508-RA	plut2.m8.14353.m1
OG0001682	Mcavernosa20572-RA, Mcavernosa20571-RA	plut2.m8.25572.m1
OG0001683	Mcavernosa10346-RA, Mcavernosa10347-RA, Mcavernosa32966-RA	plut2.m8.1269.m1, plut2.m8.1272.m1, plut2.m8.1270.m1
OG0001684	Mcavernosa11468-RA, Mcavernosa11467-RA, Mcavernosa34105-RA	plut2.m8.33281.m1
OG0001685	Mcavernosa34501-RA	plut2.m8.30242.m1
OG0001686	Mcavernosa19969-RA, Mcavernosa19968-RA	plut2.m8.7549.m1
OG0001689	Mcavernosa25472-RA	plut2.m8.27583.m1
OG0001690	Mcavernosa18632-RA	plut2.m8.8727.m1
OG0001690	Mcavernosa18635-RA	plut2.m8.8725.m1
OG0001691	Mcavernosa15306-RA	plut2.m8.10127.m1
OG0001692	Mcavernosa22918-RA, Mcavernosa22915-RA	plut2.m8.21050.m1, plut2.m8.24882.m1
OG0001693	Mcavernosa30747-RA, Mcavernosa30745-RA	plut2.m8.19389.m1, plut2.m8.19390.m1, plut2.m8.19388.m1, plut2.m8.19399.m1
OG0001693	Mcavernosa30746-RA	jamg1.model.Sc0000335.9
OG0001695	Mcavernosa21144-RA	plut2.m8.5829.m1
OG0001696	Mcavernosa07869-RA	plut2.m8.26769.m1
OG0001697	Mcavernosa19294-RA	plut2.m8.4063.m1
OG0001698	Mcavernosa12799-RA	plut2.m8.28512.m1
OG0001698	Mcavernosa12803-RA	plut2.m8.28509.m1
OG0001700	Mcavernosa12186-RA, Mcavernosa12182-RA	plut2.m8.27353.m1
OG0001701	Mcavernosa21728-RA, Mcavernosa21726-RA, Mcavernosa21727-RA	plut2.m8.9478.m1, plut2.m8.9479.m1, plut2.m8.9465.m1
OG0001703	Mcavernosa30667-RA, Mcavernosa23878-RA	plut2.m8.2531.m1
OG0001704	Mcavernosa22520-RA	plut2.m8.18467.m1
OG0001707	Mcavernosa15856-RA	plut2.m8.30007.m1
OG0001708	Mcavernosa32900-RA, Mcavernosa32717-RA, Mcavernosa09484-RA, Mcavernosa09487-RA, Mcavernosa09485-RA, Mcavernosa09486-RA	jamg1.model.Sc0000080.74, jamg1.model.Sc0000080.72, jamg1.model.Sc0000080.75, jamg1.model.Sc0000287.1, plut2.m8.7810.m1, jamg1.model.Sc0000080.71
OG0001709	Mcavernosa16952-RA	plut2.m8.12449.m1
OG0001709	Mcavernosa16954-RA	plut2.m8.12450.m1
OG0001710	Mcavernosa05524-RA	plut2.m8.13980.m1
OG0001710	Mcavernosa05522-RA	plut2.m8.13981.m1
OG0001711	Mcavernosa19170-RA	plut2.m8.2456.m1
OG0001712	Mcavernosa05269-RA	plut2.m8.9968.m1
OG0001712	Mcavernosa27887-RA	plut2.m8.16068.m1
OG0001714	Mcavernosa16212-RA, Mcavernosa16201-RA	plut2.m8.20193.m1, plut2.m8.24920.m1
OG0001715	Mcavernosa20959-RA	jamg1.model.xfSc0000217.4, jamg1.model.xfSc0000217.2, jamg1.model.xfSc0000247.8, jamg1.model.xfSc0000217.3, jamg1.model.xfSc0000217.8, jamg1.model.xfSc0000217.7
OG0001715	Mcavernosa18409-RA	jamg1.model.xfSc0000247.10
OG0001717	Mcavernosa35102-RA, Mcavernosa16611-RA, Mcavernosa33082-RA, Mcavernosa16612-RA	plut2.m8.11185.m1
OG0001718	Mcavernosa14317-RA, Mcavernosa14318-RA	plut2.m8.26521.m1
OG0001720	Mcavernosa16391-RA	plut2.m8.10838.m1
OG0001721	Mcavernosa30716-RA, Mcavernosa30717-RA, Mcavernosa30718-RA	plut2.m8.15476.m1
OG0001723	Mcavernosa14869-RA	plut2.m8.5079.m1
OG0001723	Mcavernosa14866-RA	plut2.m8.5080.m1
OG0001725	Mcavernosa13653-RA	plut2.m8.10063.m1
OG0001726	Mcavernosa26453-RA, Mcavernosa26454-RA	plut2.m8.12981.m1
OG0001729	Mcavernosa25934-RA	plut2.m8.17253.m1
OG0001730	Mcavernosa06159-RA, Mcavernosa34160-RA, Mcavernosa29280-RA, Mcavernosa06160-RA	plut2.m8.3642.m1, plut2.m8.26352.m1
OG0001732	Mcavernosa00861-RA, Mcavernosa32509-RA, Mcavernosa00863-RA, Mcavernosa26125-RA	plut2.m8.7469.m1
OG0001733	Mcavernosa10265-RA	plut2.m8.16156.m1, plut2.m8.16158.m1, jamg1.model.xfSc0000791.1, plut2.m8.16162.m1, plut2.m8.16157.m1
OG0001734	Mcavernosa24622-RA, Mcavernosa23316-RA, Mcavernosa24623-RA	plut2.m8.3291.m1
OG0001735	Mcavernosa19591-RA, Mcavernosa19596-RA, Mcavernosa10616-RA	plut2.m8.6354.m1
OG0001735	Mcavernosa19592-RA	plut2.m8.6357.m1
OG0001736	Mcavernosa00979-RA	plut2.m8.18670.m1, plut2.m8.18669.m1
OG0001736	Mcavernosa00978-RA	plut2.m8.18668.m1
OG0001738	Mcavernosa24151-RA	plut2.m8.6528.m1
OG0001739	Mcavernosa15666-RA, Mcavernosa30878-RA	plut2.m8.24584.m1, plut2.m8.14101.m1
OG0001740	Mcavernosa07093-RA	plut2.m8.2913.m1
OG0001740	Mcavernosa32423-RA	plut2.m8.17440.m1
OG0001741	Mcavernosa14929-RA, Mcavernosa14952-RA, Mcavernosa14955-RA, Mcavernosa17094-RA	jamg1.model.Sc0000017.83, plut2.m8.2223.m1
OG0001744	Mcavernosa17497-RA, Mcavernosa17498-RA, Mcavernosa17496-RA	plut2.m8.2468.m1
OG0001745	Mcavernosa29850-RA	plut2.m8.17523.m1
OG0001745	Mcavernosa29849-RA	plut2.m8.17518.m1
OG0001747	Mcavernosa17408-RA, Mcavernosa17413-RA, Mcavernosa17409-RA, Mcavernosa03803-RA, Mcavernosa13744-RA	plut2.m8.18244.m1, plut2.m8.21684.m1
OG0001748	Mcavernosa17480-RA, Mcavernosa17484-RA, Mcavernosa17485-RA, Mcavernosa17489-RA	plut2.m8.22991.m1, plut2.m8.29303.m1
OG0001749	Mcavernosa29207-RA, Mcavernosa02848-RA	plut2.m8.25571.m1
OG0001750	Mcavernosa03441-RA, Mcavernosa21343-RA, Mcavernosa03437-RA	plut2.m8.15023.m1, plut2.m8.15019.m1
OG0001751	Mcavernosa33710-RA, Mcavernosa01730-RA, Mcavernosa26035-RA	plut2.m8.26625.m1, plut2.m8.26624.m1
OG0001751	Mcavernosa01729-RA, Mcavernosa26037-RA	plut2.m8.26623.m1
OG0001754	Mcavernosa29900-RA, Mcavernosa32878-RA, Mcavernosa29911-RA	jamg1.model.Sc0000006.79
OG0001755	Mcavernosa06629-RA	plut2.m8.757.m1
OG0001755	Mcavernosa06625-RA	plut2.m8.756.m1
OG0001756	Mcavernosa14286-RA	plut2.m8.1143.m1
OG0001756	Mcavernosa14294-RA, Mcavernosa14288-RA, Mcavernosa14291-RA, Mcavernosa14292-RA, Mcavernosa14290-RA	plut2.m8.1144.m1
OG0001757	Mcavernosa08016-RA, Mcavernosa08015-RA, Mcavernosa08017-RA	jamg1.model.Sc0000080.28
OG0001759	Mcavernosa11931-RA	jamg1.model.xfSc0000017.1, plut2.m8.27323.m1, plut2.m8.31673.m1
OG0001759	Mcavernosa11930-RA	jamg1.model.xfSc0000017.5, jamg1.model.xfSc0000017.10, plut2.m8.31674.m1, jamg1.model.xfSc0000017.4
OG0001760	Mcavernosa17494-RA, Mcavernosa17492-RA	plut2.m8.9360.m1, jamg1.model.xfSc0002483.1, plut2.m8.20658.m1, plut2.m8.16327.m1, jamg1.model.Sc0000241.42, plut2.m8.26738.m1, plut2.m8.26741.m1, plut2.m8.17560.m1, plut2.m8.19559.m1
OG0001761	Mcavernosa15260-RA	plut2.m8.19634.m1, plut2.m8.30038.m1, plut2.m8.14983.m1, plut2.m8.33217.m1
OG0001762	Mcavernosa22003-RA, Mcavernosa21996-RA, Mcavernosa22001-RA	plut2.m8.33232.m1
OG0001762	Mcavernosa21993-RA, Mcavernosa13176-RA, Mcavernosa28919-RA	plut2.m8.33231.m1
OG0001763	Mcavernosa06318-RA	plut2.m8.11170.m1
OG0001763	Mcavernosa06316-RA	plut2.m8.11172.m1
OG0001764	Mcavernosa05188-RA	plut2.m8.31137.m1, plut2.m8.23635.m1
OG0001765	Mcavernosa25690-RA	plut2.m8.25615.m1
OG0001766	Mcavernosa03493-RA	plut2.m8.23080.m1, plut2.m8.18033.m1, plut2.m8.18035.m1, plut2.m8.26197.m1
OG0001770	Mcavernosa29951-RA	plut2.m8.21605.m1
OG0001770	Mcavernosa29950-RA	plut2.m8.21609.m1
OG0001770	Mcavernosa29952-RA	jamg1.model.Sc0000426.10
OG0001772	Mcavernosa04436-RA, Mcavernosa30538-RA, Mcavernosa06979-RA	plut2.m8.28409.m1, plut2.m8.28408.m1
OG0001773	Mcavernosa30095-RA	plut2.m8.2103.m1
OG0001774	Mcavernosa25692-RA, Mcavernosa25691-RA, Mcavernosa25693-RA	plut2.m8.1047.m1
OG0001775	Mcavernosa09185-RA	plut2.m8.8832.m1
OG0001776	Mcavernosa14916-RA	plut2.m8.20323.m1
OG0001777	Mcavernosa29150-RA, Mcavernosa19512-RA	plut2.m8.25537.m1
OG0001778	Mcavernosa17268-RA, Mcavernosa17267-RA	plut2.m8.23072.m1
OG0001779	Mcavernosa23508-RA, Mcavernosa28925-RA	jamg1.model.Sc0000301.24
OG0001780	Mcavernosa27133-RA, Mcavernosa02223-RA, Mcavernosa27134-RA, Mcavernosa34848-RA, Mcavernosa34849-RA	jamg1.model.Sc0000272.6
OG0001781	Mcavernosa02225-RA, Mcavernosa29341-RA	plut2.m8.1503.m1, plut2.m8.1502.m1, plut2.m8.1505.m1
OG0001782	Mcavernosa32226-RA, Mcavernosa32225-RA, Mcavernosa32224-RA	plut2.m8.27553.m1
OG0001784	Mcavernosa17356-RA	plut2.m8.20970.m1
OG0001785	Mcavernosa01839-RA, Mcavernosa01664-RA	plut2.m8.29849.m1
OG0001786	Mcavernosa30986-RA, Mcavernosa30983-RA	plut2.m8.9516.m1
OG0001787	Mcavernosa27926-RA	plut2.m8.84.m1
OG0001787	Mcavernosa27925-RA	jamg1.model.Sc0000000.123
OG0001788	Mcavernosa22308-RA, Mcavernosa22302-RA	plut2.m8.11228.m1
OG0001789	Mcavernosa23097-RA, Mcavernosa12177-RA	plut2.m8.7340.m1, plut2.m8.7335.m1
OG0001790	Mcavernosa00198-RA, Mcavernosa30444-RA	plut2.m8.23036.m1, plut2.m8.23033.m1
OG0001791	Mcavernosa02204-RA, Mcavernosa02205-RA	plut2.m8.11919.m1
OG0001792	Mcavernosa29154-RA	plut2.m8.9721.m1, plut2.m8.9717.m1
OG0001793	Mcavernosa06364-RA, Mcavernosa27753-RA, Mcavernosa06366-RA, Mcavernosa27755-RA	plut2.m8.9060.m1, plut2.m8.22985.m1
OG0001795	Mcavernosa27406-RA	plut2.m8.15048.m1
OG0001795	Mcavernosa18879-RA	plut2.m8.15050.m1
OG0001798	Mcavernosa14269-RA, Mcavernosa14267-RA	plut2.m8.7157.m1
OG0001799	Mcavernosa18445-RA	jamg1.model.xfSc0005698.1, plut2.m8.26666.m1, plut2.m8.26671.m1
OG0001800	Mcavernosa09149-RA	plut2.m8.19746.m1
OG0001800	Mcavernosa09144-RA	plut2.m8.19744.m1
OG0001801	Mcavernosa15106-RA, Mcavernosa15060-RA, Mcavernosa24077-RA, Mcavernosa07225-RA	plut2.m8.13310.m1
OG0001802	Mcavernosa24479-RA, Mcavernosa24478-RA	plut2.m8.3621.m1
OG0001804	Mcavernosa02247-RA	jamg1.model.Sc0000175.44
OG0001807	Mcavernosa11982-RA, Mcavernosa11981-RA, Mcavernosa28072-RA, Mcavernosa11979-RA, Mcavernosa34158-RA, Mcavernosa11980-RA	plut2.m8.1281.m1, plut2.m8.1280.m1
OG0001808	Mcavernosa07192-RA, Mcavernosa07194-RA	plut2.m8.10438.m1
OG0001809	Mcavernosa08790-RA	plut2.m8.13318.m1
OG0001810	Mcavernosa14121-RA, Mcavernosa14118-RA	plut2.m8.17790.m1
OG0001811	Mcavernosa26431-RA, Mcavernosa33878-RA, Mcavernosa10582-RA, Mcavernosa10586-RA, Mcavernosa24262-RA, Mcavernosa33881-RA	plut2.m8.7022.m1, plut2.m8.7023.m1
OG0001812	Mcavernosa12533-RA, Mcavernosa29169-RA, Mcavernosa32841-RA	plut2.m8.5228.m1
OG0001812	Mcavernosa29170-RA, Mcavernosa12532-RA, Mcavernosa12523-RA	plut2.m8.5227.m1, plut2.m8.5226.m1
OG0001813	Mcavernosa14467-RA	plut2.m8.9032.m1
OG0001814	Mcavernosa22008-RA	plut2.m8.30464.m1, plut2.m8.30461.m1
OG0001815	Mcavernosa12957-RA, Mcavernosa23327-RA, Mcavernosa33403-RA, Mcavernosa07781-RA	jamg1.model.xfSc0000386.3, jamg1.model.Sc0000525.26, plut2.m8.9480.m1
OG0001817	Mcavernosa04688-RA	plut2.m8.25481.m1, plut2.m8.25482.m1, plut2.m8.26161.m1, plut2.m8.21257.m1, plut2.m8.21838.m1, plut2.m8.33606.m1, plut2.m8.26160.m1
OG0001818	Mcavernosa03208-RA	plut2.m8.12484.m1
OG0001818	Mcavernosa03185-RA, Mcavernosa30594-RA, Mcavernosa34130-RA, Mcavernosa18023-RA	plut2.m8.12497.m1
OG0001819	Mcavernosa20169-RA, Mcavernosa29174-RA, Mcavernosa06700-RA, Mcavernosa20872-RA, Mcavernosa34270-RA	jamg1.model.Sc0000352.8
OG0001820	Mcavernosa26645-RA	plut2.m8.14788.m1, plut2.m8.24841.m1, plut2.m8.14798.m1, plut2.m8.14794.m1
OG0001820	Mcavernosa11075-RA	plut2.m8.12982.m1
OG0001821	Mcavernosa12647-RA	jamg1.model.xfSc0000475.1, plut2.m8.9961.m1, plut2.m8.9964.m1
OG0001821	Mcavernosa12648-RA, Mcavernosa12646-RA	jamg1.model.Sc0000117.42, jamg1.model.Sc0000117.30, jamg1.model.xfSc0000469.4, jamg1.model.Sc0000117.36, jamg1.model.Sc0000117.46, plut2.m8.9959.m1, jamg1.model.xfSc0000418.2
OG0001825	Mcavernosa19187-RA, Mcavernosa19197-RA, Mcavernosa33312-RA, Mcavernosa27233-RA, Mcavernosa19196-RA, Mcavernosa27230-RA	plut2.m8.21128.m1
OG0001829	Mcavernosa02629-RA, Mcavernosa02627-RA	plut2.m8.33559.m1
OG0001830	Mcavernosa16661-RA	plut2.m8.31675.m1, plut2.m8.27809.m1, plut2.m8.27821.m1, plut2.m8.27822.m1, plut2.m8.15657.m1, plut2.m8.27819.m1, plut2.m8.15656.m1, plut2.m8.27815.m1, plut2.m8.27811.m1, plut2.m8.27820.m1
OG0001831	Mcavernosa12305-RA	plut2.m8.10272.m1, plut2.m8.10273.m1
OG0001831	Mcavernosa34617-RA	plut2.m8.22547.m1, plut2.m8.22551.m1
OG0001831	Mcavernosa20854-RA	plut2.m8.290.m1
OG0001832	Mcavernosa06601-RA, Mcavernosa06606-RA, Mcavernosa06602-RA, Mcavernosa06600-RA	plut2.m8.26688.m1
OG0001833	Mcavernosa33294-RA, Mcavernosa27801-RA	plut2.m8.7882.m1
OG0001833	Mcavernosa23300-RA	plut2.m8.7879.m1, plut2.m8.7880.m1, plut2.m8.7877.m1
OG0001834	Mcavernosa23977-RA, Mcavernosa17774-RA, Mcavernosa18565-RA, Mcavernosa23976-RA	plut2.m8.22440.m1, plut2.m8.16146.m1, jamg1.model.Sc0000237.5
OG0001835	Mcavernosa22352-RA, Mcavernosa22364-RA, Mcavernosa22351-RA	plut2.m8.6074.m1, plut2.m8.6073.m1
OG0001835	Mcavernosa22355-RA, Mcavernosa22354-RA	plut2.m8.4313.m1
OG0001836	Mcavernosa10095-RA, Mcavernosa10097-RA, Mcavernosa10096-RA	plut2.m8.15506.m1, plut2.m8.23587.m1, plut2.m8.23588.m1, plut2.m8.23589.m1, plut2.m8.23586.m1, jamg1.model.Sc0000221.44
OG0001837	Mcavernosa21502-RA, Mcavernosa16734-RA, Mcavernosa33049-RA, Mcavernosa16735-RA, Mcavernosa16740-RA, Mcavernosa23677-RA, Mcavernosa23676-RA, Mcavernosa16736-RA, Mcavernosa34628-RA	plut2.m8.9442.m1, plut2.m8.17063.m1, plut2.m8.17071.m1
OG0001838	Mcavernosa29536-RA, Mcavernosa29533-RA	plut2.m8.19055.m1, plut2.m8.19060.m1
OG0001840	Mcavernosa18305-RA, Mcavernosa32936-RA, Mcavernosa27064-RA, Mcavernosa25404-RA, Mcavernosa27070-RA, Mcavernosa33606-RA, Mcavernosa27066-RA, Mcavernosa02830-RA	plut2.m8.7965.m1
OG0001843	Mcavernosa31202-RA	jamg1.model.Sc0000195.22
OG0001855	Mcavernosa18891-RA, Mcavernosa25471-RA	plut2.m8.22262.m1, plut2.m8.22253.m1
OG0001856	Mcavernosa33462-RA	plut2.m8.27304.m1
OG0001856	Mcavernosa18915-RA	plut2.m8.15683.m1
OG0001859	Mcavernosa11156-RA, Mcavernosa20924-RA	plut2.m8.11725.m1
OG0001860	Mcavernosa00144-RA	plut2.m8.12747.m1
OG0001860	Mcavernosa33206-RA	plut2.m8.12771.m1
OG0001862	Mcavernosa10231-RA	plut2.m8.30004.m1
OG0001863	Mcavernosa11389-RA	plut2.m8.32427.m1
OG0001863	Mcavernosa11390-RA	plut2.m8.32426.m1
OG0001865	Mcavernosa26470-RA	plut2.m8.15889.m1, plut2.m8.21027.m1
OG0001865	Mcavernosa26475-RA	plut2.m8.15888.m1
OG0001866	Mcavernosa21749-RA, Mcavernosa21748-RA	plut2.m8.15313.m1, plut2.m8.15312.m1
OG0001867	Mcavernosa11616-RA, Mcavernosa23638-RA, Mcavernosa14124-RA	plut2.m8.21721.m1, plut2.m8.21722.m1, plut2.m8.21720.m1, plut2.m8.22165.m1, plut2.m8.21719.m1, plut2.m8.9126.m1
OG0001868	Mcavernosa11869-RA, Mcavernosa29386-RA	plut2.m8.24491.m1, plut2.m8.24482.m1, plut2.m8.24487.m1
OG0001869	Mcavernosa31307-RA, Mcavernosa24570-RA	plut2.m8.5097.m1, plut2.m8.5102.m1
OG0001870	Mcavernosa04407-RA	plut2.m8.4736.m1
OG0001873	Mcavernosa13369-RA, Mcavernosa13371-RA, Mcavernosa13370-RA, Mcavernosa33842-RA	plut2.m8.1412.m1
OG0001874	Mcavernosa26368-RA	plut2.m8.23027.m1
OG0001876	Mcavernosa25486-RA, Mcavernosa22216-RA, Mcavernosa22217-RA	plut2.m8.5994.m1
OG0001878	Mcavernosa12654-RA, Mcavernosa12652-RA, Mcavernosa22539-RA, Mcavernosa12650-RA	plut2.m8.16925.m1
OG0001878	Mcavernosa12649-RA	plut2.m8.16923.m1
OG0001879	Mcavernosa04227-RA	plut2.m8.874.m1, plut2.m8.885.m1
OG0001880	Mcavernosa06181-RA	plut2.m8.15084.m1
OG0001881	Mcavernosa27421-RA	plut2.m8.8422.m1
OG0001881	Mcavernosa15449-RA	plut2.m8.3026.m1, plut2.m8.3019.m1
OG0001882	Mcavernosa11518-RA, Mcavernosa11519-RA, Mcavernosa30317-RA, Mcavernosa11520-RA	plut2.m8.3091.m1
OG0001883	Mcavernosa14430-RA, Mcavernosa14431-RA, Mcavernosa33848-RA, Mcavernosa01862-RA	plut2.m8.17765.m1
OG0001884	Mcavernosa30872-RA	plut2.m8.6472.m1, plut2.m8.27288.m1
OG0001886	Mcavernosa01061-RA	plut2.m8.12191.m1
OG0001887	Mcavernosa14314-RA	plut2.m8.26532.m1, plut2.m8.26524.m1, plut2.m8.26531.m1, plut2.m8.26528.m1
OG0001888	Mcavernosa24878-RA, Mcavernosa27485-RA, Mcavernosa17422-RA	plut2.m8.23257.m1
OG0001889	Mcavernosa24525-RA, Mcavernosa27033-RA, Mcavernosa30046-RA	plut2.m8.12014.m1, plut2.m8.5177.m1
OG0001890	Mcavernosa19842-RA	plut2.m8.10980.m1, plut2.m8.24466.m1
OG0001890	Mcavernosa06326-RA	plut2.m8.20862.m1
OG0001891	Mcavernosa08208-RA, Mcavernosa08199-RA	plut2.m8.2213.m1, plut2.m8.2212.m1
OG0001891	Mcavernosa08204-RA, Mcavernosa08200-RA	plut2.m8.2205.m1
OG0001892	Mcavernosa15095-RA, Mcavernosa15097-RA	plut2.m8.10428.m1
OG0001892	Mcavernosa15098-RA	plut2.m8.10429.m1
OG0001893	Mcavernosa08891-RA	plut2.m8.6192.m1
OG0001893	Mcavernosa07540-RA	plut2.m8.15101.m1
OG0001894	Mcavernosa08665-RA, Mcavernosa08668-RA	plut2.m8.16206.m1
OG0001895	Mcavernosa06944-RA, Mcavernosa08619-RA	plut2.m8.9769.m1, plut2.m8.20784.m1
OG0001897	Mcavernosa27834-RA, Mcavernosa30863-RA	plut2.m8.16301.m1, plut2.m8.16297.m1, plut2.m8.16295.m1
OG0001898	Mcavernosa26364-RA, Mcavernosa26359-RA, Mcavernosa26366-RA	plut2.m8.23029.m1
OG0001900	Mcavernosa12898-RA, Mcavernosa12876-RA, Mcavernosa12884-RA	plut2.m8.29696.m1
OG0001905	Mcavernosa03085-RA, Mcavernosa03082-RA, Mcavernosa03080-RA	plut2.m8.15065.m1
OG0001906	Mcavernosa20622-RA, Mcavernosa20623-RA	plut2.m8.12364.m1
OG0001908	Mcavernosa30730-RA	plut2.m8.19394.m1
OG0001909	Mcavernosa06200-RA	plut2.m8.22464.m1
OG0001910	Mcavernosa11271-RA, Mcavernosa11273-RA	plut2.m8.10278.m1
OG0001911	Mcavernosa25093-RA, Mcavernosa13920-RA, Mcavernosa25094-RA	plut2.m8.17115.m1
OG0001912	Mcavernosa12124-RA, Mcavernosa12118-RA, Mcavernosa12117-RA	plut2.m8.2840.m1
OG0001914	Mcavernosa04107-RA	plut2.m8.21459.m1, plut2.m8.21456.m1
OG0001915	Mcavernosa04090-RA	plut2.m8.21429.m1
OG0001917	Mcavernosa28272-RA	jamg1.model.Sc0000296.38, jamg1.model.Sc0000872.4
OG0001917	Mcavernosa21251-RA, Mcavernosa21250-RA	jamg1.model.Sc0000219.46
OG0001921	Mcavernosa33639-RA	plut2.m8.7859.m1, plut2.m8.7858.m1
OG0001922	Mcavernosa01180-RA	plut2.m8.2974.m1
OG0001923	Mcavernosa08265-RA	jamg1.model.Sc0000551.17
OG0001923	Mcavernosa14614-RA	plut2.m8.3536.m1
OG0001925	Mcavernosa28109-RA	plut2.m8.18100.m1
