Orthogroup	Montipora_capitata_HIv2.genes.pep	Mcavernosa.maker.proteins
OG0001611	Montipora_capitata_PredGene_adi2mcaRNA28333_R0.t1	Mcavernosa18973-RA
OG0001612	Montipora_capitata_PredGene_g29210.t1	Mcavernosa12103-RA
OG0001613	Montipora_capitata_PredGene_g15679.t1	Mcavernosa20274-RA, Mcavernosa27857-RA
OG0001613	Montipora_capitata_PredGene_g61092.t1	Mcavernosa20273-RA
OG0001614	Montipora_capitata_PredGene_g19937.t1	Mcavernosa28903-RA
OG0001615	Montipora_capitata_PredGene_g68977.t1	Mcavernosa07796-RA, Mcavernosa05285-RA
OG0001615	Montipora_capitata_PredGene_g68976.t1	Mcavernosa30345-RA, Mcavernosa33428-RA
OG0001616	Montipora_capitata_PredGene_g3084.t1	Mcavernosa00726-RA, Mcavernosa17911-RA, Mcavernosa33985-RA, Mcavernosa23056-RA
OG0001618	Montipora_capitata_PredGene_g23678.t1, Montipora_capitata_PredGene_g35700.t1, Montipora_capitata_PredGene_g68587.t1, Montipora_capitata_PredGene_g2774.t1, Montipora_capitata_PredGene_g452.t1, Montipora_capitata_PredGene_g19052.t1, Montipora_capitata_PredGene_g68682.t1, Montipora_capitata_PredGene_g27966.t1, Montipora_capitata_PredGene_g43749.t1, Montipora_capitata_PredGene_g21986.t1, Montipora_capitata_PredGene_g32588.t1, Montipora_capitata_PredGene_g12739.t1, Montipora_capitata_PredGene_adi2mcaRNA28367_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA28367_R4.t1	Mcavernosa23026-RA
OG0001619	Montipora_capitata_PredGene_adi2mcaRNA37296_R3.t1, Montipora_capitata_PredGene_g69399.t1	Mcavernosa14106-RA, Mcavernosa14100-RA
OG0001622	Montipora_capitata_PredGene_g15599.t1	Mcavernosa09267-RA, Mcavernosa09268-RA
OG0001623	Montipora_capitata_PredGene_g49032.t1, Montipora_capitata_PredGene_g24739.t1, Montipora_capitata_PredGene_g56588.t1, Montipora_capitata_PredGene_g24845.t1, Montipora_capitata_PredGene_g16555.t1, Montipora_capitata_PredGene_g39061.t1, Montipora_capitata_PredGene_g59803.t1, Montipora_capitata_PredGene_g21265.t1, Montipora_capitata_PredGene_g38830.t1, Montipora_capitata_PredGene_g25923.t1, Montipora_capitata_PredGene_g1707.t1, Montipora_capitata_PredGene_g69672.t1, Montipora_capitata_PredGene_g24705.t1	Mcavernosa02920-RA
OG0001624	Montipora_capitata_PredGene_g2564.t1, Montipora_capitata_PredGene_g19434.t1	Mcavernosa28734-RA, Mcavernosa32824-RA
OG0001626	Montipora_capitata_PredGene_g65259.t1	Mcavernosa19222-RA, Mcavernosa34904-RA
OG0001627	Montipora_capitata_PredGene_g62531.t1, Montipora_capitata_PredGene_g26700.t1	Mcavernosa19068-RA
OG0001628	Montipora_capitata_PredGene_g15655.t1	Mcavernosa03703-RA
OG0001631	Montipora_capitata_PredGene_adi2mcaRNA568_R9.t1	Mcavernosa26396-RA
OG0001634	Montipora_capitata_PredGene_g27839.t1, Montipora_capitata_PredGene_g27819.t1	Mcavernosa29704-RA
OG0001636	Montipora_capitata_PredGene_g34165.t1, Montipora_capitata_PredGene_g34164.t1	Mcavernosa22716-RA
OG0001637	Montipora_capitata_PredGene_g34061.t1, Montipora_capitata_PredGene_g17246.t1, Montipora_capitata_PredGene_g48902.t1	Mcavernosa18510-RA, Mcavernosa27691-RA
OG0001638	Montipora_capitata_PredGene_g32293.t1	Mcavernosa13893-RA, Mcavernosa13896-RA
OG0001639	Montipora_capitata_PredGene_adi2mcaRNA1931_R6.t1, Montipora_capitata_PredGene_g63666.t1, Montipora_capitata_PredGene_g24125.t1	Mcavernosa32326-RA, Mcavernosa32329-RA
OG0001641	Montipora_capitata_PredGene_g35220.t1	Mcavernosa05578-RA
OG0001643	Montipora_capitata_PredGene_g34787.t1, Montipora_capitata_PredGene_g34786.t1, Montipora_capitata_PredGene_g34785.t1	Mcavernosa00627-RA
OG0001645	Montipora_capitata_PredGene_adi2mcaRNA11884_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA32829_R0.t1	Mcavernosa03192-RA, Mcavernosa03204-RA, Mcavernosa30598-RA
OG0001648	Montipora_capitata_PredGene_g21603.t1	Mcavernosa05973-RA, Mcavernosa05971-RA
OG0001652	Montipora_capitata_PredGene_g41219.t1	Mcavernosa13699-RA
OG0001654	Montipora_capitata_PredGene_g25354.t1, Montipora_capitata_PredGene_g25348.t1, Montipora_capitata_PredGene_g559.t1	Mcavernosa30494-RA
OG0001656	Montipora_capitata_PredGene_g69474.t1, Montipora_capitata_PredGene_g69481.t1, Montipora_capitata_PredGene_g67561.t1, Montipora_capitata_PredGene_g19988.t1, Montipora_capitata_PredGene_g67567.t1, Montipora_capitata_PredGene_g69486.t1, Montipora_capitata_PredGene_g69479.t1	Mcavernosa03737-RA
OG0001657	Montipora_capitata_PredGene_g61062.t1	Mcavernosa18433-RA, Mcavernosa18428-RA, Mcavernosa18429-RA
OG0001658	Montipora_capitata_PredGene_g58203.t1, Montipora_capitata_PredGene_g26931.t1, Montipora_capitata_PredGene_g37481.t1	Mcavernosa25823-RA
OG0001661	Montipora_capitata_PredGene_g10410.t1	Mcavernosa11111-RA
OG0001662	Montipora_capitata_PredGene_g34891.t1	Mcavernosa29162-RA
OG0001662	Montipora_capitata_PredGene_g34886.t1, Montipora_capitata_PredGene_g18501.t1	Mcavernosa05165-RA
OG0001663	Montipora_capitata_PredGene_g4734.t1, Montipora_capitata_PredGene_g24807.t1, Montipora_capitata_PredGene_g52987.t1, Montipora_capitata_PredGene_g41266.t1, Montipora_capitata_PredGene_adi2mcaRNA31057_R1.t1	Mcavernosa34256-RA
OG0001664	Montipora_capitata_PredGene_g16203.t1	Mcavernosa06211-RA, Mcavernosa06210-RA, Mcavernosa21662-RA, Mcavernosa15075-RA
OG0001665	Montipora_capitata_PredGene_g41982.t1	Mcavernosa09584-RA
OG0001666	Montipora_capitata_PredGene_adi2mcaRNA7669_R0.t1	Mcavernosa01698-RA
OG0001667	Montipora_capitata_PredGene_g16593.t1, Montipora_capitata_PredGene_g1576.t1	Mcavernosa16189-RA, Mcavernosa16191-RA, Mcavernosa34303-RA, Mcavernosa16190-RA
OG0001668	Montipora_capitata_PredGene_g29701.t1	Mcavernosa04662-RA, Mcavernosa24301-RA
OG0001669	Montipora_capitata_PredGene_g37685.t1	Mcavernosa07627-RA
OG0001670	Montipora_capitata_PredGene_g16965.t1, Montipora_capitata_PredGene_g8224.t1, Montipora_capitata_PredGene_g38455.t1, Montipora_capitata_PredGene_g41175.t1	Mcavernosa21249-RA, Mcavernosa08813-RA
OG0001671	Montipora_capitata_PredGene_adi2mcaRNA38979_R0.t1	Mcavernosa14878-RA
OG0001672	Montipora_capitata_PredGene_g32468.t1	Mcavernosa05110-RA
OG0001672	Montipora_capitata_PredGene_adi2mcaRNA36784_R0.t1	Mcavernosa26717-RA
OG0001673	Montipora_capitata_PredGene_g36738.t1	Mcavernosa20144-RA
OG0001673	Montipora_capitata_PredGene_g36737.t1	Mcavernosa20143-RA
OG0001674	Montipora_capitata_PredGene_adi2mcaRNA3536_R0.t1	Mcavernosa15903-RA, Mcavernosa11554-RA, Mcavernosa16770-RA, Mcavernosa15907-RA, Mcavernosa15908-RA
OG0001675	Montipora_capitata_PredGene_g44798.t1	Mcavernosa07764-RA
OG0001676	Montipora_capitata_PredGene_g3411.t1	Mcavernosa24946-RA, Mcavernosa24947-RA, Mcavernosa24945-RA
OG0001677	Montipora_capitata_PredGene_g9994.t1, Montipora_capitata_PredGene_g66468.t1, Montipora_capitata_PredGene_g50345.t1, Montipora_capitata_PredGene_g31063.t1, Montipora_capitata_PredGene_g21559.t1, Montipora_capitata_PredGene_g1682.t1	Mcavernosa17453-RA, Mcavernosa17447-RA
OG0001682	Montipora_capitata_PredGene_g33743.t1	Mcavernosa20506-RA, Mcavernosa20508-RA
OG0001682	Montipora_capitata_PredGene_g33742.t1, Montipora_capitata_PredGene_adi2mcaRNA5086_R1.t1	Mcavernosa20572-RA, Mcavernosa20571-RA
OG0001683	Montipora_capitata_PredGene_adi2mcaRNA7603_R0.t1	Mcavernosa10346-RA, Mcavernosa10347-RA, Mcavernosa32966-RA
OG0001684	Montipora_capitata_PredGene_g58405.t1, Montipora_capitata_PredGene_adi2mcaRNA23294_R0.t1	Mcavernosa11468-RA, Mcavernosa11467-RA, Mcavernosa34105-RA
OG0001685	Montipora_capitata_PredGene_g58119.t1	Mcavernosa34501-RA
OG0001686	Montipora_capitata_PredGene_g17663.t1, Montipora_capitata_PredGene_g12499.t1, Montipora_capitata_PredGene_adi2mcaRNA1158_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA1158_R2.t1, Montipora_capitata_PredGene_g52479.t1, Montipora_capitata_PredGene_g16065.t1	Mcavernosa19969-RA, Mcavernosa19968-RA
OG0001690	Montipora_capitata_PredGene_adi2mcaRNA2898_R0.t1	Mcavernosa18632-RA, Mcavernosa18635-RA
OG0001691	Montipora_capitata_PredGene_adi2mcaRNA32730_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA32731_R3.t1, Montipora_capitata_PredGene_g54383.t1	Mcavernosa15306-RA
OG0001693	Montipora_capitata_PredGene_adi2mcaRNA27986_R0.t1	Mcavernosa30747-RA, Mcavernosa30745-RA
OG0001695	Montipora_capitata_PredGene_g16924.t1, Montipora_capitata_PredGene_g36391.t1, Montipora_capitata_PredGene_g70126.t1, Montipora_capitata_PredGene_g23651.t1	Mcavernosa21144-RA
OG0001696	Montipora_capitata_PredGene_g53521.t1	Mcavernosa07869-RA
OG0001697	Montipora_capitata_PredGene_adi2mcaRNA4043_R0.t1	Mcavernosa19294-RA
OG0001698	Montipora_capitata_PredGene_g5262.t1, Montipora_capitata_PredGene_g36628.t1	Mcavernosa12799-RA
OG0001698	Montipora_capitata_PredGene_adi2mcaRNA31504_R0.t1, Montipora_capitata_PredGene_g5243.t1	Mcavernosa12803-RA
OG0001700	Montipora_capitata_PredGene_adi2mcaRNA5241_R0.t1	Mcavernosa12186-RA
OG0001700	Montipora_capitata_PredGene_adi2mcaRNA5242_R0.t1	Mcavernosa12182-RA
OG0001701	Montipora_capitata_PredGene_g36036.t1	Mcavernosa21728-RA, Mcavernosa21726-RA, Mcavernosa21727-RA
OG0001702	Montipora_capitata_PredGene_g24719.t1	Mcavernosa14855-RA
OG0001702	Montipora_capitata_PredGene_g22180.t1, Montipora_capitata_PredGene_g152.t1	Mcavernosa35025-RA, Mcavernosa29818-RA, Mcavernosa32726-RA
OG0001703	Montipora_capitata_PredGene_g28829.t1	Mcavernosa30667-RA, Mcavernosa23878-RA
OG0001704	Montipora_capitata_PredGene_g39629.t1	Mcavernosa22520-RA
OG0001705	Montipora_capitata_PredGene_g24696.t1	Mcavernosa23305-RA
OG0001707	Montipora_capitata_PredGene_g62865.t1	Mcavernosa15856-RA
OG0001708	Montipora_capitata_PredGene_g70212.t1	Mcavernosa32900-RA, Mcavernosa32717-RA, Mcavernosa09484-RA, Mcavernosa09487-RA, Mcavernosa09485-RA, Mcavernosa09486-RA
OG0001709	Montipora_capitata_PredGene_adi2mcaRNA29720_R0.t1	Mcavernosa16954-RA
OG0001710	Montipora_capitata_PredGene_adi2mcaRNA829_R1.t1	Mcavernosa05523-RA, Mcavernosa05526-RA
OG0001710	Montipora_capitata_PredGene_g43438.t1	Mcavernosa05524-RA
OG0001712	Montipora_capitata_PredGene_g33184.t1	Mcavernosa05269-RA
OG0001712	Montipora_capitata_PredGene_g39042.t1	Mcavernosa27887-RA
OG0001714	Montipora_capitata_PredGene_g36705.t1, Montipora_capitata_PredGene_g36706.t1	Mcavernosa16212-RA, Mcavernosa16201-RA
OG0001715	Montipora_capitata_PredGene_g48830.t1, Montipora_capitata_PredGene_g17132.t1	Mcavernosa20959-RA
OG0001717	Montipora_capitata_PredGene_g47468.t1	Mcavernosa35102-RA, Mcavernosa16611-RA, Mcavernosa33082-RA
OG0001717	Montipora_capitata_PredGene_g47467.t1	Mcavernosa16612-RA
OG0001718	Montipora_capitata_PredGene_g65805.t1	Mcavernosa14317-RA
OG0001718	Montipora_capitata_PredGene_g11973.t1	Mcavernosa14318-RA
OG0001720	Montipora_capitata_PredGene_g58554.t1	Mcavernosa16391-RA
OG0001723	Montipora_capitata_PredGene_adi2mcaRNA32207_R1.t1	Mcavernosa14869-RA
OG0001723	Montipora_capitata_PredGene_g34465.t1	Mcavernosa14866-RA
OG0001729	Montipora_capitata_PredGene_g32120.t1	Mcavernosa25934-RA
OG0001730	Montipora_capitata_PredGene_g1809.t1	Mcavernosa06159-RA
OG0001730	Montipora_capitata_PredGene_g1813.t1, Montipora_capitata_PredGene_adi2mcaRNA12904_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA12904_R6.t1	Mcavernosa34160-RA, Mcavernosa29280-RA, Mcavernosa06160-RA
OG0001732	Montipora_capitata_PredGene_g58601.t1	Mcavernosa00861-RA, Mcavernosa32509-RA, Mcavernosa00863-RA, Mcavernosa26125-RA
OG0001733	Montipora_capitata_PredGene_adi2mcaRNA7037_R2.t1, Montipora_capitata_PredGene_g26573.t1	Mcavernosa10265-RA
OG0001734	Montipora_capitata_PredGene_g43404.t1	Mcavernosa24623-RA
OG0001735	Montipora_capitata_PredGene_adi2mcaRNA6492_R0.t1	Mcavernosa19591-RA, Mcavernosa19596-RA, Mcavernosa10616-RA, Mcavernosa19592-RA
OG0001736	Montipora_capitata_PredGene_g50763.t1	Mcavernosa00978-RA
OG0001738	Montipora_capitata_PredGene_g60803.t1	Mcavernosa24151-RA
OG0001740	Montipora_capitata_PredGene_g64119.t1, Montipora_capitata_PredGene_g47932.t1, Montipora_capitata_PredGene_g30819.t1	Mcavernosa07093-RA
OG0001740	Montipora_capitata_PredGene_g50040.t1, Montipora_capitata_PredGene_g38925.t1	Mcavernosa32423-RA
OG0001741	Montipora_capitata_PredGene_adi2mcaRNA32067_R0.t1	Mcavernosa14929-RA, Mcavernosa14952-RA, Mcavernosa14955-RA, Mcavernosa17094-RA
OG0001742	Montipora_capitata_PredGene_g37350.t1	Mcavernosa23506-RA, Mcavernosa09922-RA, Mcavernosa32813-RA, Mcavernosa09923-RA
OG0001744	Montipora_capitata_PredGene_adi2mcaRNA4380_R0.t1	Mcavernosa17497-RA, Mcavernosa17498-RA, Mcavernosa17496-RA
OG0001745	Montipora_capitata_PredGene_adi2mcaRNA3939_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA3939_R2.t1	Mcavernosa29849-RA
OG0001747	Montipora_capitata_PredGene_g17438.t1	Mcavernosa17408-RA, Mcavernosa17413-RA, Mcavernosa17409-RA, Mcavernosa03803-RA, Mcavernosa13744-RA
OG0001748	Montipora_capitata_PredGene_g43658.t1	Mcavernosa17480-RA, Mcavernosa17484-RA, Mcavernosa17485-RA, Mcavernosa17489-RA
OG0001749	Montipora_capitata_PredGene_g17360.t1	Mcavernosa29207-RA
OG0001749	Montipora_capitata_PredGene_g34067.t1, Montipora_capitata_PredGene_g54105.t1	Mcavernosa02848-RA
OG0001750	Montipora_capitata_PredGene_adi2mcaRNA21443_R0.t1	Mcavernosa21343-RA
OG0001750	Montipora_capitata_PredGene_g34694.t1	Mcavernosa03437-RA
OG0001751	Montipora_capitata_PredGene_g34561.t1	Mcavernosa33710-RA, Mcavernosa01730-RA, Mcavernosa26035-RA
OG0001753	Montipora_capitata_PredGene_g45834.t1	Mcavernosa07425-RA, Mcavernosa28672-RA, Mcavernosa15297-RA
OG0001753	Montipora_capitata_PredGene_g68577.t1, Montipora_capitata_PredGene_g5241.t1, Montipora_capitata_PredGene_g56926.t1	Mcavernosa02521-RA
OG0001754	Montipora_capitata_PredGene_g32416.t1, Montipora_capitata_PredGene_g32415.t1, Montipora_capitata_PredGene_adi2mcaRNA19615_R0.t1	Mcavernosa29900-RA, Mcavernosa32878-RA, Mcavernosa29911-RA
OG0001755	Montipora_capitata_PredGene_g55366.t1	Mcavernosa06629-RA
OG0001755	Montipora_capitata_PredGene_g55367.t1	Mcavernosa06625-RA
OG0001756	Montipora_capitata_PredGene_adi2mcaRNA14852_R0.t1	Mcavernosa14290-RA
OG0001757	Montipora_capitata_PredGene_g35499.t1	Mcavernosa08016-RA, Mcavernosa08015-RA
OG0001758	Montipora_capitata_PredGene_g20868.t1, Montipora_capitata_PredGene_g11983.t1, Montipora_capitata_PredGene_g68489.t1, Montipora_capitata_PredGene_adi2mcaRNA38535_R9.t1, Montipora_capitata_PredGene_g1578.t1, Montipora_capitata_PredGene_g61020.t1, Montipora_capitata_PredGene_g51969.t1, Montipora_capitata_PredGene_g421.t1	Mcavernosa04964-RA, Mcavernosa34795-RA
OG0001759	Montipora_capitata_PredGene_g26226.t1	Mcavernosa11931-RA
OG0001760	Montipora_capitata_PredGene_g50368.t1, Montipora_capitata_PredGene_g20412.t1, Montipora_capitata_PredGene_g25954.t1	Mcavernosa17494-RA, Mcavernosa17492-RA
OG0001761	Montipora_capitata_PredGene_g39974.t1, Montipora_capitata_PredGene_g39968.t1, Montipora_capitata_PredGene_g39973.t1	Mcavernosa15260-RA
OG0001762	Montipora_capitata_PredGene_g70377.t1	Mcavernosa13176-RA, Mcavernosa28919-RA
OG0001763	Montipora_capitata_PredGene_adi2mcaRNA30622_R1.t1	Mcavernosa06316-RA
OG0001764	Montipora_capitata_PredGene_g11461.t1, Montipora_capitata_PredGene_adi2mcaRNA18779_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA18779_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA18779_R3.t1	Mcavernosa05188-RA
OG0001765	Montipora_capitata_PredGene_adi2mcaRNA17522_R0.t1	Mcavernosa25690-RA
OG0001766	Montipora_capitata_PredGene_adi2mcaRNA34168_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA34168_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA34167_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA34168_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA34166_R6.t1, Montipora_capitata_PredGene_g37273.t1	Mcavernosa03493-RA
OG0001769	Montipora_capitata_PredGene_g47463.t1	Mcavernosa03586-RA
OG0001770	Montipora_capitata_PredGene_adi2mcaRNA28306_R0.t1	Mcavernosa29950-RA
OG0001771	Montipora_capitata_PredGene_g29587.t1, Montipora_capitata_PredGene_g53154.t1, Montipora_capitata_PredGene_g53152.t1, Montipora_capitata_PredGene_g53153.t1, Montipora_capitata_PredGene_g1855.t1, Montipora_capitata_PredGene_adi2mcaRNA5381_R7.t1, Montipora_capitata_PredGene_g1858.t1, Montipora_capitata_PredGene_g13544.t1, Montipora_capitata_PredGene_g53156.t1, Montipora_capitata_PredGene_g1860.t1	Mcavernosa03628-RA
OG0001772	Montipora_capitata_PredGene_adi2mcaRNA25672_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA25672_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA25672_R1.t1	Mcavernosa04436-RA, Mcavernosa30538-RA, Mcavernosa06979-RA
OG0001773	Montipora_capitata_PredGene_g61468.t1	Mcavernosa30095-RA
OG0001774	Montipora_capitata_PredGene_g50783.t1	Mcavernosa25693-RA
OG0001775	Montipora_capitata_PredGene_g56958.t1	Mcavernosa09185-RA
OG0001776	Montipora_capitata_PredGene_g56998.t1	Mcavernosa14916-RA
OG0001777	Montipora_capitata_PredGene_g29144.t1, Montipora_capitata_PredGene_g29147.t1, Montipora_capitata_PredGene_g29143.t1, Montipora_capitata_PredGene_g29146.t1, Montipora_capitata_PredGene_g45384.t1	Mcavernosa29150-RA, Mcavernosa19512-RA
OG0001778	Montipora_capitata_PredGene_g13694.t1, Montipora_capitata_PredGene_g13695.t1	Mcavernosa17268-RA, Mcavernosa17267-RA
OG0001779	Montipora_capitata_PredGene_g37349.t1	Mcavernosa23508-RA, Mcavernosa28925-RA
OG0001780	Montipora_capitata_PredGene_adi2mcaRNA17556_R0.t1	Mcavernosa27133-RA, Mcavernosa02223-RA, Mcavernosa27134-RA, Mcavernosa34848-RA, Mcavernosa34849-RA
OG0001781	Montipora_capitata_PredGene_adi2mcaRNA17564_R0.t1	Mcavernosa02225-RA
OG0001781	Montipora_capitata_PredGene_g38520.t1	Mcavernosa29341-RA
OG0001782	Montipora_capitata_PredGene_g50398.t1	Mcavernosa32226-RA, Mcavernosa32225-RA, Mcavernosa32224-RA
OG0001785	Montipora_capitata_PredGene_g68164.t1	Mcavernosa01839-RA, Mcavernosa01664-RA
OG0001786	Montipora_capitata_PredGene_g26437.t1	Mcavernosa30986-RA
OG0001787	Montipora_capitata_PredGene_g48012.t1, Montipora_capitata_PredGene_g48014.t1, Montipora_capitata_PredGene_g32075.t1, Montipora_capitata_PredGene_adi2mcaRNA16501_R5.t1	Mcavernosa27925-RA
OG0001788	Montipora_capitata_PredGene_g46218.t1	Mcavernosa22302-RA
OG0001789	Montipora_capitata_PredGene_adi2mcaRNA24325_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA24325_R3.t1	Mcavernosa23097-RA, Mcavernosa12177-RA
OG0001790	Montipora_capitata_PredGene_g31882.t1	Mcavernosa00198-RA, Mcavernosa30444-RA
OG0001791	Montipora_capitata_PredGene_g60061.t1	Mcavernosa02204-RA, Mcavernosa02205-RA
OG0001792	Montipora_capitata_PredGene_g53221.t1	Mcavernosa29154-RA
OG0001793	Montipora_capitata_PredGene_g22347.t1	Mcavernosa06364-RA, Mcavernosa27753-RA, Mcavernosa06366-RA, Mcavernosa27755-RA
OG0001795	Montipora_capitata_PredGene_g54275.t1	Mcavernosa27406-RA, Mcavernosa18880-RA, Mcavernosa18881-RA
OG0001798	Montipora_capitata_PredGene_g68828.t1	Mcavernosa14269-RA, Mcavernosa14267-RA
OG0001799	Montipora_capitata_PredGene_adi2mcaRNA17534_R2.t1, Montipora_capitata_PredGene_g40041.t1	Mcavernosa18445-RA
OG0001800	Montipora_capitata_PredGene_g56234.t1	Mcavernosa09149-RA
OG0001800	Montipora_capitata_PredGene_g30596.t1, Montipora_capitata_PredGene_g30601.t1	Mcavernosa09144-RA
OG0001802	Montipora_capitata_PredGene_g36433.t1, Montipora_capitata_PredGene_g56396.t1, Montipora_capitata_PredGene_g18145.t1	Mcavernosa24479-RA, Mcavernosa24478-RA
OG0001804	Montipora_capitata_PredGene_g1656.t1, Montipora_capitata_PredGene_adi2mcaRNA3033_R0.t1	Mcavernosa02247-RA
OG0001807	Montipora_capitata_PredGene_g52784.t1, Montipora_capitata_PredGene_g8563.t1, Montipora_capitata_PredGene_g8565.t1	Mcavernosa11982-RA, Mcavernosa11981-RA, Mcavernosa28072-RA, Mcavernosa11979-RA, Mcavernosa34158-RA, Mcavernosa11980-RA
OG0001808	Montipora_capitata_PredGene_g23174.t1	Mcavernosa07192-RA, Mcavernosa07194-RA
OG0001809	Montipora_capitata_PredGene_adi2mcaRNA3152_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA3152_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA3152_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA40408_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA3152_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA3152_R1.t1, Montipora_capitata_PredGene_g46828.t1, Montipora_capitata_PredGene_g37146.t1	Mcavernosa08790-RA
OG0001810	Montipora_capitata_PredGene_g67824.t1	Mcavernosa14121-RA, Mcavernosa14118-RA
OG0001811	Montipora_capitata_PredGene_g51696.t1	Mcavernosa26431-RA, Mcavernosa33878-RA, Mcavernosa10582-RA, Mcavernosa10586-RA, Mcavernosa24262-RA, Mcavernosa33881-RA
OG0001812	Montipora_capitata_PredGene_g58645.t1	Mcavernosa12533-RA, Mcavernosa29169-RA, Mcavernosa32841-RA
OG0001813	Montipora_capitata_PredGene_g3778.t1	Mcavernosa14466-RA
OG0001813	Montipora_capitata_PredGene_g16855.t1	Mcavernosa14467-RA
OG0001814	Montipora_capitata_PredGene_g7945.t1, Montipora_capitata_PredGene_g7946.t1	Mcavernosa22008-RA
OG0001815	Montipora_capitata_PredGene_g25275.t1	Mcavernosa12957-RA, Mcavernosa23327-RA, Mcavernosa33403-RA, Mcavernosa07781-RA
OG0001817	Montipora_capitata_PredGene_g67627.t1, Montipora_capitata_PredGene_g67624.t1	Mcavernosa04688-RA
OG0001818	Montipora_capitata_PredGene_g64958.t1, Montipora_capitata_PredGene_g36247.t1	Mcavernosa03185-RA, Mcavernosa30594-RA, Mcavernosa34130-RA, Mcavernosa18023-RA
OG0001819	Montipora_capitata_PredGene_g49190.t1	Mcavernosa20169-RA
OG0001819	Montipora_capitata_PredGene_adi2mcaRNA41271_R5.t1	Mcavernosa20872-RA
OG0001819	Montipora_capitata_PredGene_adi2mcaRNA13350_R5.t1, Montipora_capitata_PredGene_g24693.t1	Mcavernosa34270-RA
OG0001827	Montipora_capitata_PredGene_g11864.t1, Montipora_capitata_PredGene_g11858.t1, Montipora_capitata_PredGene_g11860.t1	Mcavernosa10635-RA
OG0001829	Montipora_capitata_PredGene_g44991.t1, Montipora_capitata_PredGene_g71380.t1, Montipora_capitata_PredGene_g71381.t1	Mcavernosa02629-RA, Mcavernosa02627-RA
OG0001832	Montipora_capitata_PredGene_g41246.t1	Mcavernosa06601-RA, Mcavernosa06606-RA, Mcavernosa06602-RA, Mcavernosa06600-RA
OG0001833	Montipora_capitata_PredGene_g15972.t1, Montipora_capitata_PredGene_g6677.t1	Mcavernosa33294-RA, Mcavernosa27801-RA
OG0001833	Montipora_capitata_PredGene_g44420.t1	Mcavernosa23300-RA
OG0001834	Montipora_capitata_PredGene_g69556.t1, Montipora_capitata_PredGene_g13285.t1, Montipora_capitata_PredGene_g8726.t1	Mcavernosa23977-RA, Mcavernosa17774-RA, Mcavernosa18565-RA, Mcavernosa23976-RA
OG0001838	Montipora_capitata_PredGene_g48750.t1, Montipora_capitata_PredGene_g48748.t1	Mcavernosa29536-RA, Mcavernosa29533-RA
OG0001840	Montipora_capitata_PredGene_g66644.t1	Mcavernosa18305-RA, Mcavernosa32936-RA, Mcavernosa27064-RA, Mcavernosa25404-RA, Mcavernosa27070-RA, Mcavernosa33606-RA, Mcavernosa27066-RA, Mcavernosa02830-RA
OG0001841	Montipora_capitata_PredGene_g49256.t1, Montipora_capitata_PredGene_g10148.t1, Montipora_capitata_PredGene_g65627.t1, Montipora_capitata_PredGene_g11714.t1, Montipora_capitata_PredGene_g23784.t1, Montipora_capitata_PredGene_g56507.t1, Montipora_capitata_PredGene_g41098.t1, Montipora_capitata_PredGene_g64746.t1, Montipora_capitata_PredGene_g21840.t1, Montipora_capitata_PredGene_g54703.t1, Montipora_capitata_PredGene_g53686.t1, Montipora_capitata_PredGene_g28783.t1	Mcavernosa02822-RA, Mcavernosa27234-RA, Mcavernosa06674-RA
OG0001842	Montipora_capitata_PredGene_g49985.t1, Montipora_capitata_PredGene_g42960.t1, Montipora_capitata_PredGene_g58725.t1	Mcavernosa17386-RA
OG0001843	Montipora_capitata_PredGene_g69391.t1, Montipora_capitata_PredGene_g21107.t1, Montipora_capitata_PredGene_g21108.t1	Mcavernosa31202-RA
OG0001854	Montipora_capitata_PredGene_g65426.t1, Montipora_capitata_PredGene_adi2mcaRNA28281_R4.t1	Mcavernosa04884-RA
OG0001855	Montipora_capitata_PredGene_g14112.t1, Montipora_capitata_PredGene_g14109.t1, Montipora_capitata_PredGene_g14110.t1	Mcavernosa18891-RA, Mcavernosa25471-RA
OG0001856	Montipora_capitata_PredGene_g47223.t1	Mcavernosa33462-RA
OG0001856	Montipora_capitata_PredGene_adi2mcaRNA3193_R1.t1	Mcavernosa18915-RA
OG0001859	Montipora_capitata_PredGene_g36024.t1	Mcavernosa11156-RA, Mcavernosa20924-RA
