Orthogroup	Montipora_capitata_HIv2.genes.pep	GCF_002042975.1_ofav_dov_v1_protein
OG0000558	Montipora_capitata_PredGene_g45079.t1	XP_020609882.1, XP_020609883.1
OG0000559	Montipora_capitata_PredGene_g61882.t1, Montipora_capitata_PredGene_g31497.t1, Montipora_capitata_PredGene_g57591.t1, Montipora_capitata_PredGene_g69950.t1	XP_020602570.1
OG0000560	Montipora_capitata_PredGene_g16135.t1, Montipora_capitata_PredGene_g68531.t1, Montipora_capitata_PredGene_g70845.t1	XP_020602287.1
OG0000561	Montipora_capitata_PredGene_adi2mcaRNA31057_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA31057_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA31057_R5.t1, Montipora_capitata_PredGene_g37085.t1, Montipora_capitata_PredGene_g37089.t1, Montipora_capitata_PredGene_adi2mcaRNA31057_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA13789_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA33343_R8.t1, Montipora_capitata_PredGene_g13644.t1	XP_020612999.1, XP_020612998.1, XP_020612996.1
OG0000564	Montipora_capitata_PredGene_g47901.t1	XP_020602604.1
OG0000566	Montipora_capitata_PredGene_adi2mcaRNA10829_R2.t1	XP_020610032.1
OG0000566	Montipora_capitata_PredGene_g10398.t1, Montipora_capitata_PredGene_adi2mcaRNA35430_R2.t1	XP_020605388.1, XP_020605387.1, XP_020605386.1
OG0000568	Montipora_capitata_PredGene_adi2mcaRNA22120_R8.t1	XP_020601432.1, XP_020605306.1
OG0000570	Montipora_capitata_PredGene_g65623.t1, Montipora_capitata_PredGene_g50203.t1	XP_020629493.1
OG0000571	Montipora_capitata_PredGene_g17592.t1, Montipora_capitata_PredGene_g255.t1, Montipora_capitata_PredGene_g5350.t1, Montipora_capitata_PredGene_g15423.t1	XP_020624982.1
OG0000572	Montipora_capitata_PredGene_g53176.t1, Montipora_capitata_PredGene_g53168.t1	XP_020622278.1
OG0000573	Montipora_capitata_PredGene_g25955.t1, Montipora_capitata_PredGene_g48534.t1	XP_020628366.1
OG0000573	Montipora_capitata_PredGene_g48532.t1	XP_020628358.1
OG0000575	Montipora_capitata_PredGene_adi2mcaRNA37566_R0.t1	XP_020631858.1, XP_020610329.1, XP_020610330.1, XP_020610344.1, XP_020610347.1, XP_020617104.1
OG0000576	Montipora_capitata_PredGene_g9911.t1, Montipora_capitata_PredGene_adi2mcaRNA18057_R7.t1	XP_020628492.1, XP_020628493.1
OG0000578	Montipora_capitata_PredGene_adi2mcaRNA6498_R1.t1, Montipora_capitata_PredGene_g31032.t1	XP_020602547.1, XP_020602509.1, XP_020602548.1, XP_020602546.1, XP_020602544.1, XP_020605025.1, XP_020602575.1, XP_020602576.1, XP_020602577.1
OG0000579	Montipora_capitata_PredGene_g69589.t1, Montipora_capitata_PredGene_adi2mcaRNA7845_R8.t1, Montipora_capitata_PredGene_g7421.t1, Montipora_capitata_PredGene_g27078.t1, Montipora_capitata_PredGene_g7422.t1, Montipora_capitata_PredGene_g27077.t1, Montipora_capitata_PredGene_g53377.t1	XP_020622684.1, XP_020632305.1
OG0000580	Montipora_capitata_PredGene_g40332.t1	XP_020612714.1
OG0000580	Montipora_capitata_PredGene_adi2mcaRNA11102_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA11102_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA11102_R1.t1	XP_020606468.1, XP_020627729.1, XP_020619081.1, XP_020619082.1
OG0000581	Montipora_capitata_PredGene_g27758.t1	XP_020609133.1
OG0000582	Montipora_capitata_PredGene_g67464.t1, Montipora_capitata_PredGene_g11148.t1, Montipora_capitata_PredGene_adi2mcaRNA11393_R1.t1	XP_020604284.1, XP_020604285.1, XP_020622146.1
OG0000583	Montipora_capitata_PredGene_g64167.t1, Montipora_capitata_PredGene_g46827.t1, Montipora_capitata_PredGene_g34726.t1, Montipora_capitata_PredGene_g66724.t1, Montipora_capitata_PredGene_g44754.t1, Montipora_capitata_PredGene_g58805.t1, Montipora_capitata_PredGene_g62330.t1, Montipora_capitata_PredGene_g41926.t1, Montipora_capitata_PredGene_g34715.t1, Montipora_capitata_PredGene_adi2mcaRNA3154_R6.t1, Montipora_capitata_PredGene_g14068.t1, Montipora_capitata_PredGene_g71382.t1, Montipora_capitata_PredGene_g5709.t1, Montipora_capitata_PredGene_g51271.t1, Montipora_capitata_PredGene_g7965.t1, Montipora_capitata_PredGene_g64153.t1, Montipora_capitata_PredGene_g25448.t1, Montipora_capitata_PredGene_g65401.t1, Montipora_capitata_PredGene_g46826.t1, Montipora_capitata_PredGene_g34727.t1, Montipora_capitata_PredGene_g64168.t1, Montipora_capitata_PredGene_adi2mcaRNA3154_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA3154_R9.t1, Montipora_capitata_PredGene_g67720.t1	XP_020619587.1
OG0000584	Montipora_capitata_PredGene_g29719.t1, Montipora_capitata_PredGene_g29718.t1, Montipora_capitata_PredGene_g29720.t1, Montipora_capitata_PredGene_g29707.t1	XP_020603346.1
OG0000585	Montipora_capitata_PredGene_adi2mcaRNA30877_R9.t1	XP_020626859.1
OG0000586	Montipora_capitata_PredGene_g24757.t1	XP_020611956.1
OG0000588	Montipora_capitata_PredGene_g26670.t1	XP_020613292.1
OG0000588	Montipora_capitata_PredGene_g50347.t1	XP_020630242.1
OG0000589	Montipora_capitata_PredGene_adi2mcaRNA10907_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA10907_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA10907_R0.t1, Montipora_capitata_PredGene_g42959.t1, Montipora_capitata_PredGene_g1047.t1, Montipora_capitata_PredGene_g5919.t1, Montipora_capitata_PredGene_g60478.t1, Montipora_capitata_PredGene_g68570.t1, Montipora_capitata_PredGene_g54852.t1, Montipora_capitata_PredGene_g59866.t1, Montipora_capitata_PredGene_g59863.t1, Montipora_capitata_PredGene_g59827.t1, Montipora_capitata_PredGene_g18419.t1, Montipora_capitata_PredGene_g69907.t1, Montipora_capitata_PredGene_g11923.t1, Montipora_capitata_PredGene_g890.t1, Montipora_capitata_PredGene_g22649.t1, Montipora_capitata_PredGene_g57571.t1, Montipora_capitata_PredGene_adi2mcaRNA39407_R0.t1	XP_020616843.1
OG0000591	Montipora_capitata_PredGene_g32669.t1, Montipora_capitata_PredGene_adi2mcaRNA13576_R6.t1	XP_020612168.1
OG0000591	Montipora_capitata_PredGene_g62516.t1	XP_020626983.1, XP_020610691.1
OG0000591	Montipora_capitata_PredGene_adi2mcaRNA22930_R8.t1, Montipora_capitata_PredGene_g44004.t1, Montipora_capitata_PredGene_g56656.t1, Montipora_capitata_PredGene_adi2mcaRNA6996_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA6996_R4.t1, Montipora_capitata_PredGene_g62515.t1	XP_020612167.1
OG0000594	Montipora_capitata_PredGene_g62251.t1, Montipora_capitata_PredGene_adi2mcaRNA23649_R5.t1, Montipora_capitata_PredGene_g45098.t1, Montipora_capitata_PredGene_g42496.t1	XP_020623189.1
OG0000596	Montipora_capitata_PredGene_adi2mcaRNA8186_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA8186_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA27422_R6.t1	XP_020610742.1
OG0000598	Montipora_capitata_PredGene_g21974.t1, Montipora_capitata_PredGene_g25351.t1, Montipora_capitata_PredGene_g41507.t1, Montipora_capitata_PredGene_g23272.t1, Montipora_capitata_PredGene_g62076.t1, Montipora_capitata_PredGene_g53939.t1, Montipora_capitata_PredGene_g42011.t1, Montipora_capitata_PredGene_g53915.t1, Montipora_capitata_PredGene_g53929.t1, Montipora_capitata_PredGene_g11389.t1, Montipora_capitata_PredGene_g19845.t1, Montipora_capitata_PredGene_g66446.t1, Montipora_capitata_PredGene_g12266.t1, Montipora_capitata_PredGene_g51226.t1, Montipora_capitata_PredGene_g61903.t1, Montipora_capitata_PredGene_g3524.t1, Montipora_capitata_PredGene_g37428.t1	XP_020617513.1
OG0000599	Montipora_capitata_PredGene_g70181.t1	XP_020621684.1
OG0000600	Montipora_capitata_PredGene_adi2mcaRNA35779_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA35779_R6.t1	XP_020622256.1
OG0000601	Montipora_capitata_PredGene_g6423.t1, Montipora_capitata_PredGene_g53203.t1, Montipora_capitata_PredGene_g11127.t1, Montipora_capitata_PredGene_g5062.t1, Montipora_capitata_PredGene_g53726.t1	XP_020624463.1
OG0000601	Montipora_capitata_PredGene_g50235.t1	XP_020622266.1
OG0000602	Montipora_capitata_PredGene_g2894.t1, Montipora_capitata_PredGene_g2882.t1, Montipora_capitata_PredGene_g48744.t1	XP_020601647.1
OG0000603	Montipora_capitata_PredGene_g8737.t1, Montipora_capitata_PredGene_adi2mcaRNA2895_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA30312_R1.t1, Montipora_capitata_PredGene_g70533.t1, Montipora_capitata_PredGene_g679.t1, Montipora_capitata_PredGene_g43976.t1, Montipora_capitata_PredGene_g11460.t1, Montipora_capitata_PredGene_g67862.t1, Montipora_capitata_PredGene_g48498.t1, Montipora_capitata_PredGene_adi2mcaRNA33335_R1.t1, Montipora_capitata_PredGene_g40017.t1, Montipora_capitata_PredGene_adi2mcaRNA33335_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA33335_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA33335_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA33335_R6.t1, Montipora_capitata_PredGene_g43105.t1, Montipora_capitata_PredGene_g4752.t1, Montipora_capitata_PredGene_adi2mcaRNA33335_R3.t1	XP_020609606.1
OG0000605	Montipora_capitata_PredGene_adi2mcaRNA8365_R0.t1	XP_020610693.1
OG0000605	Montipora_capitata_PredGene_g56863.t1, Montipora_capitata_PredGene_adi2mcaRNA26127_R2.t1, Montipora_capitata_PredGene_g56865.t1, Montipora_capitata_PredGene_g32706.t1, Montipora_capitata_PredGene_adi2mcaRNA26123_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA26123_R5.t1, Montipora_capitata_PredGene_g44071.t1	XP_020610690.1
OG0000606	Montipora_capitata_PredGene_adi2mcaRNA40003_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA40003_R2.t1, Montipora_capitata_PredGene_g49823.t1, Montipora_capitata_PredGene_adi2mcaRNA40003_R6.t1, Montipora_capitata_PredGene_g43102.t1, Montipora_capitata_PredGene_g40803.t1, Montipora_capitata_PredGene_g63523.t1, Montipora_capitata_PredGene_g68136.t1, Montipora_capitata_PredGene_adi2mcaRNA3474_R2.t1, Montipora_capitata_PredGene_g14025.t1	XP_020614243.1
OG0000607	Montipora_capitata_PredGene_g35517.t1	XP_020630649.1
OG0000607	Montipora_capitata_PredGene_g35516.t1	XP_020630650.1
OG0000607	Montipora_capitata_PredGene_g35515.t1	XP_020630652.1, XP_020630651.1
OG0000607	Montipora_capitata_PredGene_g27120.t1	XP_020601459.1
OG0000607	Montipora_capitata_PredGene_g27122.t1	XP_020601460.1
OG0000608	Montipora_capitata_PredGene_g29918.t1, Montipora_capitata_PredGene_g3556.t1	XP_020624051.1, XP_020622621.1, XP_020622625.1
OG0000609	Montipora_capitata_PredGene_g33610.t1	XP_020601196.1, XP_020627411.1, XP_020627412.1, XP_020601194.1
OG0000610	Montipora_capitata_PredGene_g48148.t1	XP_020621582.1
OG0000610	Montipora_capitata_PredGene_adi2mcaRNA19016_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA19016_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA19016_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA19016_R4.t1	XP_020604769.1, XP_020604768.1
OG0000612	Montipora_capitata_PredGene_g52831.t1	XP_020614684.1, XP_020614685.1, XP_020614760.1, XP_020614758.1, XP_020614757.1, XP_020614759.1, XP_020614756.1, XP_020614761.1, XP_020614548.1, XP_020614686.1
OG0000613	Montipora_capitata_PredGene_g31460.t1	XP_020632303.1
OG0000615	Montipora_capitata_PredGene_g51936.t1, Montipora_capitata_PredGene_adi2mcaRNA20962_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA24577_R5.t1, Montipora_capitata_PredGene_g51935.t1, Montipora_capitata_PredGene_g51940.t1, Montipora_capitata_PredGene_g51941.t1, Montipora_capitata_PredGene_g51934.t1	XP_020604790.1, XP_020602125.1, XP_020620000.1, XP_020620003.1, XP_020604746.1
OG0000617	Montipora_capitata_PredGene_g3347.t1, Montipora_capitata_PredGene_g33473.t1, Montipora_capitata_PredGene_g3364.t1	XP_020628166.1
OG0000618	Montipora_capitata_PredGene_g48797.t1, Montipora_capitata_PredGene_g17802.t1, Montipora_capitata_PredGene_g66496.t1, Montipora_capitata_PredGene_adi2mcaRNA31194_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA31194_R3.t1, Montipora_capitata_PredGene_g17691.t1	XP_020622725.1
OG0000619	Montipora_capitata_PredGene_g53420.t1	XP_020630655.1, XP_020630657.1, XP_020630656.1
OG0000620	Montipora_capitata_PredGene_g4302.t1, Montipora_capitata_PredGene_g8443.t1, Montipora_capitata_PredGene_adi2mcaRNA22067_R6.t1, Montipora_capitata_PredGene_g41278.t1, Montipora_capitata_PredGene_g28136.t1, Montipora_capitata_PredGene_g60096.t1, Montipora_capitata_PredGene_g59398.t1, Montipora_capitata_PredGene_g29088.t1, Montipora_capitata_PredGene_g52918.t1, Montipora_capitata_PredGene_g48734.t1, Montipora_capitata_PredGene_g26596.t1, Montipora_capitata_PredGene_g47117.t1, Montipora_capitata_PredGene_g6141.t1, Montipora_capitata_PredGene_g49451.t1, Montipora_capitata_PredGene_g12617.t1, Montipora_capitata_PredGene_g32612.t1, Montipora_capitata_PredGene_g37869.t1, Montipora_capitata_PredGene_g22460.t1, Montipora_capitata_PredGene_g9418.t1, Montipora_capitata_PredGene_g38064.t1, Montipora_capitata_PredGene_g25612.t1	XP_020619127.1
OG0000621	Montipora_capitata_PredGene_g30595.t1, Montipora_capitata_PredGene_g30593.t1, Montipora_capitata_PredGene_g30600.t1	XP_020622141.1, XP_020622127.1, XP_020622133.1
OG0000623	Montipora_capitata_PredGene_g41797.t1	XP_020616363.1, XP_020622294.1, XP_020622345.1
OG0000623	Montipora_capitata_PredGene_g7085.t1, Montipora_capitata_PredGene_g21181.t1, Montipora_capitata_PredGene_g7089.t1, Montipora_capitata_PredGene_g21179.t1	XP_020605151.1
OG0000623	Montipora_capitata_PredGene_g53879.t1	XP_020608869.1, XP_020608868.1
OG0000624	Montipora_capitata_PredGene_g67640.t1, Montipora_capitata_PredGene_g67639.t1	XP_020608859.1, XP_020608861.1
OG0000625	Montipora_capitata_PredGene_adi2mcaRNA13346_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA13346_R0.t1	XP_020622554.1, XP_020622553.1
OG0000625	Montipora_capitata_PredGene_adi2mcaRNA6335_R3.t1, Montipora_capitata_PredGene_g37332.t1	XP_020608715.1
OG0000626	Montipora_capitata_PredGene_g44322.t1	XP_020600738.1
OG0000626	Montipora_capitata_PredGene_adi2mcaRNA25784_R0.t1	XP_020611076.1
OG0000626	Montipora_capitata_PredGene_adi2mcaRNA21822_R6.t1, Montipora_capitata_PredGene_g51456.t1, Montipora_capitata_PredGene_g31372.t1, Montipora_capitata_PredGene_g39492.t1	XP_020611093.1
OG0000627	Montipora_capitata_PredGene_g13013.t1	XP_020613020.1
OG0000628	Montipora_capitata_PredGene_g68325.t1, Montipora_capitata_PredGene_adi2mcaRNA30862_R0.t1, Montipora_capitata_PredGene_g68327.t1, Montipora_capitata_PredGene_adi2mcaRNA30862_R3.t1	XP_020614879.1, XP_020614812.1, XP_020614813.1, XP_020614814.1, XP_020614815.1, XP_020614822.1, XP_020614880.1, XP_020614877.1, XP_020614817.1
OG0000630	Montipora_capitata_PredGene_g27460.t1	XP_020617458.1, XP_020606463.1, XP_020606464.1
OG0000632	Montipora_capitata_PredGene_g25752.t1, Montipora_capitata_PredGene_g48497.t1, Montipora_capitata_PredGene_g6145.t1, Montipora_capitata_PredGene_adi2mcaRNA3707_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA3707_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA3707_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA3707_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA3707_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA3707_R1.t1, Montipora_capitata_PredGene_g28447.t1, Montipora_capitata_PredGene_g65205.t1, Montipora_capitata_PredGene_g31179.t1, Montipora_capitata_PredGene_adi2mcaRNA3707_R7.t1	XP_020629466.1
OG0000635	Montipora_capitata_PredGene_adi2mcaRNA36081_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA36081_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA36081_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA36081_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA36081_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA36081_R8.t1, Montipora_capitata_PredGene_g51972.t1, Montipora_capitata_PredGene_g35877.t1, Montipora_capitata_PredGene_g65910.t1, Montipora_capitata_PredGene_adi2mcaRNA35114_R0.t1, Montipora_capitata_PredGene_g36851.t1, Montipora_capitata_PredGene_g67765.t1, Montipora_capitata_PredGene_g44239.t1, Montipora_capitata_PredGene_adi2mcaRNA27416_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA39253_R1.t1	XP_020632792.1
OG0000637	Montipora_capitata_PredGene_adi2mcaRNA38316_R0.t1	XP_020619329.1
OG0000637	Montipora_capitata_PredGene_adi2mcaRNA38317_R0.t1	XP_020619336.1
OG0000637	Montipora_capitata_PredGene_adi2mcaRNA25351_R0.t1	XP_020607109.1
OG0000637	Montipora_capitata_PredGene_g15173.t1	XP_020614331.1
OG0000638	Montipora_capitata_PredGene_g11301.t1, Montipora_capitata_PredGene_adi2mcaRNA18811_R4.t1, Montipora_capitata_PredGene_g55664.t1, Montipora_capitata_PredGene_g61294.t1, Montipora_capitata_PredGene_g8667.t1, Montipora_capitata_PredGene_g8385.t1, Montipora_capitata_PredGene_g41705.t1, Montipora_capitata_PredGene_g5981.t1, Montipora_capitata_PredGene_g41706.t1, Montipora_capitata_PredGene_g25616.t1, Montipora_capitata_PredGene_g13457.t1, Montipora_capitata_PredGene_g60508.t1, Montipora_capitata_PredGene_g41446.t1, Montipora_capitata_PredGene_g13458.t1, Montipora_capitata_PredGene_g8670.t1, Montipora_capitata_PredGene_g41698.t1, Montipora_capitata_PredGene_g20298.t1	XP_020618403.1, XP_020624239.1, XP_020618547.1
OG0000640	Montipora_capitata_PredGene_g7004.t1	XP_020618519.1, XP_020604708.1
OG0000643	Montipora_capitata_PredGene_g62869.t1, Montipora_capitata_PredGene_adi2mcaRNA9384_R5.t1	XP_020610512.1
OG0000643	Montipora_capitata_PredGene_g14548.t1	XP_020627190.1, XP_020627191.1
OG0000643	Montipora_capitata_PredGene_g27244.t1	XP_020617255.1, XP_020617256.1, XP_020617254.1
OG0000643	Montipora_capitata_PredGene_adi2mcaRNA9382_R0.t1	XP_020617300.1
OG0000645	Montipora_capitata_PredGene_g61448.t1	XP_020606213.1
OG0000645	Montipora_capitata_PredGene_adi2mcaRNA39733_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA12256_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA12259_R5.t1, Montipora_capitata_PredGene_g62926.t1	XP_020626078.1, XP_020603345.1, XP_020600948.1
OG0000646	Montipora_capitata_PredGene_adi2mcaRNA38578_R2.t1	XP_020606630.1, XP_020606629.1
OG0000648	Montipora_capitata_PredGene_g10205.t1, Montipora_capitata_PredGene_g33709.t1	XP_020617535.1
OG0000648	Montipora_capitata_PredGene_g33145.t1, Montipora_capitata_PredGene_g23248.t1, Montipora_capitata_PredGene_g17610.t1, Montipora_capitata_PredGene_g14859.t1, Montipora_capitata_PredGene_g48466.t1, Montipora_capitata_PredGene_g44849.t1, Montipora_capitata_PredGene_g5214.t1, Montipora_capitata_PredGene_g3819.t1, Montipora_capitata_PredGene_g7410.t1, Montipora_capitata_PredGene_g22743.t1, Montipora_capitata_PredGene_g66898.t1, Montipora_capitata_PredGene_g5313.t1, Montipora_capitata_PredGene_g21509.t1, Montipora_capitata_PredGene_g29554.t1, Montipora_capitata_PredGene_g43986.t1	XP_020629490.1
OG0000649	Montipora_capitata_PredGene_g30489.t1	XP_020616858.1
OG0000649	Montipora_capitata_PredGene_g30481.t1, Montipora_capitata_PredGene_g30479.t1, Montipora_capitata_PredGene_g30488.t1, Montipora_capitata_PredGene_g30483.t1, Montipora_capitata_PredGene_g30486.t1, Montipora_capitata_PredGene_g30480.t1, Montipora_capitata_PredGene_g30487.t1, Montipora_capitata_PredGene_g30478.t1, Montipora_capitata_PredGene_g30477.t1	XP_020616889.1
OG0000650	Montipora_capitata_PredGene_g38770.t1	XP_020620120.1
OG0000650	Montipora_capitata_PredGene_g42008.t1, Montipora_capitata_PredGene_g42009.t1	XP_020632323.1, XP_020632322.1, XP_020632321.1, XP_020632320.1, XP_020632319.1, XP_020632318.1, XP_020632324.1
OG0000651	Montipora_capitata_PredGene_adi2mcaRNA28226_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA28226_R6.t1, Montipora_capitata_PredGene_g47515.t1, Montipora_capitata_PredGene_g20951.t1, Montipora_capitata_PredGene_g9021.t1, Montipora_capitata_PredGene_g40284.t1	XP_020615885.1
OG0000651	Montipora_capitata_PredGene_g41277.t1, Montipora_capitata_PredGene_g41269.t1	XP_020604101.1
OG0000652	Montipora_capitata_PredGene_adi2mcaRNA39563_R7.t1	XP_020624830.1
OG0000652	Montipora_capitata_PredGene_g57550.t1	XP_020616125.1
OG0000654	Montipora_capitata_PredGene_adi2mcaRNA7433_R1.t1	XP_020601468.1
OG0000655	Montipora_capitata_PredGene_g7949.t1	XP_020607861.1, XP_020607855.1, XP_020613187.1, XP_020613186.1, XP_020613176.1
OG0000657	Montipora_capitata_PredGene_g37266.t1, Montipora_capitata_PredGene_g65466.t1, Montipora_capitata_PredGene_g65457.t1, Montipora_capitata_PredGene_g18916.t1, Montipora_capitata_PredGene_g65461.t1, Montipora_capitata_PredGene_g13705.t1, Montipora_capitata_PredGene_g18915.t1, Montipora_capitata_PredGene_g18914.t1, Montipora_capitata_PredGene_adi2mcaRNA37040_R1.t1	XP_020611930.1
OG0000658	Montipora_capitata_PredGene_g2503.t1	XP_020619227.1, XP_020619225.1, XP_020619226.1, XP_020619230.1
OG0000659	Montipora_capitata_PredGene_adi2mcaRNA37269_R4.t1, Montipora_capitata_PredGene_g4554.t1	XP_020608720.1
OG0000659	Montipora_capitata_PredGene_g57458.t1, Montipora_capitata_PredGene_g52331.t1, Montipora_capitata_PredGene_g54720.t1, Montipora_capitata_PredGene_g14816.t1, Montipora_capitata_PredGene_g19216.t1, Montipora_capitata_PredGene_g65323.t1, Montipora_capitata_PredGene_g48917.t1	XP_020614061.1
OG0000661	Montipora_capitata_PredGene_g42633.t1, Montipora_capitata_PredGene_g2672.t1, Montipora_capitata_PredGene_g21579.t1, Montipora_capitata_PredGene_g38825.t1, Montipora_capitata_PredGene_g21578.t1, Montipora_capitata_PredGene_g42634.t1, Montipora_capitata_PredGene_g23127.t1	XP_020631357.1, XP_020623882.1, XP_020622986.1, XP_020622981.1
OG0000662	Montipora_capitata_PredGene_g14102.t1, Montipora_capitata_PredGene_g62308.t1, Montipora_capitata_PredGene_g64121.t1, Montipora_capitata_PredGene_g6131.t1, Montipora_capitata_PredGene_g35345.t1, Montipora_capitata_PredGene_g8683.t1, Montipora_capitata_PredGene_g36393.t1, Montipora_capitata_PredGene_g57494.t1, Montipora_capitata_PredGene_g57366.t1, Montipora_capitata_PredGene_g47730.t1, Montipora_capitata_PredGene_g59828.t1, Montipora_capitata_PredGene_g26502.t1, Montipora_capitata_PredGene_g14655.t1, Montipora_capitata_PredGene_g34952.t1, Montipora_capitata_PredGene_g65607.t1, Montipora_capitata_PredGene_g48051.t1, Montipora_capitata_PredGene_g51913.t1, Montipora_capitata_PredGene_g63960.t1	XP_020625490.1
OG0000663	Montipora_capitata_PredGene_g21335.t1	XP_020628090.1, XP_020628089.1, XP_020628231.1
OG0000664	Montipora_capitata_PredGene_g68954.t1, Montipora_capitata_PredGene_g17842.t1, Montipora_capitata_PredGene_g34806.t1, Montipora_capitata_PredGene_g56191.t1, Montipora_capitata_PredGene_adi2mcaRNA3480_R8.t1, Montipora_capitata_PredGene_g13131.t1, Montipora_capitata_PredGene_g14378.t1, Montipora_capitata_PredGene_g42418.t1, Montipora_capitata_PredGene_g44680.t1, Montipora_capitata_PredGene_g34059.t1, Montipora_capitata_PredGene_g28663.t1, Montipora_capitata_PredGene_g5612.t1, Montipora_capitata_PredGene_g60374.t1	XP_020619880.1
OG0000666	Montipora_capitata_PredGene_g39293.t1	XP_020625411.1
OG0000667	Montipora_capitata_PredGene_adi2mcaRNA39082_R3.t1, Montipora_capitata_PredGene_g36770.t1, Montipora_capitata_PredGene_adi2mcaRNA37249_R1.t1, Montipora_capitata_PredGene_g23587.t1, Montipora_capitata_PredGene_g47679.t1, Montipora_capitata_PredGene_g53740.t1, Montipora_capitata_PredGene_g4979.t1, Montipora_capitata_PredGene_g41516.t1, Montipora_capitata_PredGene_adi2mcaRNA40042_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA40042_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA40042_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA3708_R8.t1	XP_020617585.1
OG0000668	Montipora_capitata_PredGene_g7611.t1, Montipora_capitata_PredGene_g50425.t1, Montipora_capitata_PredGene_g5980.t1, Montipora_capitata_PredGene_g880.t1	XP_020609633.1
OG0000669	Montipora_capitata_PredGene_g62552.t1	XP_020614878.1, XP_020614882.1
OG0000670	Montipora_capitata_PredGene_g31212.t1, Montipora_capitata_PredGene_g29767.t1, Montipora_capitata_PredGene_g27294.t1, Montipora_capitata_PredGene_g39181.t1, Montipora_capitata_PredGene_g32370.t1, Montipora_capitata_PredGene_g28408.t1, Montipora_capitata_PredGene_g30485.t1, Montipora_capitata_PredGene_g35307.t1, Montipora_capitata_PredGene_g37651.t1, Montipora_capitata_PredGene_g8254.t1, Montipora_capitata_PredGene_g3749.t1, Montipora_capitata_PredGene_g32674.t1, Montipora_capitata_PredGene_g51204.t1, Montipora_capitata_PredGene_g32318.t1, Montipora_capitata_PredGene_g50661.t1, Montipora_capitata_PredGene_g29897.t1, Montipora_capitata_PredGene_g51894.t1, Montipora_capitata_PredGene_g3854.t1, Montipora_capitata_PredGene_g2799.t1	XP_020627708.1
OG0000672	Montipora_capitata_PredGene_g19381.t1, Montipora_capitata_PredGene_g15393.t1, Montipora_capitata_PredGene_g63371.t1, Montipora_capitata_PredGene_g15400.t1, Montipora_capitata_PredGene_g9247.t1, Montipora_capitata_PredGene_g4991.t1, Montipora_capitata_PredGene_g4985.t1, Montipora_capitata_PredGene_g65836.t1, Montipora_capitata_PredGene_g17496.t1, Montipora_capitata_PredGene_g4977.t1, Montipora_capitata_PredGene_adi2mcaRNA906_R0.t1, Montipora_capitata_PredGene_g4981.t1, Montipora_capitata_PredGene_g65837.t1, Montipora_capitata_PredGene_g4989.t1, Montipora_capitata_PredGene_g4994.t1, Montipora_capitata_PredGene_g4986.t1, Montipora_capitata_PredGene_g4992.t1, Montipora_capitata_PredGene_g4993.t1, Montipora_capitata_PredGene_g29825.t1	XP_020624622.1
OG0000674	Montipora_capitata_PredGene_adi2mcaRNA36783_R0.t1	XP_020629365.1, XP_020629366.1
