Orthogroup	Acerv_assembly_v1.0.protein	Mcavernosa.maker.proteins
OG0000461	Acerv_evm.model.Segkk1316_pilon.33	Mcavernosa04778-RA, Mcavernosa30279-RA
OG0000463	Acerv_evm.model.Segkk4128_pilon.5	Mcavernosa34014-RA
OG0000463	Acerv_evm.model.Segkk1003_pilon.49	Mcavernosa14583-RA
OG0000463	Acerv_evm.model.Segkk3136_pilon.18, Acerv_evm.model.Segkk389_pilon.45	Mcavernosa12065-RA
OG0000463	Acerv_evm.model.Segkk3706_pilon.5	Mcavernosa22913-RA
OG0000464	Acerv_evm.model.Segkk1235_pilon.8, Acerv_evm.model.Segkk503_pilon.4, Acerv_evm.model.Segkk1235_pilon.4, Acerv_evm.model.Segkk1235_pilon.5, Acerv_evm.model.Segkk3807_pilon.18	Mcavernosa13795-RA, Mcavernosa13797-RA, Mcavernosa13454-RA, Mcavernosa11387-RA, Mcavernosa16852-RA
OG0000468	Acerv_evm.model.Segkk1003_pilon.62, Acerv_evm.model.Segkk1478_pilon.31	Mcavernosa16490-RA
OG0000468	Acerv_evm.model.Segkk3350_pilon.1	Mcavernosa12578-RA
OG0000469	Acerv_evm.model.Segkk2397_pilon.5	Mcavernosa12004-RA
OG0000471	Acerv_evm.model.Segkk1225_pilon.3	Mcavernosa34030-RA, Mcavernosa22543-RA, Mcavernosa14047-RA, Mcavernosa14053-RA, Mcavernosa14048-RA, Mcavernosa14046-RA, Mcavernosa14045-RA
OG0000472	Acerv_evm.model.Segkk1469_pilon.5, Acerv_evm.model.Segkk1469_pilon.7	Mcavernosa14033-RA
OG0000472	Acerv_evm.model.Segkk1241_pilon.9	Mcavernosa22319-RA
OG0000472	Acerv_evm.model.Segkk3981_pilon.7	Mcavernosa04284-RA, Mcavernosa04288-RA, Mcavernosa04287-RA, Mcavernosa04289-RA
OG0000473	Acerv_evm.model.Segkk1290_pilon.39	Mcavernosa26644-RA, Mcavernosa29268-RA, Mcavernosa29267-RA, Mcavernosa12675-RA
OG0000475	Acerv_evm.model.Segkk1707_pilon.34, Acerv_evm.model.Segkk1707_pilon.30, Acerv_evm.model.Segkk3665_pilon.1, Acerv_evm.model.Segkk1707_pilon.32, Acerv_evm.model.Segkk3665_pilon.3, Acerv_evm.model.Segkk1707_pilon.27	Mcavernosa24205-RA
OG0000477	Acerv_evm.model.Segkk2117_pilon.13	Mcavernosa19748-RA, Mcavernosa05189-RA
OG0000477	Acerv_evm.model.Segkk4114_pilon.2	Mcavernosa00772-RA
OG0000480	Acerv_evm.model.Segkk3869_pilon.1	Mcavernosa00564-RA
OG0000481	Acerv_evm.model.Segkk3966_pilon.1	Mcavernosa07521-RA, Mcavernosa07536-RA
OG0000482	Acerv_evm.model.Segkk21_pilon.4, Acerv_evm.model.Segkk244_pilon.2, Acerv_evm.model.Segkk680_pilon.8, Acerv_evm.model.Segkk680_pilon.14, Acerv_evm.model.Segkk21_pilon.6, Acerv_evm.model.Segkk2468_pilon.37, Acerv_evm.model.Segkk3431_pilon.7, Acerv_evm.model.Segkk2767_pilon.1	Mcavernosa26804-RA, Mcavernosa31451-RA, Mcavernosa34125-RA, Mcavernosa27325-RA, Mcavernosa26802-RA
OG0000483	Acerv_evm.model.Segkk407_pilon.11	Mcavernosa11492-RA
OG0000484	Acerv_evm.model.Segkk815_pilon.2, Acerv_evm.model.Segkk1871_pilon.17, Acerv_evm.model.Segkk1693_pilon.3, Acerv_evm.model.Segkk117_pilon.14, Acerv_evm.model.Segkk2201_pilon.17, Acerv_evm.model.Segkk470_pilon.20	Mcavernosa32994-RA
OG0000484	Acerv_evm.model.Segkk117_pilon.15, Acerv_evm.model.Segkk4364_pilon.57	Mcavernosa29667-RA
OG0000485	Acerv_evm.model.Segkk2204_pilon.24, Acerv_evm.model.Segkk4028_pilon.22, Acerv_evm.model.Segkk581_pilon.54, Acerv_evm.model.Segkk2722_pilon.39, Acerv_evm.model.Segkk1003_pilon.81, Acerv_evm.model.Segkk2758_pilon.9, Acerv_evm.model.Segkk721_pilon.10, Acerv_evm.model.Segkk721_pilon.11, Acerv_evm.model.Segkk3233_pilon.45, Acerv_evm.model.Segkk2904_pilon.3, Acerv_evm.model.Segkk177_pilon.3, Acerv_evm.model.Segkk1849_pilon.3, Acerv_evm.model.Segkk903_pilon.1, Acerv_evm.model.Segkk3233_pilon.43, Acerv_evm.model.Segkk4138_pilon.12, Acerv_evm.model.Segkk3778_pilon.1, Acerv_evm.model.Segkk4009_pilon.6, Acerv_evm.model.Segkk2711_pilon.1, Acerv_evm.model.Segkk301_pilon.37, Acerv_evm.model.Segkk4131_pilon.1, Acerv_evm.model.Segkk616_pilon.14, Acerv_evm.model.Segkk2334_pilon.16, Acerv_evm.model.Segkk950_pilon.4	Mcavernosa27460-RA, Mcavernosa10463-RA
OG0000486	Acerv_evm.model.Segkk192_pilon.1, Acerv_evm.model.Segkk4267_pilon.15, Acerv_evm.model.Segkk2763_pilon.3, Acerv_evm.model.Segkk3233_pilon.55, Acerv_evm.model.Segkk2763_pilon.12, Acerv_evm.model.Segkk273_pilon.4, Acerv_evm.model.Segkk273_pilon.3, Acerv_evm.model.Segkk2306_pilon.20	Mcavernosa29258-RA, Mcavernosa29257-RA, Mcavernosa29259-RA, Mcavernosa34205-RA, Mcavernosa00665-RA, Mcavernosa35117-RA, Mcavernosa31045-RA
OG0000487	Acerv_evm.model.Segkk338_pilon.10	Mcavernosa12041-RA
OG0000487	Acerv_evm.model.Segkk666_pilon.9	Mcavernosa03796-RA
OG0000488	Acerv_evm.model.Segkk4374_pilon.3	Mcavernosa15501-RA
OG0000489	Acerv_evm.model.Segkk469_pilon.50, Acerv_evm.model.Segkk2755_pilon.2	Mcavernosa26921-RA
OG0000491	Acerv_evm.model.Segkk3463_pilon.1, Acerv_evm.model.Segkk514_pilon.3, Acerv_evm.model.Segkk1753_pilon.2	Mcavernosa26157-RA
OG0000492	Acerv_evm.model.Segkk3345_pilon.14, Acerv_evm.model.Segkk4072_pilon.1, Acerv_evm.model.Segkk2621_pilon.1, Acerv_evm.model.Segkk4072_pilon.4, Acerv_evm.model.Segkk515_pilon.2, Acerv_evm.model.Segkk515_pilon.8, Acerv_evm.model.Segkk515_pilon.9, Acerv_evm.model.Segkk515_pilon.10, Acerv_evm.model.Segkk515_pilon.11, Acerv_evm.model.Segkk515_pilon.6, Acerv_evm.model.Segkk515_pilon.12, Acerv_evm.model.Segkk515_pilon.13, Acerv_evm.model.Segkk4072_pilon.2, Acerv_evm.model.Segkk3797_pilon.1, Acerv_evm.model.Segkk515_pilon.4, Acerv_evm.model.Segkk515_pilon.1	Mcavernosa18020-RA, Mcavernosa18019-RA
OG0000494	Acerv_evm.model.Segkk4195_pilon.17	Mcavernosa10797-RA, Mcavernosa19809-RA
OG0000495	Acerv_evm.model.Segkk650_pilon.3	Mcavernosa19267-RA
OG0000496	Acerv_evm.model.Segkk2119_pilon.1, Acerv_evm.model.Segkk1882_pilon.5, Acerv_evm.model.Segkk4256_pilon.16, Acerv_evm.model.Segkk671_pilon.14, Acerv_evm.model.Segkk1316_pilon.4, Acerv_evm.model.Segkk721_pilon.9, Acerv_evm.model.Segkk3518_pilon.53, Acerv_evm.model.Segkk4087_pilon.8, Acerv_evm.model.Segkk2477_pilon.9	Mcavernosa10666-RA, Mcavernosa09961-RA
OG0000497	Acerv_evm.model.Segkk730_pilon.8, Acerv_evm.model.Segkk2863_pilon.5, Acerv_evm.model.Segkk730_pilon.7, Acerv_evm.model.Segkk730_pilon.6, Acerv_evm.model.Segkk3421_pilon.2, Acerv_evm.model.Segkk730_pilon.1	Mcavernosa07889-RA, Mcavernosa17574-RA, Mcavernosa17577-RA, Mcavernosa17572-RA, Mcavernosa17568-RA
OG0000498	Acerv_evm.model.Segkk838_pilon.5	Mcavernosa33466-RA, Mcavernosa29175-RA, Mcavernosa06561-RA, Mcavernosa06562-RA, Mcavernosa30290-RA, Mcavernosa33957-RA, Mcavernosa30291-RA, Mcavernosa33465-RA, Mcavernosa06560-RA, Mcavernosa06555-RA
OG0000499	Acerv_evm.model.Segkk1600_pilon.6	Mcavernosa35178-RA, Mcavernosa13345-RA, Mcavernosa19777-RA, Mcavernosa07117-RA, Mcavernosa24951-RA, Mcavernosa07116-RA
OG0000500	Acerv_evm.model.Segkk1501_pilon.8, Acerv_evm.model.Segkk1501_pilon.7, Acerv_evm.model.Segkk1079_pilon.2, Acerv_evm.model.Segkk1501_pilon.10, Acerv_evm.model.Segkk3423_pilon.14	Mcavernosa31627-RA
OG0000500	Acerv_evm.model.Segkk1501_pilon.6	Mcavernosa31628-RA
OG0000502	Acerv_evm.model.Segkk1868_pilon.6	Mcavernosa30488-RA, Mcavernosa33520-RA
OG0000502	Acerv_evm.model.Segkk1662_pilon.4, Acerv_evm.model.Segkk4263_pilon.4, Acerv_evm.model.Segkk3485_pilon.9	Mcavernosa20531-RA
OG0000503	Acerv_evm.model.Segkk2791_pilon.2, Acerv_evm.model.Segkk3643_pilon.34, Acerv_evm.model.Segkk3363_pilon.6, Acerv_evm.model.Segkk1955_pilon.5, Acerv_evm.model.Segkk3363_pilon.11, Acerv_evm.model.Segkk1955_pilon.3, Acerv_evm.model.Segkk3363_pilon.8	Mcavernosa12422-RA
OG0000506	Acerv_evm.model.Segkk3520_pilon.15, Acerv_evm.model.Segkk2195_pilon.52, Acerv_evm.model.Segkk2195_pilon.51, Acerv_evm.model.Segkk2195_pilon.2	Mcavernosa25951-RA
OG0000508	Acerv_evm.model.Segkk3229_pilon.2	Mcavernosa26636-RA, Mcavernosa17680-RA, Mcavernosa02106-RA, Mcavernosa17681-RA, Mcavernosa27248-RA
OG0000509	Acerv_evm.model.Segkk3778_pilon.7	Mcavernosa33440-RA, Mcavernosa25731-RA, Mcavernosa01305-RA
OG0000513	Acerv_evm.model.Segkk37_pilon.2, Acerv_evm.model.Segkk37_pilon.1, Acerv_evm.model.Segkk1651_pilon.2	Mcavernosa25983-RA, Mcavernosa19428-RA
OG0000513	Acerv_evm.model.Segkk4002_pilon.5, Acerv_evm.model.Segkk1193_pilon.4	Mcavernosa11875-RA
OG0000515	Acerv_evm.model.Segkk190_pilon.6	Mcavernosa07368-RA
OG0000516	Acerv_evm.model.Segkk3325_pilon.48, Acerv_evm.model.Segkk83_pilon.2	Mcavernosa25973-RA, Mcavernosa25966-RA, Mcavernosa25967-RA
OG0000517	Acerv_evm.model.Segkk105_pilon.14	Mcavernosa21157-RA
OG0000518	Acerv_evm.model.Segkk208_pilon.15, Acerv_evm.model.Segkk3864_pilon.6, Acerv_evm.model.Segkk735_pilon.43, Acerv_evm.model.Segkk564_pilon.3, Acerv_evm.model.Segkk873_pilon.36	Mcavernosa00291-RA, Mcavernosa02264-RA
OG0000518	Acerv_evm.model.Segkk3864_pilon.7	Mcavernosa02263-RA, Mcavernosa00290-RA
OG0000519	Acerv_evm.model.Segkk2611_pilon.11	Mcavernosa34836-RA
OG0000522	Acerv_evm.model.Segkk3049_pilon.3, Acerv_evm.model.Segkk2350_pilon.9, Acerv_evm.model.Segkk1173_pilon.2	Mcavernosa15172-RA, Mcavernosa16584-RA
OG0000522	Acerv_evm.model.Segkk294_pilon.2	Mcavernosa15171-RA, Mcavernosa32257-RA, Mcavernosa16583-RA
OG0000522	Acerv_evm.model.Segkk294_pilon.3	Mcavernosa10966-RA
OG0000524	Acerv_evm.model.Segkk327_pilon.5, Acerv_evm.model.Segkk3668_pilon.10, Acerv_evm.model.Segkk2279_pilon.1, Acerv_evm.model.Segkk1017_pilon.2, Acerv_evm.model.Segkk2507_pilon.14	Mcavernosa16469-RA, Mcavernosa09507-RA, Mcavernosa22984-RA, Mcavernosa00994-RA
OG0000525	Acerv_evm.model.Segkk4079_pilon.3, Acerv_evm.model.Segkk4079_pilon.1	Mcavernosa16630-RA
OG0000525	Acerv_evm.model.Segkk2610_pilon.1	Mcavernosa19457-RA
OG0000525	Acerv_evm.model.Segkk432_pilon.1	Mcavernosa34167-RA, Mcavernosa19456-RA
OG0000526	Acerv_evm.model.Segkk2029_pilon.2, Acerv_evm.model.Segkk444_pilon.3, Acerv_evm.model.Segkk2776_pilon.2, Acerv_evm.model.Segkk1707_pilon.36, Acerv_evm.model.Segkk3900_pilon.14	Mcavernosa05763-RA, Mcavernosa32147-RA
OG0000527	Acerv_evm.model.Segkk471_pilon.13	Mcavernosa19752-RA, Mcavernosa19762-RA, Mcavernosa24306-RA
OG0000528	Acerv_evm.model.Segkk3233_pilon.51, Acerv_evm.model.Segkk1946_pilon.47, Acerv_evm.model.Segkk2404_pilon.1, Acerv_evm.model.Segkk3057_pilon.37, Acerv_evm.model.Segkk1946_pilon.14, Acerv_evm.model.Segkk1946_pilon.12, Acerv_evm.model.Segkk3063_pilon.18, Acerv_evm.model.Segkk1158_pilon.52, Acerv_evm.model.Segkk477_pilon.12, Acerv_evm.model.Segkk4100_pilon.5, Acerv_evm.model.Segkk1513_pilon.6, Acerv_evm.model.Segkk2212_pilon.2	Mcavernosa10808-RA
OG0000529	Acerv_evm.model.Segkk2643_pilon.1, Acerv_evm.model.Segkk4138_pilon.18, Acerv_evm.model.Segkk3727_pilon.5, Acerv_evm.model.Segkk1280_pilon.3, Acerv_evm.model.Segkk1752_pilon.3, Acerv_evm.model.Segkk1003_pilon.3, Acerv_evm.model.Segkk548_pilon.16	Mcavernosa05773-RA
OG0000530	Acerv_evm.model.Segkk2421_pilon.1	Mcavernosa34056-RA, Mcavernosa20160-RA
OG0000531	Acerv_evm.model.Segkk643_pilon.14, Acerv_evm.model.Segkk656_pilon.2, Acerv_evm.model.Segkk4255_pilon.7, Acerv_evm.model.Segkk2361_pilon.2, Acerv_evm.model.Segkk896_pilon.1, Acerv_evm.model.Segkk4332_pilon.12, Acerv_evm.model.Segkk3213_pilon.11, Acerv_evm.model.Segkk3061_pilon.6	Mcavernosa29066-RA, Mcavernosa13684-RA, Mcavernosa34162-RA, Mcavernosa13687-RA, Mcavernosa19445-RA, Mcavernosa28701-RA, Mcavernosa12956-RA, Mcavernosa27636-RA, Mcavernosa18638-RA, Mcavernosa06385-RA, Mcavernosa35163-RA, Mcavernosa11952-RA
OG0000536	Acerv_evm.model.Segkk910_pilon.3, Acerv_evm.model.Segkk1960_pilon.10, Acerv_evm.model.Segkk910_pilon.5	Mcavernosa28861-RA
OG0000536	Acerv_evm.model.Segkk1960_pilon.9	Mcavernosa32906-RA
OG0000541	Acerv_evm.model.Segkk1934_pilon.1, Acerv_evm.model.Segkk2262_pilon.19, Acerv_evm.model.Segkk2356_pilon.12	Mcavernosa05992-RA
OG0000542	Acerv_evm.model.Segkk2883_pilon.5	Mcavernosa05236-RA, Mcavernosa05235-RA
OG0000543	Acerv_evm.model.Segkk2261_pilon.6, Acerv_evm.model.Segkk2261_pilon.5	Mcavernosa03868-RA
OG0000544	Acerv_evm.model.Segkk3198_pilon.5, Acerv_evm.model.Segkk3935_pilon.26, Acerv_evm.model.Segkk3675_pilon.11	Mcavernosa32400-RA
OG0000544	Acerv_evm.model.Segkk2582_pilon.4	Mcavernosa12256-RA, Mcavernosa04615-RA
OG0000546	Acerv_evm.model.Segkk3937_pilon.22	Mcavernosa03543-RA, Mcavernosa03545-RA, Mcavernosa03541-RA, Mcavernosa03542-RA, Mcavernosa20444-RA
OG0000547	Acerv_evm.model.Segkk4048_pilon.22, Acerv_evm.model.Segkk4292_pilon.1	Mcavernosa25863-RA
OG0000548	Acerv_evm.model.Segkk4090_pilon.3	Mcavernosa12434-RA, Mcavernosa12436-RA, Mcavernosa12435-RA
OG0000552	Acerv_evm.model.Segkk657_pilon.1, Acerv_evm.model.Segkk16_pilon.18, Acerv_evm.model.Segkk1451_pilon.62, Acerv_evm.model.Segkk3019_pilon.3, Acerv_evm.model.Segkk3764_pilon.11, Acerv_evm.model.Segkk2976_pilon.4	Mcavernosa34208-RA, Mcavernosa24239-RA, Mcavernosa21319-RA, Mcavernosa09903-RA, Mcavernosa06082-RA, Mcavernosa04978-RA, Mcavernosa29292-RA
OG0000552	Acerv_evm.model.Segkk2204_pilon.13	Mcavernosa30352-RA
OG0000554	Acerv_evm.model.Segkk4001_pilon.4	Mcavernosa19805-RA
OG0000556	Acerv_evm.model.Segkk1288_pilon.6	Mcavernosa00724-RA, Mcavernosa00722-RA
OG0000556	Acerv_evm.model.Segkk2873_pilon.1	Mcavernosa01293-RA, Mcavernosa01295-RA
OG0000556	Acerv_evm.model.Segkk4084_pilon.5	Mcavernosa16475-RA
OG0000557	Acerv_evm.model.Segkk1351_pilon.2, Acerv_evm.model.Segkk241_pilon.1, Acerv_evm.model.Segkk3127_pilon.4, Acerv_evm.model.Segkk2970_pilon.1, Acerv_evm.model.Segkk3127_pilon.5, Acerv_evm.model.Segkk242_pilon.7, Acerv_evm.model.Segkk2970_pilon.4, Acerv_evm.model.Segkk1351_pilon.3, Acerv_evm.model.Segkk2970_pilon.7, Acerv_evm.model.Segkk1351_pilon.4, Acerv_evm.model.Segkk3069_pilon.1, Acerv_evm.model.Segkk242_pilon.3	Mcavernosa35199-RA
OG0000558	Acerv_evm.model.Segkk2614_pilon.14	Mcavernosa01981-RA
OG0000558	Acerv_evm.model.Segkk906_pilon.8, Acerv_evm.model.Segkk906_pilon.9	Mcavernosa08730-RA
OG0000559	Acerv_evm.model.Segkk1266_pilon.12	Mcavernosa34032-RA, Mcavernosa08282-RA
OG0000560	Acerv_evm.model.Segkk2741_pilon.15, Acerv_evm.model.Segkk4308_pilon.10	Mcavernosa30107-RA
OG0000563	Acerv_evm.model.Segkk934_pilon.13, Acerv_evm.model.Segkk1870_pilon.3, Acerv_evm.model.Segkk3229_pilon.1, Acerv_evm.model.Segkk1870_pilon.7, Acerv_evm.model.Segkk1625_pilon.1, Acerv_evm.model.Segkk593_pilon.1, Acerv_evm.model.Segkk1639_pilon.1, Acerv_evm.model.Segkk1639_pilon.2, Acerv_evm.model.Segkk673_pilon.2	Mcavernosa26975-RA
OG0000564	Acerv_evm.model.Segkk616_pilon.2, Acerv_evm.model.Segkk4039_pilon.13, Acerv_evm.model.Segkk702_pilon.5, Acerv_evm.model.Segkk3633_pilon.28, Acerv_evm.model.Segkk656_pilon.8, Acerv_evm.model.Segkk3218_pilon.1	Mcavernosa02245-RA, Mcavernosa32232-RA
OG0000565	Acerv_evm.model.Segkk1346_pilon.4, Acerv_evm.model.Segkk1859_pilon.2, Acerv_evm.model.Segkk3859_pilon.3	Mcavernosa30578-RA
OG0000565	Acerv_evm.model.Segkk661_pilon.2	Mcavernosa08165-RA
OG0000570	Acerv_evm.model.Segkk971_pilon.33, Acerv_evm.model.Segkk3860_pilon.6	Mcavernosa19217-RA, Mcavernosa33362-RA
OG0000572	Acerv_evm.model.Segkk2219_pilon.29	Mcavernosa03369-RA, Mcavernosa34990-RA
OG0000573	Acerv_evm.model.Segkk1650_pilon.2	Mcavernosa09635-RA, Mcavernosa09638-RA, Mcavernosa09637-RA
OG0000573	Acerv_evm.model.Segkk3187_pilon.2	Mcavernosa05862-RA
OG0000574	Acerv_evm.model.Segkk2995_pilon.3, Acerv_evm.model.Segkk2335_pilon.17	Mcavernosa26639-RA
OG0000575	Acerv_evm.model.Segkk2938_pilon.12	Mcavernosa16755-RA
OG0000576	Acerv_evm.model.Segkk2632_pilon.14, Acerv_evm.model.Segkk2632_pilon.16, Acerv_evm.model.Segkk2632_pilon.11	Mcavernosa26498-RA, Mcavernosa10954-RA, Mcavernosa10958-RA, Mcavernosa26494-RA
OG0000578	Acerv_evm.model.Segkk3006_pilon.5, Acerv_evm.model.Segkk3006_pilon.4	Mcavernosa30382-RA, Mcavernosa17901-RA
OG0000579	Acerv_evm.model.Segkk3845_pilon.25, Acerv_evm.model.Segkk3054_pilon.1, Acerv_evm.model.Segkk3845_pilon.26, Acerv_evm.model.Segkk3054_pilon.2	Mcavernosa16066-RA, Mcavernosa34097-RA, Mcavernosa26944-RA, Mcavernosa25745-RA, Mcavernosa03692-RA, Mcavernosa34209-RA, Mcavernosa11424-RA, Mcavernosa26946-RA, Mcavernosa16070-RA, Mcavernosa16071-RA, Mcavernosa26945-RA, Mcavernosa25746-RA, Mcavernosa34099-RA, Mcavernosa34098-RA
OG0000580	Acerv_evm.model.Segkk3306_pilon.16	Mcavernosa04120-RA
OG0000581	Acerv_evm.model.Segkk3713_pilon.2	Mcavernosa25600-RA
OG0000582	Acerv_evm.model.Segkk3965_pilon.2, Acerv_evm.model.Segkk3965_pilon.7, Acerv_evm.model.Segkk3965_pilon.1	Mcavernosa12391-RA, Mcavernosa12393-RA, Mcavernosa34579-RA
OG0000583	Acerv_evm.model.Segkk4124_pilon.20	Mcavernosa08785-RA
OG0000588	Acerv_evm.model.Segkk4323_pilon.3, Acerv_evm.model.Segkk1868_pilon.36	Mcavernosa00304-RA
OG0000588	Acerv_evm.model.Segkk993_pilon.71, Acerv_evm.model.Segkk2510_pilon.5	Mcavernosa00300-RA
OG0000588	Acerv_evm.model.Segkk1312_pilon.1	Mcavernosa33283-RA
OG0000589	Acerv_evm.model.Segkk451_pilon.6	Mcavernosa31372-RA
OG0000591	Acerv_evm.model.Segkk1172_pilon.9	Mcavernosa23279-RA, Mcavernosa05852-RA, Mcavernosa34161-RA, Mcavernosa03695-RA
OG0000591	Acerv_evm.model.Segkk971_pilon.49, Acerv_evm.model.Segkk2113_pilon.10, Acerv_evm.model.Segkk2853_pilon.3, Acerv_evm.model.Segkk451_pilon.1, Acerv_evm.model.Segkk117_pilon.10, Acerv_evm.model.Segkk4121_pilon.10, Acerv_evm.model.Segkk2061_pilon.17, Acerv_evm.model.Segkk319_pilon.17	Mcavernosa23278-RA
OG0000594	Acerv_evm.model.Segkk2056_pilon.55, Acerv_evm.model.Segkk290_pilon.6, Acerv_evm.model.Segkk290_pilon.5, Acerv_evm.model.Segkk3210_pilon.10, Acerv_evm.model.Segkk1726_pilon.3, Acerv_evm.model.Segkk1400_pilon.17, Acerv_evm.model.Segkk2582_pilon.3	Mcavernosa27040-RA
OG0000596	Acerv_evm.model.Segkk2512_pilon.4, Acerv_evm.model.Segkk873_pilon.2, Acerv_evm.model.Segkk1932_pilon.26, Acerv_evm.model.Segkk392_pilon.1, Acerv_evm.model.Segkk3126_pilon.1, Acerv_evm.model.Segkk1684_pilon.1, Acerv_evm.model.Segkk1729_pilon.1, Acerv_evm.model.Segkk1932_pilon.25, Acerv_evm.model.Segkk2533_pilon.5, Acerv_evm.model.Segkk873_pilon.16, Acerv_evm.model.Segkk2078_pilon.1	Mcavernosa29582-RA
OG0000597	Acerv_evm.model.Segkk4256_pilon.8	Mcavernosa32345-RA
OG0000601	Acerv_evm.model.Segkk3050_pilon.23	Mcavernosa08437-RA
OG0000602	Acerv_evm.model.Segkk3935_pilon.8	Mcavernosa17452-RA
OG0000602	Acerv_evm.model.Segkk643_pilon.19	Mcavernosa28536-RA, Mcavernosa30388-RA, Mcavernosa23023-RA
OG0000603	Acerv_evm.model.Segkk650_pilon.34, Acerv_evm.model.Segkk1280_pilon.15, Acerv_evm.model.Segkk649_pilon.6, Acerv_evm.model.Segkk1280_pilon.16, Acerv_evm.model.Segkk971_pilon.12, Acerv_evm.model.Segkk4028_pilon.42, Acerv_evm.model.Segkk3122_pilon.14	Mcavernosa28499-RA
OG0000605	Acerv_evm.model.Segkk908_pilon.21, Acerv_evm.model.Segkk2182_pilon.10, Acerv_evm.model.Segkk2182_pilon.11	Mcavernosa01481-RA
OG0000607	Acerv_evm.model.Segkk3700_pilon.10	Mcavernosa08350-RA
OG0000607	Acerv_evm.model.Segkk1276_pilon.8	Mcavernosa10444-RA
OG0000607	Acerv_evm.model.Segkk1276_pilon.9	Mcavernosa34640-RA
OG0000609	Acerv_evm.model.Segkk1639_pilon.6	Mcavernosa14559-RA, Mcavernosa30386-RA, Mcavernosa14536-RA, Mcavernosa14541-RA, Mcavernosa06851-RA, Mcavernosa14560-RA, Mcavernosa02513-RA, Mcavernosa14542-RA, Mcavernosa30385-RA, Mcavernosa14539-RA
OG0000610	Acerv_evm.model.Segkk3776_pilon.4	Mcavernosa08747-RA, Mcavernosa12873-RA
OG0000611	Acerv_evm.model.Segkk1868_pilon.37	Mcavernosa17902-RA
OG0000611	Acerv_evm.model.Segkk3564_pilon.1	Mcavernosa00303-RA
OG0000612	Acerv_evm.model.Segkk1936_pilon.11	Mcavernosa06092-RA, Mcavernosa06098-RA, Mcavernosa06099-RA, Mcavernosa06094-RA, Mcavernosa06093-RA
OG0000613	Acerv_evm.model.Segkk2115_pilon.1	Mcavernosa05359-RA, Mcavernosa05357-RA
OG0000614	Acerv_evm.model.Segkk2195_pilon.53	Mcavernosa09593-RA
OG0000619	Acerv_evm.model.Segkk3541_pilon.1, Acerv_evm.model.Segkk3490_pilon.1	Mcavernosa01720-RA, Mcavernosa01721-RA
OG0000620	Acerv_evm.model.Segkk3238_pilon.17	Mcavernosa28673-RA
OG0000623	Acerv_evm.model.Segkk2219_pilon.40	Mcavernosa01011-RA
OG0000623	Acerv_evm.model.Segkk126_pilon.9, Acerv_evm.model.Segkk126_pilon.18, Acerv_evm.model.Segkk126_pilon.12, Acerv_evm.model.Segkk126_pilon.20	Mcavernosa13890-RA, Mcavernosa13892-RA
OG0000625	Acerv_evm.model.Segkk2264_pilon.2	Mcavernosa05789-RA, Mcavernosa22083-RA, Mcavernosa24765-RA
OG0000630	Acerv_evm.model.Segkk1889_pilon.3, Acerv_evm.model.Segkk3179_pilon.31	Mcavernosa24855-RA, Mcavernosa04176-RA
OG0000631	Acerv_evm.model.Segkk2320_pilon.4, Acerv_evm.model.Segkk385_pilon.6	Mcavernosa34432-RA, Mcavernosa32903-RA, Mcavernosa32902-RA, Mcavernosa00559-RA, Mcavernosa20168-RA, Mcavernosa00558-RA, Mcavernosa00003-RA
OG0000633	Acerv_evm.model.Segkk2130_pilon.2, Acerv_evm.model.Segkk478_pilon.1, Acerv_evm.model.Segkk4056_pilon.1, Acerv_evm.model.Segkk2130_pilon.5	Mcavernosa21284-RA, Mcavernosa21283-RA
OG0000635	Acerv_evm.model.Segkk1934_pilon.2, Acerv_evm.model.Segkk2262_pilon.18, Acerv_evm.model.Segkk2356_pilon.13	Mcavernosa05990-RA, Mcavernosa34582-RA
OG0000635	Acerv_evm.model.Segkk2262_pilon.17	Mcavernosa32867-RA
OG0000636	Acerv_evm.model.Segkk575_pilon.6	Mcavernosa07288-RA
OG0000636	Acerv_evm.model.Segkk3957_pilon.17	Mcavernosa10399-RA, Mcavernosa23142-RA
OG0000637	Acerv_evm.model.Segkk2351_pilon.16	Mcavernosa18672-RA
OG0000637	Acerv_evm.model.Segkk4290_pilon.11	Mcavernosa21796-RA
OG0000639	Acerv_evm.model.Segkk3940_pilon.34, Acerv_evm.model.Segkk721_pilon.22, Acerv_evm.model.Segkk881_pilon.4, Acerv_evm.model.Segkk4201_pilon.6, Acerv_evm.model.Segkk1728_pilon.22	Mcavernosa11649-RA
OG0000641	Acerv_evm.model.Segkk2039_pilon.2, Acerv_evm.model.Segkk2626_pilon.2, Acerv_evm.model.Segkk3656_pilon.1	Mcavernosa30504-RA
OG0000643	Acerv_evm.model.Segkk1209_pilon.5	Mcavernosa06186-RA
OG0000644	Acerv_evm.model.Segkk2209_pilon.8	Mcavernosa27545-RA, Mcavernosa29935-RA, Mcavernosa14590-RA, Mcavernosa04772-RA
OG0000647	Acerv_evm.model.Segkk1349_pilon.1	Mcavernosa13582-RA
OG0000649	Acerv_evm.model.Segkk1777_pilon.39	Mcavernosa04200-RA
OG0000649	Acerv_evm.model.Segkk1777_pilon.38, Acerv_evm.model.Segkk1777_pilon.37, Acerv_evm.model.Segkk1777_pilon.36	Mcavernosa04199-RA
