Orthogroup	Mcavernosa.maker.proteins	Montipora_capitata_HIv2.genes.pep
OG0000286	Mcavernosa20482-RA, Mcavernosa10891-RA, Mcavernosa24267-RA	Montipora_capitata_PredGene_g25285.t1, Montipora_capitata_PredGene_g25283.t1, Montipora_capitata_PredGene_g25282.t1, Montipora_capitata_PredGene_g25281.t1, Montipora_capitata_PredGene_adi2mcaRNA25980_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA25982_R9.t1, Montipora_capitata_PredGene_g27493.t1
OG0000287	Mcavernosa29219-RA	Montipora_capitata_PredGene_g64787.t1, Montipora_capitata_PredGene_g66847.t1
OG0000288	Mcavernosa04729-RA	Montipora_capitata_PredGene_g53069.t1, Montipora_capitata_PredGene_g23163.t1, Montipora_capitata_PredGene_g55419.t1, Montipora_capitata_PredGene_g24749.t1, Montipora_capitata_PredGene_g45127.t1, Montipora_capitata_PredGene_g70790.t1
OG0000288	Mcavernosa34219-RA, Mcavernosa34082-RA, Mcavernosa32872-RA, Mcavernosa34925-RA, Mcavernosa30310-RA	Montipora_capitata_PredGene_g47315.t1, Montipora_capitata_PredGene_g1601.t1, Montipora_capitata_PredGene_g20597.t1
OG0000289	Mcavernosa34838-RA, Mcavernosa09381-RA	Montipora_capitata_PredGene_adi2mcaRNA35780_R8.t1, Montipora_capitata_PredGene_g52989.t1
OG0000290	Mcavernosa35072-RA, Mcavernosa34862-RA, Mcavernosa29211-RA, Mcavernosa21414-RA, Mcavernosa13551-RA, Mcavernosa28056-RA	Montipora_capitata_PredGene_g70515.t1, Montipora_capitata_PredGene_g70512.t1, Montipora_capitata_PredGene_g70514.t1
OG0000291	Mcavernosa34438-RA	Montipora_capitata_PredGene_adi2mcaRNA6978_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA6978_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA6978_R1.t1
OG0000291	Mcavernosa24125-RA	Montipora_capitata_PredGene_g2200.t1
OG0000292	Mcavernosa19223-RA	Montipora_capitata_PredGene_g52188.t1
OG0000292	Mcavernosa33853-RA, Mcavernosa17399-RA	Montipora_capitata_PredGene_adi2mcaRNA31710_R3.t1
OG0000294	Mcavernosa12732-RA	Montipora_capitata_PredGene_g1688.t1, Montipora_capitata_PredGene_g5026.t1
OG0000295	Mcavernosa11469-RA	Montipora_capitata_PredGene_g28503.t1, Montipora_capitata_PredGene_adi2mcaRNA37405_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA37405_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA37404_R0.t1, Montipora_capitata_PredGene_g69908.t1, Montipora_capitata_PredGene_g44655.t1, Montipora_capitata_PredGene_g12383.t1, Montipora_capitata_PredGene_adi2mcaRNA16044_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA36064_R3.t1, Montipora_capitata_PredGene_g69900.t1, Montipora_capitata_PredGene_g69909.t1
OG0000296	Mcavernosa23454-RA	Montipora_capitata_PredGene_g34233.t1, Montipora_capitata_PredGene_g68795.t1, Montipora_capitata_PredGene_g46782.t1, Montipora_capitata_PredGene_adi2mcaRNA38028_R6.t1, Montipora_capitata_PredGene_g1689.t1, Montipora_capitata_PredGene_g42144.t1, Montipora_capitata_PredGene_adi2mcaRNA12884_R1.t1, Montipora_capitata_PredGene_g11501.t1, Montipora_capitata_PredGene_g34293.t1, Montipora_capitata_PredGene_g8262.t1, Montipora_capitata_PredGene_g117.t1, Montipora_capitata_PredGene_g65229.t1, Montipora_capitata_PredGene_g62938.t1, Montipora_capitata_PredGene_g15016.t1
OG0000297	Mcavernosa22075-RA	Montipora_capitata_PredGene_g9905.t1, Montipora_capitata_PredGene_g52877.t1, Montipora_capitata_PredGene_g71557.t1, Montipora_capitata_PredGene_g44473.t1, Montipora_capitata_PredGene_g49036.t1, Montipora_capitata_PredGene_g17938.t1, Montipora_capitata_PredGene_g49380.t1
OG0000298	Mcavernosa29229-RA	Montipora_capitata_PredGene_adi2mcaRNA11423_R2.t1
OG0000298	Mcavernosa12243-RA	Montipora_capitata_PredGene_adi2mcaRNA11426_R5.t1, Montipora_capitata_PredGene_g24485.t1
OG0000298	Mcavernosa12246-RA	Montipora_capitata_PredGene_adi2mcaRNA5896_R5.t1
OG0000298	Mcavernosa12242-RA	Montipora_capitata_PredGene_g24489.t1
OG0000299	Mcavernosa28578-RA	Montipora_capitata_PredGene_g36215.t1, Montipora_capitata_PredGene_g21670.t1, Montipora_capitata_PredGene_g44173.t1, Montipora_capitata_PredGene_g30744.t1, Montipora_capitata_PredGene_g2167.t1, Montipora_capitata_PredGene_g18780.t1, Montipora_capitata_PredGene_g68917.t1, Montipora_capitata_PredGene_g58326.t1
OG0000300	Mcavernosa03408-RA	Montipora_capitata_PredGene_adi2mcaRNA8956_R5.t1
OG0000300	Mcavernosa27535-RA	Montipora_capitata_PredGene_g46539.t1, Montipora_capitata_PredGene_adi2mcaRNA23424_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA23424_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA23424_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA23424_R4.t1, Montipora_capitata_PredGene_g18779.t1, Montipora_capitata_PredGene_g65877.t1, Montipora_capitata_PredGene_g37949.t1, Montipora_capitata_PredGene_g41524.t1, Montipora_capitata_PredGene_g58171.t1, Montipora_capitata_PredGene_g39723.t1, Montipora_capitata_PredGene_g12245.t1, Montipora_capitata_PredGene_g45958.t1, Montipora_capitata_PredGene_g59150.t1, Montipora_capitata_PredGene_g25459.t1, Montipora_capitata_PredGene_g60236.t1, Montipora_capitata_PredGene_g27458.t1
OG0000303	Mcavernosa32901-RA	Montipora_capitata_PredGene_g1918.t1, Montipora_capitata_PredGene_g43114.t1, Montipora_capitata_PredGene_g31902.t1, Montipora_capitata_PredGene_g42249.t1, Montipora_capitata_PredGene_g48533.t1, Montipora_capitata_PredGene_g9205.t1, Montipora_capitata_PredGene_g26738.t1, Montipora_capitata_PredGene_g45376.t1, Montipora_capitata_PredGene_g34582.t1, Montipora_capitata_PredGene_g64535.t1, Montipora_capitata_PredGene_g17184.t1, Montipora_capitata_PredGene_g71587.t1, Montipora_capitata_PredGene_g66324.t1, Montipora_capitata_PredGene_g9384.t1
OG0000303	Mcavernosa26581-RA	Montipora_capitata_PredGene_g59269.t1, Montipora_capitata_PredGene_g35640.t1, Montipora_capitata_PredGene_g5645.t1, Montipora_capitata_PredGene_g1786.t1, Montipora_capitata_PredGene_g917.t1, Montipora_capitata_PredGene_g22110.t1, Montipora_capitata_PredGene_g12891.t1, Montipora_capitata_PredGene_g49284.t1, Montipora_capitata_PredGene_g63475.t1
OG0000304	Mcavernosa26331-RA	Montipora_capitata_PredGene_g39124.t1, Montipora_capitata_PredGene_g44509.t1
OG0000304	Mcavernosa28642-RA	Montipora_capitata_PredGene_adi2mcaRNA11115_R3.t1
OG0000304	Mcavernosa14162-RA	Montipora_capitata_PredGene_g54683.t1
OG0000305	Mcavernosa09680-RA	Montipora_capitata_PredGene_g65140.t1, Montipora_capitata_PredGene_g37155.t1, Montipora_capitata_PredGene_g27607.t1
OG0000306	Mcavernosa12421-RA	Montipora_capitata_PredGene_g42820.t1, Montipora_capitata_PredGene_g42818.t1, Montipora_capitata_PredGene_g42822.t1, Montipora_capitata_PredGene_adi2mcaRNA31173_R2.t1, Montipora_capitata_PredGene_g9459.t1, Montipora_capitata_PredGene_adi2mcaRNA31173_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA31173_R9.t1, Montipora_capitata_PredGene_g42812.t1
OG0000306	Mcavernosa12423-RA, Mcavernosa34293-RA, Mcavernosa34291-RA	Montipora_capitata_PredGene_g30136.t1
OG0000307	Mcavernosa34054-RA	Montipora_capitata_PredGene_adi2mcaRNA19209_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA19209_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA19209_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA19210_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA19210_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA19210_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA19210_R9.t1
OG0000307	Mcavernosa25866-RA	Montipora_capitata_PredGene_adi2mcaRNA19210_R5.t1
OG0000307	Mcavernosa20877-RA, Mcavernosa02637-RA, Mcavernosa18871-RA	Montipora_capitata_PredGene_g29080.t1, Montipora_capitata_PredGene_g54363.t1, Montipora_capitata_PredGene_g6204.t1, Montipora_capitata_PredGene_g39566.t1
OG0000310	Mcavernosa05887-RA	Montipora_capitata_PredGene_g2537.t1, Montipora_capitata_PredGene_g43057.t1
OG0000311	Mcavernosa23987-RA, Mcavernosa27719-RA, Mcavernosa27089-RA, Mcavernosa33313-RA, Mcavernosa04594-RA, Mcavernosa04588-RA	Montipora_capitata_PredGene_g39976.t1
OG0000312	Mcavernosa07332-RA	Montipora_capitata_PredGene_g20514.t1
OG0000314	Mcavernosa18242-RA	Montipora_capitata_PredGene_g67378.t1
OG0000314	Mcavernosa24343-RA, Mcavernosa11164-RA	Montipora_capitata_PredGene_adi2mcaRNA27239_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA27239_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA27239_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA27239_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA27239_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA27239_R0.t1
OG0000315	Mcavernosa06952-RA	Montipora_capitata_PredGene_g24240.t1
OG0000315	Mcavernosa29500-RA	Montipora_capitata_PredGene_g53979.t1, Montipora_capitata_PredGene_g4241.t1, Montipora_capitata_PredGene_g66034.t1, Montipora_capitata_PredGene_g11448.t1, Montipora_capitata_PredGene_g71240.t1, Montipora_capitata_PredGene_g16342.t1, Montipora_capitata_PredGene_g39002.t1, Montipora_capitata_PredGene_g25913.t1, Montipora_capitata_PredGene_g45306.t1, Montipora_capitata_PredGene_g47093.t1, Montipora_capitata_PredGene_g56476.t1, Montipora_capitata_PredGene_g4240.t1, Montipora_capitata_PredGene_g53980.t1
OG0000315	Mcavernosa31870-RA	Montipora_capitata_PredGene_g56477.t1, Montipora_capitata_PredGene_g47092.t1
OG0000315	Mcavernosa19461-RA, Mcavernosa32876-RA, Mcavernosa34262-RA	Montipora_capitata_PredGene_g14069.t1, Montipora_capitata_PredGene_g71417.t1, Montipora_capitata_PredGene_g48224.t1, Montipora_capitata_PredGene_g14070.t1, Montipora_capitata_PredGene_g70005.t1, Montipora_capitata_PredGene_g60812.t1
OG0000315	Mcavernosa34220-RA	Montipora_capitata_PredGene_g8342.t1, Montipora_capitata_PredGene_g17978.t1
OG0000316	Mcavernosa05843-RA	Montipora_capitata_PredGene_g17346.t1, Montipora_capitata_PredGene_g1169.t1, Montipora_capitata_PredGene_g49697.t1, Montipora_capitata_PredGene_g26524.t1, Montipora_capitata_PredGene_g7372.t1, Montipora_capitata_PredGene_g52957.t1, Montipora_capitata_PredGene_g10380.t1, Montipora_capitata_PredGene_g48039.t1, Montipora_capitata_PredGene_g15370.t1, Montipora_capitata_PredGene_g15635.t1, Montipora_capitata_PredGene_g70979.t1, Montipora_capitata_PredGene_g34661.t1, Montipora_capitata_PredGene_g48040.t1, Montipora_capitata_PredGene_g33379.t1, Montipora_capitata_PredGene_g70977.t1, Montipora_capitata_PredGene_g34659.t1, Montipora_capitata_PredGene_g16521.t1, Montipora_capitata_PredGene_g19790.t1, Montipora_capitata_PredGene_g48038.t1, Montipora_capitata_PredGene_g66108.t1, Montipora_capitata_PredGene_g30780.t1, Montipora_capitata_PredGene_g8171.t1, Montipora_capitata_PredGene_g53781.t1
OG0000317	Mcavernosa28130-RA	Montipora_capitata_PredGene_g7629.t1
OG0000317	Mcavernosa19955-RA	Montipora_capitata_PredGene_adi2mcaRNA11674_R1.t1
OG0000318	Mcavernosa01245-RA	Montipora_capitata_PredGene_g49880.t1
OG0000319	Mcavernosa14238-RA	Montipora_capitata_PredGene_g11244.t1, Montipora_capitata_PredGene_g21898.t1, Montipora_capitata_PredGene_g14278.t1, Montipora_capitata_PredGene_g12903.t1, Montipora_capitata_PredGene_g16792.t1, Montipora_capitata_PredGene_g22134.t1, Montipora_capitata_PredGene_g28033.t1, Montipora_capitata_PredGene_g12904.t1, Montipora_capitata_PredGene_g49414.t1, Montipora_capitata_PredGene_g33506.t1, Montipora_capitata_PredGene_g24780.t1, Montipora_capitata_PredGene_g31056.t1, Montipora_capitata_PredGene_g60668.t1, Montipora_capitata_PredGene_g45318.t1, Montipora_capitata_PredGene_g15654.t1, Montipora_capitata_PredGene_g12902.t1, Montipora_capitata_PredGene_g32442.t1, Montipora_capitata_PredGene_g21990.t1
OG0000319	Mcavernosa21443-RA	Montipora_capitata_PredGene_g32827.t1, Montipora_capitata_PredGene_g41775.t1, Montipora_capitata_PredGene_g50806.t1, Montipora_capitata_PredGene_g4040.t1, Montipora_capitata_PredGene_g26193.t1, Montipora_capitata_PredGene_g57183.t1
OG0000320	Mcavernosa10690-RA, Mcavernosa10691-RA, Mcavernosa10685-RA	Montipora_capitata_PredGene_g16054.t1
OG0000321	Mcavernosa23522-RA, Mcavernosa26651-RA	Montipora_capitata_PredGene_adi2mcaRNA10932_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA10932_R1.t1, Montipora_capitata_PredGene_g41281.t1, Montipora_capitata_PredGene_g59858.t1, Montipora_capitata_PredGene_adi2mcaRNA14554_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA22944_R6.t1, Montipora_capitata_PredGene_g21565.t1
OG0000321	Mcavernosa30089-RA, Mcavernosa18338-RA	Montipora_capitata_PredGene_g31503.t1, Montipora_capitata_PredGene_g48892.t1, Montipora_capitata_PredGene_g22123.t1, Montipora_capitata_PredGene_adi2mcaRNA14554_R4.t1, Montipora_capitata_PredGene_g68528.t1, Montipora_capitata_PredGene_g48991.t1, Montipora_capitata_PredGene_adi2mcaRNA14554_R6.t1
OG0000322	Mcavernosa03985-RA, Mcavernosa19764-RA	Montipora_capitata_PredGene_g50511.t1
OG0000322	Mcavernosa00791-RA, Mcavernosa23518-RA, Mcavernosa33230-RA, Mcavernosa31235-RA	Montipora_capitata_PredGene_g3655.t1
OG0000323	Mcavernosa03594-RA	Montipora_capitata_PredGene_g32191.t1, Montipora_capitata_PredGene_g49951.t1
OG0000323	Mcavernosa06848-RA, Mcavernosa30341-RA, Mcavernosa06850-RA, Mcavernosa34870-RA, Mcavernosa14561-RA, Mcavernosa14543-RA	Montipora_capitata_PredGene_g33611.t1, Montipora_capitata_PredGene_g33608.t1
OG0000325	Mcavernosa26954-RA	Montipora_capitata_PredGene_g58990.t1, Montipora_capitata_PredGene_g23332.t1
OG0000325	Mcavernosa20795-RA	Montipora_capitata_PredGene_g58989.t1
OG0000325	Mcavernosa34983-RA, Mcavernosa19263-RA	Montipora_capitata_PredGene_g43391.t1, Montipora_capitata_PredGene_g34250.t1
OG0000326	Mcavernosa03779-RA	Montipora_capitata_PredGene_g53476.t1
OG0000326	Mcavernosa08061-RA, Mcavernosa08059-RA, Mcavernosa08060-RA, Mcavernosa32552-RA	Montipora_capitata_PredGene_g44085.t1, Montipora_capitata_PredGene_g44086.t1, Montipora_capitata_PredGene_adi2mcaRNA9137_R0.t1, Montipora_capitata_PredGene_g44093.t1, Montipora_capitata_PredGene_adi2mcaRNA9137_R6.t1
OG0000327	Mcavernosa18962-RA	Montipora_capitata_PredGene_g25957.t1, Montipora_capitata_PredGene_adi2mcaRNA23300_R1.t1
OG0000328	Mcavernosa07146-RA	Montipora_capitata_PredGene_adi2mcaRNA16924_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA16924_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA16924_R0.t1
OG0000328	Mcavernosa16016-RA, Mcavernosa10402-RA, Mcavernosa30603-RA	Montipora_capitata_PredGene_g17015.t1, Montipora_capitata_PredGene_g6797.t1, Montipora_capitata_PredGene_g66392.t1
OG0000329	Mcavernosa32488-RA	Montipora_capitata_PredGene_g32025.t1, Montipora_capitata_PredGene_g32017.t1, Montipora_capitata_PredGene_g32021.t1
OG0000330	Mcavernosa13022-RA, Mcavernosa27514-RA, Mcavernosa22088-RA	Montipora_capitata_PredGene_g11155.t1, Montipora_capitata_PredGene_g10543.t1, Montipora_capitata_PredGene_g24971.t1, Montipora_capitata_PredGene_g70509.t1, Montipora_capitata_PredGene_g35343.t1, Montipora_capitata_PredGene_adi2mcaRNA12184_R3.t1, Montipora_capitata_PredGene_g39572.t1, Montipora_capitata_PredGene_g11187.t1, Montipora_capitata_PredGene_adi2mcaRNA11111_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA11111_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA36239_R1.t1, Montipora_capitata_PredGene_g22145.t1, Montipora_capitata_PredGene_adi2mcaRNA24363_R1.t1, Montipora_capitata_PredGene_g39578.t1, Montipora_capitata_PredGene_adi2mcaRNA36239_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA36239_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA11111_R0.t1, Montipora_capitata_PredGene_g66036.t1
OG0000330	Mcavernosa14363-RA	Montipora_capitata_PredGene_g4214.t1, Montipora_capitata_PredGene_g42369.t1
OG0000330	Mcavernosa03601-RA	Montipora_capitata_PredGene_g1504.t1
OG0000331	Mcavernosa34408-RA	Montipora_capitata_PredGene_g35707.t1, Montipora_capitata_PredGene_g15879.t1, Montipora_capitata_PredGene_g51481.t1
OG0000334	Mcavernosa09985-RA, Mcavernosa34898-RA	Montipora_capitata_PredGene_adi2mcaRNA34536_R0.t1, Montipora_capitata_PredGene_g2735.t1, Montipora_capitata_PredGene_g46578.t1, Montipora_capitata_PredGene_adi2mcaRNA28071_R2.t1, Montipora_capitata_PredGene_g45678.t1, Montipora_capitata_PredGene_g20099.t1, Montipora_capitata_PredGene_g65291.t1, Montipora_capitata_PredGene_g47908.t1
OG0000334	Mcavernosa11876-RA	Montipora_capitata_PredGene_g2740.t1
OG0000335	Mcavernosa10855-RA	Montipora_capitata_PredGene_g68544.t1, Montipora_capitata_PredGene_g68540.t1
OG0000339	Mcavernosa26150-RA, Mcavernosa24167-RA, Mcavernosa33078-RA, Mcavernosa27211-RA	Montipora_capitata_PredGene_g1725.t1, Montipora_capitata_PredGene_g67494.t1, Montipora_capitata_PredGene_g57423.t1, Montipora_capitata_PredGene_g53174.t1, Montipora_capitata_PredGene_g40624.t1
OG0000341	Mcavernosa10588-RA, Mcavernosa10589-RA	Montipora_capitata_PredGene_g46177.t1
OG0000341	Mcavernosa00345-RA, Mcavernosa10587-RA	Montipora_capitata_PredGene_g45156.t1
OG0000344	Mcavernosa09021-RA, Mcavernosa09020-RA	Montipora_capitata_PredGene_g66959.t1
OG0000345	Mcavernosa01859-RA, Mcavernosa10980-RA	Montipora_capitata_PredGene_g28195.t1, Montipora_capitata_PredGene_g64621.t1
OG0000346	Mcavernosa07099-RA	Montipora_capitata_PredGene_adi2mcaRNA26528_R4.t1
OG0000346	Mcavernosa06949-RA	Montipora_capitata_PredGene_g10432.t1, Montipora_capitata_PredGene_adi2mcaRNA41261_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA36293_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA38755_R8.t1
OG0000346	Mcavernosa24245-RA	Montipora_capitata_PredGene_adi2mcaRNA11109_R4.t1
OG0000346	Mcavernosa07098-RA	Montipora_capitata_PredGene_g51863.t1
OG0000347	Mcavernosa03440-RA	Montipora_capitata_PredGene_g37437.t1
OG0000347	Mcavernosa07095-RA, Mcavernosa04779-RA	Montipora_capitata_PredGene_g25770.t1
OG0000347	Mcavernosa22998-RA	Montipora_capitata_PredGene_adi2mcaRNA33745_R9.t1
OG0000349	Mcavernosa29221-RA, Mcavernosa23373-RA, Mcavernosa23374-RA	Montipora_capitata_PredGene_g42213.t1, Montipora_capitata_PredGene_g42212.t1
OG0000349	Mcavernosa23375-RA, Mcavernosa02422-RA, Mcavernosa02423-RA	Montipora_capitata_PredGene_g13905.t1, Montipora_capitata_PredGene_g63382.t1, Montipora_capitata_PredGene_g13911.t1, Montipora_capitata_PredGene_g63381.t1, Montipora_capitata_PredGene_g63380.t1, Montipora_capitata_PredGene_adi2mcaRNA930_R9.t1, Montipora_capitata_PredGene_g41645.t1, Montipora_capitata_PredGene_g38706.t1, Montipora_capitata_PredGene_g38704.t1
OG0000352	Mcavernosa04623-RA	Montipora_capitata_PredGene_g64395.t1
OG0000353	Mcavernosa16540-RA	Montipora_capitata_PredGene_adi2mcaRNA29768_R3.t1, Montipora_capitata_PredGene_g11397.t1, Montipora_capitata_PredGene_adi2mcaRNA29768_R6.t1, Montipora_capitata_PredGene_g54100.t1, Montipora_capitata_PredGene_adi2mcaRNA29768_R5.t1, Montipora_capitata_PredGene_g34134.t1
OG0000353	Mcavernosa23514-RA, Mcavernosa12818-RA, Mcavernosa34076-RA	Montipora_capitata_PredGene_adi2mcaRNA13897_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA13897_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA13897_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA13897_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA13897_R6.t1
OG0000354	Mcavernosa34025-RA	Montipora_capitata_PredGene_g11690.t1, Montipora_capitata_PredGene_g57199.t1, Montipora_capitata_PredGene_g9954.t1, Montipora_capitata_PredGene_g29562.t1, Montipora_capitata_PredGene_g38155.t1, Montipora_capitata_PredGene_adi2mcaRNA37960_R8.t1, Montipora_capitata_PredGene_g1479.t1, Montipora_capitata_PredGene_g29561.t1, Montipora_capitata_PredGene_g11689.t1, Montipora_capitata_PredGene_g71298.t1, Montipora_capitata_PredGene_g15105.t1, Montipora_capitata_PredGene_g29560.t1, Montipora_capitata_PredGene_g51061.t1, Montipora_capitata_PredGene_g53198.t1, Montipora_capitata_PredGene_g54124.t1, Montipora_capitata_PredGene_g38156.t1, Montipora_capitata_PredGene_g37784.t1, Montipora_capitata_PredGene_g68903.t1, Montipora_capitata_PredGene_g31477.t1, Montipora_capitata_PredGene_g59418.t1, Montipora_capitata_PredGene_g31149.t1, Montipora_capitata_PredGene_g59419.t1, Montipora_capitata_PredGene_g68902.t1, Montipora_capitata_PredGene_g774.t1, Montipora_capitata_PredGene_g29970.t1, Montipora_capitata_PredGene_g37158.t1
OG0000355	Mcavernosa11311-RA, Mcavernosa30596-RA, Mcavernosa11309-RA, Mcavernosa11310-RA, Mcavernosa12326-RA, Mcavernosa12322-RA	Montipora_capitata_PredGene_g57186.t1, Montipora_capitata_PredGene_g16988.t1, Montipora_capitata_PredGene_g48833.t1
OG0000358	Mcavernosa03838-RA	Montipora_capitata_PredGene_g36194.t1
OG0000358	Mcavernosa03840-RA, Mcavernosa03842-RA	Montipora_capitata_PredGene_g36189.t1, Montipora_capitata_PredGene_g36192.t1
OG0000359	Mcavernosa20109-RA	Montipora_capitata_PredGene_g10800.t1, Montipora_capitata_PredGene_g17244.t1, Montipora_capitata_PredGene_g36456.t1, Montipora_capitata_PredGene_g7210.t1, Montipora_capitata_PredGene_g7686.t1, Montipora_capitata_PredGene_adi2mcaRNA4171_R6.t1
OG0000359	Mcavernosa27692-RA	Montipora_capitata_PredGene_g34060.t1
OG0000360	Mcavernosa31636-RA	Montipora_capitata_PredGene_g24565.t1, Montipora_capitata_PredGene_g69641.t1, Montipora_capitata_PredGene_g5912.t1, Montipora_capitata_PredGene_g62235.t1, Montipora_capitata_PredGene_g65720.t1
OG0000361	Mcavernosa18829-RA, Mcavernosa19200-RA, Mcavernosa13721-RA, Mcavernosa23093-RA, Mcavernosa04976-RA	Montipora_capitata_PredGene_adi2mcaRNA27525_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA27525_R1.t1, Montipora_capitata_PredGene_g22128.t1, Montipora_capitata_PredGene_adi2mcaRNA27387_R7.t1, Montipora_capitata_PredGene_g39799.t1, Montipora_capitata_PredGene_g893.t1, Montipora_capitata_PredGene_g35880.t1, Montipora_capitata_PredGene_g38864.t1, Montipora_capitata_PredGene_g67015.t1
OG0000363	Mcavernosa30223-RA, Mcavernosa30226-RA	Montipora_capitata_PredGene_g22082.t1, Montipora_capitata_PredGene_g59421.t1, Montipora_capitata_PredGene_g1455.t1
OG0000364	Mcavernosa09491-RA	Montipora_capitata_PredGene_g70208.t1
OG0000365	Mcavernosa01323-RA, Mcavernosa01324-RA	Montipora_capitata_PredGene_g14236.t1, Montipora_capitata_PredGene_g67349.t1, Montipora_capitata_PredGene_g16050.t1
OG0000365	Mcavernosa33123-RA	Montipora_capitata_PredGene_g52519.t1, Montipora_capitata_PredGene_g42919.t1
OG0000366	Mcavernosa34934-RA, Mcavernosa34932-RA, Mcavernosa03328-RA	Montipora_capitata_PredGene_g58168.t1, Montipora_capitata_PredGene_adi2mcaRNA14213_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA14213_R8.t1, Montipora_capitata_PredGene_g10450.t1, Montipora_capitata_PredGene_g21945.t1, Montipora_capitata_PredGene_g47780.t1, Montipora_capitata_PredGene_adi2mcaRNA14213_R4.t1, Montipora_capitata_PredGene_g16219.t1
OG0000368	Mcavernosa33501-RA, Mcavernosa33345-RA	Montipora_capitata_PredGene_g35837.t1, Montipora_capitata_PredGene_g52334.t1, Montipora_capitata_PredGene_g52323.t1, Montipora_capitata_PredGene_g68494.t1, Montipora_capitata_PredGene_g12810.t1, Montipora_capitata_PredGene_g29082.t1, Montipora_capitata_PredGene_g31393.t1, Montipora_capitata_PredGene_g12809.t1
OG0000368	Mcavernosa11150-RA, Mcavernosa08581-RA	Montipora_capitata_PredGene_g8777.t1, Montipora_capitata_PredGene_g5988.t1, Montipora_capitata_PredGene_g56400.t1, Montipora_capitata_PredGene_g19215.t1, Montipora_capitata_PredGene_g14815.t1, Montipora_capitata_PredGene_g65322.t1, Montipora_capitata_PredGene_g68762.t1, Montipora_capitata_PredGene_g12459.t1, Montipora_capitata_PredGene_adi2mcaRNA33038_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA33038_R6.t1
OG0000368	Mcavernosa29234-RA, Mcavernosa35176-RA, Mcavernosa30404-RA, Mcavernosa33542-RA	Montipora_capitata_PredGene_adi2mcaRNA33038_R8.t1
OG0000369	Mcavernosa01308-RA, Mcavernosa19553-RA, Mcavernosa15624-RA	Montipora_capitata_PredGene_g17572.t1, Montipora_capitata_PredGene_g32897.t1, Montipora_capitata_PredGene_g29060.t1, Montipora_capitata_PredGene_g14197.t1
OG0000370	Mcavernosa03067-RA	Montipora_capitata_PredGene_g59158.t1
OG0000372	Mcavernosa02212-RA, Mcavernosa27357-RA	Montipora_capitata_PredGene_g25033.t1, Montipora_capitata_PredGene_g23901.t1, Montipora_capitata_PredGene_g22000.t1, Montipora_capitata_PredGene_g62135.t1, Montipora_capitata_PredGene_g32086.t1, Montipora_capitata_PredGene_g56077.t1, Montipora_capitata_PredGene_g61459.t1, Montipora_capitata_PredGene_g63706.t1, Montipora_capitata_PredGene_g18290.t1, Montipora_capitata_PredGene_g14398.t1, Montipora_capitata_PredGene_g28205.t1, Montipora_capitata_PredGene_g38521.t1
OG0000373	Mcavernosa16793-RA	Montipora_capitata_PredGene_g66369.t1, Montipora_capitata_PredGene_adi2mcaRNA18891_R4.t1
