Orthogroup	Mcavernosa.maker.proteins	Pocillopora_acuta_HIv1.genes.pep
OG0000691	Mcavernosa19962-RA	Pocillopora_acuta_HIv1_PredGene_g24797.t1
OG0000692	Mcavernosa19964-RA	Pocillopora_acuta_HIv1_PredGene_g4261.t1, Pocillopora_acuta_HIv1_PredGene_g125.t1, Pocillopora_acuta_HIv1_PredGene_g24284.t1, Pocillopora_acuta_HIv1_PredGene_g322.t1, Pocillopora_acuta_HIv1_PredGene_g16469.t1
OG0000693	Mcavernosa21341-RA, Mcavernosa21340-RA	Pocillopora_acuta_HIv1_PredGene_g11500.t1, Pocillopora_acuta_HIv1_PredGene_g14528.t1
OG0000693	Mcavernosa21339-RA	Pocillopora_acuta_HIv1_PredGene_g11490.t1, Pocillopora_acuta_HIv1_PredGene_g6197.t2, Pocillopora_acuta_HIv1_PredGene_g6197.t1, Pocillopora_acuta_HIv1_PredGene_g11489.t1, Pocillopora_acuta_HIv1_PredGene_g11489.t2, Pocillopora_acuta_HIv1_PredGene_g14525.t1, Pocillopora_acuta_HIv1_PredGene_g11492.t1, Pocillopora_acuta_HIv1_PredGene_g6199.t1, Pocillopora_acuta_HIv1_PredGene_g14523.t2, Pocillopora_acuta_HIv1_PredGene_g11495.t1
OG0000694	Mcavernosa33055-RA, Mcavernosa34379-RA, Mcavernosa19054-RA, Mcavernosa32933-RA	Pocillopora_acuta_HIv1_PredGene_g15586.t1, Pocillopora_acuta_HIv1_PredGene_g16119.t1, Pocillopora_acuta_HIv1_PredGene_g15577.t1, Pocillopora_acuta_HIv1_PredGene_g16120.t1
OG0000695	Mcavernosa13932-RA, Mcavernosa13935-RA, Mcavernosa29278-RA	Pocillopora_acuta_HIv1_PredGene_g2820.t1
OG0000695	Mcavernosa13934-RA, Mcavernosa29277-RA	Pocillopora_acuta_HIv1_PredGene_g2927.t1, Pocillopora_acuta_HIv1_PredGene_g21346.t1, Pocillopora_acuta_HIv1_PredGene_g2821.t1, Pocillopora_acuta_HIv1_PredGene_18340_t
OG0000697	Mcavernosa31905-RA	Pocillopora_acuta_HIv1_PredGene_g511.t1, Pocillopora_acuta_HIv1_PredGene_g515.t1, Pocillopora_acuta_HIv1_PredGene_g507.t1
OG0000697	Mcavernosa10235-RA	Pocillopora_acuta_HIv1_PredGene_g2722.t1, Pocillopora_acuta_HIv1_PredGene_g10260.t1, Pocillopora_acuta_HIv1_PredGene_g10257.t2, Pocillopora_acuta_HIv1_PredGene_g10257.t1, Pocillopora_acuta_HIv1_PredGene_g18724.t1, Pocillopora_acuta_HIv1_PredGene_g18720.t1, Pocillopora_acuta_HIv1_PredGene_g18722.t1, Pocillopora_acuta_HIv1_PredGene_g2717.t1, Pocillopora_acuta_HIv1_PredGene_g2715.t1
OG0000698	Mcavernosa21051-RA	Pocillopora_acuta_HIv1_PredGene_29275_t, Pocillopora_acuta_HIv1_PredGene_17901_t, Pocillopora_acuta_HIv1_PredGene_g2744.t1, Pocillopora_acuta_HIv1_PredGene_g22289.t2, Pocillopora_acuta_HIv1_PredGene_g22289.t1, Pocillopora_acuta_HIv1_PredGene_g21995.t1
OG0000699	Mcavernosa04069-RA	Pocillopora_acuta_HIv1_PredGene_g10971.t1, Pocillopora_acuta_HIv1_PredGene_g25532.t1
OG0000700	Mcavernosa21556-RA, Mcavernosa21555-RA, Mcavernosa21559-RA, Mcavernosa21557-RA	Pocillopora_acuta_HIv1_PredGene_g118.t1, Pocillopora_acuta_HIv1_PredGene_g123.t1
OG0000701	Mcavernosa09904-RA	Pocillopora_acuta_HIv1_PredGene_25507_t, Pocillopora_acuta_HIv1_PredGene_g20147.t1, Pocillopora_acuta_HIv1_PredGene_g15797.t1, Pocillopora_acuta_HIv1_PredGene_g15795.t1, Pocillopora_acuta_HIv1_PredGene_g15793.t1, Pocillopora_acuta_HIv1_PredGene_27959_t, Pocillopora_acuta_HIv1_PredGene_g15796.t1, Pocillopora_acuta_HIv1_PredGene_g15794.t1, Pocillopora_acuta_HIv1_PredGene_g1857.t1, Pocillopora_acuta_HIv1_PredGene_g1856.t1, Pocillopora_acuta_HIv1_PredGene_g15862.t1, Pocillopora_acuta_HIv1_PredGene_g21438.t1, Pocillopora_acuta_HIv1_PredGene_g21446.t1, Pocillopora_acuta_HIv1_PredGene_g15798.t1, Pocillopora_acuta_HIv1_PredGene_g21439.t1, Pocillopora_acuta_HIv1_PredGene_g21443.t1, Pocillopora_acuta_HIv1_PredGene_g21435.t1, Pocillopora_acuta_HIv1_PredGene_g21440.t1, Pocillopora_acuta_HIv1_PredGene_g11812.t1, Pocillopora_acuta_HIv1_PredGene_g11811.t1, Pocillopora_acuta_HIv1_PredGene_g11807.t1, Pocillopora_acuta_HIv1_PredGene_g11806.t1
OG0000708	Mcavernosa06183-RA	Pocillopora_acuta_HIv1_PredGene_5514_t, Pocillopora_acuta_HIv1_PredGene_5151_t, Pocillopora_acuta_HIv1_PredGene_g30755.t1, Pocillopora_acuta_HIv1_PredGene_g20275.t1
OG0000708	Mcavernosa27970-RA, Mcavernosa33079-RA	Pocillopora_acuta_HIv1_PredGene_g30520.t1
OG0000708	Mcavernosa27973-RA	Pocillopora_acuta_HIv1_PredGene_g30521.t1, Pocillopora_acuta_HIv1_PredGene_23419_t
OG0000709	Mcavernosa09380-RA, Mcavernosa27177-RA, Mcavernosa08822-RA	Pocillopora_acuta_HIv1_PredGene_g28833.t1, Pocillopora_acuta_HIv1_PredGene_g15696.t1, Pocillopora_acuta_HIv1_PredGene_g14740.t1
OG0000711	Mcavernosa19441-RA, Mcavernosa19443-RA, Mcavernosa19442-RA	Pocillopora_acuta_HIv1_PredGene_g8940.t1, Pocillopora_acuta_HIv1_PredGene_g8937.t1
OG0000712	Mcavernosa23458-RA, Mcavernosa28969-RA	Pocillopora_acuta_HIv1_PredGene_g11283.t1, Pocillopora_acuta_HIv1_PredGene_g27063.t1, Pocillopora_acuta_HIv1_PredGene_g25175.t1
OG0000713	Mcavernosa34524-RA	Pocillopora_acuta_HIv1_PredGene_g17559.t1
OG0000714	Mcavernosa27480-RA	Pocillopora_acuta_HIv1_PredGene_g17029.t1
OG0000714	Mcavernosa02169-RA, Mcavernosa11504-RA, Mcavernosa02172-RA	Pocillopora_acuta_HIv1_PredGene_g17030.t1
OG0000715	Mcavernosa19069-RA, Mcavernosa35099-RA	Pocillopora_acuta_HIv1_PredGene_g18728.t1, Pocillopora_acuta_HIv1_PredGene_g11932.t1, Pocillopora_acuta_HIv1_PredGene_g15158.t1, Pocillopora_acuta_HIv1_PredGene_g26188.t1
OG0000716	Mcavernosa04496-RA	Pocillopora_acuta_HIv1_PredGene_g21772.t1
OG0000716	Mcavernosa24697-RA, Mcavernosa04018-RA, Mcavernosa04017-RA, Mcavernosa04016-RA	Pocillopora_acuta_HIv1_PredGene_g28678.t1, Pocillopora_acuta_HIv1_PredGene_g33286.t1, Pocillopora_acuta_HIv1_PredGene_g28669.t1
OG0000720	Mcavernosa23701-RA	Pocillopora_acuta_HIv1_PredGene_g25439.t1, Pocillopora_acuta_HIv1_PredGene_g5543.t1, Pocillopora_acuta_HIv1_PredGene_g25438.t1, Pocillopora_acuta_HIv1_PredGene_g5542.t1, Pocillopora_acuta_HIv1_PredGene_g5534.t1, Pocillopora_acuta_HIv1_PredGene_g5538.t1, Pocillopora_acuta_HIv1_PredGene_g25446.t1
OG0000721	Mcavernosa09464-RA, Mcavernosa09476-RA	Pocillopora_acuta_HIv1_PredGene_g26773.t1, Pocillopora_acuta_HIv1_PredGene_g26774.t1, Pocillopora_acuta_HIv1_PredGene_g26774.t2, Pocillopora_acuta_HIv1_PredGene_g26772.t1
OG0000724	Mcavernosa21870-RA	Pocillopora_acuta_HIv1_PredGene_g26058.t1, Pocillopora_acuta_HIv1_PredGene_g16936.t2, Pocillopora_acuta_HIv1_PredGene_20257_t, Pocillopora_acuta_HIv1_PredGene_g16936.t1
OG0000725	Mcavernosa31990-RA, Mcavernosa30409-RA, Mcavernosa31989-RA	Pocillopora_acuta_HIv1_PredGene_g2130.t1, Pocillopora_acuta_HIv1_PredGene_23118_t
OG0000725	Mcavernosa25454-RA	Pocillopora_acuta_HIv1_PredGene_g13367.t1, Pocillopora_acuta_HIv1_PredGene_g29902.t1
OG0000728	Mcavernosa33688-RA	Pocillopora_acuta_HIv1_PredGene_g26140.t1, Pocillopora_acuta_HIv1_PredGene_g26128.t1, Pocillopora_acuta_HIv1_PredGene_g28346.t1
OG0000728	Mcavernosa24270-RA	Pocillopora_acuta_HIv1_PredGene_g26141.t1
OG0000729	Mcavernosa33689-RA, Mcavernosa34310-RA	Pocillopora_acuta_HIv1_PredGene_g19164.t1
OG0000730	Mcavernosa28888-RA, Mcavernosa01247-RA, Mcavernosa01246-RA, Mcavernosa20694-RA	Pocillopora_acuta_HIv1_PredGene_g20797.t1, Pocillopora_acuta_HIv1_PredGene_25498_t, Pocillopora_acuta_HIv1_PredGene_g20796.t1, Pocillopora_acuta_HIv1_PredGene_g9588.t1, Pocillopora_acuta_HIv1_PredGene_g20792.t1
OG0000734	Mcavernosa10981-RA, Mcavernosa10986-RA	Pocillopora_acuta_HIv1_PredGene_g18039.t1, Pocillopora_acuta_HIv1_PredGene_g18040.t1, Pocillopora_acuta_HIv1_PredGene_19766_t, Pocillopora_acuta_HIv1_PredGene_g18038.t1, Pocillopora_acuta_HIv1_PredGene_19764_t
OG0000734	Mcavernosa35095-RA	Pocillopora_acuta_HIv1_PredGene_g25042.t1
OG0000735	Mcavernosa29465-RA, Mcavernosa03093-RA	Pocillopora_acuta_HIv1_PredGene_g12070.t1, Pocillopora_acuta_HIv1_PredGene_g12071.t1, Pocillopora_acuta_HIv1_PredGene_g12073.t1, Pocillopora_acuta_HIv1_PredGene_g12073.t2
OG0000735	Mcavernosa02300-RA, Mcavernosa34980-RA, Mcavernosa29464-RA	Pocillopora_acuta_HIv1_PredGene_g12074.t1
OG0000736	Mcavernosa08887-RA	Pocillopora_acuta_HIv1_PredGene_g16046.t1, Pocillopora_acuta_HIv1_PredGene_g16047.t1
OG0000736	Mcavernosa08888-RA	Pocillopora_acuta_HIv1_PredGene_g16044.t1, Pocillopora_acuta_HIv1_PredGene_g16043.t1, Pocillopora_acuta_HIv1_PredGene_g16045.t1
OG0000738	Mcavernosa19467-RA	Pocillopora_acuta_HIv1_PredGene_g20349.t1
OG0000738	Mcavernosa33436-RA	Pocillopora_acuta_HIv1_PredGene_g22706.t1, Pocillopora_acuta_HIv1_PredGene_g30904.t1, Pocillopora_acuta_HIv1_PredGene_g30906.t1
OG0000739	Mcavernosa10772-RA	Pocillopora_acuta_HIv1_PredGene_g28951.t1, Pocillopora_acuta_HIv1_PredGene_8197_t, Pocillopora_acuta_HIv1_PredGene_g28949.t1, Pocillopora_acuta_HIv1_PredGene_8195_t
OG0000740	Mcavernosa02258-RA	Pocillopora_acuta_HIv1_PredGene_g15516.t1
OG0000740	Mcavernosa02257-RA	Pocillopora_acuta_HIv1_PredGene_g15513.t1, Pocillopora_acuta_HIv1_PredGene_g15515.t1, Pocillopora_acuta_HIv1_PredGene_g15514.t1, Pocillopora_acuta_HIv1_PredGene_g15512.t2, Pocillopora_acuta_HIv1_PredGene_g15512.t1, Pocillopora_acuta_HIv1_PredGene_3858_t
OG0000741	Mcavernosa01251-RA, Mcavernosa01255-RA, Mcavernosa01252-RA	Pocillopora_acuta_HIv1_PredGene_g24886.t1
OG0000742	Mcavernosa27587-RA	Pocillopora_acuta_HIv1_PredGene_g5951.t1
OG0000743	Mcavernosa09251-RA, Mcavernosa09248-RA, Mcavernosa09254-RA	Pocillopora_acuta_HIv1_PredGene_g21261.t1, Pocillopora_acuta_HIv1_PredGene_g21255.t1, Pocillopora_acuta_HIv1_PredGene_g21259.t1, Pocillopora_acuta_HIv1_PredGene_g21263.t1, Pocillopora_acuta_HIv1_PredGene_g21257.t1, Pocillopora_acuta_HIv1_PredGene_g27337.t1, Pocillopora_acuta_HIv1_PredGene_g21260.t1
OG0000744	Mcavernosa13685-RA, Mcavernosa13686-RA, Mcavernosa13688-RA, Mcavernosa13691-RA	Pocillopora_acuta_HIv1_PredGene_31939_t
OG0000744	Mcavernosa32469-RA	Pocillopora_acuta_HIv1_PredGene_g32360.t1, Pocillopora_acuta_HIv1_PredGene_20027_t, Pocillopora_acuta_HIv1_PredGene_g32358.t1
OG0000746	Mcavernosa10566-RA, Mcavernosa28893-RA, Mcavernosa14249-RA	Pocillopora_acuta_HIv1_PredGene_22159_t, Pocillopora_acuta_HIv1_PredGene_g15893.t1
OG0000746	Mcavernosa34061-RA, Mcavernosa34057-RA	Pocillopora_acuta_HIv1_PredGene_g13526.t1
OG0000746	Mcavernosa25558-RA	Pocillopora_acuta_HIv1_PredGene_g13520.t1, Pocillopora_acuta_HIv1_PredGene_g15870.t1
OG0000746	Mcavernosa13180-RA	Pocillopora_acuta_HIv1_PredGene_g5553.t1, Pocillopora_acuta_HIv1_PredGene_g25452.t1
OG0000748	Mcavernosa18329-RA, Mcavernosa18332-RA	Pocillopora_acuta_HIv1_PredGene_g11698.t1, Pocillopora_acuta_HIv1_PredGene_g11702.t1, Pocillopora_acuta_HIv1_PredGene_g11695.t1, Pocillopora_acuta_HIv1_PredGene_g11704.t1, Pocillopora_acuta_HIv1_PredGene_g11696.t1, Pocillopora_acuta_HIv1_PredGene_g11701.t1, Pocillopora_acuta_HIv1_PredGene_g11694.t1, Pocillopora_acuta_HIv1_PredGene_g30529.t1, Pocillopora_acuta_HIv1_PredGene_g11709.t1, Pocillopora_acuta_HIv1_PredGene_g11707.t1, Pocillopora_acuta_HIv1_PredGene_g11706.t1, Pocillopora_acuta_HIv1_PredGene_g11705.t1, Pocillopora_acuta_HIv1_PredGene_g11710.t1
OG0000754	Mcavernosa19094-RA	Pocillopora_acuta_HIv1_PredGene_g30630.t1
OG0000754	Mcavernosa21333-RA, Mcavernosa34150-RA, Mcavernosa06439-RA, Mcavernosa10063-RA, Mcavernosa27123-RA, Mcavernosa10056-RA, Mcavernosa28261-RA	Pocillopora_acuta_HIv1_PredGene_g14437.t1
OG0000756	Mcavernosa16207-RA	Pocillopora_acuta_HIv1_PredGene_g10511.t1, Pocillopora_acuta_HIv1_PredGene_g10513.t1, Pocillopora_acuta_HIv1_PredGene_g10510.t1
OG0000756	Mcavernosa16206-RA, Mcavernosa16204-RA	Pocillopora_acuta_HIv1_PredGene_g10509.t1, Pocillopora_acuta_HIv1_PredGene_g10508.t1
OG0000757	Mcavernosa29420-RA, Mcavernosa29830-RA	Pocillopora_acuta_HIv1_PredGene_g22881.t1
OG0000758	Mcavernosa34255-RA, Mcavernosa29029-RA, Mcavernosa24948-RA, Mcavernosa28966-RA	Pocillopora_acuta_HIv1_PredGene_g26595.t1, Pocillopora_acuta_HIv1_PredGene_18830_t, Pocillopora_acuta_HIv1_PredGene_18834_t, Pocillopora_acuta_HIv1_PredGene_g26598.t1, Pocillopora_acuta_HIv1_PredGene_g26597.t1, Pocillopora_acuta_HIv1_PredGene_g26595.t2
OG0000758	Mcavernosa28885-RA, Mcavernosa28886-RA, Mcavernosa27038-RA	Pocillopora_acuta_HIv1_PredGene_g26602.t1
OG0000759	Mcavernosa09652-RA, Mcavernosa19211-RA	Pocillopora_acuta_HIv1_PredGene_g23272.t1, Pocillopora_acuta_HIv1_PredGene_g25872.t1
OG0000760	Mcavernosa22838-RA	Pocillopora_acuta_HIv1_PredGene_g5137.t2, Pocillopora_acuta_HIv1_PredGene_g5137.t1
OG0000760	Mcavernosa22833-RA, Mcavernosa22834-RA	Pocillopora_acuta_HIv1_PredGene_g5138.t1
OG0000760	Mcavernosa04580-RA	Pocillopora_acuta_HIv1_PredGene_g14654.t1
OG0000761	Mcavernosa15231-RA	Pocillopora_acuta_HIv1_PredGene_g1844.t1, Pocillopora_acuta_HIv1_PredGene_g17811.t1, Pocillopora_acuta_HIv1_PredGene_g17889.t1
OG0000762	Mcavernosa23428-RA	Pocillopora_acuta_HIv1_PredGene_g22320.t1
OG0000763	Mcavernosa25041-RA, Mcavernosa25045-RA, Mcavernosa25042-RA	Pocillopora_acuta_HIv1_PredGene_2787_t, Pocillopora_acuta_HIv1_PredGene_g22689.t1
OG0000763	Mcavernosa25046-RA, Mcavernosa25043-RA, Mcavernosa25040-RA, Mcavernosa25039-RA	Pocillopora_acuta_HIv1_PredGene_g16027.t1, Pocillopora_acuta_HIv1_PredGene_g15539.t1, Pocillopora_acuta_HIv1_PredGene_g16026.t1, Pocillopora_acuta_HIv1_PredGene_g15538.t1, Pocillopora_acuta_HIv1_PredGene_g15537.t1, Pocillopora_acuta_HIv1_PredGene_g16025.t1
OG0000764	Mcavernosa22266-RA	Pocillopora_acuta_HIv1_PredGene_g22546.t1
OG0000765	Mcavernosa34204-RA, Mcavernosa29735-RA, Mcavernosa29738-RA	Pocillopora_acuta_HIv1_PredGene_g20662.t1, Pocillopora_acuta_HIv1_PredGene_g20658.t1, Pocillopora_acuta_HIv1_PredGene_g30190.t1, Pocillopora_acuta_HIv1_PredGene_g30190.t2, Pocillopora_acuta_HIv1_PredGene_g20655.t1, Pocillopora_acuta_HIv1_PredGene_g20653.t1, Pocillopora_acuta_HIv1_PredGene_g30188.t1, Pocillopora_acuta_HIv1_PredGene_g20650.t1
OG0000767	Mcavernosa24727-RA	Pocillopora_acuta_HIv1_PredGene_g21206.t1
OG0000767	Mcavernosa24726-RA	Pocillopora_acuta_HIv1_PredGene_g23408.t1, Pocillopora_acuta_HIv1_PredGene_g23411.t1, Pocillopora_acuta_HIv1_PredGene_4986_t, Pocillopora_acuta_HIv1_PredGene_g23414.t1, Pocillopora_acuta_HIv1_PredGene_g21205.t1
OG0000769	Mcavernosa07159-RA, Mcavernosa18887-RA	Pocillopora_acuta_HIv1_PredGene_g16974.t1, Pocillopora_acuta_HIv1_PredGene_2348_t
OG0000769	Mcavernosa07164-RA, Mcavernosa07163-RA	Pocillopora_acuta_HIv1_PredGene_g33085.t1
OG0000769	Mcavernosa07157-RA	Pocillopora_acuta_HIv1_PredGene_g16976.t1
OG0000770	Mcavernosa29431-RA	Pocillopora_acuta_HIv1_PredGene_g19458.t1
OG0000770	Mcavernosa34739-RA	Pocillopora_acuta_HIv1_PredGene_g24274.t1
OG0000771	Mcavernosa03998-RA, Mcavernosa14031-RA	Pocillopora_acuta_HIv1_PredGene_g17986.t1, Pocillopora_acuta_HIv1_PredGene_g2164.t1
OG0000772	Mcavernosa10066-RA	Pocillopora_acuta_HIv1_PredGene_g30646.t1, Pocillopora_acuta_HIv1_PredGene_g3058.t1, Pocillopora_acuta_HIv1_PredGene_g30621.t1, Pocillopora_acuta_HIv1_PredGene_g30628.t1, Pocillopora_acuta_HIv1_PredGene_g30629.t1, Pocillopora_acuta_HIv1_PredGene_g30622.t1
OG0000772	Mcavernosa07315-RA	Pocillopora_acuta_HIv1_PredGene_g30632.t1
OG0000776	Mcavernosa19227-RA, Mcavernosa30420-RA, Mcavernosa11138-RA	Pocillopora_acuta_HIv1_PredGene_g6396.t1
OG0000777	Mcavernosa06015-RA	Pocillopora_acuta_HIv1_PredGene_g19963.t1
OG0000778	Mcavernosa08105-RA, Mcavernosa08103-RA	Pocillopora_acuta_HIv1_PredGene_27308_t, Pocillopora_acuta_HIv1_PredGene_g14401.t1
OG0000779	Mcavernosa03392-RA, Mcavernosa03391-RA	Pocillopora_acuta_HIv1_PredGene_g21710.t1, Pocillopora_acuta_HIv1_PredGene_g9784.t1
OG0000779	Mcavernosa03394-RA	Pocillopora_acuta_HIv1_PredGene_g32440.t1
OG0000780	Mcavernosa04070-RA	Pocillopora_acuta_HIv1_PredGene_g31798.t1
OG0000782	Mcavernosa12251-RA	Pocillopora_acuta_HIv1_PredGene_g10854.t1
OG0000784	Mcavernosa10494-RA	Pocillopora_acuta_HIv1_PredGene_g28848.t1
OG0000784	Mcavernosa30979-RA	Pocillopora_acuta_HIv1_PredGene_g28849.t1
OG0000786	Mcavernosa24898-RA	Pocillopora_acuta_HIv1_PredGene_g20876.t1
OG0000786	Mcavernosa32075-RA, Mcavernosa32074-RA, Mcavernosa16790-RA, Mcavernosa32709-RA	Pocillopora_acuta_HIv1_PredGene_g29835.t1
OG0000787	Mcavernosa29110-RA	Pocillopora_acuta_HIv1_PredGene_g10238.t1
OG0000787	Mcavernosa32239-RA	Pocillopora_acuta_HIv1_PredGene_g24094.t1
OG0000789	Mcavernosa33175-RA, Mcavernosa19245-RA	Pocillopora_acuta_HIv1_PredGene_g17481.t1, Pocillopora_acuta_HIv1_PredGene_g17480.t1, Pocillopora_acuta_HIv1_PredGene_g17477.t1, Pocillopora_acuta_HIv1_PredGene_g17473.t1
OG0000789	Mcavernosa08630-RA, Mcavernosa08632-RA, Mcavernosa08629-RA	Pocillopora_acuta_HIv1_PredGene_g17471.t1
OG0000789	Mcavernosa34724-RA	Pocillopora_acuta_HIv1_PredGene_g17472.t1
OG0000790	Mcavernosa09386-RA	Pocillopora_acuta_HIv1_PredGene_g10505.t1, Pocillopora_acuta_HIv1_PredGene_g10505.t2
OG0000790	Mcavernosa13818-RA	Pocillopora_acuta_HIv1_PredGene_g11768.t1
OG0000790	Mcavernosa14080-RA	Pocillopora_acuta_HIv1_PredGene_g11781.t1
OG0000792	Mcavernosa26067-RA, Mcavernosa32591-RA	Pocillopora_acuta_HIv1_PredGene_g7146.t1, Pocillopora_acuta_HIv1_PredGene_g7146.t2
OG0000792	Mcavernosa01321-RA, Mcavernosa01322-RA	Pocillopora_acuta_HIv1_PredGene_g7147.t1, Pocillopora_acuta_HIv1_PredGene_g7148.t1, Pocillopora_acuta_HIv1_PredGene_g7149.t2, Pocillopora_acuta_HIv1_PredGene_g7149.t3, Pocillopora_acuta_HIv1_PredGene_g7149.t1
OG0000793	Mcavernosa14862-RA	Pocillopora_acuta_HIv1_PredGene_g24879.t1
OG0000795	Mcavernosa24754-RA	Pocillopora_acuta_HIv1_PredGene_g870.t1
OG0000795	Mcavernosa24746-RA, Mcavernosa24747-RA	Pocillopora_acuta_HIv1_PredGene_g880.t1
OG0000795	Mcavernosa24753-RA	Pocillopora_acuta_HIv1_PredGene_g871.t1
OG0000796	Mcavernosa00897-RA	Pocillopora_acuta_HIv1_PredGene_g483.t1, Pocillopora_acuta_HIv1_PredGene_g484.t1, Pocillopora_acuta_HIv1_PredGene_g481.t1, Pocillopora_acuta_HIv1_PredGene_g29305.t1
OG0000796	Mcavernosa31900-RA	Pocillopora_acuta_HIv1_PredGene_g584.t1
OG0000801	Mcavernosa33370-RA	Pocillopora_acuta_HIv1_PredGene_g3291.t1
OG0000803	Mcavernosa21890-RA	Pocillopora_acuta_HIv1_PredGene_g29249.t1, Pocillopora_acuta_HIv1_PredGene_g32132.t1
OG0000803	Mcavernosa34716-RA, Mcavernosa03339-RA	Pocillopora_acuta_HIv1_PredGene_g8031.t1
OG0000803	Mcavernosa18758-RA, Mcavernosa03342-RA	Pocillopora_acuta_HIv1_PredGene_g32139.t1, Pocillopora_acuta_HIv1_PredGene_g29243.t1
OG0000803	Mcavernosa18759-RA	Pocillopora_acuta_HIv1_PredGene_g29242.t1, Pocillopora_acuta_HIv1_PredGene_g32140.t1
OG0000805	Mcavernosa03539-RA	Pocillopora_acuta_HIv1_PredGene_g31571.t1, Pocillopora_acuta_HIv1_PredGene_g1438.t1, Pocillopora_acuta_HIv1_PredGene_g1438.t2, Pocillopora_acuta_HIv1_PredGene_g1439.t1, Pocillopora_acuta_HIv1_PredGene_g1436.t1
OG0000805	Mcavernosa33672-RA, Mcavernosa03537-RA	Pocillopora_acuta_HIv1_PredGene_g31563.t1, Pocillopora_acuta_HIv1_PredGene_g1441.t1, Pocillopora_acuta_HIv1_PredGene_g31564.t1
OG0000806	Mcavernosa20744-RA	Pocillopora_acuta_HIv1_PredGene_g10770.t1, Pocillopora_acuta_HIv1_PredGene_g20602.t1, Pocillopora_acuta_HIv1_PredGene_7065_t, Pocillopora_acuta_HIv1_PredGene_28142_t, Pocillopora_acuta_HIv1_PredGene_9134_t, Pocillopora_acuta_HIv1_PredGene_g14175.t1
OG0000806	Mcavernosa20745-RA	Pocillopora_acuta_HIv1_PredGene_g14174.t1, Pocillopora_acuta_HIv1_PredGene_g10769.t1, Pocillopora_acuta_HIv1_PredGene_g20603.t1
OG0000807	Mcavernosa18444-RA	Pocillopora_acuta_HIv1_PredGene_g19522.t1
OG0000807	Mcavernosa25766-RA	Pocillopora_acuta_HIv1_PredGene_14008_t, Pocillopora_acuta_HIv1_PredGene_g24569.t1, Pocillopora_acuta_HIv1_PredGene_g9667.t1, Pocillopora_acuta_HIv1_PredGene_g9665.t1, Pocillopora_acuta_HIv1_PredGene_g24567.t1, Pocillopora_acuta_HIv1_PredGene_g21185.t1, Pocillopora_acuta_HIv1_PredGene_g21186.t1, Pocillopora_acuta_HIv1_PredGene_16140_t, Pocillopora_acuta_HIv1_PredGene_g106.t1, Pocillopora_acuta_HIv1_PredGene_g108.t1, Pocillopora_acuta_HIv1_PredGene_g23899.t1, Pocillopora_acuta_HIv1_PredGene_g7981.t1, Pocillopora_acuta_HIv1_PredGene_g7990.t1, Pocillopora_acuta_HIv1_PredGene_710_t, Pocillopora_acuta_HIv1_PredGene_g7982.t1, Pocillopora_acuta_HIv1_PredGene_g7983.t1
OG0000808	Mcavernosa09342-RA, Mcavernosa09341-RA, Mcavernosa13543-RA, Mcavernosa23639-RA, Mcavernosa13544-RA	Pocillopora_acuta_HIv1_PredGene_g13427.t1, Pocillopora_acuta_HIv1_PredGene_g14263.t1, Pocillopora_acuta_HIv1_PredGene_g13426.t1, Pocillopora_acuta_HIv1_PredGene_g29713.t1, Pocillopora_acuta_HIv1_PredGene_g17320.t1
OG0000809	Mcavernosa34351-RA, Mcavernosa02944-RA	Pocillopora_acuta_HIv1_PredGene_g11819.t1, Pocillopora_acuta_HIv1_PredGene_g11817.t1, Pocillopora_acuta_HIv1_PredGene_g11818.t1
OG0000810	Mcavernosa30192-RA, Mcavernosa22043-RA	Pocillopora_acuta_HIv1_PredGene_g2790.t1, Pocillopora_acuta_HIv1_PredGene_g2799.t1, Pocillopora_acuta_HIv1_PredGene_g5348.t1, Pocillopora_acuta_HIv1_PredGene_g2802.t1, Pocillopora_acuta_HIv1_PredGene_g2804.t1, Pocillopora_acuta_HIv1_PredGene_g5350.t1, Pocillopora_acuta_HIv1_PredGene_g2800.t1, Pocillopora_acuta_HIv1_PredGene_g5349.t1, Pocillopora_acuta_HIv1_PredGene_g29067.t1, Pocillopora_acuta_HIv1_PredGene_g2792.t1, Pocillopora_acuta_HIv1_PredGene_g5920.t1, Pocillopora_acuta_HIv1_PredGene_g2797.t1, Pocillopora_acuta_HIv1_PredGene_g2795.t1, Pocillopora_acuta_HIv1_PredGene_g29072.t1, Pocillopora_acuta_HIv1_PredGene_g29069.t1, Pocillopora_acuta_HIv1_PredGene_g2793.t1
OG0000815	Mcavernosa22718-RA	Pocillopora_acuta_HIv1_PredGene_g2763.t1
OG0000815	Mcavernosa22719-RA	Pocillopora_acuta_HIv1_PredGene_g2766.t1, Pocillopora_acuta_HIv1_PredGene_g2764.t1
OG0000819	Mcavernosa01385-RA, Mcavernosa09119-RA	Pocillopora_acuta_HIv1_PredGene_g7084.t1, Pocillopora_acuta_HIv1_PredGene_81_t, Pocillopora_acuta_HIv1_PredGene_g7082.t1
OG0000820	Mcavernosa22553-RA	Pocillopora_acuta_HIv1_PredGene_g7602.t1, Pocillopora_acuta_HIv1_PredGene_g7604.t1
