"","GO.IDs","term","ontology","over_represented_pvalue","Species","Site","GO.Term","GO.Slim.Term","Cat"
"19862","GO:0042531","positive regulation of tyrosine phosphorylation of STAT protein","BP",0.042744181,"A.cervicornis","Florida","positive regulation of tyrosine phosphorylation of STAT protein","protein metabolism","P"
"19922","GO:0042595","behavioral response to starvation","BP",0.023199075,"A.cervicornis","Florida","behavioral response to starvation","stress response","P"
"20173","GO:0042834","peptidoglycan binding","MF",0.02140892,"A.cervicornis","Florida","peptidoglycan binding","other molecular function","F"
"20548","GO:0043204","perikaryon","CC",0.025500536,"A.cervicornis","Florida","perikaryon","other cellular component","C"
"20634","GO:0043282","pharyngeal muscle development","BP",0.021408568,"A.cervicornis","Florida","pharyngeal muscle development","developmental processes","P"
"20692","GO:0043328","protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway","BP",0.043509597,"A.cervicornis","Florida","protein targeting to vacuole during ubiquitin-dependent protein catabolic process via the MVB pathway","protein metabolism","P"
"20693","GO:0043328","protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway","BP",0.043509597,"A.cervicornis","Florida","protein targeting to vacuole during ubiquitin-dependent protein catabolic process via the MVB pathway","transport","P"
"20696","GO:0043330","response to exogenous dsRNA","BP",0.003430418,"A.cervicornis","Florida","response to exogenous dsRNA","other biological processes","P"
"20775","GO:0043422","protein kinase B binding","MF",0.00310528,"A.cervicornis","Florida","protein kinase B binding","other molecular function","F"
"20881","GO:0043518","negative regulation of DNA damage response, signal transduction by p53 class mediator","BP",0.047219471,"A.cervicornis","Florida","negative regulation of DNA damage response, signal transduction by p53 class mediator","stress response","P"
"20882","GO:0043518","negative regulation of DNA damage response, signal transduction by p53 class mediator","BP",0.047219471,"A.cervicornis","Florida","negative regulation of DNA damage response, signal transduction by p53 class mediator","signal transduction","P"
"20918","GO:0043552","positive regulation of phosphatidylinositol 3-kinase activity","BP",0.042361924,"A.cervicornis","Florida","positive regulation of phosphoinositide 3-kinase activity","other metabolic processes","P"
"21036","GO:0043657","host cell","CC",0.042291183,"A.cervicornis","Florida","host cell","non-structural extracellular","C"
"21353","GO:0043972","histone H3-K23 acetylation","BP",0.021414665,"A.cervicornis","Florida","histone H3-K23 acetylation","cell organization and biogenesis","P"
"21354","GO:0043972","histone H3-K23 acetylation","BP",0.021414665,"A.cervicornis","Florida","histone H3-K23 acetylation","protein metabolism","P"
"21496","GO:0044092","negative regulation of molecular function","BP",0.019317243,"A.cervicornis","Florida","negative regulation of molecular function","other biological processes","P"
"21514","GO:0044154","histone H3-K14 acetylation","BP",0.043877015,"A.cervicornis","Florida",NA,NA,NA
"21556","GO:0044291","cell-cell contact zone","CC",0.015719267,"A.cervicornis","Florida",NA,NA,NA
"21562","GO:0044344","cellular response to fibroblast growth factor stimulus","BP",0.003624805,"A.cervicornis","Florida",NA,NA,NA
"21636","GO:0044854","plasma membrane raft assembly","BP",0.029697422,"A.cervicornis","Florida",NA,NA,NA
"21653","GO:0045014","carbon catabolite repression of transcription by glucose","BP",0.031028744,"A.cervicornis","Florida","negative regulation of transcription by glucose","RNA metabolism","P"
"21732","GO:0045087","innate immune response","BP",0.047720622,"A.cervicornis","Florida","innate immune response","stress response","P"
"21945","GO:0045294","alpha-catenin binding","MF",0.048708753,"A.cervicornis","Florida","alpha-catenin binding","other molecular function","F"
"21968","GO:0045322","unmethylated CpG binding","MF",0.048350137,"A.cervicornis","Florida","unmethylated CpG binding","nucleic acid binding activity","F"
"21996","GO:0045348","positive regulation of MHC class II biosynthetic process","BP",0.045286654,"A.cervicornis","Florida","positive regulation of MHC class II biosynthetic process","other metabolic processes","P"
"22091","GO:0045444","fat cell differentiation","BP",0.043494567,"A.cervicornis","Florida","fat cell differentiation","other biological processes","P"
"22241","GO:0045590","negative regulation of regulatory T cell differentiation","BP",0.023448705,"A.cervicornis","Florida","negative regulation of regulatory T cell differentiation","developmental processes","P"
"22247","GO:0045596","negative regulation of cell differentiation","BP",0.030148793,"A.cervicornis","Florida","negative regulation of cell differentiation","other biological processes","P"
"22441","GO:0045785","positive regulation of cell adhesion","BP",0.007375547,"A.cervicornis","Florida","positive regulation of cell adhesion","cell adhesion","P"
"22614","GO:0045944","positive regulation of transcription by RNA polymerase II","BP",0.034163324,"A.cervicornis","Florida","positive regulation of transcription from RNA polymerase II promoter","RNA metabolism","P"
"23049","GO:0046373","L-arabinose metabolic process","BP",0.021409242,"A.cervicornis","Florida","L-arabinose metabolic process","other metabolic processes","P"
"23148","GO:0046477","glycosylceramide catabolic process","BP",0.044450646,"A.cervicornis","Florida","glycosylceramide catabolic process","other metabolic processes","P"
"23224","GO:0046556","alpha-L-arabinofuranosidase activity","MF",0.021409242,"A.cervicornis","Florida","alpha-N-arabinofuranosidase activity","other molecular function","F"
"23663","GO:0046969","NAD-dependent histone deacetylase activity (H3-K9 specific)","MF",0.023199075,"A.cervicornis","Florida","NAD-dependent histone deacetylase activity (H3-K9 specific)","other molecular function","F"
"24150","GO:0047464","heparosan-N-sulfate-glucuronate 5-epimerase activity","MF",0.021409287,"A.cervicornis","Florida","heparosan-N-sulfate-glucuronate 5-epimerase activity","other molecular function","F"
"24170","GO:0047485","protein N-terminus binding","MF",0.010487785,"A.cervicornis","Florida","protein N-terminus binding","other molecular function","F"
"24828","GO:0048179","activin receptor complex","CC",0.031712692,"A.cervicornis","Florida","activin receptor complex","plasma membrane","C"
"24829","GO:0048179","activin receptor complex","CC",0.031712692,"A.cervicornis","Florida","activin receptor complex","other membranes","C"
"24873","GO:0048215","positive regulation of Golgi vesicle fusion to target membrane","BP",0.021427953,"A.cervicornis","Florida","positive regulation of Golgi vesicle fusion to target membrane","transport","P"
"24874","GO:0048215","positive regulation of Golgi vesicle fusion to target membrane","BP",0.021427953,"A.cervicornis","Florida","positive regulation of Golgi vesicle fusion to target membrane","cell organization and biogenesis","P"
"25036","GO:0048367","shoot system development","BP",0.042013392,"A.cervicornis","Florida","shoot development","developmental processes","P"
"25081","GO:0048440","carpel development","BP",0.030716833,"A.cervicornis","Florida","carpel development","developmental processes","P"
"25084","GO:0048443","stamen development","BP",0.030716833,"A.cervicornis","Florida","stamen development","developmental processes","P"
"25094","GO:0048453","sepal formation","BP",0.030716833,"A.cervicornis","Florida","sepal formation","developmental processes","P"
"25117","GO:0048477","oogenesis","BP",0.02890184,"A.cervicornis","Florida","oogenesis","other biological processes","P"
"25178","GO:0048538","thymus development","BP",0.006719674,"A.cervicornis","Florida","thymus development","developmental processes","P"
"25182","GO:0048542","lymph gland development","BP",0.032890629,"A.cervicornis","Florida","lymph gland development","developmental processes","P"
"25230","GO:0048585","negative regulation of response to stimulus","BP",0.029278108,"A.cervicornis","Florida","negative regulation of response to stimulus","other biological processes","P"
"25285","GO:0048643","positive regulation of skeletal muscle tissue development","BP",0.029697422,"A.cervicornis","Florida","positive regulation of skeletal muscle tissue development","developmental processes","P"
"25501","GO:0048806","genitalia development","BP",0.029949103,"A.cervicornis","Florida","genitalia development","developmental processes","P"
"25525","GO:0048827","phyllome development","BP",0.021410748,"A.cervicornis","Florida","phyllome development","developmental processes","P"
"25644","GO:0048935","peripheral nervous system neuron development","BP",0.042367032,"A.cervicornis","Florida","peripheral nervous system neuron development","developmental processes","P"
"26033","GO:0050379","UDP-glucuronate 5'-epimerase activity","MF",0.021409287,"A.cervicornis","Florida","UDP-glucuronate 5'-epimerase activity","other molecular function","F"
"26147","GO:0050501","hyaluronan synthase activity","MF",0.021153966,"A.cervicornis","Florida","hyaluronan synthase activity","other molecular function","F"
"26323","GO:0050679","positive regulation of epithelial cell proliferation","BP",0.040360479,"A.cervicornis","Florida","positive regulation of epithelial cell proliferation","cell cycle and proliferation","P"
"26338","GO:0050694","galactose 3-O-sulfotransferase activity","MF",0.045450337,"A.cervicornis","Florida","galactose 3-O-sulfotransferase activity","other molecular function","F"
"26344","GO:0050700","CARD domain binding","MF",0.02140892,"A.cervicornis","Florida","CARD domain binding","other molecular function","F"
"26375","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","BP",0.01560516,"A.cervicornis","Florida","positive regulation of peptidyl-tyrosine phosphorylation","protein metabolism","P"
"26455","GO:0050804","modulation of chemical synaptic transmission","BP",0.045280817,"A.cervicornis","Florida","regulation of synaptic transmission","cell-cell signaling","P"
"26523","GO:0050871","positive regulation of B cell activation","BP",0.042373838,"A.cervicornis","Florida","positive regulation of B cell activation","other biological processes","P"
"26524","GO:0050872","white fat cell differentiation","BP",0.023199075,"A.cervicornis","Florida","white fat cell differentiation","other biological processes","P"
"26556","GO:0050907","detection of chemical stimulus involved in sensory perception","BP",0.021285279,"A.cervicornis","Florida","detection of chemical stimulus involved in sensory perception","other biological processes","P"
"26604","GO:0050955","thermoception","BP",0.021285279,"A.cervicornis","Florida","thermoception","other biological processes","P"
"26610","GO:0050961","detection of temperature stimulus involved in sensory perception","BP",0.021285279,"A.cervicornis","Florida","detection of temperature stimulus involved in sensory perception","other biological processes","P"
"26701","GO:0051050","positive regulation of transport","BP",0.026336294,"A.cervicornis","Florida","positive regulation of transport","transport","P"
"26750","GO:0051097","negative regulation of helicase activity","BP",0.023199075,"A.cervicornis","Florida","negative regulation of helicase activity","other biological processes","P"
"26808","GO:0051152","positive regulation of smooth muscle cell differentiation","BP",0.023199075,"A.cervicornis","Florida","positive regulation of smooth muscle cell differentiation","other biological processes","P"
"27055","GO:0051382","kinetochore assembly","BP",0.033559155,"A.cervicornis","Florida","kinetochore assembly","cell organization and biogenesis","P"
"27267","GO:0051574","positive regulation of histone H3-K9 methylation","BP",0.023199075,"A.cervicornis","Florida","positive regulation of histone H3-K9 methylation","protein metabolism","P"
"27268","GO:0051574","positive regulation of histone H3-K9 methylation","BP",0.023199075,"A.cervicornis","Florida","positive regulation of histone H3-K9 methylation","cell organization and biogenesis","P"
"27276","GO:0051580","regulation of neurotransmitter uptake","BP",0.029697422,"A.cervicornis","Florida","regulation of neurotransmitter uptake","transport","P"
"27277","GO:0051580","regulation of neurotransmitter uptake","BP",0.029697422,"A.cervicornis","Florida","regulation of neurotransmitter uptake","cell-cell signaling","P"
"27312","GO:0051607","defense response to virus","BP",0.010345631,"A.cervicornis","Florida","defense response to virus","stress response","P"
"27610","GO:0051879","Hsp90 protein binding","MF",0.039628326,"A.cervicornis","Florida","Hsp90 protein binding","other molecular function","F"
"28148","GO:0052381","tRNA dimethylallyltransferase activity","MF",0.025600312,"A.cervicornis","Florida",NA,NA,NA
"28263","GO:0052834","inositol monophosphate phosphatase activity","MF",0.026805507,"A.cervicornis","Florida",NA,NA,NA
"28489","GO:0060074","synapse maturation","BP",0.021427953,"A.cervicornis","Florida","synapse maturation","developmental processes","P"
"28490","GO:0060074","synapse maturation","BP",0.021427953,"A.cervicornis","Florida","synapse maturation","cell organization and biogenesis","P"
"28554","GO:0060125","negative regulation of growth hormone secretion","BP",0.048778735,"A.cervicornis","Florida","negative regulation of growth hormone secretion","cell-cell signaling","P"
"28555","GO:0060125","negative regulation of growth hormone secretion","BP",0.048778735,"A.cervicornis","Florida","negative regulation of growth hormone secretion","transport","P"
"28743","GO:0060291","long-term synaptic potentiation","BP",0.009677982,"A.cervicornis","Florida","long-term synaptic potentiation","cell-cell signaling","P"
"28780","GO:0060324","face development","BP",0.042592659,"A.cervicornis","Florida","face development","other biological processes","P"
"28789","GO:0060333","interferon-gamma-mediated signaling pathway","BP",0.023448705,"A.cervicornis","Florida","interferon-gamma-mediated signaling pathway","signal transduction","P"
"28792","GO:0060336","negative regulation of interferon-gamma-mediated signaling pathway","BP",0.043761092,"A.cervicornis","Florida","negative regulation of interferon-gamma-mediated signaling pathway","signal transduction","P"
"28907","GO:0060440","trachea formation","BP",0.042592659,"A.cervicornis","Florida","trachea formation","developmental processes","P"
"29039","GO:0060548","negative regulation of cell death","BP",0.039230804,"A.cervicornis","Florida","negative regulation of cell death","death","P"
"29084","GO:0060585","positive regulation of prostaglandin-endoperoxide synthase activity","BP",0.02140892,"A.cervicornis","Florida","positive regulation of prostaglandin-endoperoxidase synthase activity","other biological processes","P"
"29134","GO:0060627","regulation of vesicle-mediated transport","BP",0.003012716,"A.cervicornis","Florida","regulation of vesicle-mediated transport","transport","P"
"29338","GO:0060907","positive regulation of macrophage cytokine production","BP",0.023199075,"A.cervicornis","Florida",NA,NA,NA
"29345","GO:0061051","positive regulation of cell growth involved in cardiac muscle cell development","BP",0.046858676,"A.cervicornis","Florida",NA,NA,NA
"29351","GO:0061308","cardiac neural crest cell development involved in heart development","BP",0.021654746,"A.cervicornis","Florida",NA,NA,NA
"29364","GO:0062063","BBSome binding","MF",0.030458925,"A.cervicornis","Florida",NA,NA,NA
"29494","GO:0070097","delta-catenin binding","MF",0.026197771,"A.cervicornis","Florida","delta-catenin binding","other molecular function","F"
"29845","GO:0070371","ERK1 and ERK2 cascade","BP",0.048263201,"A.cervicornis","Florida","ERK1 and ERK2 cascade","signal transduction","P"
"29877","GO:0070403","NAD+ binding","MF",0.004704611,"A.cervicornis","Florida","NAD binding","other molecular function","F"
"29917","GO:0070431","nucleotide-binding oligomerization domain containing 2 signaling pathway","BP",0.02140892,"A.cervicornis","Florida","nucleotide-binding oligomerization domain containing 2 signaling pathway","stress response","P"
"29918","GO:0070431","nucleotide-binding oligomerization domain containing 2 signaling pathway","BP",0.02140892,"A.cervicornis","Florida","nucleotide-binding oligomerization domain containing 2 signaling pathway","signal transduction","P"
"30183","GO:0070652","HAUS complex","CC",0.021260705,"A.cervicornis","Florida","HAUS complex","cytoskeleton","C"
"30331","GO:0070776","MOZ/MORF histone acetyltransferase complex","CC",0.043877015,"A.cervicornis","Florida",NA,"nucleus","None"
"30403","GO:0070849","response to epidermal growth factor","BP",0.043099814,"A.cervicornis","Florida",NA,NA,NA
"30404","GO:0070857","regulation of bile acid biosynthetic process","BP",0.043317952,"A.cervicornis","Florida",NA,NA,NA
"30405","GO:0070887","cellular response to chemical stimulus","BP",0.005174816,"A.cervicornis","Florida",NA,NA,NA
"30406","GO:0070900","mitochondrial tRNA modification","BP",0.025600312,"A.cervicornis","Florida",NA,NA,NA
"30408","GO:0070925","organelle assembly","BP",0.013872272,"A.cervicornis","Florida",NA,NA,NA
"30433","GO:0071034","CUT catabolic process","BP",0.021409265,"A.cervicornis","Florida",NA,NA,NA
"30434","GO:0071035","nuclear polyadenylation-dependent rRNA catabolic process","BP",0.043180453,"A.cervicornis","Florida",NA,NA,NA
"30435","GO:0071048","nuclear retention of unspliced pre-mRNA at the site of transcription","BP",0.021409265,"A.cervicornis","Florida",NA,NA,NA
"30436","GO:0071164","RNA trimethylguanosine synthase activity","MF",0.034668541,"A.cervicornis","Florida",NA,NA,NA
"30438","GO:0071224","cellular response to peptidoglycan","BP",0.02140892,"A.cervicornis","Florida",NA,NA,NA
"30439","GO:0071225","cellular response to muramyl dipeptide","BP",0.02140892,"A.cervicornis","Florida",NA,NA,NA
"30442","GO:0071303","cellular response to vitamin B3","BP",0.023199075,"A.cervicornis","Florida",NA,NA,NA
"30445","GO:0071347","cellular response to interleukin-1","BP",0.033364516,"A.cervicornis","Florida",NA,NA,NA
"30446","GO:0071356","cellular response to tumor necrosis factor","BP",0.005725533,"A.cervicornis","Florida",NA,NA,NA
"30448","GO:0071360","cellular response to exogenous dsRNA","BP",0.029697422,"A.cervicornis","Florida",NA,NA,NA
"30451","GO:0071441","negative regulation of histone H3-K14 acetylation","BP",0.023199075,"A.cervicornis","Florida",NA,NA,NA
"30456","GO:0071493","cellular response to UV-B","BP",0.021153966,"A.cervicornis","Florida",NA,NA,NA
"30459","GO:0071639","positive regulation of monocyte chemotactic protein-1 production","BP",0.042386376,"A.cervicornis","Florida",NA,NA,NA
"30471","GO:0071944","cell periphery","CC",0.01490574,"A.cervicornis","Florida",NA,NA,NA
"30473","GO:0071985","multivesicular body sorting pathway","BP",0.021364539,"A.cervicornis","Florida",NA,NA,NA
"30476","GO:0072038","mesenchymal stem cell maintenance involved in nephron morphogenesis","BP",0.021408568,"A.cervicornis","Florida",NA,NA,NA
"30485","GO:0072095","regulation of branch elongation involved in ureteric bud branching","BP",0.021408568,"A.cervicornis","Florida",NA,NA,NA
"30486","GO:0072107","positive regulation of ureteric bud formation","BP",0.021408568,"A.cervicornis","Florida",NA,NA,NA
"30487","GO:0072137","condensed mesenchymal cell proliferation","BP",0.042303313,"A.cervicornis","Florida",NA,NA,NA
"30488","GO:0072161","mesenchymal cell differentiation involved in kidney development","BP",0.021408568,"A.cervicornis","Florida",NA,NA,NA
"30498","GO:0072584","caveolin-mediated endocytosis","BP",0.021654746,"A.cervicornis","Florida",NA,NA,NA
"30503","GO:0072697","protein localization to cell cortex","BP",0.021427953,"A.cervicornis","Florida",NA,NA,NA
"30854","GO:0075732","viral penetration into host nucleus","BP",0.049341815,"A.cervicornis","Florida",NA,NA,NA
"30990","GO:0080134","regulation of response to stress","BP",0.040906836,"A.cervicornis","Florida","regulation of response to stress","stress response","P"
"31002","GO:0089720","caspase binding","MF",0.042535074,"A.cervicornis","Florida",NA,NA,NA
"31034","GO:0090022","regulation of neutrophil chemotaxis","BP",0.02140892,"A.cervicornis","Florida",NA,NA,NA
"31042","GO:0090170","regulation of Golgi inheritance","BP",0.042592659,"A.cervicornis","Florida",NA,NA,NA
"31046","GO:0090312","positive regulation of protein deacetylation","BP",0.023199075,"A.cervicornis","Florida",NA,NA,NA
"31048","GO:0090400","stress-induced premature senescence","BP",0.023199075,"A.cervicornis","Florida",NA,NA,NA
"31058","GO:0097168","mesenchymal stem cell proliferation","BP",0.021408568,"A.cervicornis","Florida",NA,NA,NA
"31061","GO:0097242","amyloid-beta clearance","BP",0.047940813,"A.cervicornis","Florida",NA,NA,NA
"31069","GO:0097553","calcium ion transmembrane import into cytosol","BP",0.045259361,"A.cervicornis","Florida",NA,NA,NA
"31071","GO:0097657","3',5'-nucleotide bisphosphate phosphatase activity","MF",0.026805507,"A.cervicornis","Florida",NA,NA,NA
"31074","GO:0098588","bounding membrane of organelle","CC",0.025640408,"A.cervicornis","Florida",NA,NA,NA
"31076","GO:0098793","presynapse","CC",0.00534615,"A.cervicornis","Florida",NA,NA,NA
"31077","GO:0098821","BMP receptor activity","MF",0.031712692,"A.cervicornis","Florida",NA,NA,NA
"31101","GO:0120036","plasma membrane bounded cell projection organization","BP",0.047923355,"A.cervicornis","Florida",NA,NA,NA
"31102","GO:0120041","positive regulation of macrophage proliferation","BP",0.021654746,"A.cervicornis","Florida",NA,NA,NA
"31106","GO:0140268","endoplasmic reticulum-plasma membrane contact site","CC",0.008392615,"A.cervicornis","Florida",NA,NA,NA
"31112","GO:1900106","positive regulation of hyaluranon cable assembly","BP",0.021153966,"A.cervicornis","Florida",NA,NA,NA
"31113","GO:1900113","negative regulation of histone H3-K9 trimethylation","BP",0.042755269,"A.cervicornis","Florida",NA,NA,NA
"31115","GO:1900208","regulation of cardiolipin metabolic process","BP",0.029949103,"A.cervicornis","Florida",NA,NA,NA
"31120","GO:1901416","regulation of response to ethanol","BP",0.023199075,"A.cervicornis","Florida",NA,NA,NA
"31123","GO:1901698","response to nitrogen compound","BP",0.021406369,"A.cervicornis","Florida",NA,NA,NA
"31127","GO:1901842","negative regulation of high voltage-gated calcium channel activity","BP",0.023378402,"A.cervicornis","Florida",NA,NA,NA
"31131","GO:1901890","positive regulation of cell junction assembly","BP",0.029697422,"A.cervicornis","Florida",NA,NA,NA
"31132","GO:1902043","positive regulation of extrinsic apoptotic signaling pathway via death domain receptors","BP",0.002156658,"A.cervicornis","Florida",NA,NA,NA
"31135","GO:1902166","negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","BP",0.023199075,"A.cervicornis","Florida",NA,NA,NA
"31136","GO:1902176","negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway","BP",0.044108662,"A.cervicornis","Florida",NA,NA,NA
"31137","GO:1902216","positive regulation of interleukin-4-mediated signaling pathway","BP",0.043761092,"A.cervicornis","Florida",NA,NA,NA
"31142","GO:1902523","positive regulation of protein K63-linked ubiquitination","BP",0.044381204,"A.cervicornis","Florida",NA,NA,NA
"31143","GO:1902531","regulation of intracellular signal transduction","BP",0.001161044,"A.cervicornis","Florida",NA,NA,NA
"31144","GO:1902570","protein localization to nucleolus","BP",0.020514623,"A.cervicornis","Florida",NA,NA,NA
"31147","GO:1902624","positive regulation of neutrophil migration","BP",0.043230355,"A.cervicornis","Florida",NA,NA,NA
"31151","GO:1902731","negative regulation of chondrocyte proliferation","BP",0.031712692,"A.cervicornis","Florida",NA,NA,NA
"31153","GO:1902732","positive regulation of chondrocyte proliferation","BP",0.038677081,"A.cervicornis","Florida",NA,NA,NA
"31156","GO:1902915","negative regulation of protein polyubiquitination","BP",0.023378402,"A.cervicornis","Florida",NA,NA,NA
"31158","GO:1902957","negative regulation of mitochondrial electron transport, NADH to ubiquinone","BP",0.029949103,"A.cervicornis","Florida",NA,NA,NA
"31164","GO:1903220","positive regulation of malate dehydrogenase (decarboxylating) (NADP+) activity","BP",0.032890629,"A.cervicornis","Florida",NA,NA,NA
"31165","GO:1903445","protein transport from ciliary membrane to plasma membrane","BP",0.030458925,"A.cervicornis","Florida",NA,NA,NA
"31172","GO:1903772","regulation of viral budding via host ESCRT complex","BP",0.021364539,"A.cervicornis","Florida",NA,NA,NA
"31175","GO:1904179","positive regulation of adipose tissue development","BP",0.023199075,"A.cervicornis","Florida",NA,NA,NA
"31180","GO:1904373","response to kainic acid","BP",0.023199075,"A.cervicornis","Florida",NA,NA,NA
"31185","GO:1904638","response to resveratrol","BP",0.023199075,"A.cervicornis","Florida",NA,NA,NA
"31186","GO:1904644","cellular response to curcumin","BP",0.023199075,"A.cervicornis","Florida",NA,NA,NA
"31187","GO:1904645","response to amyloid-beta","BP",0.042787873,"A.cervicornis","Florida",NA,NA,NA
"31188","GO:1904648","cellular response to rotenone","BP",0.023199075,"A.cervicornis","Florida",NA,NA,NA
"31193","GO:1904872","regulation of telomerase RNA localization to Cajal body","BP",0.042388097,"A.cervicornis","Florida",NA,NA,NA
"31194","GO:1904893","negative regulation of receptor signaling pathway via STAT","BP",0.026197771,"A.cervicornis","Florida",NA,NA,NA
"31201","GO:1905246","negative regulation of aspartic-type peptidase activity","BP",0.02140892,"A.cervicornis","Florida",NA,NA,NA
"31210","GO:1905776","positive regulation of DNA helicase activity","BP",0.025341352,"A.cervicornis","Florida",NA,NA,NA
"31215","GO:1990254","keratin filament binding","MF",0.023199075,"A.cervicornis","Florida",NA,NA,NA
"31217","GO:1990417","snoRNA release from pre-rRNA","BP",0.023287271,"A.cervicornis","Florida",NA,NA,NA
"31222","GO:1990712","HFE-transferrin receptor complex","CC",0.031712692,"A.cervicornis","Florida",NA,NA,NA
"31232","GO:2000110","negative regulation of macrophage apoptotic process","BP",0.02140892,"A.cervicornis","Florida",NA,NA,NA
"31233","GO:2000111","positive regulation of macrophage apoptotic process","BP",0.023199075,"A.cervicornis","Florida",NA,NA,NA
"31238","GO:2000363","positive regulation of prostaglandin-E synthase activity","BP",0.02140892,"A.cervicornis","Florida",NA,NA,NA
"31240","GO:2000481","positive regulation of cAMP-dependent protein kinase activity","BP",0.023199075,"A.cervicornis","Florida",NA,NA,NA
"31242","GO:2000614","positive regulation of thyroid-stimulating hormone secretion","BP",0.023199075,"A.cervicornis","Florida",NA,NA,NA
"31243","GO:2000619","negative regulation of histone H4-K16 acetylation","BP",0.045177814,"A.cervicornis","Florida",NA,NA,NA
"31246","GO:2000655","negative regulation of cellular response to testosterone stimulus","BP",0.023199075,"A.cervicornis","Florida",NA,NA,NA
"31247","GO:2000697","negative regulation of epithelial cell differentiation involved in kidney development","BP",0.021409242,"A.cervicornis","Florida",NA,NA,NA
"31252","GO:2000774","positive regulation of cellular senescence","BP",0.023199075,"A.cervicornis","Florida",NA,NA,NA
"31265","GO:2001161","negative regulation of histone H3-K79 methylation","BP",0.021414665,"A.cervicornis","Florida",NA,NA,NA
